branch_path,variable,units,scale,per
Demand\Residential,Activity Level,Household,Thousand,
Demand\Residential,Demand Cost,U.S. Dollar,,
Demand\Residential,RefHH,Ref/hh,,
Demand\Residential\Historical,Activity Level,Saturation,%,of Household
Demand\Residential\Historical,Demand Cost,U.S. Dollar,,Household
Demand\Residential\Historical,RefHH,Ref/hh,,
Demand\Residential\Historical\Bagasse,Activity Level,Saturation,%,of Household
Demand\Residential\Historical\Bagasse,Demand Cost,2020 USD,,Household
Demand\Residential\Historical\Bagasse,Final Energy Intensity,Tonnes of Oil Equivalent,,Household
Demand\Residential\Historical\Bagasse,RefHH,Ref/hh,,
Demand\Residential\Historical\Bagasse,TotalEnergyRes,TOE,Thousand,
Demand\Residential\Historical\Bagasse\Ammonia,Avg Environmental Loading,Kilogramme,,Terajoule
Demand\Residential\Historical\Bagasse\Black Carbon,Avg Environmental Loading,Kilogramme,,Terajoule
Demand\Residential\Historical\Bagasse\Carbon Dioxide,Avg Environmental Loading,Metric Tonne,,Terajoule
Demand\Residential\Historical\Bagasse\Carbon Dioxide Biogenic,Avg Environmental Loading,Metric Tonne,,Terajoule
Demand\Residential\Historical\Bagasse\Methane,Avg Environmental Loading,Kilogramme,,Terajoule
Demand\Residential\Historical\Bagasse\Nitrogen Oxides,Avg Environmental Loading,Kilogramme,,Terajoule
Demand\Residential\Historical\Bagasse\Nitrous Oxide,Avg Environmental Loading,Kilogramme,,Terajoule
Demand\Residential\Historical\Bagasse\Non Methane Volatile Organic Compounds,Avg Environmental Loading,Kilogramme,,Terajoule
Demand\Residential\Historical\Bagasse\Organic Carbon,Avg Environmental Loading,Kilogramme,,Terajoule
Demand\Residential\Historical\Bagasse\Particulates PM10,Avg Environmental Loading,Kilogramme,,Terajoule
Demand\Residential\Historical\Bagasse\Particulates PM2pt5,Avg Environmental Loading,Kilogramme,,Terajoule
Demand\Residential\Historical\Bagasse\Sulfur Dioxide,Avg Environmental Loading,Kilogramme,,Terajoule
Demand\Residential\Historical\Biogas,Activity Level,Saturation,%,of Household
Demand\Residential\Historical\Biogas,Demand Cost,2020 USD,,Household
Demand\Residential\Historical\Biogas,Final Energy Intensity,Tonnes of Oil Equivalent,,Household
Demand\Residential\Historical\Biogas,RefHH,Ref/hh,,
Demand\Residential\Historical\Biogas,TotalEnergyRes,TOE,Thousand,
Demand\Residential\Historical\Biogas\Ammonia,Avg Environmental Loading,Kilogramme,,Terajoule
