ams,branch,variable,expression,unit,fuel,source,note,src_csv,data_confidence,scenario
Brunei,Key\Residential\Air Conditioning\Efficiency_Share\Large_High,Activity Level,"Interp(2014, 12.991311543235415, 2015, 14.025651634257343, 2016, 15.255292652552926, 2017, 16.711702348784037, 2018, 18.34824214686915, 2019, 20.145530145530145, 2020, 21.88734150904178, 2021, 23.539197338323977, 2022, 25.062447960033303, 2023, 26.46813827571845, 2024, 35.928393005828475, 2025, 35.98335067637877, 2026, 36.02497398543184, 2027, 36.072394424797174, 2028, 36.10648918469218, 2029, 36.67913549459684, 2030, 37.175493250259606, 2031, 37.601162066818844, 2032, 37.95105765242638, 2033, 38.23834196891192, 2034, 38.442419221209605, 2035, 38.58414406955082, 2036, 38.663632602399666, 2037, 38.69367507234395, 2038, 38.70301528294093, 2039, 38.6939768809572, 2040, 38.70640713706407, 2041, 38.69071747061208, 2042, 38.70314083080041, 2043, 38.70314083080041, 2044, 38.695299837925454, 2045, 38.695299837925454, 2046, 38.695299837925454, 2047, 38.695299837925454, 2048, 38.695299837925454, 2049, 38.707717237188575, 2050, 38.707717237188575, 2051, 38.69204292366876, 2052, 38.69204292366876, 2053, 38.70445344129554, 2054, 38.70187462205201, 2055, 38.70187462205201, 2056, 38.70187462205201, 2057, 38.694074969770256, 2058, 38.6986301369863, 2059, 38.6986301369863, 2060, 38.710976837865054)",%,,,sharefix: AC CA base-year mix = Baseline reference (restore sum-100; fridge untouched),residential_leap_inject_20260715,Medium,Current Accounts
Brunei,Key\Residential\Air Conditioning\Efficiency_Share\Large_Low,Activity Level,"Interp(2014, 40.79437318990484, 2015, 40.11170872983036, 2016, 39.37318389373184, 2017, 38.45354396175431, 2018, 37.424589140836275, 2019, 36.299376299376306, 2020, 35.21097484930368, 2021, 34.14431274693284, 2022, 33.18068276436303, 2023, 32.299042065805914, 2024, 26.39467110741049, 2025, 26.347554630593134, 2026, 26.326742976066598, 2027, 26.29498647805284, 2028, 26.268718801996677, 2029, 25.91438071487947, 2030, 25.607476635514022, 2031, 25.337206889396143, 2032, 25.114060555785983, 2033, 24.93264248704663, 2034, 24.8135874067937, 2035, 24.71537983854274, 2036, 24.6793545717832, 2037, 24.658949979330302, 2038, 24.65923172242875, 2039, 24.660312309876293, 2040, 24.655312246553123, 2041, 24.665585731657885, 2042, 24.660587639311043, 2043, 24.660587639311043, 2044, 24.655591572123175, 2045, 24.655591572123175, 2046, 24.655591572123175, 2047, 24.655591572123175, 2048, 24.655591572123175, 2049, 24.65059752886368, 2050, 24.65059752886368, 2051, 24.66086252277789, 2052, 24.66086252277789, 2053, 24.655870445344128, 2054, 24.652287845192504, 2055, 24.652287845192504, 2056, 24.652287845192504, 2057, 24.66747279322854, 2058, 24.657534246575345, 2059, 24.657534246575345, 2060, 24.652567975830816)",%,,,sharefix: AC CA base-year mix = Baseline reference (restore sum-100; fridge untouched),residential_leap_inject_20260715,Medium,Current Accounts
Brunei,Key\Residential\Air Conditioning\Efficiency_Share\Large_Mid,Activity Level,"Interp(2014, 46.21431526685974, 2015, 45.86263963591229, 2016, 45.371523453715234, 2017, 44.83475368946166, 2018, 44.22716871229457, 2019, 43.55509355509356, 2020, 42.90168364165454, 2021, 42.31648991474319, 2022, 41.75686927560366, 2023, 41.232819658475634, 2024, 37.67693588676103, 2025, 37.6690946930281, 2026, 37.64828303850156, 2027, 37.63261909714999, 2028, 37.62479201331115, 2029, 37.406483790523694, 2030, 37.21703011422638, 2031, 37.06163104378502, 2032, 36.93488179178764, 2033, 36.82901554404145, 2034, 36.74399337199668, 2035, 36.70047609190644, 2036, 36.65701282581713, 2037, 36.647374948325755, 2038, 36.63775299463032, 2039, 36.6457108091665, 2040, 36.63828061638281, 2041, 36.64369679773004, 2042, 36.636271529888546, 2043, 36.636271529888546, 2044, 36.64910858995138, 2045, 36.64910858995138, 2046, 36.64910858995138, 2047, 36.64910858995138, 2048, 36.64910858995138, 2049, 36.64168523394774, 2050, 36.64168523394774, 2051, 36.64709455355336, 2052, 36.64709455355336, 2053, 36.63967611336032, 2054, 36.64583753275549, 2055, 36.64583753275549, 2056, 36.64583753275549, 2057, 36.63845223700121, 2058, 36.64383561643836, 2059, 36.64383561643836, 2060, 36.63645518630413)",%,,,sharefix: AC CA base-year mix = Baseline reference (restore sum-100; fridge untouched),residential_leap_inject_20260715,Medium,Current Accounts
Brunei,Key\Residential\Air Conditioning\Efficiency_Share\Medium_High,Activity Level,"Interp(2014, 11.500412201154164, 2015, 12.577575506826646, 2016, 13.681592039800993, 2017, 14.908637873754152, 2018, 16.174636174636177, 2019, 17.581047381546135, 2020, 19.01993355481728, 2021, 20.407315045719034, 2022, 21.60699417152373, 2023, 22.689425478767696, 2024, 30.04577611319184, 2025, 30.087390761548065, 2026, 30.129005409904288, 2027, 30.158069883527457, 2028, 30.199667221297837, 2029, 30.631753948462176, 2030, 31.021594684385384, 2031, 31.340805313408048, 2032, 31.64661965989216, 2033, 31.869042685453792, 2034, 32.021541010770505, 2035, 32.13250517598344, 2036, 32.17535153019024, 2037, 32.1900826446281, 2038, 32.1900826446281, 2039, 32.197891321978915, 2040, 32.197891321978915, 2041, 32.197891321978915, 2042, 32.18483988650183, 2043, 32.17179902755267, 2044, 32.17179902755267, 2045, 32.17179902755267, 2046, 32.19927095990279, 2047, 32.19927095990279, 2048, 32.19927095990279, 2049, 32.19927095990279, 2050, 32.19927095990279, 2051, 32.19927095990279, 2052, 32.19927095990279, 2053, 32.19927095990279, 2054, 32.19039935457847, 2055, 32.17741935483871, 2056, 32.19178082191781, 2057, 32.19178082191781, 2058, 32.19178082191781, 2059, 32.19178082191781, 2060, 32.19178082191781)",%,,,sharefix: AC CA base-year mix = Baseline reference (restore sum-100; fridge untouched),residential_leap_inject_20260715,Medium,Current Accounts
Brunei,Key\Residential\Air Conditioning\Efficiency_Share\Medium_Low,Activity Level,"Interp(2014, 59.72794723825228, 2015, 58.62639635912288, 2016, 57.54560530679934, 2017, 56.18770764119601, 2018, 54.719334719334725, 2019, 53.20033250207814, 2020, 51.619601328903656, 2021, 50.12468827930174, 2022, 48.79267277268942, 2023, 47.58534554537885, 2024, 39.36745734498543, 2025, 39.32584269662921, 2026, 39.28422804827299, 2027, 39.267886855241265, 2028, 39.22628951747088, 2029, 38.73649210307564, 2030, 38.289036544850504, 2031, 37.94105437941054, 2032, 37.61924512650353, 2033, 37.380853709075836, 2034, 37.199668599834304, 2035, 37.060041407867494, 2036, 37.01406120760959, 2037, 36.98347107438016, 2038, 36.98347107438016, 2039, 36.982968369829685, 2040, 36.982968369829685, 2041, 36.982968369829685, 2042, 37.008512363194164, 2043, 36.9935170178282, 2044, 36.9935170178282, 2045, 36.9935170178282, 2046, 36.97853381936007, 2047, 36.97853381936007, 2048, 36.97853381936007, 2049, 36.97853381936007, 2050, 36.97853381936007, 2051, 36.97853381936007, 2052, 36.97853381936007, 2053, 36.97853381936007, 2054, 36.99072206534893, 2055, 36.975806451612904, 2056, 36.986301369863014, 2057, 36.986301369863014, 2058, 36.986301369863014, 2059, 36.986301369863014, 2060, 36.986301369863014)",%,,,sharefix: AC CA base-year mix = Baseline reference (restore sum-100; fridge untouched),residential_leap_inject_20260715,Medium,Current Accounts
Brunei,Key\Residential\Air Conditioning\Efficiency_Share\Medium_Mid,Activity Level,"Interp(2014, 28.771640560593575, 2015, 28.796028134050477, 2016, 28.77280265339967, 2017, 28.903654485049834, 2018, 29.10602910602911, 2019, 29.218620116375725, 2020, 29.360465116279073, 2021, 29.46799667497921, 2022, 29.60033305578684, 2023, 29.725228975853458, 2024, 30.58676654182272, 2025, 30.58676654182272, 2026, 30.58676654182272, 2027, 30.57404326123128, 2028, 30.57404326123128, 2029, 30.631753948462176, 2030, 30.68936877076412, 2031, 30.7181403071814, 2032, 30.734135213604315, 2033, 30.750103605470365, 2034, 30.778790389395194, 2035, 30.807453416149073, 2036, 30.81058726220017, 2037, 30.82644628099174, 2038, 30.82644628099174, 2039, 30.8191403081914, 2040, 30.8191403081914, 2041, 30.8191403081914, 2042, 30.806647750304013, 2043, 30.834683954619123, 2044, 30.834683954619123, 2045, 30.834683954619123, 2046, 30.822195220737143, 2047, 30.822195220737143, 2048, 30.822195220737143, 2049, 30.822195220737143, 2050, 30.822195220737143, 2051, 30.822195220737143, 2052, 30.822195220737143, 2053, 30.822195220737143, 2054, 30.81887858007261, 2055, 30.846774193548388, 2056, 30.82191780821918, 2057, 30.82191780821918, 2058, 30.82191780821918, 2059, 30.82191780821918, 2060, 30.82191780821918)",%,,,sharefix: AC CA base-year mix = Baseline reference (restore sum-100; fridge untouched),residential_leap_inject_20260715,Medium,Current Accounts
Brunei,Key\Residential\Air Conditioning\Efficiency_Share\Small_High,Activity Level,"Interp(2014, 8.90836071558963, 2015, 9.497816593886462, 2016, 10.216606498194947, 2017, 11.1910759265923, 2018, 12.230989956958393, 2019, 13.254310344827585, 2020, 14.27544048903272, 2021, 15.265804597701148, 2022, 16.18331543143573, 2023, 17.02432045779685, 2024, 22.62799856784819, 2025, 22.663802363050483, 2026, 22.68004299534217, 2027, 22.715872447151558, 2028, 22.7403156384505, 2029, 23.076923076923077, 2030, 23.362131029517638, 2031, 23.620627479264332, 2032, 23.816407661727503, 2033, 24.004344677769733, 2034, 24.111675126903553, 2035, 24.191790773701417, 2036, 24.2633684976355, 2037, 24.279985417426175, 2038, 24.287801314828343, 2039, 24.27035330261137, 2040, 24.28900845503459, 2041, 24.269230769230766, 2042, 24.287913779830642, 2043, 24.287913779830642, 2044, 24.258760107816713, 2045, 24.268104776579353, 2046, 24.27745664739884, 2047, 24.27745664739884, 2048, 24.27745664739884, 2049, 24.27745664739884, 2050, 24.286815728604473, 2051, 24.266975308641978, 2052, 24.266975308641978, 2053, 24.276341181011198, 2054, 24.267291910902696, 2055, 24.267291910902696, 2056, 24.276778733385456, 2057, 24.28627297614392, 2058, 24.256651017214395, 2059, 24.275646045418952, 2060, 24.29467084639499)",%,,,sharefix: AC CA base-year mix = Baseline reference (restore sum-100; fridge untouched),residential_leap_inject_20260715,Medium,Current Accounts
Brunei,Key\Residential\Air Conditioning\Efficiency_Share\Small_Low,Activity Level,"Interp(2014, 54.14384811975174, 2015, 53.49344978165939, 2016, 52.418772563176894, 2017, 51.169485426412386, 2018, 49.820659971305595, 2019, 48.45545977011494, 2020, 47.069399496583955, 2021, 45.76149425287356, 2022, 44.53992123165055, 2023, 43.4549356223176, 2024, 36.23344074471893, 2025, 36.19763694951665, 2026, 36.1519168756718, 2027, 36.11608742386242, 2028, 36.083213773314206, 2029, 35.65780014378145, 2030, 35.27717782577394, 2031, 34.94410385863686, 2032, 34.65847488254427, 2033, 34.43157132512672, 2034, 34.30021754894852, 2035, 34.1808935706502, 2036, 34.121498726809754, 2037, 34.08676631425446, 2038, 34.11249086924762, 2039, 34.10138248847927, 2040, 34.0891621829362, 2041, 34.11538461538461, 2042, 34.103156274056964, 2043, 34.103156274056964, 2044, 34.11628802464382, 2045, 34.090909090909086, 2046, 34.10404624277456, 2047, 34.10404624277456, 2048, 34.10404624277456, 2049, 34.10404624277456, 2050, 34.11719352351581, 2051, 34.10493827160494, 2052, 34.10493827160494, 2053, 34.118101119258974, 2054, 34.11488862837045, 2055, 34.11488862837045, 2056, 34.08913213448006, 2057, 34.10246382479468, 2058, 34.11580594679186, 2059, 34.103367267032105, 2060, 34.09090909090909)",%,,,sharefix: AC CA base-year mix = Baseline reference (restore sum-100; fridge untouched),residential_leap_inject_20260715,Medium,Current Accounts
Brunei,Key\Residential\Air Conditioning\Efficiency_Share\Small_Mid,Activity Level,"Interp(2014, 36.94779116465863, 2015, 37.00873362445415, 2016, 37.36462093862816, 2017, 37.63943864699533, 2018, 37.94835007173601, 2019, 38.29022988505747, 2020, 38.65516001438331, 2021, 38.97270114942529, 2022, 39.27676333691372, 2023, 39.520743919885554, 2024, 41.13856068743287, 2025, 41.13856068743287, 2026, 41.16804012898603, 2027, 41.16804012898603, 2028, 41.17647058823529, 2029, 41.265276779295476, 2030, 41.360691144708426, 2031, 41.435268662098814, 2032, 41.52511745572822, 2033, 41.56408399710355, 2034, 41.588107324147934, 2035, 41.62731565564838, 2036, 41.61513277555474, 2037, 41.633248268319356, 2038, 41.59970781592403, 2039, 41.62826420890937, 2040, 41.62182936202921, 2041, 41.61538461538461, 2042, 41.6089299461124, 2043, 41.6089299461124, 2044, 41.62495186753947, 2045, 41.64098613251156, 2046, 41.618497109826585, 2047, 41.618497109826585, 2048, 41.618497109826585, 2049, 41.618497109826585, 2050, 41.595990747879725, 2051, 41.62808641975309, 2052, 41.62808641975309, 2053, 41.605557699729836, 2054, 41.61781946072684, 2055, 41.61781946072684, 2056, 41.63408913213448, 2057, 41.611263199061405, 2058, 41.62754303599374, 2059, 41.62098668754895, 2060, 41.61442006269593)",%,,,sharefix: AC CA base-year mix = Baseline reference (restore sum-100; fridge untouched),residential_leap_inject_20260715,Medium,Current Accounts
Cambodia,Key\Residential\Air Conditioning\Efficiency_Share\Large_High,Activity Level,"Interp(2014, 15.920223932820152, 2015, 17.720639332870046, 2016, 19.931034482758623, 2017, 22.674418604651166, 2018, 25.797691785471827, 2019, 29.18209357118815, 2020, 32.182366744887695, 2021, 35.06016042780749, 2022, 37.82883782883783, 2023, 40.41777188328912, 2024, 51.21241513094083, 2025, 51.789745243469845, 2026, 52.31362467866324, 2027, 52.801793147614475, 2028, 53.218610579987256, 2029, 54.177215189873415, 2030, 54.8122436099716, 2031, 55.4822494502042, 2032, 56.0700876095119, 2033, 56.55967591149891, 2034, 56.91687344913151, 2035, 57.134033353922185, 2036, 57.27468471239619, 2037, 57.30474732006125, 2038, 57.30405611466911, 2039, 57.31671119026417, 2040, 57.29474305965741, 2041, 57.30667450749779, 2042, 57.30172666081357, 2043, 57.31778425655977, 2044, 57.312826465467204, 2045, 57.324840764331206, 2046, 57.29948066935949, 2047, 57.31952832901928, 2048, 57.30659025787966, 2049, 57.29374821581501, 2050, 57.2972972972973, 2051, 57.31292517006802, 2052, 57.30019768426998, 2053, 57.315700619020824, 2054, 57.30555555555556, 2055, 57.3049252905368, 2056, 57.30027548209367, 2057, 57.311385459533604, 2058, 57.3067467904944, 2059, 57.302148490617355, 2060, 57.321041214750544)",%,,,sharefix: AC CA base-year mix = Baseline reference (restore sum-100; fridge untouched),residential_leap_inject_20260715,Medium,Current Accounts
