branch,branch_type,branch_type_label,n_variables,variable_index,variable,variable_id,unit,unit_attempted
Demand\Residential\Projections\Lighting,1,Demand Category,22,1,Demand Cost,776,,False
Demand\Residential\Projections\Lighting,1,Demand Category,22,2,Total Final Energy Consumption,1669,,False
Demand\Residential\Projections\Lighting,1,Demand Category,22,3,Total Activity,1604,,False
Demand\Residential\Projections\Lighting,1,Demand Category,22,4,Activity Level,2027,,False
Demand\Residential\Projections\Lighting,1,Demand Category,22,5,End Year Penetration,1555,,False
Demand\Residential\Projections\Lighting,1,Demand Category,22,6,Share_of_Industry,1569,,False
Demand\Residential\Projections\Lighting,1,Demand Category,22,7,Final Energy Demand,30,,False
Demand\Residential\Projections\Lighting,1,Demand Category,22,8,Useful Energy Demand,31,,False
Demand\Residential\Projections\Lighting,1,Demand Category,22,9,Demand Coproduction,33,,False
Demand\Residential\Projections\Lighting,1,Demand Category,22,10,Primary Energy Requirements Allocated to Demands,35,,False
Demand\Residential\Projections\Lighting,1,Demand Category,22,11,Demand Devices,63,,False
Demand\Residential\Projections\Lighting,1,Demand Category,22,12,Investment Costs,103,,False
Demand\Residential\Projections\Lighting,1,Demand Category,22,13,Power Load Shape,78,,False
Demand\Residential\Projections\Lighting,1,Demand Category,22,14,Energy Load Shape,79,,False
Demand\Residential\Projections\Lighting,1,Demand Category,22,15,One_Hundred Year GWP Direct and Indirect Allocated to Demands,104,,False
Demand\Residential\Projections\Lighting,1,Demand Category,22,16,One_Hundred Year GWP Indirect Allocated to Demands,105,,False
Demand\Residential\Projections\Lighting,1,Demand Category,22,17,Gross Energy Consumption,125,,False
Demand\Residential\Projections\Lighting,1,Demand Category,22,18,One_Hundred Year GWP Direct At Point of Emissions,41,,False
Demand\Residential\Projections\Lighting,1,Demand Category,22,19,Twenty Year GWP Direct At Point of Emissions,20,,False
Demand\Residential\Projections\Lighting,1,Demand Category,22,20,Five_Hundred Year GWP Direct At Point of Emissions,21,,False
Demand\Residential\Projections\Lighting,1,Demand Category,22,21,Pollutant Loadings,40,,False
Demand\Residential\Projections\Lighting,1,Demand Category,22,22,Social Costs,5,,False
Demand\Residential\Projections\Lighting\Electricity,1,Demand Category,23,1,Demand Cost,776,,False
Demand\Residential\Projections\Lighting\Electricity,1,Demand Category,23,2,Total Final Energy Consumption,1669,,False
Demand\Residential\Projections\Lighting\Electricity,1,Demand Category,23,3,Total Activity,1604,,False
Demand\Residential\Projections\Lighting\Electricity,1,Demand Category,23,4,Activity Level,2027,,False
Demand\Residential\Projections\Lighting\Electricity,1,Demand Category,23,5,BulbsPerHH,1543,,False
Demand\Residential\Projections\Lighting\Electricity,1,Demand Category,23,6,LightingHours,1544,,False
Demand\Residential\Projections\Lighting\Electricity,1,Demand Category,23,7,Share_of_Industry,1569,,False
Demand\Residential\Projections\Lighting\Electricity,1,Demand Category,23,8,Final Energy Demand,30,,False
Demand\Residential\Projections\Lighting\Electricity,1,Demand Category,23,9,Useful Energy Demand,31,,False
Demand\Residential\Projections\Lighting\Electricity,1,Demand Category,23,10,Demand Coproduction,33,,False
Demand\Residential\Projections\Lighting\Electricity,1,Demand Category,23,11,Primary Energy Requirements Allocated to Demands,35,,False
Demand\Residential\Projections\Lighting\Electricity,1,Demand Category,23,12,Demand Devices,63,,False
Demand\Residential\Projections\Lighting\Electricity,1,Demand Category,23,13,Investment Costs,103,,False
