ams,branch,variable,expression,unit,fuel,source,note,src_csv,data_confidence,scenario
Brunei,Demand\Residential\Projections\Lighting\Electricity\CFL,Activity Level,"Interp(2025, 10, 2026, 9.6391, 2027, 9.1875, 2028, 8.6344, 2029, 7.9751, 2030, 7.214, 2031, 6.3671, 2032, 5.4625, 2033, 4.5375, 2034, 3.6329, 2035, 2.786, 2036, 2.0249, 2037, 1.3656, 2038, 0.8125, 2039, 0.3609, 2040, 0, 2041, 0, 2042, 0, 2043, 0, 2044, 0, 2045, 0, 2046, 0, 2047, 0, 2048, 0, 2049, 0, 2050, 0, 2051, 0, 2052, 0, 2053, 0, 2054, 0, 2055, 0, 2056, 0, 2057, 0, 2058, 0, 2059, 0, 2060, 0)",Percent,,Residential team handover 2026-05-21,"tech share within electricity-lit households, scenario=AMS Target Scenario",lighting_tech_shares.csv,Medium,AMS Target Scenario
Brunei,Demand\Residential\Projections\Lighting\Electricity\Fluorescent,Activity Level,"Interp(2025, 10, 2026, 9.6391, 2027, 9.1875, 2028, 8.6344, 2029, 7.9751, 2030, 7.214, 2031, 6.3671, 2032, 5.4625, 2033, 4.5375, 2034, 3.6329, 2035, 2.786, 2036, 2.0249, 2037, 1.3656, 2038, 0.8125, 2039, 0.3609, 2040, 0, 2041, 0, 2042, 0, 2043, 0, 2044, 0, 2045, 0, 2046, 0, 2047, 0, 2048, 0, 2049, 0, 2050, 0, 2051, 0, 2052, 0, 2053, 0, 2054, 0, 2055, 0, 2056, 0, 2057, 0, 2058, 0, 2059, 0, 2060, 0)",Percent,,Residential team handover 2026-05-21,"tech share within electricity-lit households, scenario=AMS Target Scenario",lighting_tech_shares.csv,Medium,AMS Target Scenario
Brunei,Demand\Residential\Projections\Lighting\Electricity\Halogen,Activity Level,"Interp(2025, 4, 2026, 3.8557, 2027, 3.675, 2028, 3.4537, 2029, 3.19, 2030, 2.8856, 2031, 2.5468, 2032, 2.185, 2033, 1.815, 2034, 1.4532, 2035, 1.1144, 2036, 0.81, 2037, 0.5463, 2038, 0.325, 2039, 0.1443, 2040, 0, 2041, 0, 2042, 0, 2043, 0, 2044, 0, 2045, 0, 2046, 0, 2047, 0, 2048, 0, 2049, 0, 2050, 0, 2051, 0, 2052, 0, 2053, 0, 2054, 0, 2055, 0, 2056, 0, 2057, 0, 2058, 0, 2059, 0, 2060, 0)",Percent,,Residential team handover 2026-05-21,"tech share within electricity-lit households, scenario=AMS Target Scenario",lighting_tech_shares.csv,Medium,AMS Target Scenario
Brunei,Demand\Residential\Projections\Lighting\Electricity\Incandescent,Activity Level,"Interp(2025, 4, 2026, 3.8557, 2027, 3.675, 2028, 3.4537, 2029, 3.19, 2030, 2.8856, 2031, 2.5468, 2032, 2.185, 2033, 1.815, 2034, 1.4532, 2035, 1.1144, 2036, 0.81, 2037, 0.5463, 2038, 0.325, 2039, 0.1443, 2040, 0, 2041, 0, 2042, 0, 2043, 0, 2044, 0, 2045, 0, 2046, 0, 2047, 0, 2048, 0, 2049, 0, 2050, 0, 2051, 0, 2052, 0, 2053, 0, 2054, 0, 2055, 0, 2056, 0, 2057, 0, 2058, 0, 2059, 0, 2060, 0)",Percent,,Residential team handover 2026-05-21,"tech share within electricity-lit households, scenario=AMS Target Scenario",lighting_tech_shares.csv,Medium,AMS Target Scenario
Brunei,Demand\Residential\Projections\Lighting\Electricity\LED,Activity Level,"Interp(2025, 72, 2026, 73.0104, 2027, 74.2751, 2028, 75.8238, 2029, 77.6697, 2030, 79.8008, 2031, 82.1721, 2032, 84.705, 2033, 87.295, 2034, 89.8279, 2035, 92.1992, 2036, 94.3303, 2037, 96.1762, 2038, 97.7249, 2039, 98.9896, 2040, 100, 2041, 100, 2042, 100, 2043, 100, 2044, 100, 2045, 100, 2046, 100, 2047, 100, 2048, 100, 2049, 100, 2050, 100, 2051, 100, 2052, 100, 2053, 100, 2054, 100, 2055, 100, 2056, 100, 2057, 100, 2058, 100, 2059, 100, 2060, 100)",Percent,,Residential team handover 2026-05-21,"tech share within electricity-lit households, scenario=AMS Target Scenario",lighting_tech_shares.csv,Medium,AMS Target Scenario
Brunei,Demand\Residential\Projections\Lighting\Electricity\CFL,Activity Level,"Interp(2025, 10, 2026, 10, 2027, 10, 2028, 10, 2029, 10, 2030, 10, 2031, 10, 2032, 10, 2033, 10, 2034, 10, 2035, 10, 2036, 10, 2037, 10, 2038, 10, 2039, 10, 2040, 10, 2041, 10, 2042, 10, 2043, 10, 2044, 10, 2045, 10, 2046, 10, 2047, 10, 2048, 10, 2049, 10, 2050, 10, 2051, 10, 2052, 10, 2053, 10, 2054, 10, 2055, 10, 2056, 10, 2057, 10, 2058, 10, 2059, 10, 2060, 10)",Percent,,Residential team handover 2026-05-21,"tech share within electricity-lit households, scenario=Baseline Simulation",lighting_tech_shares.csv,Medium,Baseline Simulation
Brunei,Demand\Residential\Projections\Lighting\Electricity\Fluorescent,Activity Level,"Interp(2025, 10, 2026, 10, 2027, 10, 2028, 10, 2029, 10, 2030, 10, 2031, 10, 2032, 10, 2033, 10, 2034, 10, 2035, 10, 2036, 10, 2037, 10, 2038, 10, 2039, 10, 2040, 10, 2041, 10, 2042, 10, 2043, 10, 2044, 10, 2045, 10, 2046, 10, 2047, 10, 2048, 10, 2049, 10, 2050, 10, 2051, 10, 2052, 10, 2053, 10, 2054, 10, 2055, 10, 2056, 10, 2057, 10, 2058, 10, 2059, 10, 2060, 10)",Percent,,Residential team handover 2026-05-21,"tech share within electricity-lit households, scenario=Baseline Simulation",lighting_tech_shares.csv,Medium,Baseline Simulation
Brunei,Demand\Residential\Projections\Lighting\Electricity\Halogen,Activity Level,"Interp(2025, 4, 2026, 4, 2027, 4, 2028, 4, 2029, 4, 2030, 4, 2031, 4, 2032, 4, 2033, 4, 2034, 4, 2035, 4, 2036, 4, 2037, 4, 2038, 4, 2039, 4, 2040, 4, 2041, 4, 2042, 4, 2043, 4, 2044, 4, 2045, 4, 2046, 4, 2047, 4, 2048, 4, 2049, 4, 2050, 4, 2051, 4, 2052, 4, 2053, 4, 2054, 4, 2055, 4, 2056, 4, 2057, 4, 2058, 4, 2059, 4, 2060, 4)",Percent,,Residential team handover 2026-05-21,"tech share within electricity-lit households, scenario=Baseline Simulation",lighting_tech_shares.csv,Medium,Baseline Simulation
Brunei,Demand\Residential\Projections\Lighting\Electricity\Incandescent,Activity Level,"Interp(2025, 4, 2026, 4, 2027, 4, 2028, 4, 2029, 4, 2030, 4, 2031, 4, 2032, 4, 2033, 4, 2034, 4, 2035, 4, 2036, 4, 2037, 4, 2038, 4, 2039, 4, 2040, 4, 2041, 4, 2042, 4, 2043, 4, 2044, 4, 2045, 4, 2046, 4, 2047, 4, 2048, 4, 2049, 4, 2050, 4, 2051, 4, 2052, 4, 2053, 4, 2054, 4, 2055, 4, 2056, 4, 2057, 4, 2058, 4, 2059, 4, 2060, 4)",Percent,,Residential team handover 2026-05-21,"tech share within electricity-lit households, scenario=Baseline Simulation",lighting_tech_shares.csv,Medium,Baseline Simulation
Brunei,Demand\Residential\Projections\Lighting\Electricity\LED,Activity Level,"Interp(2025, 72, 2026, 72, 2027, 72, 2028, 72, 2029, 72, 2030, 72, 2031, 72, 2032, 72, 2033, 72, 2034, 72, 2035, 72, 2036, 72, 2037, 72, 2038, 72, 2039, 72, 2040, 72, 2041, 72, 2042, 72, 2043, 72, 2044, 72, 2045, 72, 2046, 72, 2047, 72, 2048, 72, 2049, 72, 2050, 72, 2051, 72, 2052, 72, 2053, 72, 2054, 72, 2055, 72, 2056, 72, 2057, 72, 2058, 72, 2059, 72, 2060, 72)",Percent,,Residential team handover 2026-05-21,"tech share within electricity-lit households, scenario=Baseline Simulation",lighting_tech_shares.csv,Medium,Baseline Simulation
