Country,ISO3,Year,vehicle_type,sales_count,source_method
Brunei Darussalam,BRN,2005,2W,0.0,observed
Brunei Darussalam,BRN,2006,2W,267.2494754356253,observed
Brunei Darussalam,BRN,2007,2W,266.373087171899,observed
Brunei Darussalam,BRN,2008,2W,265.69290215442334,observed
Brunei Darussalam,BRN,2009,2W,265.0758470134256,observed
Brunei Darussalam,BRN,2010,2W,265.1215843176833,observed
Brunei Darussalam,BRN,2011,2W,262.8479514431174,observed
Brunei Darussalam,BRN,2012,2W,259.8533294622593,observed
Brunei Darussalam,BRN,2013,2W,259.0880430021225,observed
Brunei Darussalam,BRN,2014,2W,253.79612702544364,observed
Brunei Darussalam,BRN,2015,2W,241.56336646407223,observed
Brunei Darussalam,BRN,2016,2W,245.73811746988625,observed
Brunei Darussalam,BRN,2017,2W,244.7838489244641,observed
Brunei Darussalam,BRN,2018,2W,243.9576977345082,observed
Brunei Darussalam,BRN,2019,2W,246.50183381039324,observed
Brunei Darussalam,BRN,2020,2W,247.73150446564748,observed
Brunei Darussalam,BRN,2021,2W,251.92476704716458,observed
Brunei Darussalam,BRN,2022,2W,256.1801606993354,observed
Brunei Darussalam,BRN,2023,2W,265.96411987915457,observed
Brunei Darussalam,BRN,2024,2W,268.75379098164467,observed
Brunei Darussalam,BRN,2025,2W,270.7423994521155,stock_flow_gompertz
Brunei Darussalam,BRN,2026,2W,272.5876859028172,stock_flow_gompertz
Brunei Darussalam,BRN,2027,2W,277.2520057736565,stock_flow_gompertz
Brunei Darussalam,BRN,2028,2W,276.6406467122438,stock_flow_gompertz
Brunei Darussalam,BRN,2029,2W,275.3197014055263,stock_flow_gompertz
Brunei Darussalam,BRN,2030,2W,273.825332351621,stock_flow_gompertz
Brunei Darussalam,BRN,2031,2W,272.4484941217879,stock_flow_gompertz
Brunei Darussalam,BRN,2032,2W,271.11323492712336,stock_flow_gompertz
Brunei Darussalam,BRN,2033,2W,270.90244461629345,stock_flow_gompertz
Brunei Darussalam,BRN,2034,2W,270.72933882883945,stock_flow_gompertz
Brunei Darussalam,BRN,2035,2W,271.2976923224678,stock_flow_gompertz
Brunei Darussalam,BRN,2036,2W,272.23243329753586,stock_flow_gompertz
Brunei Darussalam,BRN,2037,2W,273.7394519304703,stock_flow_gompertz
Brunei Darussalam,BRN,2038,2W,275.234187807971,stock_flow_gompertz
Brunei Darussalam,BRN,2039,2W,276.5325275672931,stock_flow_gompertz
Brunei Darussalam,BRN,2040,2W,277.81193130460224,stock_flow_gompertz
Brunei Darussalam,BRN,2041,2W,278.56877414260407,stock_flow_gompertz
Brunei Darussalam,BRN,2042,2W,279.12812100312976,stock_flow_gompertz
Brunei Darussalam,BRN,2043,2W,279.1420744159868,stock_flow_gompertz
Brunei Darussalam,BRN,2044,2W,278.7759343025814,stock_flow_gompertz
Brunei Darussalam,BRN,2045,2W,277.7671662939788,stock_flow_gompertz
Brunei Darussalam,BRN,2046,2W,276.6699889480342,stock_flow_gompertz
Brunei Darussalam,BRN,2047,2W,275.4483115288172,stock_flow_gompertz
Brunei Darussalam,BRN,2048,2W,274.41271771369657,stock_flow_gompertz
Brunei Darussalam,BRN,2049,2W,273.2307967118704,stock_flow_gompertz
Brunei Darussalam,BRN,2050,2W,272.12234458554576,stock_flow_gompertz
Brunei Darussalam,BRN,2051,2W,274.5718143083486,stock_flow_gompertz
Brunei Darussalam,BRN,2052,2W,275.14854407115627,stock_flow_gompertz
Brunei Darussalam,BRN,2053,2W,275.7868339229135,stock_flow_gompertz
Brunei Darussalam,BRN,2054,2W,276.42808156289584,stock_flow_gompertz
Brunei Darussalam,BRN,2055,2W,276.9775861116036,stock_flow_gompertz
Brunei Darussalam,BRN,2056,2W,277.39432580813354,stock_flow_gompertz
Brunei Darussalam,BRN,2057,2W,277.63760870939313,stock_flow_gompertz
Brunei Darussalam,BRN,2058,2W,277.68549880630144,stock_flow_gompertz
Brunei Darussalam,BRN,2059,2W,277.52515818447364,stock_flow_gompertz
Brunei Darussalam,BRN,2060,2W,277.2332630824044,stock_flow_gompertz
Brunei Darussalam,BRN,2005,Bus,0.0,observed
Brunei Darussalam,BRN,2006,Bus,176.84649619527227,observed
Brunei Darussalam,BRN,2007,Bus,142.78562458776742,observed
Brunei Darussalam,BRN,2008,Bus,124.43355384368806,observed
Brunei Darussalam,BRN,2009,Bus,125.40251254517966,observed
Brunei Darussalam,BRN,2010,Bus,164.49960372747546,observed
Brunei Darussalam,BRN,2011,Bus,175.45411926146517,observed
