Country,ISO3,vehicle_type,fuel_type,Year,sales_count,sales_total_year,share_percent,provenance_note
Brunei Darussalam,BRN,2W,Electric,2024,7.0,181.0,3.867403314917127,Land Transport Dept BRN; tiny 2W fleet; Tier A
Brunei Darussalam,BRN,2W,Gasoline,2024,174.0,181.0,96.13259668508287,Land Transport Dept BRN; tiny 2W fleet; Tier A
Brunei Darussalam,BRN,Bus,Electric,2024,7.0,61.0,11.475409836065571,Land Transport Dept BRN; tiny bus fleet; Tier A
Brunei Darussalam,BRN,Bus,HybridDiesel,2024,54.0,61.0,88.52459016393442,Land Transport Dept BRN; tiny bus fleet; Tier A
Brunei Darussalam,BRN,LDV,Electric,2024,7.0,6595.0,0.1061410159211523,"Land Transport Dept BRN; small fleet, disciplined registration; Tier A"
Brunei Darussalam,BRN,LDV,Gasoline,2024,6409.0,6595.0,97.17968157695223,"Land Transport Dept BRN; small fleet, disciplined registration; Tier A"
Brunei Darussalam,BRN,LDV,HybridDiesel,2024,179.0,6595.0,2.714177407126611,"Land Transport Dept BRN; small fleet, disciplined registration; Tier A"
Brunei Darussalam,BRN,Truck,Electric,2024,7.0,306.0,2.287581699346405,Land Transport Dept BRN; small commercial fleet; Tier A
Brunei Darussalam,BRN,Truck,HybridDiesel,2024,299.0,306.0,97.7124183006536,Land Transport Dept BRN; small commercial fleet; Tier A
Cambodia,KHM,2W,Electric,2024,7.0,421469.0,0.0016608576194215,MPWT Cambodia; Tier B
Cambodia,KHM,2W,Gasoline,2024,399183.0,421469.0,94.71230387051006,MPWT Cambodia; Tier B
Cambodia,KHM,2W,NaturalGas,2024,22279.0,421469.0,5.286035271870529,MPWT Cambodia; Tier B
Cambodia,KHM,Bus,Electric,2024,7.0,2405.0,0.2910602910602911,MPWT Cambodia; Tier B
Cambodia,KHM,Bus,Gasoline,2024,120.0,2405.0,4.98960498960499,MPWT Cambodia; Tier B
Cambodia,KHM,Bus,HybridDiesel,2024,2278.0,2405.0,94.71933471933473,MPWT Cambodia; Tier B
Cambodia,KHM,Bus,NaturalGas,2024,0.0,2405.0,0.0,MPWT Cambodia; Tier B
Cambodia,KHM,LDV,Electric,2024,780.0,12221.0,6.382456427460928,MPWT Cambodia; Tier B; used-import dominated
Cambodia,KHM,LDV,Gasoline,2024,6586.0,12221.0,53.890843629817525,MPWT Cambodia; Tier B; used-import dominated
Cambodia,KHM,LDV,HybridDiesel,2024,3450.0,12221.0,28.23009573684641,MPWT Cambodia; Tier B; used-import dominated
Cambodia,KHM,LDV,NaturalGas,2024,1405.0,12221.0,11.496604205875132,MPWT Cambodia; Tier B; used-import dominated
Cambodia,KHM,Truck,HybridDiesel,2024,6937.0,6937.0,100.0,MPWT Cambodia; Tier B
Cambodia,KHM,Truck,NaturalGas,2024,0.0,6937.0,0.0,MPWT Cambodia; Tier B
Indonesia,IDN,2W,Electric,2024,81082.23,6569274.54,1.234264598111925,AISI wholesales; Tier A
Indonesia,IDN,2W,Gasoline,2024,6488192.31,6569274.54,98.76573540188808,AISI wholesales; Tier A
Indonesia,IDN,Bus,Electric,2024,200.0,9087.0,2.2009464069549907,GAIKINDO commercial-vehicle (bus segment); Tier A
Indonesia,IDN,Bus,HybridDiesel,2024,8281.0,9087.0,91.1301859799714,GAIKINDO commercial-vehicle (bus segment); Tier A
