Country,vehicle_type,mileage_km_per_year,confidence,observed_year,source,source_url,leap_default_km_per_year
Brunei Darussalam,2W,8593.0,socioecon_predicted,2020,"socioecon-fit v2 pooled (n_train=5, R2=0.77, LOO_RMSE_log=0.295); train countries: India,Indonesia,Malaysia,Singapore,Viet Nam",Transport/Analysis/mileage_sanity_socioecon_fit.py,28680
Brunei Darussalam,Bus,20907.0,hdv_socioecon_predicted,2020,"hdv-socioecon-fit (n_train=8 = 2 ASEAN + 6 peers; R2=0.15, LOO_RMSE_log=0.552)",Transport/Analysis/mileage_sanity_hdv_fit.py,32190
Brunei Darussalam,LDV,16052.0,socioecon_predicted,2020,"socioecon-fit v2 pooled (n_train=13, R2=0.07, LOO_RMSE_log=0.244); train countries: China,France,Germany,India,Indonesia,Japan,Malaysia,New Zealand,Philippines,Singapore,United Kingdom,United States,Viet Nam",Transport/Analysis/mileage_sanity_socioecon_fit.py,32560
Brunei Darussalam,Truck,28451.0,hdv_socioecon_predicted,2020,"hdv-socioecon-fit (n_train=9 = 4 ASEAN + 5 peers; R2=0.40, LOO_RMSE_log=0.922)",Transport/Analysis/mileage_sanity_hdv_fit.py,24140
Cambodia,2W,9384.0,socioecon_predicted,2020,"socioecon-fit v2 pooled (n_train=5, R2=0.77, LOO_RMSE_log=0.295); train countries: India,Indonesia,Malaysia,Singapore,Viet Nam",Transport/Analysis/mileage_sanity_socioecon_fit.py,28680
Cambodia,Bus,16528.0,hdv_socioecon_predicted,2020,"hdv-socioecon-fit (n_train=8 = 2 ASEAN + 6 peers; R2=0.15, LOO_RMSE_log=0.552)",Transport/Analysis/mileage_sanity_hdv_fit.py,32190
Cambodia,LDV,13711.0,socioecon_predicted,2020,"socioecon-fit v2 pooled (n_train=13, R2=0.07, LOO_RMSE_log=0.244); train countries: China,France,Germany,India,Indonesia,Japan,Malaysia,New Zealand,Philippines,Singapore,United Kingdom,United States,Viet Nam",Transport/Analysis/mileage_sanity_socioecon_fit.py,32560
Cambodia,Truck,83109.0,hdv_socioecon_predicted,2020,"hdv-socioecon-fit (n_train=9 = 4 ASEAN + 5 peers; R2=0.40, LOO_RMSE_log=0.922)",Transport/Analysis/mileage_sanity_hdv_fit.py,24140
Indonesia,2W,10800.0,source_confirmed_external,2022,ERIA 2022 RPR No.16 Phase II Table 3.6 Vehicle Kilometre of Travel,https://www.eria.org/uploads/media/Research-Project-Report/RPR-2022-16/Analysis-of-Future-Mobility-Fuel-Scenarios-Phase-II.pdf,28680
Indonesia,Bus,34439.0,hdv_socioecon_predicted,2020,"hdv-socioecon-fit (n_train=8 = 2 ASEAN + 6 peers; R2=0.15, LOO_RMSE_log=0.552)",Transport/Analysis/mileage_sanity_hdv_fit.py,32190
Indonesia,LDV,12723.0,source_confirmed_external,2022,ERIA 2022 RPR No.16 Phase II Table 3.6 Vehicle Kilometre of Travel (Morimoto Gheewala Chollacoop Anbumozhi eds; ERIA Working Group bottom-up energy demand model),https://www.eria.org/uploads/media/Research-Project-Report/RPR-2022-16/Analysis-of-Future-Mobility-Fuel-Scenarios-Phase-II.pdf,32560
Indonesia,Truck,50000.0,source_confirmed_external,2019,GIZ NDC-TIA Truck Fleet Modernization in Indonesia Mitigation Action Outline 2021 p.27 citing Motoris 2019; all-truck average,https://changing-transport.org/wp-content/uploads/2021_IDN_Truck-Modernisation.pdf,24140
Lao PDR,2W,9015.0,socioecon_predicted,2020,"socioecon-fit v2 pooled (n_train=5, R2=0.77, LOO_RMSE_log=0.295); train countries: India,Indonesia,Malaysia,Singapore,Viet Nam",Transport/Analysis/mileage_sanity_socioecon_fit.py,28680
Lao PDR,Bus,34061.0,hdv_socioecon_predicted,2020,"hdv-socioecon-fit (n_train=8 = 2 ASEAN + 6 peers; R2=0.15, LOO_RMSE_log=0.552)",Transport/Analysis/mileage_sanity_hdv_fit.py,32190
