Country,ISO3,Year,vehicle_type,sales_count,source_method
Brunei Darussalam,BRN,2005,2W,157.1649707550959,stock_flow_hist
Brunei Darussalam,BRN,2006,2W,164.89467387020653,stock_flow_hist
Brunei Darussalam,BRN,2007,2W,182.5711667811144,stock_flow_hist
Brunei Darussalam,BRN,2008,2W,200.8172169520249,stock_flow_hist
Brunei Darussalam,BRN,2009,2W,211.30940526716293,stock_flow_hist
Brunei Darussalam,BRN,2010,2W,201.74211024611847,stock_flow_hist
Brunei Darussalam,BRN,2011,2W,168.95852815902632,stock_flow_hist
Brunei Darussalam,BRN,2012,2W,133.84664853638097,stock_flow_hist
Brunei Darussalam,BRN,2013,2W,151.26389686054395,stock_flow_hist
Brunei Darussalam,BRN,2014,2W,176.58709408175616,stock_flow_hist
Brunei Darussalam,BRN,2015,2W,196.2963897482331,stock_flow_hist
Brunei Darussalam,BRN,2016,2W,162.79258513997763,stock_flow_hist
Brunei Darussalam,BRN,2017,2W,147.82542630816417,stock_flow_hist
Brunei Darussalam,BRN,2018,2W,143.41221207474334,stock_flow_hist
Brunei Darussalam,BRN,2019,2W,156.45622989480822,stock_flow_hist
Brunei Darussalam,BRN,2020,2W,163.52105581310238,stock_flow_hist
Brunei Darussalam,BRN,2021,2W,169.71327296212849,stock_flow_hist
Brunei Darussalam,BRN,2022,2W,172.1157808529322,stock_flow_hist
Brunei Darussalam,BRN,2023,2W,173.4036089827156,stock_flow_hist
Brunei Darussalam,BRN,2024,2W,173.48061016435213,stock_flow_hist
Brunei Darussalam,BRN,2025,2W,159.88913510088975,stock_flow_gompertz
Brunei Darussalam,BRN,2026,2W,171.68223322780656,stock_flow_gompertz
Brunei Darussalam,BRN,2027,2W,208.5823161875185,stock_flow_gompertz
Brunei Darussalam,BRN,2028,2W,191.51343682505643,stock_flow_gompertz
Brunei Darussalam,BRN,2029,2W,159.34227967859655,stock_flow_gompertz
Brunei Darussalam,BRN,2030,2W,176.931375617496,stock_flow_gompertz
Brunei Darussalam,BRN,2031,2W,177.40684041173273,stock_flow_gompertz
Brunei Darussalam,BRN,2032,2W,178.05761202357007,stock_flow_gompertz
Brunei Darussalam,BRN,2033,2W,178.82748654495683,stock_flow_gompertz
Brunei Darussalam,BRN,2034,2W,179.62973478700417,stock_flow_gompertz
Brunei Darussalam,BRN,2035,2W,180.39901502273852,stock_flow_gompertz
Brunei Darussalam,BRN,2036,2W,181.08506054456612,stock_flow_gompertz
Brunei Darussalam,BRN,2037,2W,181.65429800620555,stock_flow_gompertz
Brunei Darussalam,BRN,2038,2W,182.0880497475764,stock_flow_gompertz
Brunei Darussalam,BRN,2039,2W,182.39378892475983,stock_flow_gompertz
Brunei Darussalam,BRN,2040,2W,182.56657635307812,stock_flow_gompertz
Brunei Darussalam,BRN,2041,2W,182.62959058064504,stock_flow_gompertz
Brunei Darussalam,BRN,2042,2W,182.6097066447844,stock_flow_gompertz
Brunei Darussalam,BRN,2043,2W,182.524262694539,stock_flow_gompertz
Brunei Darussalam,BRN,2044,2W,182.4046019871952,stock_flow_gompertz
Brunei Darussalam,BRN,2045,2W,182.2443606199037,stock_flow_gompertz
Brunei Darussalam,BRN,2046,2W,182.0430597898066,stock_flow_gompertz
Brunei Darussalam,BRN,2047,2W,181.9770252705724,stock_flow_gompertz
Brunei Darussalam,BRN,2048,2W,181.9411612640876,stock_flow_gompertz
Brunei Darussalam,BRN,2049,2W,181.9306140887153,stock_flow_gompertz
Brunei Darussalam,BRN,2050,2W,181.94893860058835,stock_flow_gompertz
Brunei Darussalam,BRN,2051,2W,181.98846057080112,stock_flow_gompertz
Brunei Darussalam,BRN,2052,2W,182.053134218102,stock_flow_gompertz
Brunei Darussalam,BRN,2053,2W,182.1367406607976,stock_flow_gompertz
Brunei Darussalam,BRN,2054,2W,182.2536295089556,stock_flow_gompertz
Brunei Darussalam,BRN,2055,2W,182.41565681517548,stock_flow_gompertz
Brunei Darussalam,BRN,2056,2W,182.4445688686264,stock_flow_gompertz
Brunei Darussalam,BRN,2057,2W,182.4585361106671,stock_flow_gompertz
Brunei Darussalam,BRN,2058,2W,182.4653481032564,stock_flow_gompertz
