[15:30:29] stage=dry_region | scen=Baseline Simulation 1/4 | region=Philippines 7/10 | row=50/59/59 | rows_written=0 | last_hb=15:29:24 | finished=None
[15:30:59] stage=dry_region | scen=Baseline Simulation 1/4 | region=Philippines 7/10 | row=50/59/59 | rows_written=0 | last_hb=15:29:24 | finished=None
[15:31:29] stage=dry_region | scen=Baseline Simulation 1/4 | region=Philippines 7/10 | row=50/59/59 | rows_written=0 | last_hb=15:29:24 | finished=None
[15:31:41] stage=dry_region | scen=Baseline Simulation 1/4 | region=Philippines 7/10 | row=50/59/59 | rows_written=0 | last_hb=15:29:24 | finished=None
[15:32:41] stage=dry_region | scen=Baseline Simulation 1/4 | region=Singapore 8/10 | row=50/59/59 | rows_written=0 | last_hb=15:32:36 | finished=None
[15:33:41] stage=dry_region | scen=Baseline Simulation 1/4 | region=Singapore 8/10 | row=50/59/59 | rows_written=0 | last_hb=15:32:36 | finished=None
[15:34:41] stage=dry_region | scen=Baseline Simulation 1/4 | region=Singapore 8/10 | row=50/59/59 | rows_written=0 | last_hb=15:32:36 | finished=None
[15:35:41] stage=dry_region | scen=Baseline Simulation 1/4 | region=Thailand 9/10 | row=50/59/63 | rows_written=0 | last_hb=15:35:39 | finished=None
[15:36:41] stage=dry_region | scen=Baseline Simulation 1/4 | region=Thailand 9/10 | row=50/59/63 | rows_written=0 | last_hb=15:35:39 | finished=None
[15:37:41] stage=dry_region | scen=Baseline Simulation 1/4 | region=Thailand 9/10 | row=50/59/63 | rows_written=0 | last_hb=15:35:39 | finished=None
[15:38:41] stage=dry_region | scen=Baseline Simulation 1/4 | region=Vietnam 10/10 | row=50/63/56 | rows_written=0 | last_hb=15:38:38 | finished=None
[15:39:41] stage=dry_region | scen=Baseline Simulation 1/4 | region=Vietnam 10/10 | row=50/63/56 | rows_written=0 | last_hb=15:38:38 | finished=None
[15:40:41] stage=dry_region | scen=Baseline Simulation 1/4 | region=Vietnam 10/10 | row=50/63/56 | rows_written=0 | last_hb=15:38:38 | finished=None
[15:41:41] stage=scenario_start | scen=AMS Target Scenario 2/4 | region=Vietnam 10/10 | row=50/56/56 | rows_written=0 | last_hb=15:41:30 | finished=None
[15:42:41] stage=dry_region | scen=AMS Target Scenario 2/4 | region=Brunei 1/10 | row=50/56/60 | rows_written=0 | last_hb=15:42:08 | finished=None
[15:43:41] stage=dry_region | scen=AMS Target Scenario 2/4 | region=Brunei 1/10 | row=50/56/60 | rows_written=0 | last_hb=15:42:08 | finished=None
[15:44:41] stage=dry_region | scen=AMS Target Scenario 2/4 | region=Brunei 1/10 | row=50/56/60 | rows_written=0 | last_hb=15:42:08 | finished=None
[15:45:41] stage=dry_region | scen=AMS Target Scenario 2/4 | region=Cambodia 2/10 | row=50/60/61 | rows_written=0 | last_hb=15:45:09 | finished=None
[15:46:41] stage=dry_region | scen=AMS Target Scenario 2/4 | region=Cambodia 2/10 | row=50/60/61 | rows_written=0 | last_hb=15:45:09 | finished=None
[15:48:33] stage=scenario_start | scen=Baseline Simulation 1/4 | region=? ? | row=?/? | rows_written=0 | last_hb=15:48:31 | finished=None
[15:49:34] stage=dry_region | scen=Baseline Simulation 1/4 | region=Brunei 1/10 | row=?/60 | rows_written=0 | last_hb=15:49:11 | finished=None
[15:50:34] stage=dry_region | scen=Baseline Simulation 1/4 | region=Brunei 1/10 | row=?/60 | rows_written=0 | last_hb=15:49:11 | finished=None
