branch_path,variable,scenario,region,expression,units,scale,per
Demand\Transport,Demand Cost,AMS Target Scenario,ALL (12 regions),0,2020 USD,,Device
Demand\Transport,Demand Cost,Baseline Simulation,ALL (12 regions),0,2020 USD,,Device
Demand\Transport,Demand Cost,Current Accounts,ALL (12 regions),0,2020 USD,,Device
Demand\Transport,Demand Cost,Regional Aspiration Scenario,ALL (12 regions),0,2020 USD,,Device
Demand\Transport,RefHH,AMS Target Scenario,ALL (12 regions),1,Ref/hh,,
Demand\Transport,RefHH,Baseline Simulation,ALL (12 regions),1,Ref/hh,,
Demand\Transport,RefHH,Current Accounts,ALL (12 regions),1,Ref/hh,,
Demand\Transport,RefHH,Regional Aspiration Scenario,ALL (12 regions),1,Ref/hh,,
Demand\Transport\Domestic Air,Activity Level,AMS Target Scenario,ALL (12 regions),GDP[Million 2021 USD],U.S. Dollar,Million,
Demand\Transport\Domestic Air,Activity Level,Baseline Simulation,ALL (12 regions),GDP[Million 2021 USD],U.S. Dollar,Million,
Demand\Transport\Domestic Air,Activity Level,Current Accounts,ALL (12 regions),GDP[Million 2021 USD],U.S. Dollar,Million,
Demand\Transport\Domestic Air,Activity Level,Regional Aspiration Scenario,ALL (12 regions),GDP[Million 2021 USD],U.S. Dollar,Million,
Demand\Transport\Domestic Air,Demand Cost,AMS Target Scenario,ALL (12 regions),0,2020 USD,,
Demand\Transport\Domestic Air,Demand Cost,Baseline Simulation,ALL (12 regions),0,2020 USD,,
Demand\Transport\Domestic Air,Demand Cost,Current Accounts,ALL (12 regions),0,2020 USD,,
Demand\Transport\Domestic Air,Demand Cost,Regional Aspiration Scenario,ALL (12 regions),0,2020 USD,,
Demand\Transport\Domestic Air,Final Energy Intensity,AMS Target Scenario,ALL (12 regions),Growth(0),Tonnes of Oil Equivalent,,
Demand\Transport\Domestic Air,Final Energy Intensity,Baseline Simulation,ALL (12 regions),Growth(0),Tonnes of Oil Equivalent,,
Demand\Transport\Domestic Air,Final Energy Intensity,Current Accounts,ALL (12 regions),TotalEnergyTran[TOE]/Activity Level[USD],Tonnes of Oil Equivalent,,
Demand\Transport\Domestic Air,Final Energy Intensity,Regional Aspiration Scenario,ALL (12 regions),Growth(0),Tonnes of Oil Equivalent,,
Demand\Transport\Domestic Air,RefHH,AMS Target Scenario,ALL (12 regions),1,Ref/hh,,
Demand\Transport\Domestic Air,RefHH,Baseline Simulation,ALL (12 regions),1,Ref/hh,,
Demand\Transport\Domestic Air,RefHH,Current Accounts,ALL (12 regions),1,Ref/hh,,
Demand\Transport\Domestic Air,RefHH,Regional Aspiration Scenario,ALL (12 regions),1,Ref/hh,,
Demand\Transport\Domestic Air\Aviation Gasoline,Demand Cost,AMS Target Scenario,ALL (12 regions),0,2020 USD,,U.S. Dollar
Demand\Transport\Domestic Air\Aviation Gasoline,Demand Cost,Baseline Simulation,ALL (12 regions),0,2020 USD,,U.S. Dollar
Demand\Transport\Domestic Air\Aviation Gasoline,Demand Cost,Current Accounts,ALL (12 regions),0,2020 USD,,U.S. Dollar
Demand\Transport\Domestic Air\Aviation Gasoline,Demand Cost,Regional Aspiration Scenario,ALL (12 regions),0,2020 USD,,U.S. Dollar
Demand\Transport\Domestic Air\Aviation Gasoline,Final Energy Intensity,AMS Target Scenario,ALL (12 regions),0,Tonnes of Oil Equivalent,,U.S. Dollar
Demand\Transport\Domestic Air\Aviation Gasoline,Final Energy Intensity,Baseline Simulation,ALL (12 regions),0,Tonnes of Oil Equivalent,,U.S. Dollar
Demand\Transport\Domestic Air\Aviation Gasoline,Final Energy Intensity,Current Accounts,ALL (12 regions),0,Tonnes of Oil Equivalent,,U.S. Dollar
Demand\Transport\Domestic Air\Aviation Gasoline,Final Energy Intensity,Regional Aspiration Scenario,ALL (12 regions),0,Tonnes of Oil Equivalent,,U.S. Dollar
Demand\Transport\Domestic Air\Aviation Gasoline,Fuel Share,AMS Target Scenario,Base Template,0,Share,%,
Demand\Transport\Domestic Air\Aviation Gasoline,Fuel Share,AMS Target Scenario,Brunei,0,Share,%,
Demand\Transport\Domestic Air\Aviation Gasoline,Fuel Share,AMS Target Scenario,Cambodia,0,Share,%,
Demand\Transport\Domestic Air\Aviation Gasoline,Fuel Share,AMS Target Scenario,Indonesia,0,Share,%,
Demand\Transport\Domestic Air\Aviation Gasoline,Fuel Share,AMS Target Scenario,Laos,0,Share,%,
Demand\Transport\Domestic Air\Aviation Gasoline,Fuel Share,AMS Target Scenario,Malaysia,0,Share,%,
Demand\Transport\Domestic Air\Aviation Gasoline,Fuel Share,AMS Target Scenario,Myanmar,0,Share,%,
Demand\Transport\Domestic Air\Aviation Gasoline,Fuel Share,AMS Target Scenario,Philippines,Remainder(100),Share,%,
Demand\Transport\Domestic Air\Aviation Gasoline,Fuel Share,AMS Target Scenario,Singapore,0,Share,%,
Demand\Transport\Domestic Air\Aviation Gasoline,Fuel Share,AMS Target Scenario,Thailand,0,Share,%,
Demand\Transport\Domestic Air\Aviation Gasoline,Fuel Share,AMS Target Scenario,Timor Leste,0,Share,%,
Demand\Transport\Domestic Air\Aviation Gasoline,Fuel Share,AMS Target Scenario,Vietnam,0,Share,%,
Demand\Transport\Domestic Air\Aviation Gasoline,Fuel Share,Baseline Simulation,Base Template,0,Share,%,
Demand\Transport\Domestic Air\Aviation Gasoline,Fuel Share,Baseline Simulation,Brunei,0,Share,%,
Demand\Transport\Domestic Air\Aviation Gasoline,Fuel Share,Baseline Simulation,Cambodia,0,Share,%,
Demand\Transport\Domestic Air\Aviation Gasoline,Fuel Share,Baseline Simulation,Indonesia,0,Share,%,
Demand\Transport\Domestic Air\Aviation Gasoline,Fuel Share,Baseline Simulation,Laos,0,Share,%,
Demand\Transport\Domestic Air\Aviation Gasoline,Fuel Share,Baseline Simulation,Malaysia,0,Share,%,
Demand\Transport\Domestic Air\Aviation Gasoline,Fuel Share,Baseline Simulation,Myanmar,0,Share,%,
Demand\Transport\Domestic Air\Aviation Gasoline,Fuel Share,Baseline Simulation,Philippines,Remainder(100),Share,%,
Demand\Transport\Domestic Air\Aviation Gasoline,Fuel Share,Baseline Simulation,Singapore,0,Share,%,
Demand\Transport\Domestic Air\Aviation Gasoline,Fuel Share,Baseline Simulation,Thailand,0,Share,%,
Demand\Transport\Domestic Air\Aviation Gasoline,Fuel Share,Baseline Simulation,Timor Leste,0,Share,%,
Demand\Transport\Domestic Air\Aviation Gasoline,Fuel Share,Baseline Simulation,Vietnam,0,Share,%,
