branch_path,variable,units,scale,per
Key\Annual EI Reduction\Chemical,Activity Level,%,,
Key\Annual EI Reduction\Commercial,Activity Level,%,,
Key\Annual EI Reduction\EI Improvement_RAS,Activity Level,Factor,,
Key\Annual EI Reduction\EI_Improvement_RAS_2,Activity Level,Factor,,
Key\Annual EI Reduction\Food and Beverages,Activity Level,%,,
Key\Annual EI Reduction\FuelEco,Activity Level,%,,
Key\Annual EI Reduction\Industry,Activity Level,%,,
Key\Annual EI Reduction\Iron and Steel,Activity Level,%,,
Key\Annual EI Reduction\Mining,Activity Level,%,,
Key\Annual EI Reduction\Non Metallic Mineral,Activity Level,%,,
Key\Annual EI Reduction\Pulp Paper,Activity Level,%,,
Key\Annual EI Reduction\Residential,Activity Level,Factor,,
Key\Annual EI Reduction\Textile,Activity Level,%,,
Key\Cal\Transport\Biodiesel,Activity Level,Factor,,
Key\Cal\Transport\CNG,Activity Level,Factor,,
Key\Cal\Transport\Diesel,Activity Level,Factor,,
Key\Cal\Transport\Electricity,Activity Level,Factor,,
Key\Cal\Transport\Ethanol,Activity Level,Factor,,
Key\Cal\Transport\Gasoline,Activity Level,Factor,,
Key\Cal\Transport\LPG,Activity Level,Factor,,
Key\Cal\Transport\Natural Gas,Activity Level,Factor,,
Key\Cal\Transport\Other Oil,Activity Level,Factor,,
Key\Cal\Transport\Pandemic Correction,Activity Level,Factor,,
Key\Macroeconomic\Agriculture Fraction in GDP,Activity Level,fraction,,
Key\Macroeconomic\Construction Fraction in Industry,Activity Level,fraction,,
Key\Macroeconomic\Elasticity,Activity Level,fraction,,
Key\Macroeconomic\Gross Fixed Capital Formation,Activity Level,2021 USD,Million,
Key\Macroeconomic\Industry Fraction in GDP,Activity Level,fraction,,
Key\Macroeconomic\Manufacturing Fraction in Industry,Activity Level,fraction,,
Key\Macroeconomic\Mining Fraction in Industry,Activity Level,fraction,,
Key\Macroeconomic\Real GDP Agriculture,Activity Level,2021 USD,Million,
Key\Macroeconomic\Real GDP Industry,Activity Level,2021 USD,Million,
Key\Macroeconomic\Real GDP Manufacturing,Activity Level,2021 USD,Million,
Key\Macroeconomic\Real GDP PPP,Activity Level,2021 USD,Million,
Key\Macroeconomic\Real GDP Per Capita,Activity Level,2021 USD / person,,
Key\Macroeconomic\Real GDP Per Capita_Growth,Activity Level,%,,
Key\Macroeconomic\Real GDP Service,Activity Level,2021 USD,Million,
Key\Macroeconomic\Real GDP Service Per Capita,Activity Level,2021 USD / person,,
Key\Macroeconomic\Services Fraction in GDP,Activity Level,fraction,,
Key\Macroeconomic\Utilities Fraction in Industry,Activity Level,fraction,,
Key\Net Zero Measures\Transport\Aviation\Aviation_efficiency,Activity Level,AGR,,
Key\Net Zero Measures\Transport\Aviation\Electric Taxiing,Activity Level,%,,
Key\Net Zero Measures\Transport\Aviation\Hydrogen Fuel Cell,Activity Level,%,,
Key\Net Zero Measures\Transport\Aviation\Sustainable Aviation Fuel,Activity Level,%,,
Key\Net Zero Measures\Transport\Navigation\Cold ironing\Demand_electricity,Activity Level,MWh,,
Key\Net Zero Measures\Transport\Navigation\Cold ironing\Method,Activity Level,NA,,
Key\Net Zero Measures\Transport\Navigation\Cold ironing\Share_electricity,Activity Level,%,,
Key\Net Zero Measures\Transport\Navigation\Hull coatings,Activity Level,%,,
Key\Net Zero Measures\Transport\Navigation\Kites,Activity Level,%,,
Key\Net Zero Measures\Transport\Navigation\Rudder bulb,Activity Level,%,,
Key\Net Zero Measures\Transport\Road\Electric taxis with automation,Activity Level,Fraction,,
Key\Net Zero Measures\Transport\Road\Fuel_economy improvement,Activity Level,%,,
Key\Other Transport\EV Charging Infrastructure Costs\AC Level 1\CAPEX,Activity Level,2020 USD per charger,,
Key\Other Transport\EV Charging Infrastructure Costs\AC Level 1\Capital_Cost per Year per EV,Activity Level,2020 USD per year charger life per EV,,
Key\Other Transport\EV Charging Infrastructure Costs\AC Level 1\Chargers per EV,Activity Level,chargers per EV,,
Key\Other Transport\EV Charging Infrastructure Costs\AC Level 1\Fixed_OM,Activity Level,2020 USD per charger,,
Key\Other Transport\EV Charging Infrastructure Costs\AC Level 1\Fixed_OM Cost per EV,Activity Level,2020 USD per EV,,
Key\Other Transport\EV Charging Infrastructure Costs\AC Level 1\Installation,Activity Level,2020 USD per charger,,
Key\Other Transport\EV Charging Infrastructure Costs\AC Level 1\Life,Activity Level,years,,
Key\Other Transport\EV Charging Infrastructure Costs\AC Level 2\CAPEX,Activity Level,2020 USD per charger,,
Key\Other Transport\EV Charging Infrastructure Costs\AC Level 2\Capital_Cost per Year per EV,Activity Level,2020 USD per year charger life per EV,,
Key\Other Transport\EV Charging Infrastructure Costs\AC Level 2\Chargers per EV,Activity Level,chargers per EV,,
Key\Other Transport\EV Charging Infrastructure Costs\AC Level 2\Fixed_OM,Activity Level,2020 USD per charger,,
Key\Other Transport\EV Charging Infrastructure Costs\AC Level 2\Fixed_OM Cost per EV,Activity Level,2020 USD per EV,,
Key\Other Transport\EV Charging Infrastructure Costs\AC Level 2\Installation,Activity Level,2020 USD per charger,,
Key\Other Transport\EV Charging Infrastructure Costs\AC Level 2\Life,Activity Level,years,,
Key\Other Transport\EV Charging Infrastructure Costs\Capital_Cost per Year per EV,Activity Level,2020 USD per year charger life per EV,,
Key\Other Transport\EV Charging Infrastructure Costs\DC Fast Charger\CAPEX,Activity Level,2020 USD per charger,,
Key\Other Transport\EV Charging Infrastructure Costs\DC Fast Charger\Capital_Cost per Year per EV,Activity Level,2020 USD per year charger life per EV,,
Key\Other Transport\EV Charging Infrastructure Costs\DC Fast Charger\Chargers per EV,Activity Level,chargers per EV,,
Key\Other Transport\EV Charging Infrastructure Costs\DC Fast Charger\Fixed_OM,Activity Level,2020 USD per charger,,
Key\Other Transport\EV Charging Infrastructure Costs\DC Fast Charger\Fixed_OM Cost per EV,Activity Level,2020 USD per EV,,
Key\Other Transport\EV Charging Infrastructure Costs\DC Fast Charger\Installation,Activity Level,2020 USD per charger,,
Key\Other Transport\EV Charging Infrastructure Costs\DC Fast Charger\Life,Activity Level,years,,
Key\Other Transport\EV Charging Infrastructure Costs\Fixed_OM Cost per EV,Activity Level,2020 USD per EV,,
Key\Transport vehicle data_\Bus\Historical Bus,Activity Level,vehicles,,
Key\Transport vehicle data_\Bus\a,Activity Level,coeff,,
Key\Transport vehicle data_\Bus\b,Activity Level,coeff,,
Key\Transport vehicle data_\Bus\c,Activity Level,coeff,,
Key\Transport vehicle data_\Bus\year_,Activity Level,yr,,
Key\Transport vehicle data_\Freight\Historical Freight,Activity Level,vehicles,,
Key\Transport vehicle data_\Freight\a,Activity Level,coeff,,
Key\Transport vehicle data_\Freight\b,Activity Level,coeff,,
Key\Transport vehicle data_\Freight\c,Activity Level,coeff,,
Key\Transport vehicle data_\Freight\year_,Activity Level,yr,,
Key\Transport vehicle data_\Motorcycle\Historical Motorcycle,Activity Level,vehicles,,
Key\Transport vehicle data_\Motorcycle\a,Activity Level,coeff,,
Key\Transport vehicle data_\Motorcycle\add_year,Activity Level,yr,,
Key\Transport vehicle data_\Motorcycle\b,Activity Level,coeff,,
Key\Transport vehicle data_\Motorcycle\c,Activity Level,coeff,,
Key\Transport vehicle data_\Motorcycle\year_,Activity Level,yr,,
Key\Transport vehicle data_\PPV\Historical PPV,Activity Level,vehicles,,
Key\Transport vehicle data_\PPV\a,Activity Level,coeff,,
Key\Transport vehicle data_\PPV\add_year,Activity Level,yr,,
Key\Transport vehicle data_\PPV\b,Activity Level,coeff,,
Key\Transport vehicle data_\PPV\c,Activity Level,coeff,,
Key\Transport vehicle data_\PPV\year_,Activity Level,yr,,
Key\Transport vehicle data_\Taxi\Historical Taxi,Activity Level,vehicles,,
Key\Transport vehicle data_\Taxi\a,Activity Level,coeff,,
Key\Transport vehicle data_\Taxi\add_year,Activity Level,yr,,
Key\Transport vehicle data_\Taxi\b,Activity Level,coeff,,
Key\Transport vehicle data_\Taxi\c,Activity Level,coeff,,
Key\Transport vehicle data_\Taxi\year_,Activity Level,yr,,
Key\TransportDataStock\BaseYear_StockData\Bus,Activity Level,Vehicle,,
Key\TransportDataStock\BaseYear_StockData\Motorcycle,Activity Level,Vehicle,,
Key\TransportDataStock\BaseYear_StockData\PassengerCar,Activity Level,Vehicle,,
Key\TransportDataStock\BaseYear_StockData\Truck,Activity Level,Vehicle,,
Key\TransportDataStock\Effective Operational_Stock\Bus,Activity Level,Vehicle,,
Key\TransportDataStock\Effective Operational_Stock\Motorcyle,Activity Level,Vehicle,,
Key\TransportDataStock\Effective Operational_Stock\PassengerCar,Activity Level,Vehicle,,
Key\TransportDataStock\Effective Operational_Stock\Truck,Activity Level,Vehicle,,
Key\TransportDataStock\Vehicle_Sales\Bus,Activity Level,Vehicle,,
Key\TransportDataStock\Vehicle_Sales\Motorcycle,Activity Level,Vehicle,,
Key\TransportDataStock\Vehicle_Sales\PassengerCar,Activity Level,Vehicle,,
Key\TransportDataStock\Vehicle_Sales\Truck,Activity Level,Vehicle,,
Key\TransportDataStock\Vehicle_Stock_Share\Bus\Blended Diesel,Activity Level,%,,
Key\TransportDataStock\Vehicle_Stock_Share\Bus\Electricity,Activity Level,%,,
Key\TransportDataStock\Vehicle_Stock_Share\Bus\Gasoline,Activity Level,%,,
Key\TransportDataStock\Vehicle_Stock_Share\Bus\Hydrogen,Activity Level,%,,
Key\TransportDataStock\Vehicle_Stock_Share\Bus\Natural Gas,Activity Level,%,,
Key\TransportDataStock\Vehicle_Stock_Share\Motorcycle\Electricity,Activity Level,%,,
Key\TransportDataStock\Vehicle_Stock_Share\Motorcycle\Gasoline,Activity Level,%,,
Key\TransportDataStock\Vehicle_Stock_Share\PassengerCar\Blended Diesel,Activity Level,%,,
Key\TransportDataStock\Vehicle_Stock_Share\PassengerCar\Electricity,Activity Level,%,,
Key\TransportDataStock\Vehicle_Stock_Share\PassengerCar\Gasoline,Activity Level,%,,
Key\TransportDataStock\Vehicle_Stock_Share\PassengerCar\Hydrogen,Activity Level,%,,
Key\TransportDataStock\Vehicle_Stock_Share\PassengerCar\Natural Gas,Activity Level,%,,
Key\TransportDataStock\Vehicle_Stock_Share\Truck\Blended Diesel,Activity Level,%,,
Key\TransportDataStock\Vehicle_Stock_Share\Truck\Electricity,Activity Level,%,,
Key\TransportDataStock\Vehicle_Stock_Share\Truck\Gasoline,Activity Level,%,,
Key\TransportDataStock\Vehicle_Stock_Share\Truck\Hydrogen,Activity Level,%,,
Key\TransportDataStock\Vehicle_Stock_Share\Truck\Natural Gas,Activity Level,%,,
Key\TransportDataStock\Vehicles_Sales_Share\Bus\Blended Diesel,Activity Level,%,,
Key\TransportDataStock\Vehicles_Sales_Share\Bus\Electricity,Activity Level,%,,
Key\TransportDataStock\Vehicles_Sales_Share\Bus\Gasoline,Activity Level,%,,
Key\TransportDataStock\Vehicles_Sales_Share\Bus\Hydrogen,Activity Level,%,,
Key\TransportDataStock\Vehicles_Sales_Share\Bus\Natural Gas,Activity Level,%,,
Key\TransportDataStock\Vehicles_Sales_Share\Motorcycle\Electricity,Activity Level,%,,
Key\TransportDataStock\Vehicles_Sales_Share\Motorcycle\Gasoline,Activity Level,%,,
Key\TransportDataStock\Vehicles_Sales_Share\PassengerCar\Blended Diesel,Activity Level,%,,
Key\TransportDataStock\Vehicles_Sales_Share\PassengerCar\Electricity,Activity Level,%,,
Key\TransportDataStock\Vehicles_Sales_Share\PassengerCar\Gasoline,Activity Level,%,,
Key\TransportDataStock\Vehicles_Sales_Share\PassengerCar\Hydrogen,Activity Level,%,,
Key\TransportDataStock\Vehicles_Sales_Share\PassengerCar\Natural Gas,Activity Level,%,,
Key\TransportDataStock\Vehicles_Sales_Share\Truck\Blended Diesel,Activity Level,%,,
Key\TransportDataStock\Vehicles_Sales_Share\Truck\Electricity,Activity Level,%,,
Key\TransportDataStock\Vehicles_Sales_Share\Truck\Gasoline,Activity Level,%,,
Key\TransportDataStock\Vehicles_Sales_Share\Truck\Hydrogen,Activity Level,%,,
Key\TransportDataStock\Vehicles_Sales_Share\Truck\Natural Gas,Activity Level,%,,
Key\TransportDataStock\Year_\Age,Activity Level,Year,,
