branch_path,variable,units,scale,per
Demand\Transport,Demand Cost,2020 USD,,Device
Demand\Transport,RefHH,Ref/hh,,
Demand\Transport\Domestic Air,Activity Level,U.S. Dollar,Million,
Demand\Transport\Domestic Air,Demand Cost,2020 USD,,
Demand\Transport\Domestic Air,Final Energy Intensity,Tonnes of Oil Equivalent,,
Demand\Transport\Domestic Air,RefHH,Ref/hh,,
Demand\Transport\Domestic Air\Aviation Gasoline,Demand Cost,2020 USD,,U.S. Dollar
Demand\Transport\Domestic Air\Aviation Gasoline,Final Energy Intensity,Tonnes of Oil Equivalent,,U.S. Dollar
Demand\Transport\Domestic Air\Aviation Gasoline,Fuel Share,Share,%,
Demand\Transport\Domestic Air\Aviation Gasoline,RefHH,Ref/hh,,
Demand\Transport\Domestic Air\Electricity,Demand Cost,2020 USD,,U.S. Dollar
Demand\Transport\Domestic Air\Electricity,Final Energy Intensity,Tonnes of Oil Equivalent,,U.S. Dollar
Demand\Transport\Domestic Air\Electricity,Fuel Share,Share,%,
Demand\Transport\Domestic Air\Electricity,Load Shape,Percent,%,
Demand\Transport\Domestic Air\Electricity,RefHH,Ref/hh,,
Demand\Transport\Domestic Air\Hydrogen Fuel Cell,Demand Cost,2020 USD,,U.S. Dollar
Demand\Transport\Domestic Air\Hydrogen Fuel Cell,Final Energy Intensity,Tonnes of Oil Equivalent,,U.S. Dollar
Demand\Transport\Domestic Air\Hydrogen Fuel Cell,Fuel Share,Share,%,
Demand\Transport\Domestic Air\Hydrogen Fuel Cell,RefHH,Ref/hh,,
Demand\Transport\Domestic Air\Jet Kerosene,Demand Cost,2020 USD,,U.S. Dollar
Demand\Transport\Domestic Air\Jet Kerosene,Final Energy Intensity,Tonnes of Oil Equivalent,,U.S. Dollar
Demand\Transport\Domestic Air\Jet Kerosene,Fuel Share,Share,%,
Demand\Transport\Domestic Air\Jet Kerosene,RefHH,Ref/hh,,
Demand\Transport\Domestic Air\Jet Kerosene,TotalEnergyTran,TOE,Thousand,
Demand\Transport\Domestic Air\Jet Kerosene\Ammonia,Avg Environmental Loading,Kilogramme,,Metric Tonne
Demand\Transport\Domestic Air\Jet Kerosene\Black Carbon,Avg Environmental Loading,Kilogramme,,Metric Tonne
Demand\Transport\Domestic Air\Jet Kerosene\Carbon Dioxide,Avg Environmental Loading,Metric Tonne,,Terajoule
Demand\Transport\Domestic Air\Jet Kerosene\Carbon Monoxide,Avg Environmental Loading,Kilogramme,,Terajoule
Demand\Transport\Domestic Air\Jet Kerosene\Methane,Avg Environmental Loading,Kilogramme,,Terajoule
Demand\Transport\Domestic Air\Jet Kerosene\Nitrogen Oxides,Avg Environmental Loading,Kilogramme,,Terajoule
Demand\Transport\Domestic Air\Jet Kerosene\Nitrous Oxide,Avg Environmental Loading,Kilogramme,,Terajoule
Demand\Transport\Domestic Air\Jet Kerosene\Non Methane Volatile Organic Compounds,Avg Environmental Loading,Kilogramme,,Terajoule
Demand\Transport\Domestic Air\Jet Kerosene\Organic Carbon,Avg Environmental Loading,Kilogramme,,Metric Tonne
Demand\Transport\Domestic Air\Jet Kerosene\Particulates PM10,Avg Environmental Loading,Kilogramme,,Metric Tonne
Demand\Transport\Domestic Air\Jet Kerosene\Particulates PM2pt5,Avg Environmental Loading,Kilogramme,,Metric Tonne
Demand\Transport\Domestic Air\Jet Kerosene\Sulfur Dioxide,Avg Environmental Loading,Kilogramme,,Kilogramme
Demand\Transport\Domestic Air\SAF,Demand Cost,2020 USD,,U.S. Dollar
Demand\Transport\Domestic Air\SAF,Final Energy Intensity,Tonnes of Oil Equivalent,,U.S. Dollar
Demand\Transport\Domestic Air\SAF,Fuel Share,Share,%,
Demand\Transport\Domestic Air\SAF,RefHH,Ref/hh,,
Demand\Transport\Domestic Air\SAF,TotalEnergyTran,TOE,Thousand,
Demand\Transport\Domestic Air\SAF\Ammonia,Avg Environmental Loading,Kilogramme,,Metric Tonne
Demand\Transport\Domestic Air\SAF\Black Carbon,Avg Environmental Loading,Kilogramme,,Metric Tonne
Demand\Transport\Domestic Air\SAF\Carbon Dioxide,Avg Environmental Loading,Metric Tonne,,Terajoule
Demand\Transport\Domestic Air\SAF\Carbon Monoxide,Avg Environmental Loading,Kilogramme,,Terajoule
Demand\Transport\Domestic Air\SAF\Methane,Avg Environmental Loading,Kilogramme,,Terajoule
