country,leap_tech,truth_2024_MW,current_2025_MW,delta_MW,pct_diff
Brunei,Coal IGCC,254.0,254.0,0.0,0.0%
Brunei,Diesel,15.0,0,15.0,100.0%
Brunei,Gas Combined Cycle,366.0,0,366.0,100.0%
Brunei,Gas Turbine,669.43,0,669.43,100.0%
Brunei,Solar PV,6.8,0,6.8,100.0%
Cambodia,Biogas,0,0,0,
Cambodia,Biomass Other,49.0,0,49.0,100.0%
Cambodia,Coal Subcritical,1300.0,0,1300.0,100.0%
Cambodia,Coal Supercritical,0,0,0,
Cambodia,Coal Ultrasupercritical,0,0,0,
Cambodia,Diesel,0.0,0,0.0,
Cambodia,Fuel Oil,400.0,400.0,0.0,0.0%
Cambodia,Large Hydro,1796.0,1796.0,0.0,0.0%
Cambodia,Solar PV,966.0,0,966.0,100.0%
Indonesia,Biogas,157.25,0,157.25,100.0%
Indonesia,Biomass Gasification,0.0,0,0.0,
Indonesia,Biomass Other,2906.36,0,2906.36,100.0%
Indonesia,Coal Subcritical,50929.84,242515.76,-191585.92,-376.2%
Indonesia,Coal Supercritical,3409.0,3409.0,0.0,0.0%
Indonesia,Coal Ultrasupercritical,0.0,0,0.0,
Indonesia,Diesel,5819.28,610.31,5208.97,89.5%
Indonesia,Fuel Oil,0.0,0,0.0,
Indonesia,Gas Combined Cycle,18798.41,5398.0,13400.41,71.3%
Indonesia,Gas Engine,2889.82,4824.31,-1934.49,-66.9%
Indonesia,Gas Turbine,4477.66,6.0,4471.66,99.9%
Indonesia,Geothermal Flash,2638.76,2638.76,0.0,0.0%
Indonesia,Large Hydro,6047.16,6047.16,0.0,0.0%
Indonesia,Small Hydro,1005.31,1005.31,0.0,0.0%
Indonesia,Solar PV,909.43,0,909.43,100.0%
Indonesia,Waste,36.47,36.47,0.0,0.0%
Indonesia,Wind Onshore,152.3,0,152.3,100.0%
Laos,Biogas,0.0,0,0.0,
Laos,Biomass Other,112.0,0,112.0,100.0%
Laos,Coal Subcritical,1878.0,0,1878.0,100.0%
Laos,Coal Supercritical,0.0,0,0.0,
Laos,Coal Ultrasupercritical,0.0,0,0.0,
Laos,Large Hydro,10162.84,9040.0,1122.84,11.0%
Laos,Solar PV,83.0,0,83.0,100.0%
Malaysia,Biogas,81.9,0,81.9,100.0%
Malaysia,Biomass Other,828.1,0,828.1,100.0%
Malaysia,Coal Subcritical,10756.8,0,10756.8,100.0%
Malaysia,Coal Supercritical,0.0,0,0.0,
Malaysia,Coal Ultrasupercritical,3395.3,3395.3,0.0,0.0%
Malaysia,Diesel,648.675,0,648.675,100.0%
Malaysia,Fuel Oil,0.0,0,0.0,
Malaysia,Gas Combined Cycle,15018.509,0,15018.509,100.0%
Malaysia,Large Hydro,6230.0,0,6230.0,100.0%
Malaysia,Solar PV,2310.0,0,2310.0,100.0%
Myanmar,Biogas,0.0,0,0.0,
Myanmar,Biomass Other,0.0,0,0.0,
Myanmar,Coal Subcritical,190.0,0,190.0,100.0%
Myanmar,Coal Supercritical,0.0,0,0.0,
Myanmar,Coal Ultrasupercritical,0.0,0,0.0,
Myanmar,Diesel,180.739,0,180.739,100.0%
Myanmar,Gas Combined Cycle,1033.6,0,1033.6,100.0%
Myanmar,Gas Engine,881.6,0,881.6,100.0%
Myanmar,Gas Turbine,1124.8,0,1124.8,100.0%
Myanmar,Large Hydro,3270.0,3270.0,0.0,0.0%
Myanmar,Small Hydro,37.374,37.37,0.004,0.0%
Myanmar,Solar PV,220.0,0,220.0,100.0%
Myanmar,Wind Onshore,0.0,0,0.0,
Philippines,Biomass Other,595.026,0,595.026,100.0%
Philippines,Coal Subcritical,13006.436,0,13006.436,100.0%
Philippines,Diesel,3448.276,0,3448.276,100.0%
Philippines,Gas Combined Cycle,3731.588,0,3731.588,100.0%
Philippines,Geothermal Flash,1951.739,1952.0,-0.261,-0.0%
Philippines,Large Hydro,3836.027,3836.0,0.027,0.0%
Philippines,Solar PV,2710.166,0,2710.166,100.0%
Philippines,Wind Onshore,426.9,0,426.9,100.0%
Singapore,Biogas,0,0,0,
Singapore,Biomass Other,0,0,0,
Singapore,Coal Subcritical,0,0,0,
Singapore,Coal Supercritical,0,0,0,
Singapore,Coal Ultrasupercritical,0,0,0,
Singapore,Fuel Oil,0,763.6,-763.6,
Singapore,Gas Combined Cycle,0,0,0,
Singapore,Gas Turbine,0,0,0,
Singapore,Large Hydro,0,0,0,
Singapore,Solar PV,0,0,0,
Singapore,Waste,0,393.0,-393.0,
Thailand,Biogas,0,0,0,
Thailand,Biomass Gasification,4350.0,4350.0,0.0,0.0%
Thailand,Biomass Other,0,0,0,
Thailand,Coal Subcritical,6140.0,0,6140.0,100.0%
Thailand,Coal Supercritical,0,0,0,
Thailand,Coal Ultrasupercritical,0,0,0,
Thailand,Diesel,0,0,0,
Thailand,Fuel Oil,0,315.0,-315.0,
Thailand,Gas Combined Cycle,38060.0,0,38060.0,100.0%
Thailand,Geothermal Flash,0,0.3,-0.3,
Thailand,Large Hydro,3130.0,7580.03,-4450.03,-142.2%
Thailand,Pumped Hydro,0,1000.0,-1000.0,
Thailand,Solar PV,3380.0,0,3380.0,100.0%
Thailand,Waste,0,657.36,-657.36,
Thailand,Wind Onshore,1540.0,0,1540.0,100.0%
Vietnam,Biogas,0,0,0,
Vietnam,Biomass Other,439.0,0,439.0,100.0%
Vietnam,Coal Subcritical,28229.0,0,28229.0,100.0%
Vietnam,Coal Supercritical,0,0,0,
Vietnam,Coal Ultrasupercritical,0,0,0,
Vietnam,Diesel,1603.0,0,1603.0,100.0%
Vietnam,Gas Combined Cycle,7422.0,0,7422.0,100.0%
Vietnam,Large Hydro,24190.0,23571.0,619.0,2.6%
Vietnam,Solar PV,16823.0,0,16823.0,100.0%
Vietnam,Wind Onshore,5991.0,0,5991.0,100.0%
