ams,branch,branch_type,variable,year,value,unit,unit_source
Brunei,Transformation\Centralized Electricity Generation,Transformation Module,Costs of Production,2025,32873131.12471681,Thousand U.S. Dollar,inferred
Brunei,Transformation\Centralized Electricity Generation,Transformation Module,Costs of Production,2030,26521855.640712887,Thousand U.S. Dollar,inferred
Brunei,Transformation\Centralized Electricity Generation,Transformation Module,Costs of Production,2035,211424221.06267574,Thousand U.S. Dollar,inferred
Brunei,Transformation\Centralized Electricity Generation,Transformation Module,Costs of Production,2040,1153909729.2523956,Thousand U.S. Dollar,inferred
Brunei,Transformation\Centralized Electricity Generation,Transformation Module,Costs of Production,2045,735826480.2829636,Thousand U.S. Dollar,inferred
Brunei,Transformation\Centralized Electricity Generation,Transformation Module,Costs of Production,2050,544559362.5413836,Thousand U.S. Dollar,inferred
Brunei,Transformation\Centralized Electricity Generation,Transformation Module,Costs of Production,2055,508199963.935871,Thousand U.S. Dollar,inferred
Brunei,Transformation\Centralized Electricity Generation,Transformation Module,Costs of Production,2060,496389601.11368835,Thousand U.S. Dollar,inferred
Brunei,Transformation\Centralized Electricity Generation,Transformation Module,Energy Generation,2025,230350454.96339482,Gigajoule,inferred
Brunei,Transformation\Centralized Electricity Generation,Transformation Module,Energy Generation,2030,224586878.49431533,Gigajoule,inferred
Brunei,Transformation\Centralized Electricity Generation,Transformation Module,Energy Generation,2035,227350206.9158542,Gigajoule,inferred
Brunei,Transformation\Centralized Electricity Generation,Transformation Module,Energy Generation,2040,231248460.2506023,Gigajoule,inferred
Brunei,Transformation\Centralized Electricity Generation,Transformation Module,Energy Generation,2045,263567501.00468644,Gigajoule,inferred
Brunei,Transformation\Centralized Electricity Generation,Transformation Module,Energy Generation,2050,36522246.790975,Gigajoule,inferred
Brunei,Transformation\Centralized Electricity Generation,Transformation Module,Energy Generation,2055,36363553.95438794,Gigajoule,inferred
Brunei,Transformation\Centralized Electricity Generation,Transformation Module,Energy Generation,2060,43086453.38232557,Gigajoule,inferred
Brunei,Transformation\Centralized Electricity Generation,Transformation Module,Power Generation,2025,1659820731.7776086,Megawatt,inferred
Brunei,Transformation\Centralized Electricity Generation,Transformation Module,Power Generation,2030,1679427798.050552,Megawatt,inferred
Brunei,Transformation\Centralized Electricity Generation,Transformation Module,Power Generation,2035,1705827285.8109047,Megawatt,inferred
Brunei,Transformation\Centralized Electricity Generation,Transformation Module,Power Generation,2040,1793315708.7038195,Megawatt,inferred
Brunei,Transformation\Centralized Electricity Generation,Transformation Module,Power Generation,2045,1800522813.235787,Megawatt,inferred
Brunei,Transformation\Centralized Electricity Generation,Transformation Module,Power Generation,2050,29270819.392241497,Megawatt,inferred
Brunei,Transformation\Centralized Electricity Generation,Transformation Module,Power Generation,2055,36725122.58904464,Megawatt,inferred
Brunei,Transformation\Centralized Electricity Generation,Transformation Module,Power Generation,2060,41992768.76389109,Megawatt,inferred
Brunei,Transformation\Centralized Electricity Generation,Transformation Module,Curtailed Energy Production,2025,1694009134.780139,Gigajoule,inferred
Brunei,Transformation\Centralized Electricity Generation,Transformation Module,Curtailed Energy Production,2030,1707678992.8505692,Gigajoule,inferred
Brunei,Transformation\Centralized Electricity Generation,Transformation Module,Curtailed Energy Production,2035,1724749700.4325445,Gigajoule,inferred
Brunei,Transformation\Centralized Electricity Generation,Transformation Module,Curtailed Energy Production,2040,1941740484.6989818,Gigajoule,inferred
Brunei,Transformation\Centralized Electricity Generation,Transformation Module,Curtailed Energy Production,2045,1860920554.2755573,Gigajoule,inferred
Brunei,Transformation\Centralized Electricity Generation,Transformation Module,Curtailed Energy Production,2050,79434732.91511017,Gigajoule,inferred
Brunei,Transformation\Centralized Electricity Generation,Transformation Module,Curtailed Energy Production,2055,104066466.27000605,Gigajoule,inferred
Brunei,Transformation\Centralized Electricity Generation,Transformation Module,Curtailed Energy Production,2060,114613891.15552174,Gigajoule,inferred
Brunei,Transformation\Centralized Electricity Generation,Transformation Module,Pollutant Loadings,2025,-4593767565.157986,Metric Tonne CO2 Equivalent,inferred
Brunei,Transformation\Centralized Electricity Generation,Transformation Module,Pollutant Loadings,2030,-4170949219.200986,Metric Tonne CO2 Equivalent,inferred
Brunei,Transformation\Centralized Electricity Generation,Transformation Module,Pollutant Loadings,2035,-4054527847.3891764,Metric Tonne CO2 Equivalent,inferred
Brunei,Transformation\Centralized Electricity Generation,Transformation Module,Pollutant Loadings,2040,-3926076331.7403364,Metric Tonne CO2 Equivalent,inferred
Brunei,Transformation\Centralized Electricity Generation,Transformation Module,Pollutant Loadings,2045,1949763827.0498357,Metric Tonne CO2 Equivalent,inferred
Brunei,Transformation\Centralized Electricity Generation,Transformation Module,Pollutant Loadings,2050,3767004735.3616133,Metric Tonne CO2 Equivalent,inferred
Brunei,Transformation\Centralized Electricity Generation,Transformation Module,Pollutant Loadings,2055,14801480583.547758,Metric Tonne CO2 Equivalent,inferred
Brunei,Transformation\Centralized Electricity Generation,Transformation Module,Pollutant Loadings,2060,11566134397.167358,Metric Tonne CO2 Equivalent,inferred
Brunei,Transformation\Centralized Electricity Generation\Processes\Coal Supercritical,Transformation Process,Costs of Production,2025,5650005.5247168,Thousand U.S. Dollar,inferred
Brunei,Transformation\Centralized Electricity Generation\Processes\Coal Supercritical,Transformation Process,Costs of Production,2030,6333473.934964801,Thousand U.S. Dollar,inferred
