ams,branch,branch_type,variable,year,value,unit,unit_source
Brunei,Transformation\Centralized Electricity Generation,Transformation Module,Costs of Production,2025,27278942.186836928,Thousand U.S. Dollar,inferred
Brunei,Transformation\Centralized Electricity Generation,Transformation Module,Costs of Production,2030,48191727.20293985,Thousand U.S. Dollar,inferred
Brunei,Transformation\Centralized Electricity Generation,Transformation Module,Costs of Production,2035,181225228.33443,Thousand U.S. Dollar,inferred
Brunei,Transformation\Centralized Electricity Generation,Transformation Module,Costs of Production,2040,545022581.5261078,Thousand U.S. Dollar,inferred
Brunei,Transformation\Centralized Electricity Generation,Transformation Module,Costs of Production,2045,422308051.8644843,Thousand U.S. Dollar,inferred
Brunei,Transformation\Centralized Electricity Generation,Transformation Module,Costs of Production,2050,380120151.3850825,Thousand U.S. Dollar,inferred
Brunei,Transformation\Centralized Electricity Generation,Transformation Module,Costs of Production,2055,360517070.6928725,Thousand U.S. Dollar,inferred
Brunei,Transformation\Centralized Electricity Generation,Transformation Module,Costs of Production,2060,355693850.19450957,Thousand U.S. Dollar,inferred
Brunei,Transformation\Centralized Electricity Generation,Transformation Module,Energy Generation,2025,236286693.79372466,Gigajoule,inferred
Brunei,Transformation\Centralized Electricity Generation,Transformation Module,Energy Generation,2030,233465670.3979814,Gigajoule,inferred
Brunei,Transformation\Centralized Electricity Generation,Transformation Module,Energy Generation,2035,235924323.79902402,Gigajoule,inferred
Brunei,Transformation\Centralized Electricity Generation,Transformation Module,Energy Generation,2040,240198738.08654547,Gigajoule,inferred
Brunei,Transformation\Centralized Electricity Generation,Transformation Module,Energy Generation,2045,270979943.8693101,Gigajoule,inferred
Brunei,Transformation\Centralized Electricity Generation,Transformation Module,Energy Generation,2050,43068665.284512885,Gigajoule,inferred
Brunei,Transformation\Centralized Electricity Generation,Transformation Module,Energy Generation,2055,35170422.938095145,Gigajoule,inferred
Brunei,Transformation\Centralized Electricity Generation,Transformation Module,Energy Generation,2060,40006271.1540672,Gigajoule,inferred
Brunei,Transformation\Centralized Electricity Generation,Transformation Module,Power Generation,2025,1663981498.69721,Megawatt,inferred
Brunei,Transformation\Centralized Electricity Generation,Transformation Module,Power Generation,2030,1685276851.6593747,Megawatt,inferred
Brunei,Transformation\Centralized Electricity Generation,Transformation Module,Power Generation,2035,1711473126.5119367,Megawatt,inferred
Brunei,Transformation\Centralized Electricity Generation,Transformation Module,Power Generation,2040,1799169325.3066454,Megawatt,inferred
Brunei,Transformation\Centralized Electricity Generation,Transformation Module,Power Generation,2045,1805357097.9250987,Megawatt,inferred
Brunei,Transformation\Centralized Electricity Generation,Transformation Module,Power Generation,2050,33578840.19483259,Megawatt,inferred
Brunei,Transformation\Centralized Electricity Generation,Transformation Module,Power Generation,2055,36181446.37763884,Megawatt,inferred
Brunei,Transformation\Centralized Electricity Generation,Transformation Module,Power Generation,2060,40191376.816320516,Megawatt,inferred
Brunei,Transformation\Centralized Electricity Generation,Transformation Module,Curtailed Energy Production,2025,1712589010.2165134,Gigajoule,inferred
Brunei,Transformation\Centralized Electricity Generation,Transformation Module,Curtailed Energy Production,2030,1732499314.6094737,Gigajoule,inferred
Brunei,Transformation\Centralized Electricity Generation,Transformation Module,Curtailed Energy Production,2035,1752334730.8959186,Gigajoule,inferred
Brunei,Transformation\Centralized Electricity Generation,Transformation Module,Curtailed Energy Production,2040,1972256622.4270847,Gigajoule,inferred
Brunei,Transformation\Centralized Electricity Generation,Transformation Module,Curtailed Energy Production,2045,1892170288.2717535,Gigajoule,inferred
Brunei,Transformation\Centralized Electricity Generation,Transformation Module,Curtailed Energy Production,2050,86033735.72038181,Gigajoule,inferred
