Country,Year,Size_group,Efficiency_level,device_thousand,source
Brunei Darussalam,2005,Large,High_eff,37.0969,existing_stock
Brunei Darussalam,2006,Large,High_eff,37.713,existing_stock
Brunei Darussalam,2007,Large,High_eff,38.3139,existing_stock
Brunei Darussalam,2008,Large,High_eff,38.9026,existing_stock
Brunei Darussalam,2009,Large,High_eff,39.4832,existing_stock
Brunei Darussalam,2010,Large,High_eff,40.0639,existing_stock
Brunei Darussalam,2011,Large,High_eff,40.6162,existing_stock
Brunei Darussalam,2012,Large,High_eff,41.1342,existing_stock
Brunei Darussalam,2013,Large,High_eff,41.647,existing_stock
Brunei Darussalam,2014,Large,High_eff,42.1488,existing_stock
Brunei Darussalam,2015,Large,High_eff,42.2679,existing_stock
Brunei Darussalam,2016,Large,High_eff,42.1718,existing_stock
Brunei Darussalam,2017,Large,High_eff,42.5965,existing_stock
Brunei Darussalam,2018,Large,High_eff,42.8038,existing_stock
Brunei Darussalam,2019,Large,High_eff,43.7445,existing_stock
Brunei Darussalam,2020,Large,High_eff,44.1119,existing_stock
Brunei Darussalam,2021,Large,High_eff,44.0904,existing_stock
Brunei Darussalam,2022,Large,High_eff,43.8674,existing_stock
Brunei Darussalam,2023,Large,High_eff,44.407,existing_stock
Brunei Darussalam,2024,Large,High_eff,45.3259,existing_stock
Brunei Darussalam,2025,Large,High_eff,46.04,existing_stock
Brunei Darussalam,2026,Large,High_eff,43.2197,retirement_survival
Brunei Darussalam,2027,Large,High_eff,40.3796,retirement_survival
Brunei Darussalam,2028,Large,High_eff,37.5252,retirement_survival
Brunei Darussalam,2029,Large,High_eff,34.6652,retirement_survival
Brunei Darussalam,2030,Large,High_eff,31.8115,retirement_survival
Brunei Darussalam,2031,Large,High_eff,28.9791,retirement_survival
Brunei Darussalam,2032,Large,High_eff,26.1853,retirement_survival
Brunei Darussalam,2033,Large,High_eff,23.4503,retirement_survival
Brunei Darussalam,2034,Large,High_eff,20.7956,retirement_survival
Brunei Darussalam,2035,Large,High_eff,18.2443,retirement_survival
Brunei Darussalam,2036,Large,High_eff,15.8194,retirement_survival
Brunei Darussalam,2037,Large,High_eff,13.543,retirement_survival
Brunei Darussalam,2038,Large,High_eff,11.4352,retirement_survival
Brunei Darussalam,2039,Large,High_eff,9.5125,retirement_survival
Brunei Darussalam,2040,Large,High_eff,7.7872,retirement_survival
Brunei Darussalam,2041,Large,High_eff,6.266,retirement_survival
Brunei Darussalam,2042,Large,High_eff,4.9502,retirement_survival
Brunei Darussalam,2043,Large,High_eff,3.8348,retirement_survival
Brunei Darussalam,2044,Large,High_eff,2.9095,retirement_survival
Brunei Darussalam,2045,Large,High_eff,2.1593,retirement_survival
Brunei Darussalam,2046,Large,High_eff,1.5656,retirement_survival
Brunei Darussalam,2047,Large,High_eff,1.1075,retirement_survival
Brunei Darussalam,2048,Large,High_eff,0.7635,retirement_survival
Brunei Darussalam,2049,Large,High_eff,0.5122,retirement_survival
Brunei Darussalam,2050,Large,High_eff,0.3339,retirement_survival
Brunei Darussalam,2051,Large,High_eff,0.2113,retirement_survival
Brunei Darussalam,2052,Large,High_eff,0.1297,retirement_survival
Brunei Darussalam,2053,Large,High_eff,0.077,retirement_survival
Brunei Darussalam,2054,Large,High_eff,0.0442,retirement_survival
Brunei Darussalam,2055,Large,High_eff,0.0245,retirement_survival
Brunei Darussalam,2056,Large,High_eff,0.0131,retirement_survival
Brunei Darussalam,2057,Large,High_eff,0.0067,retirement_survival
Brunei Darussalam,2058,Large,High_eff,0.0033,retirement_survival
Brunei Darussalam,2059,Large,High_eff,0.0016,retirement_survival
Brunei Darussalam,2060,Large,High_eff,0.0007,retirement_survival
Brunei Darussalam,2005,Large,Low_eff,27.1781,existing_stock
Brunei Darussalam,2006,Large,Low_eff,27.6294,existing_stock
Brunei Darussalam,2007,Large,Low_eff,28.0696,existing_stock
Brunei Darussalam,2008,Large,Low_eff,28.501,existing_stock
Brunei Darussalam,2009,Large,Low_eff,28.9264,existing_stock
