Country,Year,Scenario,Size_group,Efficiency_level,efficiency_pct,useful_energy_intensity_toe,demand_cost_usd_per_hh,kwh_unit,om_electricity_usd,tariff_usd_per_kwh
Brunei Darussalam,2014,ATS,Large,High_eff,49.3074620618078,0.0211432771541045,280.4464523384573,498.7,3.59064,0.0072
Brunei Darussalam,2014,ATS,Large,Low_eff,32.350521418528544,0.0211432771541045,266.85844326937456,760.1,5.47272,0.0072
Brunei Darussalam,2014,ATS,Large,Mid_eff,40.64401872764223,0.0211432771541045,258.61905441967383,605.0,4.356,0.0072
Brunei Darussalam,2014,ATS,Medium,High_eff,49.30746206180781,0.0192862979294207,195.18972534282528,454.9,3.2752799999999995,0.0072
Brunei Darussalam,2014,ATS,Medium,Low_eff,33.79024479047359,0.0192862979294207,182.886502331662,663.8,4.77936,0.0072
Brunei Darussalam,2014,ATS,Medium,Mid_eff,44.73467190250573,0.0192862979294207,166.19824864455632,501.4,3.61008,0.0072
Brunei Darussalam,2014,ATS,Small,High_eff,49.3074620618078,0.0129394990724537,93.17491933085286,305.2,2.19744,0.0072
Brunei Darussalam,2014,ATS,Small,Low_eff,29.01781222765858,0.0129394990724537,55.469241544086856,518.6,3.73392,0.0072
Brunei Darussalam,2014,ATS,Small,Mid_eff,42.57040288900634,0.0129394990724537,72.60437733829495,353.5,2.5452,0.0072
Brunei Darussalam,2015,ATS,Large,High_eff,49.3074620618078,0.0211432771541045,280.4464523384573,498.7,3.59064,0.0072
Brunei Darussalam,2015,ATS,Large,Low_eff,32.350521418528544,0.0211432771541045,266.85844326937456,760.1,5.47272,0.0072
Brunei Darussalam,2015,ATS,Large,Mid_eff,40.64401872764223,0.0211432771541045,258.61905441967383,605.0,4.356,0.0072
Brunei Darussalam,2015,ATS,Medium,High_eff,49.30746206180781,0.0192862979294207,195.18972534282528,454.9,3.2752799999999995,0.0072
Brunei Darussalam,2015,ATS,Medium,Low_eff,33.79024479047359,0.0192862979294207,182.886502331662,663.8,4.77936,0.0072
Brunei Darussalam,2015,ATS,Medium,Mid_eff,44.73467190250573,0.0192862979294207,166.19824864455632,501.4,3.61008,0.0072
Brunei Darussalam,2015,ATS,Small,High_eff,49.3074620618078,0.0129394990724537,93.17491933085286,305.2,2.19744,0.0072
Brunei Darussalam,2015,ATS,Small,Low_eff,29.01781222765858,0.0129394990724537,55.469241544086856,518.6,3.73392,0.0072
Brunei Darussalam,2015,ATS,Small,Mid_eff,42.57040288900634,0.0129394990724537,72.60437733829495,353.5,2.5452,0.0072
Brunei Darussalam,2016,ATS,Large,High_eff,49.3074620618078,0.0211432771541045,280.4464523384573,498.7,3.59064,0.0072
Brunei Darussalam,2016,ATS,Large,Low_eff,32.350521418528544,0.0211432771541045,266.85844326937456,760.1,5.47272,0.0072
Brunei Darussalam,2016,ATS,Large,Mid_eff,40.64401872764223,0.0211432771541045,258.61905441967383,605.0,4.356,0.0072
Brunei Darussalam,2016,ATS,Medium,High_eff,49.30746206180781,0.0192862979294207,195.18972534282528,454.9,3.2752799999999995,0.0072
Brunei Darussalam,2016,ATS,Medium,Low_eff,33.79024479047359,0.0192862979294207,182.886502331662,663.8,4.77936,0.0072
Brunei Darussalam,2016,ATS,Medium,Mid_eff,44.73467190250573,0.0192862979294207,166.19824864455632,501.4,3.61008,0.0072
Brunei Darussalam,2016,ATS,Small,High_eff,49.3074620618078,0.0129394990724537,93.17491933085286,305.2,2.19744,0.0072
Brunei Darussalam,2016,ATS,Small,Low_eff,29.01781222765858,0.0129394990724537,55.469241544086856,518.6,3.73392,0.0072
Brunei Darussalam,2016,ATS,Small,Mid_eff,42.57040288900634,0.0129394990724537,72.60437733829495,353.5,2.5452,0.0072
Brunei Darussalam,2017,ATS,Large,High_eff,49.3074620618078,0.0211432771541045,280.4464523384573,498.7,3.59064,0.0072
Brunei Darussalam,2017,ATS,Large,Low_eff,32.350521418528544,0.0211432771541045,266.85844326937456,760.1,5.47272,0.0072
Brunei Darussalam,2017,ATS,Large,Mid_eff,40.64401872764223,0.0211432771541045,258.61905441967383,605.0,4.356,0.0072
Brunei Darussalam,2017,ATS,Medium,High_eff,49.30746206180781,0.0192862979294207,195.18972534282528,454.9,3.2752799999999995,0.0072
Brunei Darussalam,2017,ATS,Medium,Low_eff,33.79024479047359,0.0192862979294207,182.886502331662,663.8,4.77936,0.0072
Brunei Darussalam,2017,ATS,Medium,Mid_eff,44.73467190250573,0.0192862979294207,166.19824864455632,501.4,3.61008,0.0072
Brunei Darussalam,2017,ATS,Small,High_eff,49.3074620618078,0.0129394990724537,93.17491933085286,305.2,2.19744,0.0072
Brunei Darussalam,2017,ATS,Small,Low_eff,29.01781222765858,0.0129394990724537,55.469241544086856,518.6,3.73392,0.0072
