Country,Year,Size_group,Efficiency_level,device_thousand,source
Brunei Darussalam,2005,Large,High_eff,4.199196440582032,existing_stock
Brunei Darussalam,2006,Large,High_eff,4.403541143876482,existing_stock
Brunei Darussalam,2007,Large,High_eff,4.610971814456405,existing_stock
Brunei Darussalam,2008,Large,High_eff,4.821756797303143,existing_stock
Brunei Darussalam,2009,Large,High_eff,5.0358960924166976,existing_stock
Brunei Darussalam,2010,Large,High_eff,5.254597252213123,existing_stock
Brunei Darussalam,2011,Large,High_eff,5.4737009294815655,existing_stock
Brunei Darussalam,2012,Large,High_eff,5.692133744296645,existing_stock
Brunei Darussalam,2013,Large,High_eff,5.913518353906523,existing_stock
Brunei Darussalam,2014,Large,High_eff,6.136781378385819,existing_stock
Brunei Darussalam,2015,Large,High_eff,6.360581092827804,existing_stock
Brunei Darussalam,2016,Large,High_eff,6.583978289797772,existing_stock
Brunei Darussalam,2017,Large,High_eff,6.806167934351686,existing_stock
Brunei Darussalam,2018,Large,High_eff,7.025808301582819,existing_stock
Brunei Darussalam,2019,Large,High_eff,7.2443752888885715,existing_stock
Brunei Darussalam,2020,Large,High_eff,7.463076448684996,existing_stock
Brunei Darussalam,2021,Large,High_eff,7.682850988406802,existing_stock
Brunei Darussalam,2022,Large,High_eff,7.9039672530353355,existing_stock
Brunei Darussalam,2023,Large,High_eff,8.124681000191849,existing_stock
Brunei Darussalam,2024,Large,High_eff,8.343516332478947,existing_stock
Brunei Darussalam,2025,Large,High_eff,8.560473249896628,existing_stock
Brunei Darussalam,2026,Large,High_eff,7.960453871608522,retirement_survival
Brunei Darussalam,2027,Large,High_eff,7.344333794439698,retirement_survival
Brunei Darussalam,2028,Large,High_eff,6.714393950731591,retirement_survival
Brunei Darussalam,2029,Large,High_eff,6.074256997732361,retirement_survival
Brunei Darussalam,2030,Large,High_eff,5.429558180050263,retirement_survival
Brunei Darussalam,2031,Large,High_eff,4.787811157162961,retirement_survival
Brunei Darussalam,2032,Large,High_eff,4.157871313454854,retirement_survival
Brunei Darussalam,2033,Large,High_eff,3.5496674132357167,retirement_survival
Brunei Darussalam,2034,Large,High_eff,2.9736649107780155,retirement_survival
Brunei Darussalam,2035,Large,High_eff,2.439524225410183,retirement_survival
Brunei Darussalam,2036,Large,High_eff,1.9558323965352675,retirement_survival
Brunei Darussalam,2037,Large,High_eff,1.5292980486869026,retirement_survival
Brunei Darussalam,2038,Large,High_eff,1.1635438391132498,retirement_survival
Brunei Darussalam,2039,Large,High_eff,0.8595089752490171,retirement_survival
Brunei Darussalam,2040,Large,High_eff,0.6150466972434429,retirement_survival
Brunei Darussalam,2041,Large,High_eff,0.42532679543231106,retirement_survival
Brunei Darussalam,2042,Large,High_eff,0.2836406452819892,retirement_survival
Brunei Darussalam,2043,Large,High_eff,0.18180372486144528,retirement_survival
Brunei Darussalam,2044,Large,High_eff,0.11189985722099288,retirement_survival
Brunei Darussalam,2045,Large,High_eff,0.06587869292027278,retirement_survival
Brunei Darussalam,2046,Large,High_eff,0.03703160742565232,retirement_survival
Brunei Darussalam,2047,Large,High_eff,0.019857528619552693,retirement_survival
Brunei Darussalam,2048,Large,High_eff,0.010062936800449,retirement_survival
Brunei Darussalam,2049,Large,High_eff,0.00483020966421552,retirement_survival
Brunei Darussalam,2050,Large,High_eff,0.0021467598507624534,retirement_survival
Brunei Darussalam,2051,Large,High_eff,0.0009392074347085733,retirement_survival
Brunei Darussalam,2052,Large,High_eff,0.00040251747201795995,retirement_survival
Brunei Darussalam,2053,Large,High_eff,0.00013417249067265334,retirement_survival
Brunei Darussalam,2054,Large,High_eff,0.0,retirement_survival
Brunei Darussalam,2055,Large,High_eff,0.0,retirement_survival
Brunei Darussalam,2056,Large,High_eff,0.0,retirement_survival
Brunei Darussalam,2057,Large,High_eff,0.0,retirement_survival
Brunei Darussalam,2058,Large,High_eff,0.0,retirement_survival
Brunei Darussalam,2059,Large,High_eff,0.0,retirement_survival
Brunei Darussalam,2060,Large,High_eff,0.0,retirement_survival
Brunei Darussalam,2005,Large,Low_eff,2.6804980186582683,existing_stock
Brunei Darussalam,2006,Large,Low_eff,2.8109136795920877,existing_stock
