ams,branch,variable,expression,unit,fuel,source,note,src_csv,domain,data_confidence
All 10 AMS,Transformation\Biodiesel Production\Processes\FAME Biodiesel,Capital Cost,"Interp(2025, 3.2422, 2030, 3.0833, 2035, 2.9322, 2040, 2.7885, 2045, 2.6518, 2050, 2.5219, 2055, 2.3983, 2060, 2.2807)",USD/GJ,Biodiesel,processing_cost_anchors.csv + leap_fuel_properties.csv (cost_generator.py),Harmonised across AMS (equipment is globally traded); output_fuel=Biodiesel,Bioenergy/Analysis/cost_numeric_paste.csv,processing_cost,Medium
All 10 AMS,Transformation\Biodiesel Production\Processes\CME Biodiesel,Capital Cost,"Interp(2025, 3.2422, 2030, 3.0833, 2035, 2.9322, 2040, 2.7885, 2045, 2.6518, 2050, 2.5219, 2055, 2.3983, 2060, 2.2807)",USD/GJ,Biodiesel,processing_cost_anchors.csv + leap_fuel_properties.csv (cost_generator.py),Harmonised across AMS (equipment is globally traded); output_fuel=Biodiesel,Bioenergy/Analysis/cost_numeric_paste.csv,processing_cost,Medium
All 10 AMS,Transformation\Biodiesel Production\Processes\POME Biodiesel,Capital Cost,"Interp(2025, 4.4212, 2030, 4.2045, 2035, 3.9985, 2040, 3.8025, 2045, 3.6161, 2050, 3.4389, 2055, 3.2704, 2060, 3.1101)",USD/GJ,Biodiesel,processing_cost_anchors.csv + leap_fuel_properties.csv (cost_generator.py),Harmonised across AMS (equipment is globally traded); output_fuel=Biodiesel,Bioenergy/Analysis/cost_numeric_paste.csv,processing_cost,Medium
All 10 AMS,Transformation\Bioethanol Production\Processes\Sugarcane,Capital Cost,"Interp(2025, 2.9743, 2030, 2.8286, 2035, 2.6899, 2040, 2.5581, 2045, 2.4327, 2050, 2.3135, 2055, 2.2001, 2060, 2.0923)",USD/GJ,Ethanol,processing_cost_anchors.csv + leap_fuel_properties.csv (cost_generator.py),Harmonised across AMS (equipment is globally traded); output_fuel=Ethanol,Bioenergy/Analysis/cost_numeric_paste.csv,processing_cost,Medium
All 10 AMS,Transformation\Bioethanol Production\Processes\Cassava,Capital Cost,"Interp(2025, 5.1933, 2030, 4.9388, 2035, 4.6967, 2040, 4.4665, 2045, 4.2476, 2050, 4.0394, 2055, 3.8415, 2060, 3.6532)",USD/GJ,Ethanol,processing_cost_anchors.csv + leap_fuel_properties.csv (cost_generator.py),Harmonised across AMS (equipment is globally traded); output_fuel=Ethanol,Bioenergy/Analysis/cost_numeric_paste.csv,processing_cost,Medium
All 10 AMS,Transformation\Bioethanol Production\Processes\Molasses,Capital Cost,"Interp(2025, 2.1245, 2030, 2.0204, 2035, 1.9214, 2040, 1.8272, 2045, 1.7377, 2050, 1.6525, 2055, 1.5715, 2060, 1.4945)",USD/GJ,Ethanol,processing_cost_anchors.csv + leap_fuel_properties.csv (cost_generator.py),Harmonised across AMS (equipment is globally traded); output_fuel=Ethanol,Bioenergy/Analysis/cost_numeric_paste.csv,processing_cost,Medium
All 10 AMS,Transformation\Bioethanol Production\Processes\Corn Ethanol,Capital Cost,"Interp(2025, 3.7769, 2030, 3.5918, 2035, 3.4158, 2040, 3.2484, 2045, 3.0892, 2050, 2.9378, 2055, 2.7938, 2060, 2.6569)",USD/GJ,Ethanol,processing_cost_anchors.csv + leap_fuel_properties.csv (cost_generator.py),Harmonised across AMS (equipment is globally traded); output_fuel=Ethanol,Bioenergy/Analysis/cost_numeric_paste.csv,processing_cost,Medium
All 10 AMS,Transformation\Bioethanol Production\Processes\Cellulosic Rice Straw,Capital Cost,"Interp(2025, 9.4423, 2030, 8.1084, 2035, 6.963, 2040, 5.9794, 2045, 5.1347, 2050, 4.4093, 2055, 3.7864, 2060, 3.2515)",USD/GJ,Ethanol,processing_cost_anchors.csv + leap_fuel_properties.csv (cost_generator.py),Harmonised across AMS (equipment is globally traded); output_fuel=Ethanol,Bioenergy/Analysis/cost_numeric_paste.csv,processing_cost,Medium
Brunei,Transformation\Biodiesel Production\Processes\CME Biodiesel,Variable OM Cost,"Interp(2025, 6.7588, 2030, 6.5521, 2035, 6.2363, 2040, 5.9299, 2045, 5.6466, 2050, 5.3808, 2055, 5.1314, 2060, 4.8937)",USD/GJ,Biodiesel,"build_per_ams_vom.py (TH anchor × mfg-wage ratio, labour_share TEA literature)","labour_share=0.18, scaling_2025=1.147 vs Thailand; output_fuel=Biodiesel; source-of-truth: Bioenergy/Analysis/per_ams_vom_panel.csv",Bioenergy/Analysis/per_ams_vom_panel.csv,processing_cost,Medium
Cambodia,Transformation\Biodiesel Production\Processes\CME Biodiesel,Variable OM Cost,"Interp(2025, 5.3394, 2030, 5.1441, 2035, 4.9276, 2040, 4.7251, 2045, 4.5348, 2050, 4.3541, 2055, 4.1835, 2060, 4.0223)",USD/GJ,Biodiesel,"build_per_ams_vom.py (TH anchor × mfg-wage ratio, labour_share TEA literature)","labour_share=0.18, scaling_2025=0.906 vs Thailand; output_fuel=Biodiesel; source-of-truth: Bioenergy/Analysis/per_ams_vom_panel.csv",Bioenergy/Analysis/per_ams_vom_panel.csv,processing_cost,Medium
