ams,branch,variable,expression,unit,fuel,source,note,src_csv,domain,data_confidence
Brunei,Transformation\Biodiesel Production\Processes\FAME Biodiesel,Maximum Capacity,"Add(2025, 0, 2030, 0, 2035, 0, 2040, 0, 2045, 0, 2050, 0, 2055, 0, 2060, 0)",Million Tonnes/yr,Biodiesel,"USDA FAS GAIN Biofuels Annuals 2024 (per-country); national association registers (APROBI ID, MBA MY, DEDE TH, PCA PH, Petrolimex VN)",Issue 5 fix — curve-preserving Add (deltas) overwriting team's mechanical Interp->Add rename (absolute values). Reconstructs the same capacity schedule at every milestone year using incremental additions (the conventional LEAP Add() semantic).,canonical_patch_2026_04_30.csv,refining_capacity,Low
Cambodia,Transformation\Biodiesel Production\Processes\FAME Biodiesel,Maximum Capacity,"Add(2025, 0.1, 2030, 0.25, 2035, 0.15, 2040, 0, 2045, 0, 2050, 0, 2055, 0, 2060, 0)",Million Tonnes/yr,Biodiesel,"USDA FAS GAIN Biofuels Annuals 2024 (per-country); national association registers (APROBI ID, MBA MY, DEDE TH, PCA PH, Petrolimex VN)",Issue 5 fix — curve-preserving Add (deltas) overwriting team's mechanical Interp->Add rename (absolute values). Reconstructs the same capacity schedule at every milestone year using incremental additions (the conventional LEAP Add() semantic).,canonical_patch_2026_04_30.csv,refining_capacity,Low
Indonesia,Transformation\Biodiesel Production\Processes\FAME Biodiesel,Maximum Capacity,"Add(2025, 16, 2030, 7.5, 2035, 7.5, 2040, 7.5, 2045, 7.5, 2050, 7.5, 2055, 7.5, 2060, 4)",Million Tonnes/yr,Biodiesel,"USDA FAS GAIN Biofuels Annuals 2024 (per-country); national association registers (APROBI ID, MBA MY, DEDE TH, PCA PH, Petrolimex VN)",Issue 5 fix — curve-preserving Add (deltas) overwriting team's mechanical Interp->Add rename (absolute values). Reconstructs the same capacity schedule at every milestone year using incremental additions (the conventional LEAP Add() semantic).,canonical_patch_2026_04_30.csv,refining_capacity,Medium-High
Laos,Transformation\Biodiesel Production\Processes\FAME Biodiesel,Maximum Capacity,"Add(2025, 0, 2030, 0, 2035, 0, 2040, 0, 2045, 0, 2050, 0, 2055, 0, 2060, 0)",Million Tonnes/yr,Biodiesel,"USDA FAS GAIN Biofuels Annuals 2024 (per-country); national association registers (APROBI ID, MBA MY, DEDE TH, PCA PH, Petrolimex VN)",Issue 5 fix — curve-preserving Add (deltas) overwriting team's mechanical Interp->Add rename (absolute values). Reconstructs the same capacity schedule at every milestone year using incremental additions (the conventional LEAP Add() semantic).,canonical_patch_2026_04_30.csv,refining_capacity,Low
Malaysia,Transformation\Biodiesel Production\Processes\FAME Biodiesel,Maximum Capacity,"Add(2025, 3.6, 2030, 2, 2035, 2, 2040, 2, 2045, 2, 2050, 2, 2055, 0.4, 2060, 0)",Million Tonnes/yr,Biodiesel,"USDA FAS GAIN Biofuels Annuals 2024 (per-country); national association registers (APROBI ID, MBA MY, DEDE TH, PCA PH, Petrolimex VN)",Issue 5 fix — curve-preserving Add (deltas) overwriting team's mechanical Interp->Add rename (absolute values). Reconstructs the same capacity schedule at every milestone year using incremental additions (the conventional LEAP Add() semantic).,canonical_patch_2026_04_30.csv,refining_capacity,Medium-High
Myanmar,Transformation\Biodiesel Production\Processes\FAME Biodiesel,Maximum Capacity,"Add(2025, 0.1, 2030, 0.25, 2035, 0.15, 2040, 0, 2045, 0, 2050, 0, 2055, 0, 2060, 0)",Million Tonnes/yr,Biodiesel,"USDA FAS GAIN Biofuels Annuals 2024 (per-country); national association registers (APROBI ID, MBA MY, DEDE TH, PCA PH, Petrolimex VN)",Issue 5 fix — curve-preserving Add (deltas) overwriting team's mechanical Interp->Add rename (absolute values). Reconstructs the same capacity schedule at every milestone year using incremental additions (the conventional LEAP Add() semantic).,canonical_patch_2026_04_30.csv,refining_capacity,Low
Philippines,Transformation\Biodiesel Production\Processes\FAME Biodiesel,Maximum Capacity,"Add(2025, 0, 2030, 0, 2035, 0, 2040, 0, 2045, 0, 2050, 0, 2055, 0, 2060, 0)",Million Tonnes/yr,Biodiesel,"USDA FAS GAIN Biofuels Annuals 2024 (per-country); national association registers (APROBI ID, MBA MY, DEDE TH, PCA PH, Petrolimex VN)",Issue 5 fix — curve-preserving Add (deltas) overwriting team's mechanical Interp->Add rename (absolute values). Reconstructs the same capacity schedule at every milestone year using incremental additions (the conventional LEAP Add() semantic).,canonical_patch_2026_04_30.csv,refining_capacity,Low
Singapore,Transformation\Biodiesel Production\Processes\FAME Biodiesel,Maximum Capacity,"Add(2025, 0.5, 2030, 0.5, 2035, 0.5, 2040, 0, 2045, 0, 2050, 0, 2055, 0, 2060, 0)",Million Tonnes/yr,Biodiesel,"USDA FAS GAIN Biofuels Annuals 2024 (per-country); national association registers (APROBI ID, MBA MY, DEDE TH, PCA PH, Petrolimex VN)",Issue 5 fix — curve-preserving Add (deltas) overwriting team's mechanical Interp->Add rename (absolute values). Reconstructs the same capacity schedule at every milestone year using incremental additions (the conventional LEAP Add() semantic).,canonical_patch_2026_04_30.csv,refining_capacity,Medium-High
Thailand,Transformation\Biodiesel Production\Processes\FAME Biodiesel,Maximum Capacity,"Add(2025, 2.4, 2030, 1, 2035, 1, 2040, 1, 2045, 1, 2050, 1, 2055, 1, 2060, 1)",Million Tonnes/yr,Biodiesel,"USDA FAS GAIN Biofuels Annuals 2024 (per-country); national association registers (APROBI ID, MBA MY, DEDE TH, PCA PH, Petrolimex VN)",Issue 5 fix — curve-preserving Add (deltas) overwriting team's mechanical Interp->Add rename (absolute values). Reconstructs the same capacity schedule at every milestone year using incremental additions (the conventional LEAP Add() semantic).,canonical_patch_2026_04_30.csv,refining_capacity,Medium-High
Vietnam,Transformation\Biodiesel Production\Processes\FAME Biodiesel,Maximum Capacity,"Add(2025, 0.4, 2030, 0.25, 2035, 0.25, 2040, 0.25, 2045, 0.25, 2050, 0.1, 2055, 0, 2060, 0)",Million Tonnes/yr,Biodiesel,"USDA FAS GAIN Biofuels Annuals 2024 (per-country); national association registers (APROBI ID, MBA MY, DEDE TH, PCA PH, Petrolimex VN)",Issue 5 fix — curve-preserving Add (deltas) overwriting team's mechanical Interp->Add rename (absolute values). Reconstructs the same capacity schedule at every milestone year using incremental additions (the conventional LEAP Add() semantic).,canonical_patch_2026_04_30.csv,refining_capacity,Medium-High
