ams,branch,variable,expression,unit,fuel,source,note,src_csv,domain,data_confidence
Indonesia,Transformation\Centralized Electricity Generation\Processes\Solar PV_IDJW,Minimum Utilization,0,,Electricity,nemo_read p5 placeholder (Indonesia subregional VRE extension of p4),"PLACEHOLDER (Stage 5: extends p4 variable-renewable MU=0 to the Indonesia and Malaysia subregional node-level branches that base-branch authoring did not propagate to. Indonesia has 4 sub-areas (IDJW/IDSA/IDKA/IDEast), Malaysia has 3 (MYPE/MYSB/MYSR). 12 Indonesia rows + 6 Malaysia rows = 18 rows total. Same physical rationale: variable renewables should be curtailable, not must-run, regardless of node decomposition.)",placeholder_p5_v042_subregional_VRE_MU_20260511.csv,availability_diagnostic,PLACEHOLDER
Indonesia,Transformation\Centralized Electricity Generation\Processes\Wind Onshore_IDJW,Minimum Utilization,0,,Electricity,nemo_read p5 placeholder (Indonesia subregional VRE extension of p4),"PLACEHOLDER (Stage 5: extends p4 variable-renewable MU=0 to the Indonesia and Malaysia subregional node-level branches that base-branch authoring did not propagate to. Indonesia has 4 sub-areas (IDJW/IDSA/IDKA/IDEast), Malaysia has 3 (MYPE/MYSB/MYSR). 12 Indonesia rows + 6 Malaysia rows = 18 rows total. Same physical rationale: variable renewables should be curtailable, not must-run, regardless of node decomposition.)",placeholder_p5_v042_subregional_VRE_MU_20260511.csv,availability_diagnostic,PLACEHOLDER
Indonesia,Transformation\Centralized Electricity Generation\Processes\Small Hydro_IDJW,Minimum Utilization,0,,Electricity,nemo_read p5 placeholder (Indonesia subregional VRE extension of p4),"PLACEHOLDER (Stage 5: extends p4 variable-renewable MU=0 to the Indonesia and Malaysia subregional node-level branches that base-branch authoring did not propagate to. Indonesia has 4 sub-areas (IDJW/IDSA/IDKA/IDEast), Malaysia has 3 (MYPE/MYSB/MYSR). 12 Indonesia rows + 6 Malaysia rows = 18 rows total. Same physical rationale: variable renewables should be curtailable, not must-run, regardless of node decomposition.)",placeholder_p5_v042_subregional_VRE_MU_20260511.csv,availability_diagnostic,PLACEHOLDER
Indonesia,Transformation\Centralized Electricity Generation\Processes\Solar PV_IDSA,Minimum Utilization,0,,Electricity,nemo_read p5 placeholder (Indonesia subregional VRE extension of p4),"PLACEHOLDER (Stage 5: extends p4 variable-renewable MU=0 to the Indonesia and Malaysia subregional node-level branches that base-branch authoring did not propagate to. Indonesia has 4 sub-areas (IDJW/IDSA/IDKA/IDEast), Malaysia has 3 (MYPE/MYSB/MYSR). 12 Indonesia rows + 6 Malaysia rows = 18 rows total. Same physical rationale: variable renewables should be curtailable, not must-run, regardless of node decomposition.)",placeholder_p5_v042_subregional_VRE_MU_20260511.csv,availability_diagnostic,PLACEHOLDER
Indonesia,Transformation\Centralized Electricity Generation\Processes\Wind Onshore_IDSA,Minimum Utilization,0,,Electricity,nemo_read p5 placeholder (Indonesia subregional VRE extension of p4),"PLACEHOLDER (Stage 5: extends p4 variable-renewable MU=0 to the Indonesia and Malaysia subregional node-level branches that base-branch authoring did not propagate to. Indonesia has 4 sub-areas (IDJW/IDSA/IDKA/IDEast), Malaysia has 3 (MYPE/MYSB/MYSR). 12 Indonesia rows + 6 Malaysia rows = 18 rows total. Same physical rationale: variable renewables should be curtailable, not must-run, regardless of node decomposition.)",placeholder_p5_v042_subregional_VRE_MU_20260511.csv,availability_diagnostic,PLACEHOLDER
Indonesia,Transformation\Centralized Electricity Generation\Processes\Small Hydro_IDSA,Minimum Utilization,0,,Electricity,nemo_read p5 placeholder (Indonesia subregional VRE extension of p4),"PLACEHOLDER (Stage 5: extends p4 variable-renewable MU=0 to the Indonesia and Malaysia subregional node-level branches that base-branch authoring did not propagate to. Indonesia has 4 sub-areas (IDJW/IDSA/IDKA/IDEast), Malaysia has 3 (MYPE/MYSB/MYSR). 12 Indonesia rows + 6 Malaysia rows = 18 rows total. Same physical rationale: variable renewables should be curtailable, not must-run, regardless of node decomposition.)",placeholder_p5_v042_subregional_VRE_MU_20260511.csv,availability_diagnostic,PLACEHOLDER
Indonesia,Transformation\Centralized Electricity Generation\Processes\Solar PV_IDKA,Minimum Utilization,0,,Electricity,nemo_read p5 placeholder (Indonesia subregional VRE extension of p4),"PLACEHOLDER (Stage 5: extends p4 variable-renewable MU=0 to the Indonesia and Malaysia subregional node-level branches that base-branch authoring did not propagate to. Indonesia has 4 sub-areas (IDJW/IDSA/IDKA/IDEast), Malaysia has 3 (MYPE/MYSB/MYSR). 12 Indonesia rows + 6 Malaysia rows = 18 rows total. Same physical rationale: variable renewables should be curtailable, not must-run, regardless of node decomposition.)",placeholder_p5_v042_subregional_VRE_MU_20260511.csv,availability_diagnostic,PLACEHOLDER
Indonesia,Transformation\Centralized Electricity Generation\Processes\Wind Onshore_IDKA,Minimum Utilization,0,,Electricity,nemo_read p5 placeholder (Indonesia subregional VRE extension of p4),"PLACEHOLDER (Stage 5: extends p4 variable-renewable MU=0 to the Indonesia and Malaysia subregional node-level branches that base-branch authoring did not propagate to. Indonesia has 4 sub-areas (IDJW/IDSA/IDKA/IDEast), Malaysia has 3 (MYPE/MYSB/MYSR). 12 Indonesia rows + 6 Malaysia rows = 18 rows total. Same physical rationale: variable renewables should be curtailable, not must-run, regardless of node decomposition.)",placeholder_p5_v042_subregional_VRE_MU_20260511.csv,availability_diagnostic,PLACEHOLDER
Indonesia,Transformation\Centralized Electricity Generation\Processes\Small Hydro_IDKA,Minimum Utilization,0,,Electricity,nemo_read p5 placeholder (Indonesia subregional VRE extension of p4),"PLACEHOLDER (Stage 5: extends p4 variable-renewable MU=0 to the Indonesia and Malaysia subregional node-level branches that base-branch authoring did not propagate to. Indonesia has 4 sub-areas (IDJW/IDSA/IDKA/IDEast), Malaysia has 3 (MYPE/MYSB/MYSR). 12 Indonesia rows + 6 Malaysia rows = 18 rows total. Same physical rationale: variable renewables should be curtailable, not must-run, regardless of node decomposition.)",placeholder_p5_v042_subregional_VRE_MU_20260511.csv,availability_diagnostic,PLACEHOLDER
Indonesia,Transformation\Centralized Electricity Generation\Processes\Solar PV_IDEast,Minimum Utilization,0,,Electricity,nemo_read p5 placeholder (Indonesia subregional VRE extension of p4),"PLACEHOLDER (Stage 5: extends p4 variable-renewable MU=0 to the Indonesia and Malaysia subregional node-level branches that base-branch authoring did not propagate to. Indonesia has 4 sub-areas (IDJW/IDSA/IDKA/IDEast), Malaysia has 3 (MYPE/MYSB/MYSR). 12 Indonesia rows + 6 Malaysia rows = 18 rows total. Same physical rationale: variable renewables should be curtailable, not must-run, regardless of node decomposition.)",placeholder_p5_v042_subregional_VRE_MU_20260511.csv,availability_diagnostic,PLACEHOLDER
