ams,branch,variable,expression,unit,fuel,source,note,src_csv,domain,data_confidence
Timor Leste,Resources\Primary\Sugarcane,Production Cost,"Interp(2025, 28.312500, 2030, 29.156250, 2035, 30.068750, 2040, 30.962500, 2045, 31.856250, 2050, 32.706250, 2055, 33.556250, 2060, 34.431250)",USD/t cane,,nemo_read p6 conservative cleanup (TL Sugarcane + missed VRE + biofuel MU=0),PLACEHOLDER (Stage 5: p6 conservative cleanup — Timor Leste Sugarcane Production Cost (missed in p4) + Wind Offshore base branch (missed in p4) + 6 Indonesia subregional VRE re-push (p5 pushed [OK] but NEMO sqlite still showed MU>0; re-attempting in case LEAP needs a re-write) + 20 biofuel/biomass process MU=0 rows for clear-rationale techs (Biomass Other / Biogas / Waste / Biomass Gasification / Molasses). Excludes thermal baseload (Coal/Gas) and dispatchable RE (Large Hydro / Geothermal) which may be intentionally must-run.),placeholder_p6_v042_conservative_cleanup_20260512.csv,cleanup_diagnostic,PLACEHOLDER
Vietnam,Transformation\Centralized Electricity Generation\Processes\Wind Offshore,Minimum Utilization,0,,Electricity,nemo_read p6 conservative cleanup (TL Sugarcane + missed VRE + biofuel MU=0),PLACEHOLDER (Stage 5: p6 conservative cleanup — Timor Leste Sugarcane Production Cost (missed in p4) + Wind Offshore base branch (missed in p4) + 6 Indonesia subregional VRE re-push (p5 pushed [OK] but NEMO sqlite still showed MU>0; re-attempting in case LEAP needs a re-write) + 20 biofuel/biomass process MU=0 rows for clear-rationale techs (Biomass Other / Biogas / Waste / Biomass Gasification / Molasses). Excludes thermal baseload (Coal/Gas) and dispatchable RE (Large Hydro / Geothermal) which may be intentionally must-run.),placeholder_p6_v042_conservative_cleanup_20260512.csv,cleanup_diagnostic,PLACEHOLDER
Philippines,Transformation\Centralized Electricity Generation\Processes\Wind Offshore,Minimum Utilization,0,,Electricity,nemo_read p6 conservative cleanup (TL Sugarcane + missed VRE + biofuel MU=0),PLACEHOLDER (Stage 5: p6 conservative cleanup — Timor Leste Sugarcane Production Cost (missed in p4) + Wind Offshore base branch (missed in p4) + 6 Indonesia subregional VRE re-push (p5 pushed [OK] but NEMO sqlite still showed MU>0; re-attempting in case LEAP needs a re-write) + 20 biofuel/biomass process MU=0 rows for clear-rationale techs (Biomass Other / Biogas / Waste / Biomass Gasification / Molasses). Excludes thermal baseload (Coal/Gas) and dispatchable RE (Large Hydro / Geothermal) which may be intentionally must-run.),placeholder_p6_v042_conservative_cleanup_20260512.csv,cleanup_diagnostic,PLACEHOLDER
Indonesia,Transformation\Centralized Electricity Generation\Processes\Solar PV_IDJW,Minimum Utilization,0,,Electricity,nemo_read p6 conservative cleanup (TL Sugarcane + missed VRE + biofuel MU=0),PLACEHOLDER (Stage 5: p6 conservative cleanup — Timor Leste Sugarcane Production Cost (missed in p4) + Wind Offshore base branch (missed in p4) + 6 Indonesia subregional VRE re-push (p5 pushed [OK] but NEMO sqlite still showed MU>0; re-attempting in case LEAP needs a re-write) + 20 biofuel/biomass process MU=0 rows for clear-rationale techs (Biomass Other / Biogas / Waste / Biomass Gasification / Molasses). Excludes thermal baseload (Coal/Gas) and dispatchable RE (Large Hydro / Geothermal) which may be intentionally must-run.),placeholder_p6_v042_conservative_cleanup_20260512.csv,cleanup_diagnostic,PLACEHOLDER
Indonesia,Transformation\Centralized Electricity Generation\Processes\Solar PV_IDSA,Minimum Utilization,0,,Electricity,nemo_read p6 conservative cleanup (TL Sugarcane + missed VRE + biofuel MU=0),PLACEHOLDER (Stage 5: p6 conservative cleanup — Timor Leste Sugarcane Production Cost (missed in p4) + Wind Offshore base branch (missed in p4) + 6 Indonesia subregional VRE re-push (p5 pushed [OK] but NEMO sqlite still showed MU>0; re-attempting in case LEAP needs a re-write) + 20 biofuel/biomass process MU=0 rows for clear-rationale techs (Biomass Other / Biogas / Waste / Biomass Gasification / Molasses). Excludes thermal baseload (Coal/Gas) and dispatchable RE (Large Hydro / Geothermal) which may be intentionally must-run.),placeholder_p6_v042_conservative_cleanup_20260512.csv,cleanup_diagnostic,PLACEHOLDER
Indonesia,Transformation\Centralized Electricity Generation\Processes\Solar PV_IDKA,Minimum Utilization,0,,Electricity,nemo_read p6 conservative cleanup (TL Sugarcane + missed VRE + biofuel MU=0),PLACEHOLDER (Stage 5: p6 conservative cleanup — Timor Leste Sugarcane Production Cost (missed in p4) + Wind Offshore base branch (missed in p4) + 6 Indonesia subregional VRE re-push (p5 pushed [OK] but NEMO sqlite still showed MU>0; re-attempting in case LEAP needs a re-write) + 20 biofuel/biomass process MU=0 rows for clear-rationale techs (Biomass Other / Biogas / Waste / Biomass Gasification / Molasses). Excludes thermal baseload (Coal/Gas) and dispatchable RE (Large Hydro / Geothermal) which may be intentionally must-run.),placeholder_p6_v042_conservative_cleanup_20260512.csv,cleanup_diagnostic,PLACEHOLDER
Indonesia,Transformation\Centralized Electricity Generation\Processes\Solar PV_IDEast,Minimum Utilization,0,,Electricity,nemo_read p6 conservative cleanup (TL Sugarcane + missed VRE + biofuel MU=0),PLACEHOLDER (Stage 5: p6 conservative cleanup — Timor Leste Sugarcane Production Cost (missed in p4) + Wind Offshore base branch (missed in p4) + 6 Indonesia subregional VRE re-push (p5 pushed [OK] but NEMO sqlite still showed MU>0; re-attempting in case LEAP needs a re-write) + 20 biofuel/biomass process MU=0 rows for clear-rationale techs (Biomass Other / Biogas / Waste / Biomass Gasification / Molasses). Excludes thermal baseload (Coal/Gas) and dispatchable RE (Large Hydro / Geothermal) which may be intentionally must-run.),placeholder_p6_v042_conservative_cleanup_20260512.csv,cleanup_diagnostic,PLACEHOLDER
Indonesia,Transformation\Centralized Electricity Generation\Processes\Wind Onshore_IDJW,Minimum Utilization,0,,Electricity,nemo_read p6 conservative cleanup (TL Sugarcane + missed VRE + biofuel MU=0),PLACEHOLDER (Stage 5: p6 conservative cleanup — Timor Leste Sugarcane Production Cost (missed in p4) + Wind Offshore base branch (missed in p4) + 6 Indonesia subregional VRE re-push (p5 pushed [OK] but NEMO sqlite still showed MU>0; re-attempting in case LEAP needs a re-write) + 20 biofuel/biomass process MU=0 rows for clear-rationale techs (Biomass Other / Biogas / Waste / Biomass Gasification / Molasses). Excludes thermal baseload (Coal/Gas) and dispatchable RE (Large Hydro / Geothermal) which may be intentionally must-run.),placeholder_p6_v042_conservative_cleanup_20260512.csv,cleanup_diagnostic,PLACEHOLDER
Indonesia,Transformation\Centralized Electricity Generation\Processes\Wind Onshore_IDEast,Minimum Utilization,0,,Electricity,nemo_read p6 conservative cleanup (TL Sugarcane + missed VRE + biofuel MU=0),PLACEHOLDER (Stage 5: p6 conservative cleanup — Timor Leste Sugarcane Production Cost (missed in p4) + Wind Offshore base branch (missed in p4) + 6 Indonesia subregional VRE re-push (p5 pushed [OK] but NEMO sqlite still showed MU>0; re-attempting in case LEAP needs a re-write) + 20 biofuel/biomass process MU=0 rows for clear-rationale techs (Biomass Other / Biogas / Waste / Biomass Gasification / Molasses). Excludes thermal baseload (Coal/Gas) and dispatchable RE (Large Hydro / Geothermal) which may be intentionally must-run.),placeholder_p6_v042_conservative_cleanup_20260512.csv,cleanup_diagnostic,PLACEHOLDER
Indonesia,Transformation\Centralized Electricity Generation\Processes\Biomass Other_IDJW,Minimum Utilization,0,,Electricity,nemo_read p6 conservative cleanup (TL Sugarcane + missed VRE + biofuel MU=0),PLACEHOLDER (Stage 5: p6 conservative cleanup — Timor Leste Sugarcane Production Cost (missed in p4) + Wind Offshore base branch (missed in p4) + 6 Indonesia subregional VRE re-push (p5 pushed [OK] but NEMO sqlite still showed MU>0; re-attempting in case LEAP needs a re-write) + 20 biofuel/biomass process MU=0 rows for clear-rationale techs (Biomass Other / Biogas / Waste / Biomass Gasification / Molasses). Excludes thermal baseload (Coal/Gas) and dispatchable RE (Large Hydro / Geothermal) which may be intentionally must-run.),placeholder_p6_v042_conservative_cleanup_20260512.csv,cleanup_diagnostic,PLACEHOLDER
