ams,branch,variable,expression,unit,fuel,source,note,src_csv,domain,data_confidence
Brunei,Resources\Primary\Biomass,Maximum Imports,"Max(5000000, Maximum Production[Tonne]/1000)",Thousand Metric Tonne,Biomass,nemo_read p7 placeholder (biomass+wood Max Imports per-AMS extension),"PLACEHOLDER (Stage 5: extend Maximum Imports on Resources\Primary\Biomass and Resources\Primary\Wood to all 11 AMS so the AccumulatedAnnualDemand for F26 Biomass-to-Charcoal and F58 Wood-to-Charcoal can be supplied. User authored the base template at Max(10000, ...) but only 3 AMS inherited; per-AMS overrides apparently blocking the inheritance. This places the formula on each AMS individually with larger constants sized to cover the demand peaks (Indonesia 637 PJ biomass, Philippines 167 PJ wood). Same authoring shape as Malaysia sugarcane and Vietnam coconut Max Imports fixes from 2026-05-11.)",placeholder_p7_v042r2a_biomass_wood_imports_20260512.csv,supply_diagnostic,PLACEHOLDER
Brunei,Resources\Primary\Wood,Maximum Imports,"Max(2000000, Maximum Production[Tonne]/1000)",Thousand Metric Tonne,Wood,nemo_read p7 placeholder (biomass+wood Max Imports per-AMS extension),"PLACEHOLDER (Stage 5: extend Maximum Imports on Resources\Primary\Biomass and Resources\Primary\Wood to all 11 AMS so the AccumulatedAnnualDemand for F26 Biomass-to-Charcoal and F58 Wood-to-Charcoal can be supplied. User authored the base template at Max(10000, ...) but only 3 AMS inherited; per-AMS overrides apparently blocking the inheritance. This places the formula on each AMS individually with larger constants sized to cover the demand peaks (Indonesia 637 PJ biomass, Philippines 167 PJ wood). Same authoring shape as Malaysia sugarcane and Vietnam coconut Max Imports fixes from 2026-05-11.)",placeholder_p7_v042r2a_biomass_wood_imports_20260512.csv,supply_diagnostic,PLACEHOLDER
Cambodia,Resources\Primary\Biomass,Maximum Imports,"Max(5000000, Maximum Production[Tonne]/1000)",Thousand Metric Tonne,Biomass,nemo_read p7 placeholder (biomass+wood Max Imports per-AMS extension),"PLACEHOLDER (Stage 5: extend Maximum Imports on Resources\Primary\Biomass and Resources\Primary\Wood to all 11 AMS so the AccumulatedAnnualDemand for F26 Biomass-to-Charcoal and F58 Wood-to-Charcoal can be supplied. User authored the base template at Max(10000, ...) but only 3 AMS inherited; per-AMS overrides apparently blocking the inheritance. This places the formula on each AMS individually with larger constants sized to cover the demand peaks (Indonesia 637 PJ biomass, Philippines 167 PJ wood). Same authoring shape as Malaysia sugarcane and Vietnam coconut Max Imports fixes from 2026-05-11.)",placeholder_p7_v042r2a_biomass_wood_imports_20260512.csv,supply_diagnostic,PLACEHOLDER
Cambodia,Resources\Primary\Wood,Maximum Imports,"Max(2000000, Maximum Production[Tonne]/1000)",Thousand Metric Tonne,Wood,nemo_read p7 placeholder (biomass+wood Max Imports per-AMS extension),"PLACEHOLDER (Stage 5: extend Maximum Imports on Resources\Primary\Biomass and Resources\Primary\Wood to all 11 AMS so the AccumulatedAnnualDemand for F26 Biomass-to-Charcoal and F58 Wood-to-Charcoal can be supplied. User authored the base template at Max(10000, ...) but only 3 AMS inherited; per-AMS overrides apparently blocking the inheritance. This places the formula on each AMS individually with larger constants sized to cover the demand peaks (Indonesia 637 PJ biomass, Philippines 167 PJ wood). Same authoring shape as Malaysia sugarcane and Vietnam coconut Max Imports fixes from 2026-05-11.)",placeholder_p7_v042r2a_biomass_wood_imports_20260512.csv,supply_diagnostic,PLACEHOLDER
Indonesia,Resources\Primary\Biomass,Maximum Imports,"Max(5000000, Maximum Production[Tonne]/1000)",Thousand Metric Tonne,Biomass,nemo_read p7 placeholder (biomass+wood Max Imports per-AMS extension),"PLACEHOLDER (Stage 5: extend Maximum Imports on Resources\Primary\Biomass and Resources\Primary\Wood to all 11 AMS so the AccumulatedAnnualDemand for F26 Biomass-to-Charcoal and F58 Wood-to-Charcoal can be supplied. User authored the base template at Max(10000, ...) but only 3 AMS inherited; per-AMS overrides apparently blocking the inheritance. This places the formula on each AMS individually with larger constants sized to cover the demand peaks (Indonesia 637 PJ biomass, Philippines 167 PJ wood). Same authoring shape as Malaysia sugarcane and Vietnam coconut Max Imports fixes from 2026-05-11.)",placeholder_p7_v042r2a_biomass_wood_imports_20260512.csv,supply_diagnostic,PLACEHOLDER
Indonesia,Resources\Primary\Wood,Maximum Imports,"Max(2000000, Maximum Production[Tonne]/1000)",Thousand Metric Tonne,Wood,nemo_read p7 placeholder (biomass+wood Max Imports per-AMS extension),"PLACEHOLDER (Stage 5: extend Maximum Imports on Resources\Primary\Biomass and Resources\Primary\Wood to all 11 AMS so the AccumulatedAnnualDemand for F26 Biomass-to-Charcoal and F58 Wood-to-Charcoal can be supplied. User authored the base template at Max(10000, ...) but only 3 AMS inherited; per-AMS overrides apparently blocking the inheritance. This places the formula on each AMS individually with larger constants sized to cover the demand peaks (Indonesia 637 PJ biomass, Philippines 167 PJ wood). Same authoring shape as Malaysia sugarcane and Vietnam coconut Max Imports fixes from 2026-05-11.)",placeholder_p7_v042r2a_biomass_wood_imports_20260512.csv,supply_diagnostic,PLACEHOLDER
Laos,Resources\Primary\Biomass,Maximum Imports,"Max(5000000, Maximum Production[Tonne]/1000)",Thousand Metric Tonne,Biomass,nemo_read p7 placeholder (biomass+wood Max Imports per-AMS extension),"PLACEHOLDER (Stage 5: extend Maximum Imports on Resources\Primary\Biomass and Resources\Primary\Wood to all 11 AMS so the AccumulatedAnnualDemand for F26 Biomass-to-Charcoal and F58 Wood-to-Charcoal can be supplied. User authored the base template at Max(10000, ...) but only 3 AMS inherited; per-AMS overrides apparently blocking the inheritance. This places the formula on each AMS individually with larger constants sized to cover the demand peaks (Indonesia 637 PJ biomass, Philippines 167 PJ wood). Same authoring shape as Malaysia sugarcane and Vietnam coconut Max Imports fixes from 2026-05-11.)",placeholder_p7_v042r2a_biomass_wood_imports_20260512.csv,supply_diagnostic,PLACEHOLDER
Laos,Resources\Primary\Wood,Maximum Imports,"Max(2000000, Maximum Production[Tonne]/1000)",Thousand Metric Tonne,Wood,nemo_read p7 placeholder (biomass+wood Max Imports per-AMS extension),"PLACEHOLDER (Stage 5: extend Maximum Imports on Resources\Primary\Biomass and Resources\Primary\Wood to all 11 AMS so the AccumulatedAnnualDemand for F26 Biomass-to-Charcoal and F58 Wood-to-Charcoal can be supplied. User authored the base template at Max(10000, ...) but only 3 AMS inherited; per-AMS overrides apparently blocking the inheritance. This places the formula on each AMS individually with larger constants sized to cover the demand peaks (Indonesia 637 PJ biomass, Philippines 167 PJ wood). Same authoring shape as Malaysia sugarcane and Vietnam coconut Max Imports fixes from 2026-05-11.)",placeholder_p7_v042r2a_biomass_wood_imports_20260512.csv,supply_diagnostic,PLACEHOLDER
Malaysia,Resources\Primary\Biomass,Maximum Imports,"Max(5000000, Maximum Production[Tonne]/1000)",Thousand Metric Tonne,Biomass,nemo_read p7 placeholder (biomass+wood Max Imports per-AMS extension),"PLACEHOLDER (Stage 5: extend Maximum Imports on Resources\Primary\Biomass and Resources\Primary\Wood to all 11 AMS so the AccumulatedAnnualDemand for F26 Biomass-to-Charcoal and F58 Wood-to-Charcoal can be supplied. User authored the base template at Max(10000, ...) but only 3 AMS inherited; per-AMS overrides apparently blocking the inheritance. This places the formula on each AMS individually with larger constants sized to cover the demand peaks (Indonesia 637 PJ biomass, Philippines 167 PJ wood). Same authoring shape as Malaysia sugarcane and Vietnam coconut Max Imports fixes from 2026-05-11.)",placeholder_p7_v042r2a_biomass_wood_imports_20260512.csv,supply_diagnostic,PLACEHOLDER
Malaysia,Resources\Primary\Wood,Maximum Imports,"Max(2000000, Maximum Production[Tonne]/1000)",Thousand Metric Tonne,Wood,nemo_read p7 placeholder (biomass+wood Max Imports per-AMS extension),"PLACEHOLDER (Stage 5: extend Maximum Imports on Resources\Primary\Biomass and Resources\Primary\Wood to all 11 AMS so the AccumulatedAnnualDemand for F26 Biomass-to-Charcoal and F58 Wood-to-Charcoal can be supplied. User authored the base template at Max(10000, ...) but only 3 AMS inherited; per-AMS overrides apparently blocking the inheritance. This places the formula on each AMS individually with larger constants sized to cover the demand peaks (Indonesia 637 PJ biomass, Philippines 167 PJ wood). Same authoring shape as Malaysia sugarcane and Vietnam coconut Max Imports fixes from 2026-05-11.)",placeholder_p7_v042r2a_biomass_wood_imports_20260512.csv,supply_diagnostic,PLACEHOLDER
Myanmar,Resources\Primary\Biomass,Maximum Imports,"Max(5000000, Maximum Production[Tonne]/1000)",Thousand Metric Tonne,Biomass,nemo_read p7 placeholder (biomass+wood Max Imports per-AMS extension),"PLACEHOLDER (Stage 5: extend Maximum Imports on Resources\Primary\Biomass and Resources\Primary\Wood to all 11 AMS so the AccumulatedAnnualDemand for F26 Biomass-to-Charcoal and F58 Wood-to-Charcoal can be supplied. User authored the base template at Max(10000, ...) but only 3 AMS inherited; per-AMS overrides apparently blocking the inheritance. This places the formula on each AMS individually with larger constants sized to cover the demand peaks (Indonesia 637 PJ biomass, Philippines 167 PJ wood). Same authoring shape as Malaysia sugarcane and Vietnam coconut Max Imports fixes from 2026-05-11.)",placeholder_p7_v042r2a_biomass_wood_imports_20260512.csv,supply_diagnostic,PLACEHOLDER
Myanmar,Resources\Primary\Wood,Maximum Imports,"Max(2000000, Maximum Production[Tonne]/1000)",Thousand Metric Tonne,Wood,nemo_read p7 placeholder (biomass+wood Max Imports per-AMS extension),"PLACEHOLDER (Stage 5: extend Maximum Imports on Resources\Primary\Biomass and Resources\Primary\Wood to all 11 AMS so the AccumulatedAnnualDemand for F26 Biomass-to-Charcoal and F58 Wood-to-Charcoal can be supplied. User authored the base template at Max(10000, ...) but only 3 AMS inherited; per-AMS overrides apparently blocking the inheritance. This places the formula on each AMS individually with larger constants sized to cover the demand peaks (Indonesia 637 PJ biomass, Philippines 167 PJ wood). Same authoring shape as Malaysia sugarcane and Vietnam coconut Max Imports fixes from 2026-05-11.)",placeholder_p7_v042r2a_biomass_wood_imports_20260512.csv,supply_diagnostic,PLACEHOLDER
Philippines,Resources\Primary\Biomass,Maximum Imports,"Max(5000000, Maximum Production[Tonne]/1000)",Thousand Metric Tonne,Biomass,nemo_read p7 placeholder (biomass+wood Max Imports per-AMS extension),"PLACEHOLDER (Stage 5: extend Maximum Imports on Resources\Primary\Biomass and Resources\Primary\Wood to all 11 AMS so the AccumulatedAnnualDemand for F26 Biomass-to-Charcoal and F58 Wood-to-Charcoal can be supplied. User authored the base template at Max(10000, ...) but only 3 AMS inherited; per-AMS overrides apparently blocking the inheritance. This places the formula on each AMS individually with larger constants sized to cover the demand peaks (Indonesia 637 PJ biomass, Philippines 167 PJ wood). Same authoring shape as Malaysia sugarcane and Vietnam coconut Max Imports fixes from 2026-05-11.)",placeholder_p7_v042r2a_biomass_wood_imports_20260512.csv,supply_diagnostic,PLACEHOLDER
Philippines,Resources\Primary\Wood,Maximum Imports,"Max(2000000, Maximum Production[Tonne]/1000)",Thousand Metric Tonne,Wood,nemo_read p7 placeholder (biomass+wood Max Imports per-AMS extension),"PLACEHOLDER (Stage 5: extend Maximum Imports on Resources\Primary\Biomass and Resources\Primary\Wood to all 11 AMS so the AccumulatedAnnualDemand for F26 Biomass-to-Charcoal and F58 Wood-to-Charcoal can be supplied. User authored the base template at Max(10000, ...) but only 3 AMS inherited; per-AMS overrides apparently blocking the inheritance. This places the formula on each AMS individually with larger constants sized to cover the demand peaks (Indonesia 637 PJ biomass, Philippines 167 PJ wood). Same authoring shape as Malaysia sugarcane and Vietnam coconut Max Imports fixes from 2026-05-11.)",placeholder_p7_v042r2a_biomass_wood_imports_20260512.csv,supply_diagnostic,PLACEHOLDER
Singapore,Resources\Primary\Biomass,Maximum Imports,"Max(5000000, Maximum Production[Tonne]/1000)",Thousand Metric Tonne,Biomass,nemo_read p7 placeholder (biomass+wood Max Imports per-AMS extension),"PLACEHOLDER (Stage 5: extend Maximum Imports on Resources\Primary\Biomass and Resources\Primary\Wood to all 11 AMS so the AccumulatedAnnualDemand for F26 Biomass-to-Charcoal and F58 Wood-to-Charcoal can be supplied. User authored the base template at Max(10000, ...) but only 3 AMS inherited; per-AMS overrides apparently blocking the inheritance. This places the formula on each AMS individually with larger constants sized to cover the demand peaks (Indonesia 637 PJ biomass, Philippines 167 PJ wood). Same authoring shape as Malaysia sugarcane and Vietnam coconut Max Imports fixes from 2026-05-11.)",placeholder_p7_v042r2a_biomass_wood_imports_20260512.csv,supply_diagnostic,PLACEHOLDER
Singapore,Resources\Primary\Wood,Maximum Imports,"Max(2000000, Maximum Production[Tonne]/1000)",Thousand Metric Tonne,Wood,nemo_read p7 placeholder (biomass+wood Max Imports per-AMS extension),"PLACEHOLDER (Stage 5: extend Maximum Imports on Resources\Primary\Biomass and Resources\Primary\Wood to all 11 AMS so the AccumulatedAnnualDemand for F26 Biomass-to-Charcoal and F58 Wood-to-Charcoal can be supplied. User authored the base template at Max(10000, ...) but only 3 AMS inherited; per-AMS overrides apparently blocking the inheritance. This places the formula on each AMS individually with larger constants sized to cover the demand peaks (Indonesia 637 PJ biomass, Philippines 167 PJ wood). Same authoring shape as Malaysia sugarcane and Vietnam coconut Max Imports fixes from 2026-05-11.)",placeholder_p7_v042r2a_biomass_wood_imports_20260512.csv,supply_diagnostic,PLACEHOLDER
Thailand,Resources\Primary\Biomass,Maximum Imports,"Max(5000000, Maximum Production[Tonne]/1000)",Thousand Metric Tonne,Biomass,nemo_read p7 placeholder (biomass+wood Max Imports per-AMS extension),"PLACEHOLDER (Stage 5: extend Maximum Imports on Resources\Primary\Biomass and Resources\Primary\Wood to all 11 AMS so the AccumulatedAnnualDemand for F26 Biomass-to-Charcoal and F58 Wood-to-Charcoal can be supplied. User authored the base template at Max(10000, ...) but only 3 AMS inherited; per-AMS overrides apparently blocking the inheritance. This places the formula on each AMS individually with larger constants sized to cover the demand peaks (Indonesia 637 PJ biomass, Philippines 167 PJ wood). Same authoring shape as Malaysia sugarcane and Vietnam coconut Max Imports fixes from 2026-05-11.)",placeholder_p7_v042r2a_biomass_wood_imports_20260512.csv,supply_diagnostic,PLACEHOLDER
Thailand,Resources\Primary\Wood,Maximum Imports,"Max(2000000, Maximum Production[Tonne]/1000)",Thousand Metric Tonne,Wood,nemo_read p7 placeholder (biomass+wood Max Imports per-AMS extension),"PLACEHOLDER (Stage 5: extend Maximum Imports on Resources\Primary\Biomass and Resources\Primary\Wood to all 11 AMS so the AccumulatedAnnualDemand for F26 Biomass-to-Charcoal and F58 Wood-to-Charcoal can be supplied. User authored the base template at Max(10000, ...) but only 3 AMS inherited; per-AMS overrides apparently blocking the inheritance. This places the formula on each AMS individually with larger constants sized to cover the demand peaks (Indonesia 637 PJ biomass, Philippines 167 PJ wood). Same authoring shape as Malaysia sugarcane and Vietnam coconut Max Imports fixes from 2026-05-11.)",placeholder_p7_v042r2a_biomass_wood_imports_20260512.csv,supply_diagnostic,PLACEHOLDER
Vietnam,Resources\Primary\Biomass,Maximum Imports,"Max(5000000, Maximum Production[Tonne]/1000)",Thousand Metric Tonne,Biomass,nemo_read p7 placeholder (biomass+wood Max Imports per-AMS extension),"PLACEHOLDER (Stage 5: extend Maximum Imports on Resources\Primary\Biomass and Resources\Primary\Wood to all 11 AMS so the AccumulatedAnnualDemand for F26 Biomass-to-Charcoal and F58 Wood-to-Charcoal can be supplied. User authored the base template at Max(10000, ...) but only 3 AMS inherited; per-AMS overrides apparently blocking the inheritance. This places the formula on each AMS individually with larger constants sized to cover the demand peaks (Indonesia 637 PJ biomass, Philippines 167 PJ wood). Same authoring shape as Malaysia sugarcane and Vietnam coconut Max Imports fixes from 2026-05-11.)",placeholder_p7_v042r2a_biomass_wood_imports_20260512.csv,supply_diagnostic,PLACEHOLDER
Vietnam,Resources\Primary\Wood,Maximum Imports,"Max(2000000, Maximum Production[Tonne]/1000)",Thousand Metric Tonne,Wood,nemo_read p7 placeholder (biomass+wood Max Imports per-AMS extension),"PLACEHOLDER (Stage 5: extend Maximum Imports on Resources\Primary\Biomass and Resources\Primary\Wood to all 11 AMS so the AccumulatedAnnualDemand for F26 Biomass-to-Charcoal and F58 Wood-to-Charcoal can be supplied. User authored the base template at Max(10000, ...) but only 3 AMS inherited; per-AMS overrides apparently blocking the inheritance. This places the formula on each AMS individually with larger constants sized to cover the demand peaks (Indonesia 637 PJ biomass, Philippines 167 PJ wood). Same authoring shape as Malaysia sugarcane and Vietnam coconut Max Imports fixes from 2026-05-11.)",placeholder_p7_v042r2a_biomass_wood_imports_20260512.csv,supply_diagnostic,PLACEHOLDER
Timor Leste,Resources\Primary\Biomass,Maximum Imports,"Max(5000000, Maximum Production[Tonne]/1000)",Thousand Metric Tonne,Biomass,nemo_read p7 placeholder (biomass+wood Max Imports per-AMS extension),"PLACEHOLDER (Stage 5: extend Maximum Imports on Resources\Primary\Biomass and Resources\Primary\Wood to all 11 AMS so the AccumulatedAnnualDemand for F26 Biomass-to-Charcoal and F58 Wood-to-Charcoal can be supplied. User authored the base template at Max(10000, ...) but only 3 AMS inherited; per-AMS overrides apparently blocking the inheritance. This places the formula on each AMS individually with larger constants sized to cover the demand peaks (Indonesia 637 PJ biomass, Philippines 167 PJ wood). Same authoring shape as Malaysia sugarcane and Vietnam coconut Max Imports fixes from 2026-05-11.)",placeholder_p7_v042r2a_biomass_wood_imports_20260512.csv,supply_diagnostic,PLACEHOLDER
Timor Leste,Resources\Primary\Wood,Maximum Imports,"Max(2000000, Maximum Production[Tonne]/1000)",Thousand Metric Tonne,Wood,nemo_read p7 placeholder (biomass+wood Max Imports per-AMS extension),"PLACEHOLDER (Stage 5: extend Maximum Imports on Resources\Primary\Biomass and Resources\Primary\Wood to all 11 AMS so the AccumulatedAnnualDemand for F26 Biomass-to-Charcoal and F58 Wood-to-Charcoal can be supplied. User authored the base template at Max(10000, ...) but only 3 AMS inherited; per-AMS overrides apparently blocking the inheritance. This places the formula on each AMS individually with larger constants sized to cover the demand peaks (Indonesia 637 PJ biomass, Philippines 167 PJ wood). Same authoring shape as Malaysia sugarcane and Vietnam coconut Max Imports fixes from 2026-05-11.)",placeholder_p7_v042r2a_biomass_wood_imports_20260512.csv,supply_diagnostic,PLACEHOLDER
