ams,branch,variable,expression,unit,fuel,source,note,src_csv,domain,data_confidence
Indonesia,Resources\Primary\Biomass,Maximum Production,10000,,Biomass,"nemo_read p8 placeholder (replace MaxProd=""Unlimited"" with finite for 8 AMS)","PLACEHOLDER (Stage 5: Replace Maximum Production=""Unlimited"" with finite numeric 10000 on Resources\Primary\Biomass and Resources\Primary\Wood for 8 AMS. Diagnosed 2026-05-12: when MaxProd=""Unlimited"", the downstream Max(5000000, Maximum Production[Tonne]/1000) formula on Maximum Imports cannot evaluate, and LEAP->NEMO export silently skips generating S26I/S58I cap rows (also skips S26D/S58D cap). The 3 working AMS (Myanmar/Laos/Brunei) have numeric MaxProd values and get exported correctly. Setting 10000 as a large finite constant restores the export path.)",placeholder_p8_v042r2a_biomass_wood_max_prod_20260512.csv,supply_diagnostic,PLACEHOLDER
Indonesia,Resources\Primary\Wood,Maximum Production,10000,,Wood,"nemo_read p8 placeholder (replace MaxProd=""Unlimited"" with finite for 8 AMS)","PLACEHOLDER (Stage 5: Replace Maximum Production=""Unlimited"" with finite numeric 10000 on Resources\Primary\Biomass and Resources\Primary\Wood for 8 AMS. Diagnosed 2026-05-12: when MaxProd=""Unlimited"", the downstream Max(5000000, Maximum Production[Tonne]/1000) formula on Maximum Imports cannot evaluate, and LEAP->NEMO export silently skips generating S26I/S58I cap rows (also skips S26D/S58D cap). The 3 working AMS (Myanmar/Laos/Brunei) have numeric MaxProd values and get exported correctly. Setting 10000 as a large finite constant restores the export path.)",placeholder_p8_v042r2a_biomass_wood_max_prod_20260512.csv,supply_diagnostic,PLACEHOLDER
Thailand,Resources\Primary\Biomass,Maximum Production,10000,,Biomass,"nemo_read p8 placeholder (replace MaxProd=""Unlimited"" with finite for 8 AMS)","PLACEHOLDER (Stage 5: Replace Maximum Production=""Unlimited"" with finite numeric 10000 on Resources\Primary\Biomass and Resources\Primary\Wood for 8 AMS. Diagnosed 2026-05-12: when MaxProd=""Unlimited"", the downstream Max(5000000, Maximum Production[Tonne]/1000) formula on Maximum Imports cannot evaluate, and LEAP->NEMO export silently skips generating S26I/S58I cap rows (also skips S26D/S58D cap). The 3 working AMS (Myanmar/Laos/Brunei) have numeric MaxProd values and get exported correctly. Setting 10000 as a large finite constant restores the export path.)",placeholder_p8_v042r2a_biomass_wood_max_prod_20260512.csv,supply_diagnostic,PLACEHOLDER
Thailand,Resources\Primary\Wood,Maximum Production,10000,,Wood,"nemo_read p8 placeholder (replace MaxProd=""Unlimited"" with finite for 8 AMS)","PLACEHOLDER (Stage 5: Replace Maximum Production=""Unlimited"" with finite numeric 10000 on Resources\Primary\Biomass and Resources\Primary\Wood for 8 AMS. Diagnosed 2026-05-12: when MaxProd=""Unlimited"", the downstream Max(5000000, Maximum Production[Tonne]/1000) formula on Maximum Imports cannot evaluate, and LEAP->NEMO export silently skips generating S26I/S58I cap rows (also skips S26D/S58D cap). The 3 working AMS (Myanmar/Laos/Brunei) have numeric MaxProd values and get exported correctly. Setting 10000 as a large finite constant restores the export path.)",placeholder_p8_v042r2a_biomass_wood_max_prod_20260512.csv,supply_diagnostic,PLACEHOLDER
Malaysia,Resources\Primary\Biomass,Maximum Production,10000,,Biomass,"nemo_read p8 placeholder (replace MaxProd=""Unlimited"" with finite for 8 AMS)","PLACEHOLDER (Stage 5: Replace Maximum Production=""Unlimited"" with finite numeric 10000 on Resources\Primary\Biomass and Resources\Primary\Wood for 8 AMS. Diagnosed 2026-05-12: when MaxProd=""Unlimited"", the downstream Max(5000000, Maximum Production[Tonne]/1000) formula on Maximum Imports cannot evaluate, and LEAP->NEMO export silently skips generating S26I/S58I cap rows (also skips S26D/S58D cap). The 3 working AMS (Myanmar/Laos/Brunei) have numeric MaxProd values and get exported correctly. Setting 10000 as a large finite constant restores the export path.)",placeholder_p8_v042r2a_biomass_wood_max_prod_20260512.csv,supply_diagnostic,PLACEHOLDER
Malaysia,Resources\Primary\Wood,Maximum Production,10000,,Wood,"nemo_read p8 placeholder (replace MaxProd=""Unlimited"" with finite for 8 AMS)","PLACEHOLDER (Stage 5: Replace Maximum Production=""Unlimited"" with finite numeric 10000 on Resources\Primary\Biomass and Resources\Primary\Wood for 8 AMS. Diagnosed 2026-05-12: when MaxProd=""Unlimited"", the downstream Max(5000000, Maximum Production[Tonne]/1000) formula on Maximum Imports cannot evaluate, and LEAP->NEMO export silently skips generating S26I/S58I cap rows (also skips S26D/S58D cap). The 3 working AMS (Myanmar/Laos/Brunei) have numeric MaxProd values and get exported correctly. Setting 10000 as a large finite constant restores the export path.)",placeholder_p8_v042r2a_biomass_wood_max_prod_20260512.csv,supply_diagnostic,PLACEHOLDER
Philippines,Resources\Primary\Biomass,Maximum Production,10000,,Biomass,"nemo_read p8 placeholder (replace MaxProd=""Unlimited"" with finite for 8 AMS)","PLACEHOLDER (Stage 5: Replace Maximum Production=""Unlimited"" with finite numeric 10000 on Resources\Primary\Biomass and Resources\Primary\Wood for 8 AMS. Diagnosed 2026-05-12: when MaxProd=""Unlimited"", the downstream Max(5000000, Maximum Production[Tonne]/1000) formula on Maximum Imports cannot evaluate, and LEAP->NEMO export silently skips generating S26I/S58I cap rows (also skips S26D/S58D cap). The 3 working AMS (Myanmar/Laos/Brunei) have numeric MaxProd values and get exported correctly. Setting 10000 as a large finite constant restores the export path.)",placeholder_p8_v042r2a_biomass_wood_max_prod_20260512.csv,supply_diagnostic,PLACEHOLDER
Philippines,Resources\Primary\Wood,Maximum Production,10000,,Wood,"nemo_read p8 placeholder (replace MaxProd=""Unlimited"" with finite for 8 AMS)","PLACEHOLDER (Stage 5: Replace Maximum Production=""Unlimited"" with finite numeric 10000 on Resources\Primary\Biomass and Resources\Primary\Wood for 8 AMS. Diagnosed 2026-05-12: when MaxProd=""Unlimited"", the downstream Max(5000000, Maximum Production[Tonne]/1000) formula on Maximum Imports cannot evaluate, and LEAP->NEMO export silently skips generating S26I/S58I cap rows (also skips S26D/S58D cap). The 3 working AMS (Myanmar/Laos/Brunei) have numeric MaxProd values and get exported correctly. Setting 10000 as a large finite constant restores the export path.)",placeholder_p8_v042r2a_biomass_wood_max_prod_20260512.csv,supply_diagnostic,PLACEHOLDER
Cambodia,Resources\Primary\Biomass,Maximum Production,10000,,Biomass,"nemo_read p8 placeholder (replace MaxProd=""Unlimited"" with finite for 8 AMS)","PLACEHOLDER (Stage 5: Replace Maximum Production=""Unlimited"" with finite numeric 10000 on Resources\Primary\Biomass and Resources\Primary\Wood for 8 AMS. Diagnosed 2026-05-12: when MaxProd=""Unlimited"", the downstream Max(5000000, Maximum Production[Tonne]/1000) formula on Maximum Imports cannot evaluate, and LEAP->NEMO export silently skips generating S26I/S58I cap rows (also skips S26D/S58D cap). The 3 working AMS (Myanmar/Laos/Brunei) have numeric MaxProd values and get exported correctly. Setting 10000 as a large finite constant restores the export path.)",placeholder_p8_v042r2a_biomass_wood_max_prod_20260512.csv,supply_diagnostic,PLACEHOLDER
Cambodia,Resources\Primary\Wood,Maximum Production,10000,,Wood,"nemo_read p8 placeholder (replace MaxProd=""Unlimited"" with finite for 8 AMS)","PLACEHOLDER (Stage 5: Replace Maximum Production=""Unlimited"" with finite numeric 10000 on Resources\Primary\Biomass and Resources\Primary\Wood for 8 AMS. Diagnosed 2026-05-12: when MaxProd=""Unlimited"", the downstream Max(5000000, Maximum Production[Tonne]/1000) formula on Maximum Imports cannot evaluate, and LEAP->NEMO export silently skips generating S26I/S58I cap rows (also skips S26D/S58D cap). The 3 working AMS (Myanmar/Laos/Brunei) have numeric MaxProd values and get exported correctly. Setting 10000 as a large finite constant restores the export path.)",placeholder_p8_v042r2a_biomass_wood_max_prod_20260512.csv,supply_diagnostic,PLACEHOLDER
