Branch Path,Variable,Scenario,Region,Scale,Units,Per...,Expression
Transformation\Centralized Electricity Generation\Processes\Bioenergy with CCS,Capacity Retirement,AMS Target Scenario,Base Template,,MW,,0
Transformation\Centralized Electricity Generation\Processes\Bioenergy with CCS,Capacity Retirement,AMS Target Scenario,Brunei,,MW,,0
Transformation\Centralized Electricity Generation\Processes\Bioenergy with CCS,Capacity Retirement,AMS Target Scenario,Cambodia,,MW,,0
Transformation\Centralized Electricity Generation\Processes\Bioenergy with CCS,Capacity Retirement,AMS Target Scenario,Indonesia,,MW,,0
Transformation\Centralized Electricity Generation\Processes\Bioenergy with CCS,Capacity Retirement,AMS Target Scenario,Laos,,MW,,0
Transformation\Centralized Electricity Generation\Processes\Bioenergy with CCS,Capacity Retirement,AMS Target Scenario,Malaysia,,MW,,0
Transformation\Centralized Electricity Generation\Processes\Bioenergy with CCS,Capacity Retirement,AMS Target Scenario,Myanmar,,MW,,0
Transformation\Centralized Electricity Generation\Processes\Bioenergy with CCS,Capacity Retirement,AMS Target Scenario,Philippines,,MW,,0
Transformation\Centralized Electricity Generation\Processes\Bioenergy with CCS,Capacity Retirement,AMS Target Scenario,Singapore,,MW,,0
Transformation\Centralized Electricity Generation\Processes\Bioenergy with CCS,Capacity Retirement,AMS Target Scenario,Thailand,,MW,,0
Transformation\Centralized Electricity Generation\Processes\Bioenergy with CCS,Capacity Retirement,AMS Target Scenario,Timor Leste,,MW,,0
Transformation\Centralized Electricity Generation\Processes\Bioenergy with CCS,Capacity Retirement,AMS Target Scenario,Vietnam,,MW,,0
Transformation\Centralized Electricity Generation\Processes\Biogas,Capacity Retirement,AMS Target Scenario,Base Template,,MW,,0
Transformation\Centralized Electricity Generation\Processes\Biogas,Capacity Retirement,AMS Target Scenario,Brunei,,MW,,0
Transformation\Centralized Electricity Generation\Processes\Biogas,Capacity Retirement,AMS Target Scenario,Cambodia,,MW,,0
Transformation\Centralized Electricity Generation\Processes\Biogas,Capacity Retirement,AMS Target Scenario,Indonesia,,MW,,0
Transformation\Centralized Electricity Generation\Processes\Biogas,Capacity Retirement,AMS Target Scenario,Laos,,MW,,0
Transformation\Centralized Electricity Generation\Processes\Biogas,Capacity Retirement,AMS Target Scenario,Malaysia,,MW,,"Add(2033, 0.86, 2034, 2.34)"
Transformation\Centralized Electricity Generation\Processes\Biogas,Capacity Retirement,AMS Target Scenario,Myanmar,,MW,,0
Transformation\Centralized Electricity Generation\Processes\Biogas,Capacity Retirement,AMS Target Scenario,Philippines,,MW,,0
