ams,branch,variable,expression,unit,fuel,source,note,src_csv,domain,data_confidence
Indonesia,Transformation\Centralized Electricity Generation\Processes\Coal Subcritical_IDSA,Existing Capacity,"Interp(2005, 1068.391948, 2006, 1223.993647, 2007, 1316.478037, 2008, 1347.160062, 2009, 1380.03366, 2010, 1422.495392, 2011, 1792.59732, 2012, 1841.469403, 2013, 2286.745581, 2014, 2428.288337, 2015, 2661.197782, 2016, 2672.429595, 2017, 2563.724275, 2018, 3087.726146, 2019, 3432.898929, 2020, 4032.834011, 2021, 3981.428399, 2022, 4405.624248, 2023, 5141.467854, 2024, 5614.98757, FirstScenarioYear, 0)",Megawatt,,"Transformation_ Input LEAP_ID_MY_Nodes Rev1.csv (round 2 ID/MY subnational, 2026-05-07)","Round 2 — ID/MY subnational EC+HP from Rev1 LEAP-export, anchor with FirstScenarioYear=0",Transformation_ Input LEAP_ID_MY_Nodes Rev1.csv,power_existing_capacity,High
Indonesia,Transformation\Centralized Electricity Generation\Processes\Coal Subcritical_IDJW,Existing Capacity,"Interp(2005, 7481.571872, 2006, 8571.195673, 2007, 9218.831228, 2008, 9433.686626, 2009, 9663.888837, 2010, 9961.23336, 2011, 12552.92659, 2012, 12895.16055, 2013, 16013.27252, 2014, 17004.44651, 2015, 18635.42918, 2016, 18714.0816, 2017, 17952.8566, 2018, 21622.25683, 2019, 24039.38005, 2020, 24150.62428, 2021, 24125.31673, 2022, 28447.55458, 2023, 33198.97004, 2024, 36256.53401, FirstScenarioYear, 0)",Megawatt,,"Transformation_ Input LEAP_ID_MY_Nodes Rev1.csv (round 2 ID/MY subnational, 2026-05-07)","Round 2 — ID/MY subnational EC+HP from Rev1 LEAP-export, anchor with FirstScenarioYear=0",Transformation_ Input LEAP_ID_MY_Nodes Rev1.csv,power_existing_capacity,High
Indonesia,Transformation\Centralized Electricity Generation\Processes\Coal Subcritical_IDKA,Existing Capacity,"Interp(2005, 366.712342, 2006, 420.120704, 2007, 451.864829, 2008, 462.396055, 2009, 473.679512, 2010, 488.253977, 2011, 615.286893, 2012, 632.061632, 2013, 784.897181, 2014, 833.479985, 2015, 913.423275, 2016, 917.278456, 2017, 879.966698, 2018, 1059.823869, 2019, 1178.300164, 2020, 2164.723311, 2021, 2431.773647, 2022, 2343.71034, 2023, 2735.165483, 2024, 2987.069184, FirstScenarioYear, 0)",Megawatt,,"Transformation_ Input LEAP_ID_MY_Nodes Rev1.csv (round 2 ID/MY subnational, 2026-05-07)","Round 2 — ID/MY subnational EC+HP from Rev1 LEAP-export, anchor with FirstScenarioYear=0",Transformation_ Input LEAP_ID_MY_Nodes Rev1.csv,power_existing_capacity,High
Indonesia,Transformation\Centralized Electricity Generation\Processes\Coal Subcritical_IDEast,Existing Capacity,"Interp(2005, 833.323838, 2006, 954.689976, 2007, 1026.825906, 2008, 1050.757257, 2009, 1076.397991, 2010, 1109.517272, 2011, 1398.189196, 2012, 1436.30842, 2013, 1783.614719, 2014, 1894.01517, 2015, 2075.679767, 2016, 2084.440351, 2017, 1999.652428, 2018, 2408.363155, 2019, 2677.590857, 2020, 2910.688399, 2021, 3088.851228, 2022, 7438.380834, 2023, 8680.766628, 2024, 9480.24924, FirstScenarioYear, 0)",Megawatt,,"Transformation_ Input LEAP_ID_MY_Nodes Rev1.csv (round 2 ID/MY subnational, 2026-05-07)","Round 2 — ID/MY subnational EC+HP from Rev1 LEAP-export, anchor with FirstScenarioYear=0",Transformation_ Input LEAP_ID_MY_Nodes Rev1.csv,power_existing_capacity,High
Indonesia,Transformation\Centralized Electricity Generation\Processes\Gas Combined Cycle_IDSA,Existing Capacity,"Interp(2005, 867.163459, 2006, 959.895214, 2007, 964.907741, 2008, 1003.754827, 2009, 1003.754827, 2010, 951.167151, 2011, 1062.777336, 2012, 1185.601798, 2013, 1234.611783, 2014, 1271.441328, 2015, 1271.441328, 2016, 1271.441328, 2017, 1271.441328, 2018, 1406.026432, 2019, 1462.29205, 2020, 1503.081009, 2021, 1486.043181, 2022, 1581.699662, 2023, 1896.6758, 2024, 2219.284324, FirstScenarioYear, 0)",Megawatt,,"Transformation_ Input LEAP_ID_MY_Nodes Rev1.csv (round 2 ID/MY subnational, 2026-05-07)","Round 2 — ID/MY subnational EC+HP from Rev1 LEAP-export, anchor with FirstScenarioYear=0",Transformation_ Input LEAP_ID_MY_Nodes Rev1.csv,power_existing_capacity,High
Indonesia,Transformation\Centralized Electricity Generation\Processes\Gas Combined Cycle_IDJW,Existing Capacity,"Interp(2005, 5834.190965, 2006, 6458.081143, 2007, 6491.804936, 2008, 6753.164335, 2009, 6753.164335, 2010, 6399.359587, 2011, 7150.262002, 2012, 7976.612974, 2013, 8306.347364, 2014, 8554.132936, 2015, 8554.132936, 2016, 8554.132936, 2017, 8554.132936, 2018, 9459.608357, 2019, 9838.157938, 2020, 10314.95253, 2021, 10373.65996, 2022, 11037.16393, 2023, 13235.0801, 2024, 15486.25537, FirstScenarioYear, 0)",Megawatt,,"Transformation_ Input LEAP_ID_MY_Nodes Rev1.csv (round 2 ID/MY subnational, 2026-05-07)","Round 2 — ID/MY subnational EC+HP from Rev1 LEAP-export, anchor with FirstScenarioYear=0",Transformation_ Input LEAP_ID_MY_Nodes Rev1.csv,power_existing_capacity,High
Indonesia,Transformation\Centralized Electricity Generation\Processes\Gas Combined Cycle_IDKA,Existing Capacity,"Interp(2005, 34.978492, 2006, 38.718983, 2007, 38.921172, 2008, 40.488134, 2009, 40.488134, 2010, 38.366922, 2011, 42.868906, 2012, 47.823237, 2013, 49.800136, 2014, 51.285718, 2015, 51.285718, 2016, 51.285718, 2017, 51.285718, 2018, 56.714434, 2019, 58.984002, 2020, 99.49267, 2021, 98.364893, 2022, 127.410098, 2023, 152.78226, 2024, 178.769231, FirstScenarioYear, 0)",Megawatt,,"Transformation_ Input LEAP_ID_MY_Nodes Rev1.csv (round 2 ID/MY subnational, 2026-05-07)","Round 2 — ID/MY subnational EC+HP from Rev1 LEAP-export, anchor with FirstScenarioYear=0",Transformation_ Input LEAP_ID_MY_Nodes Rev1.csv,power_existing_capacity,High
Indonesia,Transformation\Centralized Electricity Generation\Processes\Gas Combined Cycle_IDEast,Existing Capacity,"Interp(2005, 183.637084, 2006, 203.274661, 2007, 204.336151, 2008, 212.562704, 2009, 212.562704, 2010, 201.42634, 2011, 225.061756, 2012, 251.071992, 2013, 261.450716, 2014, 269.250019, 2015, 269.250019, 2016, 269.250019, 2017, 269.250019, 2018, 297.750777, 2019, 309.66601, 2020, 318.303787, 2021, 453.041965, 2022, 651.486313, 2023, 781.221842, 2024, 914.101075, FirstScenarioYear, 0)",Megawatt,,"Transformation_ Input LEAP_ID_MY_Nodes Rev1.csv (round 2 ID/MY subnational, 2026-05-07)","Round 2 — ID/MY subnational EC+HP from Rev1 LEAP-export, anchor with FirstScenarioYear=0",Transformation_ Input LEAP_ID_MY_Nodes Rev1.csv,power_existing_capacity,High
Indonesia,Transformation\Centralized Electricity Generation\Processes\Gas Turbine_IDSA,Existing Capacity,"Interp(2005, 798.525424, 2006, 799.452939, 2007, 829.656412, 2008, 790.698234, 2009, 807.937118, 2010, 984.600257, 2011, 1091.380344, 2012, 1119.154245, 2013, 1130.817738, 2014, 1110.569585, 2015, 1110.569585, 2016, 1138.9103, 2017, 1138.9103, 2018, 1377.987424, 2019, 1377.99, 2020, 1377.99, 2021, 1377.99, 2022, 1008.09, 2023, 1007.302845, 2024, 1012.819716, FirstScenarioYear, 0)",Megawatt,,"Transformation_ Input LEAP_ID_MY_Nodes Rev1.csv (round 2 ID/MY subnational, 2026-05-07)","Round 2 — ID/MY subnational EC+HP from Rev1 LEAP-export, anchor with FirstScenarioYear=0",Transformation_ Input LEAP_ID_MY_Nodes Rev1.csv,power_existing_capacity,High
Indonesia,Transformation\Centralized Electricity Generation\Processes\Gas Turbine_IDJW,Existing Capacity,"Interp(2005, 1889.378178, 2006, 1891.572754, 2007, 1963.036708, 2008, 1870.858388, 2009, 1911.647036, 2010, 2329.646849, 2011, 2582.297497, 2012, 2648.012879, 2013, 2675.609681, 2014, 2627.700852, 2015, 2627.700852, 2016, 2694.757363, 2017, 2694.757363, 2018, 3260.433904, 2019, 3260.44, 2020, 3260.44, 2021, 3260.44, 2022, 2690.04, 2023, 2687.939514, 2024, 2702.661021, FirstScenarioYear, 0)",Megawatt,,"Transformation_ Input LEAP_ID_MY_Nodes Rev1.csv (round 2 ID/MY subnational, 2026-05-07)","Round 2 — ID/MY subnational EC+HP from Rev1 LEAP-export, anchor with FirstScenarioYear=0",Transformation_ Input LEAP_ID_MY_Nodes Rev1.csv,power_existing_capacity,High
