ams,branch,variable,expression,unit,fuel,source,note,src_csv,domain,data_confidence,unit_audit
Indonesia,Transformation\Centralized Electricity Generation\Processes\Coal Subcritical_IDSA,Existing Capacity,"Interp(2005, 1068.391948, 2006, 1223.993647, 2007, 1316.478037, 2008, 1347.160062, 2009, 1380.03366, 2010, 1422.495392, 2011, 1792.59732, 2012, 1841.469403, 2013, 2286.745581, 2014, 2428.288337, 2015, 2661.197782, 2016, 2672.429595, 2017, 2563.724275, 2018, 3087.726146, 2019, 3432.898929, 2020, 4032.834011, 2021, 3981.428399, 2022, 4405.624248, 2023, 5141.467854, 2024, 5614.98757, FirstScenarioYear, 0)",MW,,"Transformation_ Input LEAP_ID_MY_Nodes Rev1 (Existing Cap, Historical Prod).csv",Interpolated trajectory on Existing Capacity | sourced from year-wide Rev1 input,"Transformation_ Input LEAP_ID_MY_Nodes Rev1 (Existing Cap, Historical Prod).csv",power_existing_capacity,High,passthrough — input unit preserved (no conversion)
Indonesia,Transformation\Centralized Electricity Generation\Processes\Coal Subcritical_IDJW,Existing Capacity,"Interp(2005, 7481.571872, 2006, 8571.195673, 2007, 9218.831228, 2008, 9433.686626, 2009, 9663.888837, 2010, 9961.23336, 2011, 12552.92659, 2012, 12895.16055, 2013, 16013.27252, 2014, 17004.44651, 2015, 18635.42918, 2016, 18714.0816, 2017, 17952.8566, 2018, 21622.25683, 2019, 24039.38005, 2020, 24150.62428, 2021, 24125.31673, 2022, 28447.55458, 2023, 33198.97004, 2024, 36256.53401, FirstScenarioYear, 0)",MW,,"Transformation_ Input LEAP_ID_MY_Nodes Rev1 (Existing Cap, Historical Prod).csv",Interpolated trajectory on Existing Capacity | sourced from year-wide Rev1 input,"Transformation_ Input LEAP_ID_MY_Nodes Rev1 (Existing Cap, Historical Prod).csv",power_existing_capacity,High,passthrough — input unit preserved (no conversion)
Indonesia,Transformation\Centralized Electricity Generation\Processes\Coal Subcritical_IDKA,Existing Capacity,"Interp(2005, 366.7123423, 2006, 420.1207039, 2007, 451.8648287, 2008, 462.396055, 2009, 473.6795117, 2010, 488.2539765, 2011, 615.2868931, 2012, 632.061632, 2013, 784.8971811, 2014, 833.4799845, 2015, 913.4232751, 2016, 917.2784561, 2017, 879.9666977, 2018, 1059.823869, 2019, 1178.300164, 2020, 2164.723311, 2021, 2431.773647, 2022, 2343.71034, 2023, 2735.165483, 2024, 2987.069184, FirstScenarioYear, 0)",MW,,"Transformation_ Input LEAP_ID_MY_Nodes Rev1 (Existing Cap, Historical Prod).csv",Interpolated trajectory on Existing Capacity | sourced from year-wide Rev1 input,"Transformation_ Input LEAP_ID_MY_Nodes Rev1 (Existing Cap, Historical Prod).csv",power_existing_capacity,High,passthrough — input unit preserved (no conversion)
Indonesia,Transformation\Centralized Electricity Generation\Processes\Coal Subcritical_IDEast,Existing Capacity,"Interp(2005, 833.3238377, 2006, 954.6899761, 2007, 1026.825906, 2008, 1050.757257, 2009, 1076.397991, 2010, 1109.517272, 2011, 1398.189196, 2012, 1436.30842, 2013, 1783.614719, 2014, 1894.01517, 2015, 2075.679767, 2016, 2084.440351, 2017, 1999.652428, 2018, 2408.363155, 2019, 2677.590857, 2020, 2910.688399, 2021, 3088.851228, 2022, 7438.380834, 2023, 8680.766628, 2024, 9480.24924, FirstScenarioYear, 0)",MW,,"Transformation_ Input LEAP_ID_MY_Nodes Rev1 (Existing Cap, Historical Prod).csv",Interpolated trajectory on Existing Capacity | sourced from year-wide Rev1 input,"Transformation_ Input LEAP_ID_MY_Nodes Rev1 (Existing Cap, Historical Prod).csv",power_existing_capacity,High,passthrough — input unit preserved (no conversion)
Indonesia,Transformation\Centralized Electricity Generation\Processes\Gas Combined Cycle_IDSA,Existing Capacity,"Interp(2005, 867.1634591, 2006, 959.8952137, 2007, 964.9077409, 2008, 1003.754827, 2009, 1003.754827, 2010, 951.1671505, 2011, 1062.777336, 2012, 1185.601798, 2013, 1234.611783, 2014, 1271.441328, 2015, 1271.441328, 2016, 1271.441328, 2017, 1271.441328, 2018, 1406.026432, 2019, 1462.29205, 2020, 1503.081009, 2021, 1486.043181, 2022, 1581.699662, 2023, 1896.6758, 2024, 2219.284324, FirstScenarioYear, 0)",MW,,"Transformation_ Input LEAP_ID_MY_Nodes Rev1 (Existing Cap, Historical Prod).csv",Interpolated trajectory on Existing Capacity | sourced from year-wide Rev1 input,"Transformation_ Input LEAP_ID_MY_Nodes Rev1 (Existing Cap, Historical Prod).csv",power_existing_capacity,High,passthrough — input unit preserved (no conversion)
Indonesia,Transformation\Centralized Electricity Generation\Processes\Gas Combined Cycle_IDJW,Existing Capacity,"Interp(2005, 5834.190965, 2006, 6458.081143, 2007, 6491.804936, 2008, 6753.164335, 2009, 6753.164335, 2010, 6399.359587, 2011, 7150.262002, 2012, 7976.612974, 2013, 8306.347364, 2014, 8554.132936, 2015, 8554.132936, 2016, 8554.132936, 2017, 8554.132936, 2018, 9459.608357, 2019, 9838.157938, 2020, 10314.95253, 2021, 10373.65996, 2022, 11037.16393, 2023, 13235.0801, 2024, 15486.25537, FirstScenarioYear, 0)",MW,,"Transformation_ Input LEAP_ID_MY_Nodes Rev1 (Existing Cap, Historical Prod).csv",Interpolated trajectory on Existing Capacity | sourced from year-wide Rev1 input,"Transformation_ Input LEAP_ID_MY_Nodes Rev1 (Existing Cap, Historical Prod).csv",power_existing_capacity,High,passthrough — input unit preserved (no conversion)
Indonesia,Transformation\Centralized Electricity Generation\Processes\Gas Combined Cycle_IDKA,Existing Capacity,"Interp(2005, 34.97849218, 2006, 38.71898299, 2007, 38.92117168, 2008, 40.48813405, 2009, 40.48813405, 2010, 38.36692193, 2011, 42.86890591, 2012, 47.82323654, 2013, 49.80013648, 2014, 51.2857179, 2015, 51.2857179, 2016, 51.2857179, 2017, 51.2857179, 2018, 56.71443375, 2019, 58.98400182, 2020, 99.49266955, 2021, 98.36489338, 2022, 127.410098, 2023, 152.7822603, 2024, 178.7692315, FirstScenarioYear, 0)",MW,,"Transformation_ Input LEAP_ID_MY_Nodes Rev1 (Existing Cap, Historical Prod).csv",Interpolated trajectory on Existing Capacity | sourced from year-wide Rev1 input,"Transformation_ Input LEAP_ID_MY_Nodes Rev1 (Existing Cap, Historical Prod).csv",power_existing_capacity,High,passthrough — input unit preserved (no conversion)
Indonesia,Transformation\Centralized Electricity Generation\Processes\Gas Combined Cycle_IDEast,Existing Capacity,"Interp(2005, 183.6370839, 2006, 203.2746607, 2007, 204.3361513, 2008, 212.5627038, 2009, 212.5627038, 2010, 201.4263401, 2011, 225.061756, 2012, 251.0719918, 2013, 261.4507165, 2014, 269.250019, 2015, 269.250019, 2016, 269.250019, 2017, 269.250019, 2018, 297.7507772, 2019, 309.6660096, 2020, 318.3037874, 2021, 453.0419648, 2022, 651.4863131, 2023, 781.2218423, 2024, 914.1010753, FirstScenarioYear, 0)",MW,,"Transformation_ Input LEAP_ID_MY_Nodes Rev1 (Existing Cap, Historical Prod).csv",Interpolated trajectory on Existing Capacity | sourced from year-wide Rev1 input,"Transformation_ Input LEAP_ID_MY_Nodes Rev1 (Existing Cap, Historical Prod).csv",power_existing_capacity,High,passthrough — input unit preserved (no conversion)
Indonesia,Transformation\Centralized Electricity Generation\Processes\Gas Turbine_IDSA,Existing Capacity,"Interp(2005, 798.5254245, 2006, 799.4529388, 2007, 829.6564123, 2008, 790.6982341, 2009, 807.9371185, 2010, 984.600257, 2011, 1091.380344, 2012, 1119.154245, 2013, 1130.817738, 2014, 1110.569585, 2015, 1110.569585, 2016, 1138.9103, 2017, 1138.9103, 2018, 1377.987424, 2019, 1377.99, 2020, 1377.99, 2021, 1377.99, 2022, 1008.09, 2023, 1007.302845, 2024, 1012.819716, FirstScenarioYear, 0)",MW,,"Transformation_ Input LEAP_ID_MY_Nodes Rev1 (Existing Cap, Historical Prod).csv",Interpolated trajectory on Existing Capacity | sourced from year-wide Rev1 input,"Transformation_ Input LEAP_ID_MY_Nodes Rev1 (Existing Cap, Historical Prod).csv",power_existing_capacity,High,passthrough — input unit preserved (no conversion)
Indonesia,Transformation\Centralized Electricity Generation\Processes\Gas Turbine_IDJW,Existing Capacity,"Interp(2005, 1889.378178, 2006, 1891.572754, 2007, 1963.036708, 2008, 1870.858388, 2009, 1911.647036, 2010, 2329.646849, 2011, 2582.297497, 2012, 2648.012879, 2013, 2675.609681, 2014, 2627.700852, 2015, 2627.700852, 2016, 2694.757363, 2017, 2694.757363, 2018, 3260.433904, 2019, 3260.44, 2020, 3260.44, 2021, 3260.44, 2022, 2690.04, 2023, 2687.939514, 2024, 2702.661021, FirstScenarioYear, 0)",MW,,"Transformation_ Input LEAP_ID_MY_Nodes Rev1 (Existing Cap, Historical Prod).csv",Interpolated trajectory on Existing Capacity | sourced from year-wide Rev1 input,"Transformation_ Input LEAP_ID_MY_Nodes Rev1 (Existing Cap, Historical Prod).csv",power_existing_capacity,High,passthrough — input unit preserved (no conversion)
