expected_branch,found_in_v038,suggestion
Transformation\Centralized Electricity Generation\Processes\Biogas,Y,
Transformation\Centralized Electricity Generation\Processes\Biomass Gasification,Y,
Transformation\Centralized Electricity Generation\Processes\Biomass Other,Y,
Transformation\Centralized Electricity Generation\Processes\Coal IGCC,Y,
Transformation\Centralized Electricity Generation\Processes\Coal Subcritical,Y,
Transformation\Centralized Electricity Generation\Processes\Diesel,Y,
Transformation\Centralized Electricity Generation\Processes\Fuel Oil,Y,
Transformation\Centralized Electricity Generation\Processes\Gas Combined Cycle,Y,
Transformation\Centralized Electricity Generation\Processes\Gas Engine,Y,
Transformation\Centralized Electricity Generation\Processes\Gas Turbine,Y,
Transformation\Centralized Electricity Generation\Processes\Geothermal Flash,Y,
Transformation\Centralized Electricity Generation\Processes\Large Hydro,Y,
Transformation\Centralized Electricity Generation\Processes\Pumped Hydro,Y,
Transformation\Centralized Electricity Generation\Processes\Small Hydro,Y,
Transformation\Centralized Electricity Generation\Processes\Solar Floating,Y,
Transformation\Centralized Electricity Generation\Processes\Solar PV,Y,
Transformation\Centralized Electricity Generation\Processes\Waste,Y,
Transformation\Centralized Electricity Generation\Processes\Wind Onshore,Y,
