Technology,Unit,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Coal Subcritical,MW,9750.0,11170.0,12014.0,12294.0,12594.0,12981.5,16359.0,16805.0,20868.53,22160.23,24285.73,24388.23,23396.2,28178.17,31328.17,33258.86,33627.36,42605.26,46347.37,50929.84
Coal Supercritical,MW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1475.0,1475.0,1475.0,1475.0,2749.0,3409.0,3409.0,3409.0,3409.0,3409.0,3409.0,3409.0,3409.0
Coal Ultrasupercritical (USC),MW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coal with CCS,MW,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coal based IGCC,MW,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,30.0,250.0,450.0
Coal based IGCC with CCS,MW,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oil based Gas Turbine,MW,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Diesel Oil,MW,3208.08,3165.05,3211.91,3272.98,3256.36,4569.89,5471.93,5973.58,5935.0,6206.99,6274.79,6274.79,6278.79,4630.9,4779.68,4863.53,4986.58,4352.09,4638.31,5819.28
Fuel Oil (Heavy Oil),MW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other IGCC,MW,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Natural gas based Gas Turbine,MW,3099.35,3102.9500000000003,3220.176,3068.973,3135.877,3821.567,4236.021,4343.821,4389.086,4310.4980000000005,4310.4980000000005,4420.5,4420.4980000000005,5348.44,5348.44,5348.44,5348.44,4456.74,4453.27,4477.66
Natural gas based IGCC,MW,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Combined Cycle Gas Turbine,MW,6919.97,7659.97,7699.97,8009.97,8009.97,7590.32,8480.97,9461.11,9852.210000000001,10146.11,10146.11,10146.11,10146.11,11220.1,11669.54,12235.71,12411.51,13397.82,16065.76,18798.41
Large Hydro,MW,3410.94,3719.19,3694.62,3697.52,3701.67,3733.91,3944.42,4146.41,5165.61,5229.39,5260.6900000000005,5382.39,5450.14,5399.59,5558.52,5638.67,5988.67,5988.67,5610.07,6047.16
Small Hydro,MW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,372.56,417.51,482.21,613.0799999999999,700.3499999999999,959.57,1005.3100000000001
Pumped Hydro Storage,MW,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nuclear,MW,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Geothermal,MW,850.0,850.0,980.0,1052.0,1189.0,1189.0,1226.0,1336.0,1343.5,1403.5,1438.5,1643.5,1808.3,1948.3,2130.7,2130.7,2286.05,2360.33,2597.51,2638.76
Solar PV,MW,0.0,0.0,0.0,0.0,0.0,0.19,1.2,4.1,9.0,9.0,36.9,46.7,54.5,60.190000000000005,145.81,147.29000000000002,201.08999999999997,283.14,599.97,909.43
Solar Thermal,MW,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ocean,MW,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wind Turbine,MW,0.0,0.0,0.1,0.26,1.06,0.34,0.93,0.93,0.63,1.12,1.12,1.12,1.12,143.51,154.31,154.31,154.31,154.31,152.29999999999998,152.29999999999998
Biomass Other,MW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,1762.12,1767.12,1770.62,2124.7400000000002,2925.05,3201.01,2906.36
Biomass Gasification,MW,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biomass Gasification with CCS,MW,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biodiesel,MW,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fuel Cell (Hydrogen),MW,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biogas,MW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.8,108.61000000000001,112.41,117.82,134.79,149.41,155.93,157.25
Battery,MW,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Others,MW,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,18.0
Gas Engine,MW,3.0,21.0,33.0,66.84,71.0,92.84,169.54,198.74,448.12,610.741,818.741,1852.74,2406.971,2357.66,2842.03,3177.93,3218.87,2976.47,2689.32,2889.82
Waste to Energy,MW,0.0,0.0,0.0,0.0,0.0,0.0,26.0,26.0,26.0,36.0,15.65,15.65,15.65,15.65,15.65,15.65,28.45,24.45,36.47,36.47
Total,MW,27241.34,29688.16,30853.775999999998,31462.543,31958.937,33979.55699999999,39916.011,43770.691,49512.686,51588.579000000005,54063.729000000014,56920.729999999996,57400.97900000001,64954.80000000001,69678.89,72750.73999999998,74532.94,83813.09000000001,91165.86,100645.05
,,,,,,,,,,,,,,,,,,,,,
,,1.0,,,,,,,,,,,,,,,,,,,
