ams,branch,variable,expression,unit,fuel,source,note,src_csv,domain,data_confidence
Brunei,Transformation\Centralized Electricity Generation\Processes\Coal IGCC,Existing Capacity,"Interp(2019, 254, 2020, 254, 2021, 254, 2022, 254, 2023, 254, 2024, 254)",Megawatt,,"existing_cap_historical_prod.xlsx (mailbox source-of-truth, 2026-05-05)",Align historical Existing Capacity to source-of-truth xlsx,existing_cap_historical_prod.xlsx,power_existing_capacity,High
Brunei,Transformation\Centralized Electricity Generation\Processes\Diesel,Existing Capacity,"Interp(2005, 13.5, 2006, 13.5, 2007, 13.5, 2008, 13.5, 2009, 13.5, 2010, 15, 2011, 14, 2012, 14, 2013, 14, 2014, 14, 2015, 12, 2016, 12, 2017, 12, 2018, 12, 2019, 12, 2020, 12, 2021, 15, 2022, 15, 2023, 15, 2024, 15)",Megawatt,,"existing_cap_historical_prod.xlsx (mailbox source-of-truth, 2026-05-05)",Align historical Existing Capacity to source-of-truth xlsx,existing_cap_historical_prod.xlsx,power_existing_capacity,High
Brunei,Transformation\Centralized Electricity Generation\Processes\Gas Turbine,Existing Capacity,"Interp(2005, 567.43, 2006, 566.97, 2007, 566.59, 2008, 569.04, 2009, 569.71, 2010, 576.95, 2011, 583.95, 2012, 605.95, 2013, 607.49, 2014, 610.39, 2015, 613.99, 2016, 613.99, 2017, 613.99, 2018, 613.73, 2019, 627.73, 2020, 627.73, 2021, 669.43, 2022, 669.43, 2023, 669.43, 2024, 669.43)",Megawatt,,"existing_cap_historical_prod.xlsx (mailbox source-of-truth, 2026-05-05)",Align historical Existing Capacity to source-of-truth xlsx,existing_cap_historical_prod.xlsx,power_existing_capacity,High
Brunei,Transformation\Centralized Electricity Generation\Processes\Gas Combined Cycle,Existing Capacity,"Interp(2005, 180, 2006, 180, 2007, 296, 2008, 296, 2009, 296, 2010, 296, 2011, 296, 2012, 296, 2013, 296, 2014, 296, 2015, 296, 2016, 331, 2017, 366, 2018, 366, 2019, 366, 2020, 366, 2021, 366, 2022, 366, 2023, 366, 2024, 366)",Megawatt,,"existing_cap_historical_prod.xlsx (mailbox source-of-truth, 2026-05-05)",Align historical Existing Capacity to source-of-truth xlsx,existing_cap_historical_prod.xlsx,power_existing_capacity,High
Brunei,Transformation\Centralized Electricity Generation\Processes\Solar PV,Existing Capacity,"Interp(2010, 1, 2011, 1, 2012, 1, 2013, 1, 2014, 1, 2015, 1, 2016, 1, 2017, 1, 2018, 1.2, 2019, 1.2, 2020, 1.2, 2021, 4.5, 2022, 4.5, 2023, 4.5, 2024, 6.8)",Megawatt,,"existing_cap_historical_prod.xlsx (mailbox source-of-truth, 2026-05-05)",Align historical Existing Capacity to source-of-truth xlsx,existing_cap_historical_prod.xlsx,power_existing_capacity,High
Cambodia,Transformation\Centralized Electricity Generation\Processes\Coal Subcritical,Existing Capacity,"Interp(2005, 0, 2006, 0, 2007, 0, 2008, 13, 2009, 13, 2010, 13, 2011, 13, 2012, 13, 2013, 113, 2014, 268, 2015, 403, 2016, 429.2, 2017, 538, 2018, 551, 2019, 709, 2020, 675, 2021, 675, 2022, 1025, 2023, 1300, 2024, 1300)",Megawatt,,"existing_cap_historical_prod.xlsx (mailbox source-of-truth, 2026-05-05)",Align historical Existing Capacity to source-of-truth xlsx,existing_cap_historical_prod.xlsx,power_existing_capacity,High
Cambodia,Transformation\Centralized Electricity Generation\Processes\Coal Supercritical,Existing Capacity,"Interp(2005, 0, 2006, 0, 2007, 0, 2008, 0, 2009, 0, 2010, 0, 2011, 0, 2012, 0, 2013, 0, 2014, 0, 2015, 0, 2016, 0, 2017, 0, 2018, 0, 2019, 0, 2020, 0)",Megawatt,,"existing_cap_historical_prod.xlsx (mailbox source-of-truth, 2026-05-05)",Align historical Existing Capacity to source-of-truth xlsx,existing_cap_historical_prod.xlsx,power_existing_capacity,High
Cambodia,Transformation\Centralized Electricity Generation\Processes\Coal Ultrasupercritical,Existing Capacity,"Interp(2005, 0, 2006, 0, 2007, 0, 2008, 0, 2009, 0, 2010, 0, 2011, 0, 2012, 0, 2013, 0, 2014, 0, 2015, 0, 2016, 0, 2017, 0, 2018, 0, 2019, 0, 2020, 0)",Megawatt,,"existing_cap_historical_prod.xlsx (mailbox source-of-truth, 2026-05-05)",Align historical Existing Capacity to source-of-truth xlsx,existing_cap_historical_prod.xlsx,power_existing_capacity,High
Cambodia,Transformation\Centralized Electricity Generation\Processes\Diesel,Existing Capacity,"Interp(2005, 20, 2006, 20, 2007, 35, 2008, 43, 2009, 38, 2010, 39, 2011, 57, 2012, 54, 2013, 59, 2014, 34, 2015, 40, 2016, 40, 2017, 13, 2018, 0, 2019, 0, 2020, 0, 2021, 0, 2022, 0, 2023, 0, 2024, 0)",Megawatt,,"existing_cap_historical_prod.xlsx (mailbox source-of-truth, 2026-05-05)",Align historical Existing Capacity to source-of-truth xlsx,existing_cap_historical_prod.xlsx,power_existing_capacity,High
Cambodia,Transformation\Centralized Electricity Generation\Processes\Fuel Oil,Existing Capacity,"Interp(2005, 199, 2006, 262, 2007, 262, 2008, 310, 2009, 302, 2010, 289, 2011, 285, 2012, 267, 2013, 266, 2014, 257, 2015, 218, 2016, 274, 2017, 251, 2018, 267, 2019, 270, 2020, 659, 2021, 619.6, 2022, 642.6, 2023, 400, 2024, 400)",Megawatt,,"existing_cap_historical_prod.xlsx (mailbox source-of-truth, 2026-05-05)",Align historical Existing Capacity to source-of-truth xlsx,existing_cap_historical_prod.xlsx,power_existing_capacity,High
Cambodia,Transformation\Centralized Electricity Generation\Processes\Large Hydro,Existing Capacity,"Interp(2005, 12.96, 2006, 12.96, 2007, 12.96, 2008, 13.386, 2009, 13.35, 2010, 13.33, 2011, 207.06, 2012, 225.43, 2013, 682.1, 2014, 682.1, 2015, 927, 2016, 929.7, 2017, 979.7, 2018, 1330, 2019, 1330, 2020, 1330, 2021, 1329.7, 2022, 1331.7, 2023, 1791, 2024, 1796)",Megawatt,,"existing_cap_historical_prod.xlsx (mailbox source-of-truth, 2026-05-05)",Align historical Existing Capacity to source-of-truth xlsx,existing_cap_historical_prod.xlsx,power_existing_capacity,High
