ams,branch,variable,expression,unit,fuel,source,note,src_csv,domain,data_confidence
Brunei,Transformation\Centralized Electricity Generation\Processes\Coal IGCC,Historical Production,"Interp(2005, 0, 2006, 0, 2007, 0, 2008, 0, 2009, 0, 2010, 0, 2011, 0, 2012, 0, 2013, 0, 2014, 0, 2015, 0, 2016, 0, 2017, 0, 2018, 0, 2019, 484.082698, 2020, 914.47981, 2021, 1241.882, 2022, 1207.644, 2023, 1144.308, 2024, 1190.072, FirstScenarioYear, 0)",Gigawatt-Hour,,existing_cap_historical_prod.xlsx Input_to_LEAP sheet (round 1.5 anchor patch),Round 1.5 patch A — HP with FirstScenarioYear=0 anchor for BAS scenario,existing_cap_historical_prod.xlsx,power_existing_capacity,High
Brunei,Transformation\Centralized Electricity Generation\Processes\Diesel,Historical Production,"Interp(2005, 28.6, 2006, 30.6, 2007, 32.8, 2008, 33.3, 2009, 36.6, 2010, 37.9, 2011, 37.4, 2012, 37.8, 2013, 38.1, 2014, 39.6, 2015, 42.4, 2016, 45.2, 2017, 45.5, 2018, 46.875082, 2019, 48.8701, 2020, 39.903941, 2021, 36.385892, 2022, 45.768235, 2023, 41.724482, 2024, 42.494313, FirstScenarioYear, 0)",Gigawatt-Hour,,existing_cap_historical_prod.xlsx Input_to_LEAP sheet (round 1.5 anchor patch),Round 1.5 patch A — HP with FirstScenarioYear=0 anchor for BAS scenario,existing_cap_historical_prod.xlsx,power_existing_capacity,High
Brunei,Transformation\Centralized Electricity Generation\Processes\Gas Turbine,Historical Production,"Interp(2005, 2491.26, 2006, 2592.23, 2007, 2656.1, 2008, 2700.989, 2009, 2739.3, 2010, 2715.5, 2011, 2483.5, 2012, 2582.9, 2013, 2684.9, 2014, 2749.8, 2015, 2845.4, 2016, 2836.1, 2017, 2721.936, 2018, 2664.38332, 2019, 2693.411, 2020, 2654.898, 2021, 2710.998, 2022, 2491.599058, 2023, 2581.808, 2024, 2798.774, FirstScenarioYear, 0)",Gigawatt-Hour,,existing_cap_historical_prod.xlsx Input_to_LEAP sheet (round 1.5 anchor patch),Round 1.5 patch A — HP with FirstScenarioYear=0 anchor for BAS scenario,existing_cap_historical_prod.xlsx,power_existing_capacity,High
Brunei,Transformation\Centralized Electricity Generation\Processes\Gas Combined Cycle,Historical Production,"Interp(2005, 618.6, 2006, 659.4, 2007, 705.9, 2008, 693, 2009, 850.5, 2010, 1038.8, 2011, 1202.1, 2012, 1307.9, 2013, 1238.8, 2014, 1265.2, 2015, 1311, 2016, 1388.6, 2017, 1388.378, 2018, 1580.747, 2019, 1706.877, 2020, 1813.802, 2021, 1706.045, 2022, 1852.153, 2023, 1837.731, 2024, 1776.212, FirstScenarioYear, 0)",Gigawatt-Hour,,existing_cap_historical_prod.xlsx Input_to_LEAP sheet (round 1.5 anchor patch),Round 1.5 patch A — HP with FirstScenarioYear=0 anchor for BAS scenario,existing_cap_historical_prod.xlsx,power_existing_capacity,High
Brunei,Transformation\Centralized Electricity Generation\Processes\Solar PV,Historical Production,"Interp(2005, 0, 2006, 0, 2007, 0, 2008, 0, 2009, 0, 2010, 0, 2011, 0, 2012, 0, 2013, 0, 2014, 0, 2015, 1.29343, 2016, 1.1, 2017, 1.545363, 2018, 1.569022, 2019, 1.05832, 2020, 0.983102, 2021, 4.429897, 2022, 5.087164, 2023, 5.578603, 2024, 4.822376, FirstScenarioYear, 0)",Gigawatt-Hour,,existing_cap_historical_prod.xlsx Input_to_LEAP sheet (round 1.5 anchor patch),Round 1.5 patch A — HP with FirstScenarioYear=0 anchor for BAS scenario,existing_cap_historical_prod.xlsx,power_existing_capacity,High
Cambodia,Transformation\Centralized Electricity Generation\Processes\Coal Subcritical,Historical Production,"Interp(2005, 0, 2006, 0, 2007, 0, 2008, 23.36, 2009, 28.03, 2010, 32.08, 2011, 46.5, 2012, 37.42, 2013, 168.75, 2014, 863.02, 2015, 2210.14, 2016, 2551.17, 2017, 3569.01, 2018, 3362, 2019, 4107, 2020, 4311, 2021, 3455.6, 2022, 3664.67, 2023, 7665.13, 2024, 9208.88, FirstScenarioYear, 0)",Gigawatt-Hour,,existing_cap_historical_prod.xlsx Input_to_LEAP sheet (round 1.5 anchor patch),Round 1.5 patch A — HP with FirstScenarioYear=0 anchor for BAS scenario,existing_cap_historical_prod.xlsx,power_existing_capacity,High
Cambodia,Transformation\Centralized Electricity Generation\Processes\Diesel,Historical Production,"Interp(2005, 21, 2006, 24, 2007, 36, 2008, 38, 2009, 42, 2010, 41, 2011, 38, 2012, 40, 2013, 28, 2014, 28, 2015, 94, 2016, 16, 2017, 10, 2018, 0, 2019, 0, 2020, 0, 2021, 0, 2022, 0, 2023, 0, 2024, 0, FirstScenarioYear, 0)",Gigawatt-Hour,,existing_cap_historical_prod.xlsx Input_to_LEAP sheet (round 1.5 anchor patch),Round 1.5 patch A — HP with FirstScenarioYear=0 anchor for BAS scenario,existing_cap_historical_prod.xlsx,power_existing_capacity,High
Cambodia,Transformation\Centralized Electricity Generation\Processes\Fuel Oil,Historical Production,"Interp(2005, 815, 2006, 1011, 2007, 1258, 2008, 1372, 2009, 1111, 2010, 858, 2011, 871, 2012, 816, 2013, 551, 2014, 299, 2015, 118, 2016, 362, 2017, 381, 2018, 302, 2019, 739, 2020, 451, 2021, 553.64, 2022, 351.14, 2023, 53.28, 2024, 532.42, FirstScenarioYear, 0)",Gigawatt-Hour,,existing_cap_historical_prod.xlsx Input_to_LEAP sheet (round 1.5 anchor patch),Round 1.5 patch A — HP with FirstScenarioYear=0 anchor for BAS scenario,existing_cap_historical_prod.xlsx,power_existing_capacity,High
Cambodia,Transformation\Centralized Electricity Generation\Processes\Large Hydro,Historical Production,"Interp(2005, 43.54, 2006, 50.61, 2007, 49.71, 2008, 46.28, 2009, 47.43, 2010, 31.73, 2011, 51.52, 2012, 517.37, 2013, 1015.54, 2014, 1851.6, 2015, 1988.38, 2016, 2619.11, 2017, 2711.14, 2018, 4832, 2019, 4106, 2020, 3937, 2021, 5043.94, 2022, 5557.55, 2023, 7333.41, 2024, 7227.78, FirstScenarioYear, 0)",Gigawatt-Hour,,existing_cap_historical_prod.xlsx Input_to_LEAP sheet (round 1.5 anchor patch),Round 1.5 patch A — HP with FirstScenarioYear=0 anchor for BAS scenario,existing_cap_historical_prod.xlsx,power_existing_capacity,High
Cambodia,Transformation\Centralized Electricity Generation\Processes\Solar PV,Historical Production,"Interp(2005, 0, 2006, 0, 2007, 0, 2008, 0, 2009, 0, 2010, 0, 2011, 0, 2012, 0, 2013, 0, 2014, 0, 2015, 0, 2016, 0, 2017, 4.66, 2018, 16, 2019, 92, 2020, 290, 2021, 609.96, 2022, 687.87, 2023, 805.06, 2024, 1278.96, FirstScenarioYear, 0)",Gigawatt-Hour,,existing_cap_historical_prod.xlsx Input_to_LEAP sheet (round 1.5 anchor patch),Round 1.5 patch A — HP with FirstScenarioYear=0 anchor for BAS scenario,existing_cap_historical_prod.xlsx,power_existing_capacity,High
