ams,branch,branch_type,variable,year,value
Brunei,Transformation\Centralized Electricity Generation,Transformation Module,Costs of Production,2025,32873131.12471681
Brunei,Transformation\Centralized Electricity Generation,Transformation Module,Costs of Production,2030,26521855.640712887
Brunei,Transformation\Centralized Electricity Generation,Transformation Module,Costs of Production,2035,211424221.06267574
Brunei,Transformation\Centralized Electricity Generation,Transformation Module,Costs of Production,2040,1153909729.2523956
Brunei,Transformation\Centralized Electricity Generation,Transformation Module,Costs of Production,2045,735826480.2829636
Brunei,Transformation\Centralized Electricity Generation,Transformation Module,Costs of Production,2050,544559362.5413836
Brunei,Transformation\Centralized Electricity Generation,Transformation Module,Costs of Production,2055,508199963.935871
Brunei,Transformation\Centralized Electricity Generation,Transformation Module,Costs of Production,2060,496389601.11368835
Brunei,Transformation\Centralized Electricity Generation,Transformation Module,Energy Generation,2025,230350454.96339482
Brunei,Transformation\Centralized Electricity Generation,Transformation Module,Energy Generation,2030,224586878.49431533
Brunei,Transformation\Centralized Electricity Generation,Transformation Module,Energy Generation,2035,227350206.9158542
Brunei,Transformation\Centralized Electricity Generation,Transformation Module,Energy Generation,2040,231248460.2506023
Brunei,Transformation\Centralized Electricity Generation,Transformation Module,Energy Generation,2045,263567501.00468644
Brunei,Transformation\Centralized Electricity Generation,Transformation Module,Energy Generation,2050,36522246.790975
Brunei,Transformation\Centralized Electricity Generation,Transformation Module,Energy Generation,2055,36363553.95438794
Brunei,Transformation\Centralized Electricity Generation,Transformation Module,Energy Generation,2060,43086453.38232557
Brunei,Transformation\Centralized Electricity Generation,Transformation Module,Power Generation,2025,1659820731.7776086
Brunei,Transformation\Centralized Electricity Generation,Transformation Module,Power Generation,2030,1679427798.050552
Brunei,Transformation\Centralized Electricity Generation,Transformation Module,Power Generation,2035,1705827285.8109047
Brunei,Transformation\Centralized Electricity Generation,Transformation Module,Power Generation,2040,1793315708.7038195
Brunei,Transformation\Centralized Electricity Generation,Transformation Module,Power Generation,2045,1800522813.235787
Brunei,Transformation\Centralized Electricity Generation,Transformation Module,Power Generation,2050,29270819.392241497
Brunei,Transformation\Centralized Electricity Generation,Transformation Module,Power Generation,2055,36725122.58904464
Brunei,Transformation\Centralized Electricity Generation,Transformation Module,Power Generation,2060,41992768.76389109
Brunei,Transformation\Centralized Electricity Generation,Transformation Module,Curtailed Energy Production,2025,1694009134.780139
Brunei,Transformation\Centralized Electricity Generation,Transformation Module,Curtailed Energy Production,2030,1707678992.8505692
Brunei,Transformation\Centralized Electricity Generation,Transformation Module,Curtailed Energy Production,2035,1724749700.4325445
Brunei,Transformation\Centralized Electricity Generation,Transformation Module,Curtailed Energy Production,2040,1941740484.6989818
Brunei,Transformation\Centralized Electricity Generation,Transformation Module,Curtailed Energy Production,2045,1860920554.2755573
Brunei,Transformation\Centralized Electricity Generation,Transformation Module,Curtailed Energy Production,2050,79434732.91511017
Brunei,Transformation\Centralized Electricity Generation,Transformation Module,Curtailed Energy Production,2055,104066466.27000605
Brunei,Transformation\Centralized Electricity Generation,Transformation Module,Curtailed Energy Production,2060,114613891.15552174
Brunei,Transformation\Centralized Electricity Generation,Transformation Module,Pollutant Loadings,2025,-4593767565.157986
Brunei,Transformation\Centralized Electricity Generation,Transformation Module,Pollutant Loadings,2030,-4170949219.200986
Brunei,Transformation\Centralized Electricity Generation,Transformation Module,Pollutant Loadings,2035,-4054527847.3891764
Brunei,Transformation\Centralized Electricity Generation,Transformation Module,Pollutant Loadings,2040,-3926076331.7403364
Brunei,Transformation\Centralized Electricity Generation,Transformation Module,Pollutant Loadings,2045,1949763827.0498357
Brunei,Transformation\Centralized Electricity Generation,Transformation Module,Pollutant Loadings,2050,3767004735.3616133
Brunei,Transformation\Centralized Electricity Generation,Transformation Module,Pollutant Loadings,2055,14801480583.547758
Brunei,Transformation\Centralized Electricity Generation,Transformation Module,Pollutant Loadings,2060,11566134397.167358
Brunei,Transformation\Centralized Electricity Generation\Processes\Coal Supercritical,Transformation Process,Costs of Production,2025,5650005.5247168
Brunei,Transformation\Centralized Electricity Generation\Processes\Coal Supercritical,Transformation Process,Costs of Production,2030,6333473.934964801
Brunei,Transformation\Centralized Electricity Generation\Processes\Coal Supercritical,Transformation Process,Costs of Production,2035,6561296.738380803
Brunei,Transformation\Centralized Electricity Generation\Processes\Coal Supercritical,Transformation Process,Costs of Production,2040,6789119.541796802
Brunei,Transformation\Centralized Electricity Generation\Processes\Coal Supercritical,Transformation Process,Costs of Production,2045,6834684.102479999
Brunei,Transformation\Centralized Electricity Generation\Processes\Coal Supercritical,Transformation Process,Costs of Production,2050,6834684.102479999
Brunei,Transformation\Centralized Electricity Generation\Processes\Coal Supercritical,Transformation Process,Energy Generation,2025,55117.00458312877
Brunei,Transformation\Centralized Electricity Generation\Processes\Coal Supercritical,Transformation Process,Energy Generation,2030,58914.729068046094
Brunei,Transformation\Centralized Electricity Generation\Processes\Coal Supercritical,Transformation Process,Energy Generation,2035,77302.56566494088
Brunei,Transformation\Centralized Electricity Generation\Processes\Coal Supercritical,Transformation Process,Energy Generation,2040,94990.4384845322
Brunei,Transformation\Centralized Electricity Generation\Processes\Coal Supercritical,Transformation Process,Energy Generation,2045,104616.65469678162
