branch,branch_type,variable,unit
Transformation\Centralized Electricity Generation\Processes\Coal Subcritical,Transformation Process,Lifetime,Years
Transformation\Centralized Electricity Generation\Processes\Coal Subcritical,Transformation Process,Interest Rate,Percent
Transformation\Centralized Electricity Generation\Processes\Coal Subcritical,Transformation Process,Exogenous Capacity,Megawatt
Transformation\Centralized Electricity Generation\Processes\Coal Subcritical,Transformation Process,Maximum Availability,Percent
Transformation\Centralized Electricity Generation\Processes\Coal Subcritical,Transformation Process,Minimum Utilization,Percent
Transformation\Centralized Electricity Generation\Processes\Coal Subcritical,Transformation Process,Capacity Credit,Percent
Transformation\Centralized Electricity Generation\Processes\Coal Subcritical,Transformation Process,Process Efficiency,Percent
Transformation\Centralized Electricity Generation\Processes\Coal Subcritical,Transformation Process,Variable OM Cost,U.S. Dollar/Megawatt-Hour
Transformation\Centralized Electricity Generation\Processes\Coal Subcritical,Transformation Process,Capital Cost,Thousand U.S. Dollar/Megawatt
Transformation\Centralized Electricity Generation\Processes\Coal Subcritical,Transformation Process,Fixed OM Cost,Thousand U.S. Dollar/Megawatt
Transformation\Centralized Electricity Generation\Processes\Coal Supercritical,Transformation Process,Lifetime,Years
Transformation\Centralized Electricity Generation\Processes\Coal Supercritical,Transformation Process,Interest Rate,Percent
Transformation\Centralized Electricity Generation\Processes\Coal Supercritical,Transformation Process,Exogenous Capacity,Megawatt
Transformation\Centralized Electricity Generation\Processes\Coal Supercritical,Transformation Process,Maximum Availability,Percent
Transformation\Centralized Electricity Generation\Processes\Coal Supercritical,Transformation Process,Minimum Utilization,Percent
Transformation\Centralized Electricity Generation\Processes\Coal Supercritical,Transformation Process,Capacity Credit,Percent
Transformation\Centralized Electricity Generation\Processes\Coal Supercritical,Transformation Process,Process Efficiency,Percent
Transformation\Centralized Electricity Generation\Processes\Coal Supercritical,Transformation Process,Variable OM Cost,U.S. Dollar/Megawatt-Hour
Transformation\Centralized Electricity Generation\Processes\Coal Supercritical,Transformation Process,Capital Cost,Thousand U.S. Dollar/Megawatt
Transformation\Centralized Electricity Generation\Processes\Coal Supercritical,Transformation Process,Fixed OM Cost,Thousand U.S. Dollar/Megawatt
Transformation\Centralized Electricity Generation\Processes\Coal Ultrasupercritical,Transformation Process,Lifetime,Years
Transformation\Centralized Electricity Generation\Processes\Coal Ultrasupercritical,Transformation Process,Interest Rate,Percent
Transformation\Centralized Electricity Generation\Processes\Coal Ultrasupercritical,Transformation Process,Exogenous Capacity,Megawatt
Transformation\Centralized Electricity Generation\Processes\Coal Ultrasupercritical,Transformation Process,Maximum Availability,Percent
Transformation\Centralized Electricity Generation\Processes\Coal Ultrasupercritical,Transformation Process,Minimum Utilization,Percent
Transformation\Centralized Electricity Generation\Processes\Coal Ultrasupercritical,Transformation Process,Capacity Credit,Percent
Transformation\Centralized Electricity Generation\Processes\Coal Ultrasupercritical,Transformation Process,Process Efficiency,Percent
Transformation\Centralized Electricity Generation\Processes\Coal Ultrasupercritical,Transformation Process,Variable OM Cost,U.S. Dollar/Megawatt-Hour
Transformation\Centralized Electricity Generation\Processes\Coal Ultrasupercritical,Transformation Process,Capital Cost,Thousand U.S. Dollar/Megawatt
Transformation\Centralized Electricity Generation\Processes\Coal Ultrasupercritical,Transformation Process,Fixed OM Cost,Thousand U.S. Dollar/Megawatt
Transformation\Centralized Electricity Generation\Processes\Coal Supercritical CCS,Transformation Process,Lifetime,Years
Transformation\Centralized Electricity Generation\Processes\Coal Supercritical CCS,Transformation Process,Interest Rate,Percent
Transformation\Centralized Electricity Generation\Processes\Coal Supercritical CCS,Transformation Process,Exogenous Capacity,Megawatt
Transformation\Centralized Electricity Generation\Processes\Coal Supercritical CCS,Transformation Process,Maximum Availability,Percent
Transformation\Centralized Electricity Generation\Processes\Coal Supercritical CCS,Transformation Process,Minimum Utilization,Percent
Transformation\Centralized Electricity Generation\Processes\Coal Supercritical CCS,Transformation Process,Capacity Credit,Percent
Transformation\Centralized Electricity Generation\Processes\Coal Supercritical CCS,Transformation Process,Process Efficiency,Percent
Transformation\Centralized Electricity Generation\Processes\Coal Supercritical CCS,Transformation Process,Variable OM Cost,U.S. Dollar/Megawatt-Hour
Transformation\Centralized Electricity Generation\Processes\Coal Supercritical CCS,Transformation Process,Capital Cost,Thousand U.S. Dollar/Megawatt
Transformation\Centralized Electricity Generation\Processes\Coal Supercritical CCS,Transformation Process,Fixed OM Cost,Thousand U.S. Dollar/Megawatt
Transformation\Centralized Electricity Generation\Processes\Coal Ultrasupercritical CCS,Transformation Process,Lifetime,Years
Transformation\Centralized Electricity Generation\Processes\Coal Ultrasupercritical CCS,Transformation Process,Interest Rate,Percent
Transformation\Centralized Electricity Generation\Processes\Coal Ultrasupercritical CCS,Transformation Process,Exogenous Capacity,Megawatt
Transformation\Centralized Electricity Generation\Processes\Coal Ultrasupercritical CCS,Transformation Process,Maximum Availability,Percent
Transformation\Centralized Electricity Generation\Processes\Coal Ultrasupercritical CCS,Transformation Process,Minimum Utilization,Percent
Transformation\Centralized Electricity Generation\Processes\Coal Ultrasupercritical CCS,Transformation Process,Capacity Credit,Percent
Transformation\Centralized Electricity Generation\Processes\Coal Ultrasupercritical CCS,Transformation Process,Process Efficiency,Percent
Transformation\Centralized Electricity Generation\Processes\Coal Ultrasupercritical CCS,Transformation Process,Variable OM Cost,U.S. Dollar/Megawatt-Hour
Transformation\Centralized Electricity Generation\Processes\Coal Ultrasupercritical CCS,Transformation Process,Capital Cost,Thousand U.S. Dollar/Megawatt
Transformation\Centralized Electricity Generation\Processes\Coal Ultrasupercritical CCS,Transformation Process,Fixed OM Cost,Thousand U.S. Dollar/Megawatt
Transformation\Centralized Electricity Generation\Processes\Coal IGCC,Transformation Process,Lifetime,Years
Transformation\Centralized Electricity Generation\Processes\Coal IGCC,Transformation Process,Interest Rate,Percent
Transformation\Centralized Electricity Generation\Processes\Coal IGCC,Transformation Process,Exogenous Capacity,Megawatt
Transformation\Centralized Electricity Generation\Processes\Coal IGCC,Transformation Process,Maximum Availability,Percent
Transformation\Centralized Electricity Generation\Processes\Coal IGCC,Transformation Process,Minimum Utilization,Percent
Transformation\Centralized Electricity Generation\Processes\Coal IGCC,Transformation Process,Capacity Credit,Percent
Transformation\Centralized Electricity Generation\Processes\Coal IGCC,Transformation Process,Process Efficiency,Percent
Transformation\Centralized Electricity Generation\Processes\Coal IGCC,Transformation Process,Variable OM Cost,U.S. Dollar/Megawatt-Hour
Transformation\Centralized Electricity Generation\Processes\Coal IGCC,Transformation Process,Capital Cost,Thousand U.S. Dollar/Megawatt
Transformation\Centralized Electricity Generation\Processes\Coal IGCC,Transformation Process,Fixed OM Cost,Thousand U.S. Dollar/Megawatt
Transformation\Centralized Electricity Generation\Processes\Coal IGCC with CCS,Transformation Process,Lifetime,Years
Transformation\Centralized Electricity Generation\Processes\Coal IGCC with CCS,Transformation Process,Interest Rate,Percent
Transformation\Centralized Electricity Generation\Processes\Coal IGCC with CCS,Transformation Process,Exogenous Capacity,Megawatt
Transformation\Centralized Electricity Generation\Processes\Coal IGCC with CCS,Transformation Process,Maximum Availability,Percent
Transformation\Centralized Electricity Generation\Processes\Coal IGCC with CCS,Transformation Process,Minimum Utilization,Percent
Transformation\Centralized Electricity Generation\Processes\Coal IGCC with CCS,Transformation Process,Capacity Credit,Percent
Transformation\Centralized Electricity Generation\Processes\Coal IGCC with CCS,Transformation Process,Process Efficiency,Percent
Transformation\Centralized Electricity Generation\Processes\Coal IGCC with CCS,Transformation Process,Variable OM Cost,U.S. Dollar/Megawatt-Hour
Transformation\Centralized Electricity Generation\Processes\Coal IGCC with CCS,Transformation Process,Capital Cost,Thousand U.S. Dollar/Megawatt
Transformation\Centralized Electricity Generation\Processes\Coal IGCC with CCS,Transformation Process,Fixed OM Cost,Thousand U.S. Dollar/Megawatt
Transformation\Centralized Electricity Generation\Processes\Diesel,Transformation Process,Lifetime,Years
Transformation\Centralized Electricity Generation\Processes\Diesel,Transformation Process,Interest Rate,Percent
Transformation\Centralized Electricity Generation\Processes\Diesel,Transformation Process,Exogenous Capacity,Megawatt
Transformation\Centralized Electricity Generation\Processes\Diesel,Transformation Process,Maximum Availability,Percent
Transformation\Centralized Electricity Generation\Processes\Diesel,Transformation Process,Minimum Utilization,Percent
Transformation\Centralized Electricity Generation\Processes\Diesel,Transformation Process,Capacity Credit,Percent
