r,t,y,val,solvedtm,region_name,tech_name
R16,P14414,2025,962.2048710338435,2026-05-13 09:47:49.138,Singapore,Unmet Load
R16,P14446,2025,8.481770406181798,2026-05-13 09:47:49.138,Singapore,Solar CSP
R16,P15321,2025,2.814635473593508,2026-05-13 09:47:49.138,Singapore,Gas Combined Cycle with CCS
R1,P16040,2025,3.183280481517212,2026-05-13 09:47:49.138,Indonesia,HVO Renewable Diesel
R11,P16040,2025,5.4698545724567555,2026-05-13 09:47:49.138,Thailand,HVO Renewable Diesel
R17,P16040,2025,4.817687976822422,2026-05-13 09:47:49.138,Malaysia,HVO Renewable Diesel
R17,P21096,2025,1238.0457178760782,2026-05-13 09:47:49.138,Malaysia,Coal Subcritical_MYPE
R17,P21163,2025,141.66545459444876,2026-05-13 09:47:49.138,Malaysia,Coal Subcritical_MYSR
R17,P21230,2025,1348.480893051734,2026-05-13 09:47:49.138,Malaysia,Gas Combined Cycle_MYPE
R1,P21809,2025,2.3765400153935428,2026-05-13 09:47:49.138,Indonesia,Coal Subcritical_IDEast
R1,P21872,2025,20.238420363966252,2026-05-13 09:47:49.138,Indonesia,Coal Subcritical_IDJW
R1,P21935,2025,1.2196386431559887,2026-05-13 09:47:49.138,Indonesia,Coal Subcritical_IDKA
R1,P21998,2025,4.274682988553231,2026-05-13 09:47:49.138,Indonesia,Coal Subcritical_IDSA
R1,P22129,2025,0.9048753254718267,2026-05-13 09:47:49.138,Indonesia,Gas Combined Cycle_IDEast
R1,P22147,2025,0.1436095264466658,2026-05-13 09:47:49.138,Indonesia,Gas Combined Cycle_IDKA
R1,P22165,2025,3.6525624107255306,2026-05-13 09:47:49.138,Indonesia,Gas Combined Cycle_IDSA
R1,P22183,2025,14.416519310777916,2026-05-13 09:47:49.138,Indonesia,Gas Combined Cycle_IDJW
R1,P22235,2025,0.057822457435922264,2026-05-13 09:47:49.138,Indonesia,Gas Turbine_IDSA
R1,P22252,2025,0.3290042651576887,2026-05-13 09:47:49.138,Indonesia,Gas Turbine_IDJW
R1,P22269,2025,16.752318091381163,2026-05-13 09:47:49.138,Indonesia,Gas Engine_IDEast
