r,t,y,val,solvedtm,region_name,tech_name
R16,P11937,2025,226.3272756667912,2026-05-13 09:47:49.138,Singapore,Lithium Ion Batteries
R16,P14414,2025,121418.89091447585,2026-05-13 09:47:49.138,Singapore,Unmet Load
R16,P14446,2025,4476.458465122569,2026-05-13 09:47:49.138,Singapore,Solar CSP
R1,P14937,2025,1.6252051810130168,2026-05-13 09:47:49.138,Indonesia,SMR
R11,P14937,2025,2.79260217318566,2026-05-13 09:47:49.138,Thailand,SMR
R16,P14937,2025,1368.3646906891897,2026-05-13 09:47:49.138,Singapore,SMR
R17,P14937,2025,2.4596423425133205,2026-05-13 09:47:49.138,Malaysia,SMR
R6,P14937,2025,0.11152657874786563,2026-05-13 09:47:49.138,Cambodia,SMR
R16,P15321,2025,489.3326791131834,2026-05-13 09:47:49.138,Singapore,Gas Combined Cycle with CCS
R1,P16040,2025,11.681518517145358,2026-05-13 09:47:49.138,Indonesia,HVO Renewable Diesel
R11,P16040,2025,20.072440315969793,2026-05-13 09:47:49.138,Thailand,HVO Renewable Diesel
R17,P16040,2025,17.67921854132584,2026-05-13 09:47:49.138,Malaysia,HVO Renewable Diesel
R16,P16146,2025,1389.4486830913952,2026-05-13 09:47:49.138,Singapore,H2 Fuel Cell
R16,P16756,2025,1206.451107936176,2026-05-13 09:47:49.138,Singapore,Solar PV Rooftop
R12,P23146,2025,28.194708464344064,2026-05-13 09:47:49.138,Myanmar,POME Biodiesel
R13,P23146,2025,67.06574155530326,2026-05-13 09:47:49.138,Laos,POME Biodiesel
R14,P23146,2025,197.96101855115978,2026-05-13 09:47:49.138,Vietnam,POME Biodiesel
R15,P23146,2025,2.9196133968850893,2026-05-13 09:47:49.138,Brunei,POME Biodiesel
R16,P23146,2025,112.00720413865375,2026-05-13 09:47:49.138,Singapore,POME Biodiesel
R17,P23146,2025,385.5000063234089,2026-05-13 09:47:49.138,Malaysia,POME Biodiesel
R19,P23146,2025,76.62478948552669,2026-05-13 09:47:49.138,Philippines,POME Biodiesel
R20,P23146,2025,0.06591127729385521,2026-05-13 09:47:49.138,Timor Leste,POME Biodiesel
R6,P23146,2025,32.72936473672018,2026-05-13 09:47:49.138,Cambodia,POME Biodiesel
R15,P2544,2025,10689.654466468288,2026-05-13 09:47:49.138,Brunei,All Refineries
R17,P2544,2025,7270.00467305443,2026-05-13 09:47:49.138,Malaysia,All Refineries
R16,P2831,2025,1427.7287644948242,2026-05-13 09:47:49.138,Singapore,Gas Combined Cycle
R16,P2847,2025,2058.772963753506,2026-05-13 09:47:49.138,Singapore,Solar PV
R16,P4240,2025,40.291236258703314,2026-05-13 09:47:49.138,Singapore,Solar Floating
R6,P6131,2025,1.029493672364075,2026-05-13 09:47:49.138,Cambodia,FAME Biodiesel
R11,P14937,2030,14.153743214192563,2026-05-13 09:47:49.138,Thailand,SMR
R17,P14937,2030,23.106442561650386,2026-05-13 09:47:49.138,Malaysia,SMR
R1,P15103,2030,21.43889252326218,2026-05-13 09:47:49.138,Indonesia,PEM Electrolysis
R6,P15103,2030,5.436289285078045,2026-05-13 09:47:49.138,Cambodia,PEM Electrolysis
R1,P16040,2030,176.46566015471882,2026-05-13 09:47:49.138,Indonesia,HVO Renewable Diesel
R11,P16040,2030,102.61623225090635,2026-05-13 09:47:49.138,Thailand,HVO Renewable Diesel
R17,P16040,2030,91.8416598105958,2026-05-13 09:47:49.138,Malaysia,HVO Renewable Diesel
R16,P16741,2030,0.02025411738554754,2026-05-13 09:47:49.138,Singapore,CME Biodiesel
R12,P23146,2030,2.200517771196405,2026-05-13 09:47:49.138,Myanmar,POME Biodiesel
R13,P23146,2030,67.17326806278882,2026-05-13 09:47:49.138,Laos,POME Biodiesel
R14,P23146,2030,280.9686583510163,2026-05-13 09:47:49.138,Vietnam,POME Biodiesel
R15,P23146,2030,0.0017504809453189423,2026-05-13 09:47:49.138,Brunei,POME Biodiesel
R16,P23146,2030,8.758733936696954,2026-05-13 09:47:49.138,Singapore,POME Biodiesel
R17,P23146,2030,288.70960405279516,2026-05-13 09:47:49.138,Malaysia,POME Biodiesel
R19,P23146,2030,89.90405279697617,2026-05-13 09:47:49.138,Philippines,POME Biodiesel
R20,P23146,2030,0.016112845679892497,2026-05-13 09:47:49.138,Timor Leste,POME Biodiesel
R6,P23146,2030,1.6720106614825214,2026-05-13 09:47:49.138,Cambodia,POME Biodiesel
R17,P2544,2030,288.4120436459534,2026-05-13 09:47:49.138,Malaysia,All Refineries
R16,P2831,2030,815.6192519712781,2026-05-13 09:47:49.138,Singapore,Gas Combined Cycle
R16,P11937,2035,159.55118752444707,2026-05-13 09:47:49.138,Singapore,Lithium Ion Batteries
R11,P14937,2035,14.43572896904644,2026-05-13 09:47:49.138,Thailand,SMR
R17,P14937,2035,46.57149944684306,2026-05-13 09:47:49.138,Malaysia,SMR
R1,P15103,2035,28.92419950063959,2026-05-13 09:47:49.138,Indonesia,PEM Electrolysis
R6,P15103,2035,14.243207379326183,2026-05-13 09:47:49.138,Cambodia,PEM Electrolysis
R1,P16040,2035,275.1123181044552,2026-05-13 09:47:49.138,Indonesia,HVO Renewable Diesel
R11,P16040,2035,104.66066072990523,2026-05-13 09:47:49.138,Thailand,HVO Renewable Diesel
R17,P16040,2035,87.00533405317036,2026-05-13 09:47:49.138,Malaysia,HVO Renewable Diesel
R16,P16741,2035,0.00310104870214453,2026-05-13 09:47:49.138,Singapore,CME Biodiesel
R11,P23146,2035,482.6630172976251,2026-05-13 09:47:49.138,Thailand,POME Biodiesel
R12,P23146,2035,2.6833855820193215,2026-05-13 09:47:49.138,Myanmar,POME Biodiesel
R13,P23146,2035,19.24726451553072,2026-05-13 09:47:49.138,Laos,POME Biodiesel
R14,P23146,2035,339.34231895611214,2026-05-13 09:47:49.138,Vietnam,POME Biodiesel
R16,P23146,2035,6.933116430899118,2026-05-13 09:47:49.138,Singapore,POME Biodiesel
R19,P23146,2035,25.38064679143189,2026-05-13 09:47:49.138,Philippines,POME Biodiesel
R20,P23146,2035,0.01433781097588603,2026-05-13 09:47:49.138,Timor Leste,POME Biodiesel
R17,P2544,2035,225.0268095462425,2026-05-13 09:47:49.138,Malaysia,All Refineries
R16,P2831,2035,551.2979153144423,2026-05-13 09:47:49.138,Singapore,Gas Combined Cycle
R11,P11937,2040,198.87891011684755,2026-05-13 09:47:49.138,Thailand,Lithium Ion Batteries
R12,P11937,2040,75.54728274700899,2026-05-13 09:47:49.138,Myanmar,Lithium Ion Batteries
R11,P14937,2040,7.394031223151741,2026-05-13 09:47:49.138,Thailand,SMR
R17,P14937,2040,66.52151156203017,2026-05-13 09:47:49.138,Malaysia,SMR
R1,P15103,2040,30.643721069231606,2026-05-13 09:47:49.138,Indonesia,PEM Electrolysis
R6,P15103,2040,18.364300909313222,2026-05-13 09:47:49.138,Cambodia,PEM Electrolysis
R1,P16040,2040,345.15892337035007,2026-05-13 09:47:49.138,Indonesia,HVO Renewable Diesel
R11,P16040,2040,53.60755905932813,2026-05-13 09:47:49.138,Thailand,HVO Renewable Diesel
R17,P16040,2040,83.76884582951064,2026-05-13 09:47:49.138,Malaysia,HVO Renewable Diesel
R16,P16741,2040,0.0018022704757194635,2026-05-13 09:47:49.138,Singapore,CME Biodiesel
R11,P23146,2040,8.662232805450133,2026-05-13 09:47:49.138,Thailand,POME Biodiesel
R12,P23146,2040,2.134655369689552,2026-05-13 09:47:49.138,Myanmar,POME Biodiesel
R13,P23146,2040,9.96287568325389,2026-05-13 09:47:49.138,Laos,POME Biodiesel
R14,P23146,2040,292.1911989584206,2026-05-13 09:47:49.138,Vietnam,POME Biodiesel
R16,P23146,2040,4.726510183629651,2026-05-13 09:47:49.138,Singapore,POME Biodiesel
R19,P23146,2040,14.680938611644004,2026-05-13 09:47:49.138,Philippines,POME Biodiesel
R20,P23146,2040,0.01275568018782392,2026-05-13 09:47:49.138,Timor Leste,POME Biodiesel
R17,P2544,2040,122.42018168681533,2026-05-13 09:47:49.138,Malaysia,All Refineries
R17,P2808,2040,32.54924107291262,2026-05-13 09:47:49.138,Malaysia,Gas Turbine
R16,P2831,2040,401.45211716560226,2026-05-13 09:47:49.138,Singapore,Gas Combined Cycle
R11,P11937,2045,524.1264575552717,2026-05-13 09:47:49.138,Thailand,Lithium Ion Batteries
R12,P11937,2045,51.4914873029549,2026-05-13 09:47:49.138,Myanmar,Lithium Ion Batteries
R16,P11937,2045,18.00150099929055,2026-05-13 09:47:49.138,Singapore,Lithium Ion Batteries
R11,P11942,2045,628.2014584301647,2026-05-13 09:47:49.138,Thailand,Pumped Hydro
R12,P11942,2045,44.14549656958965,2026-05-13 09:47:49.138,Myanmar,Pumped Hydro
R11,P14937,2045,3.502467338886022,2026-05-13 09:47:49.138,Thailand,SMR
R1,P15103,2045,27.81228510649957,2026-05-13 09:47:49.138,Indonesia,PEM Electrolysis
R17,P15103,2045,39.218606686945826,2026-05-13 09:47:49.138,Malaysia,PEM Electrolysis
R6,P15103,2045,16.293056870832544,2026-05-13 09:47:49.138,Cambodia,PEM Electrolysis
R1,P16040,2045,384.0043822873788,2026-05-13 09:47:49.138,Indonesia,HVO Renewable Diesel
R11,P16040,2045,25.393282643276017,2026-05-13 09:47:49.138,Thailand,HVO Renewable Diesel
R17,P16040,2045,78.14111487497806,2026-05-13 09:47:49.138,Malaysia,HVO Renewable Diesel
R16,P16741,2045,0.0010997999782155292,2026-05-13 09:47:49.138,Singapore,CME Biodiesel
R1,P23146,2045,2526.6210823809365,2026-05-13 09:47:49.138,Indonesia,POME Biodiesel
R12,P23146,2045,1.705529088184324,2026-05-13 09:47:49.138,Myanmar,POME Biodiesel
R13,P23146,2045,3.1217791727502426,2026-05-13 09:47:49.138,Laos,POME Biodiesel
R14,P23146,2045,188.52619786790635,2026-05-13 09:47:49.138,Vietnam,POME Biodiesel
R16,P23146,2045,2.968184305501087,2026-05-13 09:47:49.138,Singapore,POME Biodiesel
R19,P23146,2045,7.100767624626062,2026-05-13 09:47:49.138,Philippines,POME Biodiesel
R20,P23146,2045,0.011346093737610105,2026-05-13 09:47:49.138,Timor Leste,POME Biodiesel
R17,P2544,2045,55.46123398294768,2026-05-13 09:47:49.138,Malaysia,All Refineries
R17,P2808,2045,369.0915570385519,2026-05-13 09:47:49.138,Malaysia,Gas Turbine
R11,P2824,2045,203.56050889096036,2026-05-13 09:47:49.138,Thailand,Small Hydro
R11,P2831,2045,3752.265827067106,2026-05-13 09:47:49.138,Thailand,Gas Combined Cycle
R12,P2831,2045,394.32964244165146,2026-05-13 09:47:49.138,Myanmar,Gas Combined Cycle
R16,P2831,2045,490.4615883576153,2026-05-13 09:47:49.138,Singapore,Gas Combined Cycle
R11,P11937,2050,152.55677535899895,2026-05-13 09:47:49.138,Thailand,Lithium Ion Batteries
R12,P11937,2050,62.52262507584055,2026-05-13 09:47:49.138,Myanmar,Lithium Ion Batteries
R16,P11937,2050,3.4041653994409087,2026-05-13 09:47:49.138,Singapore,Lithium Ion Batteries
R11,P14937,2050,3.333629946554598,2026-05-13 09:47:49.138,Thailand,SMR
R16,P14937,2050,0.21061144902728987,2026-05-13 09:47:49.138,Singapore,SMR
R6,P14937,2050,26.66345524285501,2026-05-13 09:47:49.138,Cambodia,SMR
R1,P15103,2050,29.96273899503099,2026-05-13 09:47:49.138,Indonesia,PEM Electrolysis
R17,P15103,2050,27.861193506903998,2026-05-13 09:47:49.138,Malaysia,PEM Electrolysis
R1,P16040,2050,392.02037614805556,2026-05-13 09:47:49.138,Indonesia,HVO Renewable Diesel
R11,P16040,2050,24.16919253496142,2026-05-13 09:47:49.138,Thailand,HVO Renewable Diesel
R17,P16040,2050,73.3817288314188,2026-05-13 09:47:49.138,Malaysia,HVO Renewable Diesel
R16,P16741,2050,0.004861058161431411,2026-05-13 09:47:49.138,Singapore,CME Biodiesel
R1,P23146,2050,51.510414690450524,2026-05-13 09:47:49.138,Indonesia,POME Biodiesel
R12,P23146,2050,1.4040361082685036,2026-05-13 09:47:49.138,Myanmar,POME Biodiesel
R13,P23146,2050,0.01995563921826871,2026-05-13 09:47:49.138,Laos,POME Biodiesel
R14,P23146,2050,97.44221712847059,2026-05-13 09:47:49.138,Vietnam,POME Biodiesel
R16,P23146,2050,1.970560341867625,2026-05-13 09:47:49.138,Singapore,POME Biodiesel
R19,P23146,2050,3.3015797977329284,2026-05-13 09:47:49.138,Philippines,POME Biodiesel
R20,P23146,2050,0.010090714529383652,2026-05-13 09:47:49.138,Timor Leste,POME Biodiesel
R17,P2544,2050,4.245002815833618,2026-05-13 09:47:49.138,Malaysia,All Refineries
R17,P2808,2050,303.46981538388565,2026-05-13 09:47:49.138,Malaysia,Gas Turbine
R11,P2831,2050,4755.923174441656,2026-05-13 09:47:49.138,Thailand,Gas Combined Cycle
R12,P2831,2050,224.65061777825008,2026-05-13 09:47:49.138,Myanmar,Gas Combined Cycle
R16,P2831,2050,169.66620696593117,2026-05-13 09:47:49.138,Singapore,Gas Combined Cycle
R11,P11937,2055,273.9859164445101,2026-05-13 09:47:49.138,Thailand,Lithium Ion Batteries
R12,P11937,2055,22.75046164934827,2026-05-13 09:47:49.138,Myanmar,Lithium Ion Batteries
R16,P11937,2055,10.27354526809557,2026-05-13 09:47:49.138,Singapore,Lithium Ion Batteries
R11,P14937,2055,4.896955661084055,2026-05-13 09:47:49.138,Thailand,SMR
R16,P14937,2055,0.04551126805029954,2026-05-13 09:47:49.138,Singapore,SMR
R6,P14937,2055,27.57754472022544,2026-05-13 09:47:49.138,Cambodia,SMR
R1,P15103,2055,15.844581407030303,2026-05-13 09:47:49.138,Indonesia,PEM Electrolysis
R17,P15103,2055,20.641976759980718,2026-05-13 09:47:49.138,Malaysia,PEM Electrolysis
R1,P16040,2055,384.05706182102233,2026-05-13 09:47:49.138,Indonesia,HVO Renewable Diesel
R11,P16040,2055,35.503480021900245,2026-05-13 09:47:49.138,Thailand,HVO Renewable Diesel
R17,P16040,2055,38.996153936030716,2026-05-13 09:47:49.138,Malaysia,HVO Renewable Diesel
R16,P16741,2055,0.0006554551064163412,2026-05-13 09:47:49.138,Singapore,CME Biodiesel
R12,P23146,2055,4.266962428801807,2026-05-13 09:47:49.138,Myanmar,POME Biodiesel
R13,P23146,2055,6.817630114022002,2026-05-13 09:47:49.138,Laos,POME Biodiesel
R14,P23146,2055,11.67212252691694,2026-05-13 09:47:49.138,Vietnam,POME Biodiesel
R15,P23146,2055,0.1888670054611028,2026-05-13 09:47:49.138,Brunei,POME Biodiesel
R16,P23146,2055,13.82557215797375,2026-05-13 09:47:49.138,Singapore,POME Biodiesel
R17,P23146,2055,24.639535398703295,2026-05-13 09:47:49.138,Malaysia,POME Biodiesel
R19,P23146,2055,10.81855325101972,2026-05-13 09:47:49.138,Philippines,POME Biodiesel
R20,P23146,2055,0.01633926246061203,2026-05-13 09:47:49.138,Timor Leste,POME Biodiesel
R6,P23146,2055,3.016845763124985,2026-05-13 09:47:49.138,Cambodia,POME Biodiesel
R15,P2544,2055,1615.1170080145496,2026-05-13 09:47:49.138,Brunei,All Refineries
R17,P2544,2055,1195.5869803361998,2026-05-13 09:47:49.138,Malaysia,All Refineries
R17,P2808,2055,240.6249786941741,2026-05-13 09:47:49.138,Malaysia,Gas Turbine
R11,P2831,2055,2935.6108794428915,2026-05-13 09:47:49.138,Thailand,Gas Combined Cycle
R12,P2831,2055,192.1821283386993,2026-05-13 09:47:49.138,Myanmar,Gas Combined Cycle
R16,P2831,2055,489.77076520589645,2026-05-13 09:47:49.138,Singapore,Gas Combined Cycle
R11,P11937,2060,102.29630796885685,2026-05-13 09:47:49.138,Thailand,Lithium Ion Batteries
R12,P11937,2060,34.007988315460715,2026-05-13 09:47:49.138,Myanmar,Lithium Ion Batteries
R16,P11937,2060,28.145144028672572,2026-05-13 09:47:49.138,Singapore,Lithium Ion Batteries
R11,P14937,2060,4.575464849871465,2026-05-13 09:47:49.138,Thailand,SMR
R16,P14937,2060,0.02421956783272993,2026-05-13 09:47:49.138,Singapore,SMR
R6,P14937,2060,28.594576882225777,2026-05-13 09:47:49.138,Cambodia,SMR
R1,P15103,2060,18.915331700073118,2026-05-13 09:47:49.138,Indonesia,PEM Electrolysis
R17,P15103,2060,15.498514172392113,2026-05-13 09:47:49.138,Malaysia,PEM Electrolysis
R1,P16040,2060,337.3369558339073,2026-05-13 09:47:49.138,Indonesia,HVO Renewable Diesel
R11,P16040,2060,33.172635435371184,2026-05-13 09:47:49.138,Thailand,HVO Renewable Diesel
R17,P16040,2060,33.91650770872372,2026-05-13 09:47:49.138,Malaysia,HVO Renewable Diesel
R16,P16741,2060,0.0003809271507565291,2026-05-13 09:47:49.138,Singapore,CME Biodiesel
R12,P23146,2060,1.1004331975123556,2026-05-13 09:47:49.138,Myanmar,POME Biodiesel
R13,P23146,2060,5.9968444110663714,2026-05-13 09:47:49.138,Laos,POME Biodiesel
R14,P23146,2060,18.248267400317495,2026-05-13 09:47:49.138,Vietnam,POME Biodiesel
R16,P23146,2060,1.7535564007822129,2026-05-13 09:47:49.138,Singapore,POME Biodiesel
R17,P23146,2060,25.557101996862578,2026-05-13 09:47:49.138,Malaysia,POME Biodiesel
R19,P23146,2060,10.625434021920071,2026-05-13 09:47:49.138,Philippines,POME Biodiesel
R20,P23146,2060,0.009542964893729352,2026-05-13 09:47:49.138,Timor Leste,POME Biodiesel
R6,P23146,2060,0.05395466441494293,2026-05-13 09:47:49.138,Cambodia,POME Biodiesel
R17,P2544,2060,116.60418543173296,2026-05-13 09:47:49.138,Malaysia,All Refineries
R17,P2808,2060,158.1004735432274,2026-05-13 09:47:49.138,Malaysia,Gas Turbine
R11,P2831,2060,1947.5452810960894,2026-05-13 09:47:49.138,Thailand,Gas Combined Cycle
R12,P2831,2060,33.06670828848032,2026-05-13 09:47:49.138,Myanmar,Gas Combined Cycle
R16,P2831,2060,181.12084463677363,2026-05-13 09:47:49.138,Singapore,Gas Combined Cycle
R6,P2831,2060,71.02962537608047,2026-05-13 09:47:49.138,Cambodia,Gas Combined Cycle
