r,region_name,t,tech_name,cat,renew,y,prev_GW,this_GW,delta_GW,dip_GW
R19,Philippines,P14442,Wind Offshore,Wind Offshore,True,2040,14.0,3.0,-11.0,11.0
R17,Malaysia,P20908,Wind Onshore_MYSR,Wind Onshore,True,2055,5.644976513080161,3.4667840037422075,-2.1781925093379537,2.1781925093379537
R16,Singapore,P2847,Solar PV,Solar PV,True,2045,2.537037037037037,1.0,-1.5370370370370372,1.5370370370370372
R16,Singapore,P16756,Solar PV Rooftop,Solar PV,True,2060,1.537037037037037,0.7672115274549149,-0.769825509582122,0.769825509582122
R6,Cambodia,P2847,Solar PV,Solar PV,True,2045,9.790000000000001,9.566,-0.2240000000000002,0.2240000000000002
R11,Thailand,P2731,Biomass Gasification,Biomass/Waste,True,2030,4.205,4.0125,-0.1924999999999999,0.1924999999999999
R1,Indonesia,P14428,Nuclear SMR,Nuclear,True,2050,0.2884612000000001,0.1923072000000001,-0.09615399999999999,0.09615399999999999
R1,Indonesia,P14428,Nuclear SMR,Nuclear,True,2040,0.4807692,0.38461520000000005,-0.09615399999999996,0.09615399999999996
R1,Indonesia,P14428,Nuclear SMR,Nuclear,True,2045,0.38461520000000005,0.2884612000000001,-0.09615399999999996,0.09615399999999996
R1,Indonesia,P14428,Nuclear SMR,Nuclear,True,2055,0.1923072000000001,0.09615320000000015,-0.09615399999999995,0.09615399999999995
R6,Cambodia,P2713,Wind Onshore,Wind Onshore,True,2045,3.418,3.349,-0.06899999999999995,0.06899999999999995
R1,Indonesia,P2510,Gasoline,Other,False,2055,178.62569548958086,63.91629097287939,-114.70940451670148,114.70940451670148
R1,Indonesia,P2641,Electricity,Other,False,2055,232.3042018105305,187.5521149452572,-44.7520868652733,44.7520868652733
R14,Vietnam,P2627,All Mines,Other,False,2055,250.46398477743034,208.26682756795284,-42.197157209477496,42.197157209477496
R1,Indonesia,P16068,All Mines,Other,False,2055,332.4019192428605,291.623475669052,-40.77844357380849,40.77844357380849
R14,Vietnam,P2510,Gasoline,Other,False,2055,45.78349479506832,8.822134209175854,-36.961360585892464,36.961360585892464
R16,Singapore,P2510,Gasoline,Other,False,2055,68.05427859516973,33.26892792628718,-34.78535066888255,34.78535066888255
R1,Indonesia,P2510,Gasoline,Other,False,2060,63.91629097287939,31.6990382869173,-32.21725268596209,32.21725268596209
R17,Malaysia,P2510,Gasoline,Other,False,2055,46.16399372373122,18.489034489132052,-27.674959234599164,27.674959234599164
R11,Thailand,P2627,All Mines,Other,False,2055,71.2865820285637,43.740136090225214,-27.546445938338486,27.546445938338486
R11,Thailand,P2510,Gasoline,Other,False,2055,28.981820867060613,7.78128750233233,-21.200533364728283,21.200533364728283
R1,Indonesia,P2627,All Mines,Other,False,2060,301.7908968860533,282.1672495221899,-19.623647363863427,19.623647363863427
R17,Malaysia,P2668,Natural Gas,Other,False,2055,53.591327617657434,35.39922883406436,-18.192098783593075,18.192098783593075
R14,Vietnam,P2627,All Mines,Other,False,2060,208.26682756795284,191.22754822407163,-17.03927934388122,17.03927934388122
R17,Malaysia,P2627,All Mines,Other,False,2055,36.55653738802418,19.969712884720686,-16.586824503303497,16.586824503303497
R12,Myanmar,P2668,Natural Gas,Other,False,2055,31.336464044175287,15.947193961285391,-15.389270082889896,15.389270082889896
R14,Vietnam,P2668,Natural Gas,Other,False,2055,43.60895530548386,28.67996817380599,-14.928987131677872,14.928987131677872
R1,Indonesia,P2683,LPG,Other,False,2055,23.377327051723555,9.776929770890227,-13.600397280833327,13.600397280833327
R11,Thailand,P2668,Natural Gas,Other,False,2055,22.841519913355384,10.96251889937551,-11.879001013979874,11.879001013979874
R16,Singapore,P2521,Natural Gas,Other,False,2055,13.479390997685105,2.463189371380523,-11.016201626304582,11.016201626304582
R17,Malaysia,P20955,Gas Turbine_MYPE,Gas,False,2055,40.06068121584601,29.739032205587975,-10.321649010258035,10.321649010258035
R16,Singapore,P2605,Natural Gas,Other,False,2055,11.01620162630458,2.463189371380523,-8.553012254924058,8.553012254924058
R16,Singapore,P2516,Electricity,Other,False,2055,18.33538153322445,10.064813290325397,-8.270568242899053,8.270568242899053
R11,Thailand,P2683,LPG,Other,False,2055,25.475607595821014,17.331139450180498,-8.144468145640516,8.144468145640516
R19,Philippines,P2627,All Mines,Other,False,2055,17.08915835332307,9.708078825973391,-7.38107952734968,7.38107952734968
R19,Philippines,P2510,Gasoline,Other,False,2055,14.718232411280068,7.357899508573999,-7.3603329027060695,7.3603329027060695
R16,Singapore,P14937,SMR,Other,False,2050,7.110780432285759,0.0010065627553811757,-7.109773869530378,7.109773869530378
R17,Malaysia,P2683,LPG,Other,False,2055,13.682213652467224,8.29030572622076,-5.391907926246464,5.391907926246464
R19,Philippines,P16068,All Mines,Other,False,2055,9.942331269520546,4.971165634760273,-4.971165634760273,4.971165634760273
R14,Vietnam,P2510,Gasoline,Other,False,2060,8.822134209175854,4.107620568474013,-4.714513640701841,4.714513640701841
R14,Vietnam,P2683,LPG,Other,False,2055,9.716516020773067,5.418989324075731,-4.297526696697336,4.297526696697336
R12,Myanmar,P2510,Gasoline,Other,False,2055,8.886261933608132,4.698224395069625,-4.188037538538508,4.188037538538508
R17,Malaysia,P2510,Gasoline,Other,False,2060,18.489034489132052,14.327944731571838,-4.161089757560214,4.161089757560214
R20,Timor Leste,P23146,POME Biodiesel,Diesel,False,2060,72.84400904034798,69.32747146549777,-3.5165375748502186,3.5165375748502186
R12,Myanmar,P2627,All Mines,Other,False,2055,11.645795421101067,8.165848519483465,-3.479946901617602,3.479946901617602
R6,Cambodia,P2510,Gasoline,Other,False,2055,5.91417863816807,2.4652542272323803,-3.44892441093569,3.44892441093569
R11,Thailand,P2510,Gasoline,Other,False,2060,7.78128750233233,4.4452830913232955,-3.3360044110090348,3.3360044110090348
R12,Myanmar,P2516,Electricity,Other,False,2055,8.59560454984113,5.7820829156651685,-2.813521634175962,2.813521634175962
R19,Philippines,P2683,LPG,Other,False,2055,5.466452495172429,2.7206301667708783,-2.7458223284015504,2.7458223284015504
R12,Myanmar,P2641,Electricity,Other,False,2055,8.174419926898914,5.498760852797575,-2.675659074101339,2.675659074101339
R15,Brunei,P2510,Gasoline,Other,False,2055,5.102541539890656,2.492215471813531,-2.610326068077125,2.610326068077125
R20,Timor Leste,P23146,POME Biodiesel,Diesel,False,2055,75.16425033445107,72.84400904034798,-2.3202412941030843,2.3202412941030843
R16,Singapore,P2627,All Mines,Other,False,2055,5.697953837809475,3.3945528942174565,-2.3034009435920186,2.3034009435920186
R17,Malaysia,P16131,All Mines,Other,False,2055,3.3627063264852843,1.2414241122683818,-2.1212822142169028,2.1212822142169028
R16,Singapore,P2668,Natural Gas,Other,False,2055,4.077017774804085,2.0715467782681465,-2.005470996535938,2.005470996535938
R19,Philippines,P2668,Natural Gas,Other,False,2055,2.944235895657682,1.3240831182023465,-1.6201527774553357,1.6201527774553357
R6,Cambodia,P2627,All Mines,Other,False,2055,2.8367955831858986,1.2496046344319263,-1.5871909487539724,1.5871909487539724
R14,Vietnam,P16089,All Mines,Other,False,2055,3.641816544692354,2.1816675258156923,-1.4601490188766615,1.4601490188766615
R13,Laos,P2510,Gasoline,Other,False,2055,1.5212654321688293,0.10440832645010054,-1.4168571057187287,1.4168571057187287
R11,Thailand,P2521,Natural Gas,Other,False,2055,14.170106881410613,12.791316228329212,-1.378790653081401,1.378790653081401
R11,Thailand,P2605,Natural Gas,Other,False,2055,14.17010688141061,12.791316228329212,-1.3787906530813991,1.3787906530813991
R14,Vietnam,P16089,All Mines,Other,False,2060,2.1816675258156923,0.8908367579908675,-1.2908307678248248,1.2908307678248248
R19,Philippines,P2510,Gasoline,Other,False,2060,7.357899508573999,6.076838626716416,-1.2810608818575826,1.2810608818575826
R1,Indonesia,P22252,Gas Turbine_IDJW,Gas,False,2030,2.025661021,0.8042610210000003,-1.2213999999999996,1.2213999999999996
R6,Cambodia,P2510,Gasoline,Other,False,2060,2.4652542272323803,1.277238105360811,-1.1880161218715692,1.1880161218715692
R13,Laos,P2627,All Mines,Other,False,2055,2.593879606547662,1.5283928997913643,-1.0654867067562979,1.0654867067562979
R6,Cambodia,P2683,LPG,Other,False,2055,1.736985060613859,0.7819864895946078,-0.9549985710192512,0.9549985710192512
R15,Brunei,P2668,Natural Gas,Other,False,2055,1.9129812404885822,0.9836280527836959,-0.9293531877048863,0.9293531877048863
R13,Laos,P2683,LPG,Other,False,2055,2.2788102771897294,1.3781542272349407,-0.9006560499547887,0.9006560499547887
R14,Vietnam,P2776,Diesel,Diesel,False,2030,1.50325,0.6313,-0.87195,0.87195
R15,Brunei,P2683,LPG,Other,False,2055,1.6528868156874608,0.817557431662833,-0.8353293840246278,0.8353293840246278
R15,Brunei,P2641,Electricity,Other,False,2055,1.4313264247170707,0.6397247066510412,-0.7916017180660295,0.7916017180660295
R16,Singapore,P2683,LPG,Other,False,2055,1.732692315379913,0.9708533154437594,-0.7618389999361536,0.7618389999361536
R14,Vietnam,P16131,All Mines,Other,False,2055,3.120900899518429,2.420105203707937,-0.7007956958104917,0.7007956958104917
R1,Indonesia,P22252,Gas Turbine_IDJW,Gas,False,2035,0.8042610210000003,0.12586102100000016,-0.6784000000000001,0.6784000000000001
R13,Laos,P2668,Natural Gas,Other,False,2055,1.287307397962485,0.6094389904151408,-0.6778684075473441,0.6778684075473441
R12,Myanmar,P2510,Gasoline,Other,False,2060,4.698224395069625,4.096031727699252,-0.6021926673703728,0.6021926673703728
R6,Cambodia,P2668,Natural Gas,Other,False,2055,0.775728820177838,0.30173817418371573,-0.4739906459941222,0.4739906459941222
R14,Vietnam,P2776,Diesel,Diesel,False,2035,0.6313,0.18249999999999977,-0.4488000000000002,0.4488000000000002
R19,Philippines,P2605,Natural Gas,Other,False,2055,1.7872023082190396,1.3679957828312288,-0.4192065253878108,0.4192065253878108
R19,Philippines,P2521,Natural Gas,Other,False,2055,1.7872023082190396,1.367995782831229,-0.41920652538781056,0.41920652538781056
R20,Timor Leste,P2510,Gasoline,Other,False,2055,1.1712271114589177,0.7911480651672604,-0.38007904629165723,0.38007904629165723
R17,Malaysia,P21230,Gas Combined Cycle_MYPE,Gas,False,2030,12.13,11.773900000000001,-0.35609999999999964,0.35609999999999964
R15,Brunei,P16068,All Mines,Other,False,2055,0.42173861505296667,0.08359505257380022,-0.33814356247916644,0.33814356247916644
R17,Malaysia,P16131,All Mines,Other,False,2060,1.2414241122683818,0.9310680842012861,-0.3103560280670957,0.3103560280670957
R12,Myanmar,P2683,LPG,Other,False,2055,0.456215934835609,0.2359564219027219,-0.22025951293288712,0.22025951293288712
R19,Philippines,P16131,All Mines,Other,False,2055,0.8003240174359478,0.6115500071479998,-0.18877401028794805,0.18877401028794805
R15,Brunei,P2516,Electricity,Other,False,2055,0.8448257396649194,0.6827371469061272,-0.16208859275879217,0.16208859275879217
R14,Vietnam,P16068,All Mines,Other,False,2055,0.369607942050001,0.20852238152252786,-0.16108556052747317,0.16108556052747317
R16,Singapore,P15321,Gas Combined Cycle with CCS,Gas,False,2055,0.4918682654356102,0.3380221115894563,-0.1538461538461539,0.1538461538461539
R19,Philippines,P2668,Natural Gas,Other,False,2060,1.3240831182023465,1.1734256904445841,-0.15065742775776236,0.15065742775776236
R6,Cambodia,P2831,Gas Combined Cycle,Gas,False,2055,0.9500000000000001,0.8,-0.15000000000000002,0.15000000000000002
R19,Philippines,P2720,Coal Subcritical,Coal,False,2035,11.120436,10.977735999999998,-0.14270000000000138,0.14270000000000138
R11,Thailand,P16131,All Mines,Other,False,2055,0.27614611872146116,0.13807305936073058,-0.13807305936073058,0.13807305936073058
R17,Malaysia,P2627,All Mines,Other,False,2060,19.969712884720686,19.84684057456256,-0.12287231015812594,0.12287231015812594
R19,Philippines,P2521,Natural Gas,Other,False,2060,1.367995782831229,1.2555706248597645,-0.11242515797146457,0.11242515797146457
R19,Philippines,P2605,Natural Gas,Other,False,2060,1.3679957828312288,1.2555706248597642,-0.11242515797146457,0.11242515797146457
R19,Philippines,P2720,Coal Subcritical,Coal,False,2030,11.220436,11.120436,-0.09999999999999964,0.09999999999999964
R13,Laos,P2521,Natural Gas,Other,False,2055,0.7040452158795277,0.6094389904151408,-0.0946062254643869,0.0946062254643869
R13,Laos,P2605,Natural Gas,Other,False,2055,0.7040452158795277,0.6094389904151408,-0.0946062254643869,0.0946062254643869
R20,Timor Leste,P2510,Gasoline,Other,False,2060,0.7911480651672604,0.6986206419119962,-0.0925274232552642,0.0925274232552642
R15,Brunei,P2627,All Mines,Other,False,2055,0.1378363189348234,0.04802402371205174,-0.08981229522277165,0.08981229522277165
