fuel,year,l,season,hour,rate_PJ_yr,GW_continuous_equiv
central_bus,2035,L25,Dry,1,2021.5761818285666,64.1037602051169
central_bus,2035,L26,Dry,2,1948.1614329085885,61.77579378832409
central_bus,2035,L27,Dry,3,1941.12452511596,61.55265490601091
central_bus,2035,L28,Dry,4,1753.2358373301672,55.594743700220924
central_bus,2035,L29,Dry,5,1840.9191081893252,58.37516197962091
central_bus,2035,L30,Dry,6,1844.9704860129957,58.50363032765714
central_bus,2035,L31,Dry,7,1799.7187170591037,57.06870614723185
central_bus,2035,L32,Dry,8,2202.7045791870287,69.84730400770638
central_bus,2035,L33,Dry,9,2007.2770073090796,63.65033635556442
central_bus,2035,L34,Dry,10,2050.033492946151,65.00613562107277
central_bus,2035,L35,Dry,11,2112.7183067006836,66.99385802577002
central_bus,2035,L36,Dry,12,2184.8366619697435,69.28071606956316
central_bus,2035,L37,Dry,13,2461.468266910608,78.0526467183729
central_bus,2035,L38,Dry,14,2297.700328952619,72.85959947211501
central_bus,2035,L39,Dry,15,2081.880016106004,66.01598224587785
central_bus,2035,L40,Dry,16,2074.2341073013417,65.77353206815518
central_bus,2035,L41,Dry,17,2092.00111769616,66.33692027194824
central_bus,2035,L42,Dry,18,2328.5298361116256,73.8371967310891
central_bus,2035,L43,Dry,19,2373.0216554418494,75.24802306702972
central_bus,2035,L44,Dry,20,2435.342523988327,77.22420484488606
central_bus,2035,L45,Dry,21,2258.5242284629094,71.61733347485126
central_bus,2035,L46,Dry,22,2231.5130741734406,70.76081539109083
central_bus,2035,L47,Dry,23,2188.7740581854687,69.40557008452146
central_bus,2035,L48,Dry,24,1891.2633650287107,59.97156789157505
central_bus,2035,L1,Wet,1,2089.9466453399036,66.27177338089496
central_bus,2035,L2,Wet,2,1975.9033860880463,62.655485352868034
central_bus,2035,L3,Wet,3,1752.2149598490016,55.562371887652255
central_bus,2035,L4,Wet,4,1754.6588742968288,55.63986790641897
central_bus,2035,L5,Wet,5,1814.519686755469,57.5380418174616
central_bus,2035,L6,Wet,6,1805.7700972037362,57.26059415283283
central_bus,2035,L7,Wet,7,1743.6011404041326,55.289229464869756
central_bus,2035,L8,Wet,8,2045.3027781544042,64.85612563909196
central_bus,2035,L9,Wet,9,1935.8628030751586,61.385806794620706
central_bus,2035,L10,Wet,10,2081.3374790745384,65.99877850946659
central_bus,2035,L11,Wet,11,2008.5893041765296,63.6919490162522
central_bus,2035,L12,Wet,12,1949.6617873759599,61.823369716386345
central_bus,2035,L13,Wet,13,1994.3041602968856,63.238970075370545
central_bus,2035,L14,Wet,14,2303.223905509278,73.03475093573307
central_bus,2035,L15,Wet,15,2034.2110542651362,64.50440938182192
central_bus,2035,L16,Wet,16,2035.0355420883989,64.53055371919072
central_bus,2035,L17,Wet,17,2223.590040814195,70.50957765138874
central_bus,2035,L18,Wet,18,2323.7784662297086,73.68653178049557
central_bus,2035,L19,Wet,19,2341.7489642047567,74.25637253312901
central_bus,2035,L20,Wet,20,2315.05280765043,73.40984296202531
central_bus,2035,L21,Wet,21,2253.1812498009776,71.4479087329077
central_bus,2035,L22,Wet,22,2213.857225824319,70.2009521126433
central_bus,2035,L23,Wet,23,1986.1634219805244,62.98082895676447
central_bus,2035,L24,Wet,24,1888.7828597166083,59.892911584113655
central_bus,2050,L25,Dry,1,4516.459397169145,143.21598798735238
central_bus,2050,L26,Dry,2,4311.69320245307,136.7228945475986
central_bus,2050,L27,Dry,3,4140.413406237862,131.29164783859275
central_bus,2050,L28,Dry,4,4294.325880529475,136.17218038208634
central_bus,2050,L29,Dry,5,4723.6114773289555,149.7847373582241
central_bus,2050,L30,Dry,6,4640.088844173051,147.1362520349141
central_bus,2050,L31,Dry,7,4366.029318226378,138.44588147597594
central_bus,2050,L32,Dry,8,4540.07820862033,143.9649355853732
central_bus,2050,L33,Dry,9,4855.895739412677,153.97944379162473
central_bus,2050,L34,Dry,10,4956.806989820022,157.1793185508632
central_bus,2050,L35,Dry,11,5022.735997854565,159.2699136813345
central_bus,2050,L36,Dry,12,4959.074771025409,157.25122942115073
central_bus,2050,L37,Dry,13,5143.465159999279,163.09821029931757
central_bus,2050,L38,Dry,14,5082.897695709067,161.17762860569087
central_bus,2050,L39,Dry,15,4933.189262002306,156.43040531463427
central_bus,2050,L40,Dry,16,5126.865533552041,162.57183959766743
central_bus,2050,L41,Dry,17,5017.089301474365,159.09085811372287
central_bus,2050,L42,Dry,18,5580.123011804718,176.94453994814555
central_bus,2050,L43,Dry,19,5806.4929035104315,184.12268212552104
central_bus,2050,L44,Dry,20,5802.361121847895,183.9916641884797
central_bus,2050,L45,Dry,21,5350.094161470953,169.65037295379733
central_bus,2050,L46,Dry,22,5101.810229572371,161.77734112038212
central_bus,2050,L47,Dry,23,4704.937415448123,149.19258674049095
central_bus,2050,L48,Dry,24,4582.087414607987,145.29703876864494
central_bus,2050,L1,Wet,1,4324.338578280634,137.12387678464717
central_bus,2050,L2,Wet,2,4399.210331401482,139.49804450156907
central_bus,2050,L3,Wet,3,4253.913846907987,134.89072320230807
central_bus,2050,L4,Wet,4,4520.025332845309,143.32906306587103
central_bus,2050,L5,Wet,5,4292.254786844371,136.1065064321528
central_bus,2050,L6,Wet,6,4287.226968602167,135.94707536156034
central_bus,2050,L7,Wet,7,4233.584035465038,134.246069110383
central_bus,2050,L8,Wet,8,4646.632075064004,147.34373652536797
central_bus,2050,L9,Wet,9,4780.432736991989,151.58652768239438
central_bus,2050,L10,Wet,10,4791.816992614798,151.94752006008366
central_bus,2050,L11,Wet,11,4933.1675543940155,156.4297169708909
central_bus,2050,L12,Wet,12,4980.259318372601,157.9229870108004
