r,l,f,y,val,region_name,fuel_name,timeslice_name
R1,L1,F25,2030,1531.7027337802276,Indonesia,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",Wet: Hr 1
R1,L10,F25,2030,1531.601856147306,Indonesia,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",Wet: Hr 10
R1,L11,F25,2030,1659.7963590117909,Indonesia,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",Wet: Hr 11
R1,L12,F25,2030,1563.9711507993156,Indonesia,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",Wet: Hr 12
R1,L13,F25,2030,1542.5846933102516,Indonesia,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",Wet: Hr 13
R1,L14,F25,2030,1582.5032095760052,Indonesia,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",Wet: Hr 14
R1,L15,F25,2030,1674.1094850505003,Indonesia,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",Wet: Hr 15
R1,L16,F25,2030,1622.6182263526161,Indonesia,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",Wet: Hr 16
R1,L17,F25,2030,1648.2542500593668,Indonesia,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",Wet: Hr 17
R1,L18,F25,2030,1821.5925588734513,Indonesia,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",Wet: Hr 18
R1,L19,F25,2030,1835.3298293003254,Indonesia,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",Wet: Hr 19
R1,L2,F25,2030,1375.287916191079,Indonesia,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",Wet: Hr 2
R1,L20,F25,2030,1791.0568522538344,Indonesia,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",Wet: Hr 20
R1,L21,F25,2030,1793.0865362294362,Indonesia,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",Wet: Hr 21
R1,L22,F25,2030,1697.2677706263637,Indonesia,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",Wet: Hr 22
R1,L23,F25,2030,1536.2783632865699,Indonesia,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",Wet: Hr 23
R1,L24,F25,2030,1521.4002047413583,Indonesia,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",Wet: Hr 24
R1,L25,F25,2030,1531.786898211855,Indonesia,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",Dry: Hr 1
