r,t,y,region_name,tech_name,unmet_production_PJ,unmet_capacity_GW
R1,P20731,2040,Indonesia,Unmet Load_IDJW,4455.671001006436,182.49884188376924
R1,P20731,2050,Indonesia,Unmet Load_IDJW,4090.599972470794,141.50568982546147
R1,P20701,2060,Indonesia,Unmet Load_IDEast,3417.034265003649,116.38284730162485
R1,P20731,2060,Indonesia,Unmet Load_IDJW,2967.751555027528,100.45129810170837
R1,P20731,2055,Indonesia,Unmet Load_IDJW,2714.264819874719,90.76355669757491
R1,P20701,2045,Indonesia,Unmet Load_IDEast,2582.8978321376485,104.04187987030498
R1,P20701,2055,Indonesia,Unmet Load_IDEast,2295.1946595869454,87.66494651760955
R1,P20721,2035,Indonesia,Unmet Load_IDSA,2044.4383554420772,161.06838966994735
R1,P20731,2045,Indonesia,Unmet Load_IDJW,1828.4185549657143,60.29588681309957
R1,P20721,2060,Indonesia,Unmet Load_IDSA,1556.6781188485133,54.100917221031054
R1,P20721,2055,Indonesia,Unmet Load_IDSA,1363.901376593275,46.82750720538105
R1,P20701,2050,Indonesia,Unmet Load_IDEast,1133.998760166143,37.06502410272958
R1,P20721,2050,Indonesia,Unmet Load_IDSA,1116.7939358316246,37.51182897668056
R1,P20731,2035,Indonesia,Unmet Load_IDJW,879.5183421899,30.91271566203686
R1,P20721,2045,Indonesia,Unmet Load_IDSA,820.72498821397,28.163147358909807
R1,P20711,2060,Indonesia,Unmet Load_IDKA,810.7846055029867,27.151213384223464
R1,P20711,2055,Indonesia,Unmet Load_IDKA,681.2343723830527,23.332938639674317
R1,P20731,2030,Indonesia,Unmet Load_IDJW,671.1131116636931,21.920698457888946
R1,P20711,2050,Indonesia,Unmet Load_IDKA,571.5499374117591,18.867901128852218
R1,P20721,2040,Indonesia,Unmet Load_IDSA,564.5129415839917,19.955244617362208
R1,P20701,2040,Indonesia,Unmet Load_IDEast,532.3582251300077,18.35615110763523
R1,P20731,2025,Indonesia,Unmet Load_IDJW,497.0851673344606,18.895709821814428
R1,P20711,2045,Indonesia,Unmet Load_IDKA,428.2413430469271,14.344056338047503
R1,P20701,2035,Indonesia,Unmet Load_IDEast,335.9525014177458,12.141658638616457
R1,P20721,2030,Indonesia,Unmet Load_IDSA,297.32235251318923,9.953214917398993
R1,P20711,2040,Indonesia,Unmet Load_IDKA,279.00254912638303,9.774632332664071
R1,P20721,2025,Indonesia,Unmet Load_IDSA,266.0396488917941,9.548313200001065
R1,P20701,2030,Indonesia,Unmet Load_IDEast,228.68384502689977,7.907679277852619
R1,P20711,2035,Indonesia,Unmet Load_IDKA,182.1392105351431,6.491360261050291
R1,P20711,2030,Indonesia,Unmet Load_IDKA,136.29855152953076,4.5552623963586925
R1,P20701,2025,Indonesia,Unmet Load_IDEast,118.87201060501425,4.411890962474437
R1,P20711,2025,Indonesia,Unmet Load_IDKA,99.51780704191663,3.6686680208804234
R16,P14414,2025,Singapore,Unmet Load,52.7894072707027,4.924937278829072
