r,e,y,val,solvedtm,region_name,emission_name
R1,E1,2025,141400739.04347116,2026-05-13 13:38:49.789,Indonesia,Carbon Dioxide Biogenic
R11,E1,2025,166429712.09415522,2026-05-13 13:38:49.789,Thailand,Carbon Dioxide Biogenic
R12,E1,2025,163729898.08248398,2026-05-13 13:38:49.789,Myanmar,Carbon Dioxide Biogenic
R13,E1,2025,71610292.83008195,2026-05-13 13:38:49.789,Laos,Carbon Dioxide Biogenic
R14,E1,2025,5212494.426131274,2026-05-13 13:38:49.789,Vietnam,Carbon Dioxide Biogenic
R17,E1,2025,299128.59034038114,2026-05-13 13:38:49.789,Malaysia,Carbon Dioxide Biogenic
R19,E1,2025,411797522.0893628,2026-05-13 13:38:49.789,Philippines,Carbon Dioxide Biogenic
R20,E1,2025,14284506.278107226,2026-05-13 13:38:49.789,Timor Leste,Carbon Dioxide Biogenic
R6,E1,2025,34615940.24719505,2026-05-13 13:38:49.789,Cambodia,Carbon Dioxide Biogenic
R1,E13,2025,824843.9103999097,2026-05-13 13:38:49.789,Indonesia,Sulfur Dioxide
R11,E13,2025,286914.2174479808,2026-05-13 13:38:49.789,Thailand,Sulfur Dioxide
R12,E13,2025,10682.16471384493,2026-05-13 13:38:49.789,Myanmar,Sulfur Dioxide
R13,E13,2025,73791.08002315773,2026-05-13 13:38:49.789,Laos,Sulfur Dioxide
R14,E13,2025,578365.1326356919,2026-05-13 13:38:49.789,Vietnam,Sulfur Dioxide
R15,E13,2025,37109.35478139209,2026-05-13 13:38:49.789,Brunei,Sulfur Dioxide
R16,E13,2025,25194.423260824748,2026-05-13 13:38:49.789,Singapore,Sulfur Dioxide
R17,E13,2025,614847.6027432528,2026-05-13 13:38:49.789,Malaysia,Sulfur Dioxide
R19,E13,2025,415966.73775199853,2026-05-13 13:38:49.789,Philippines,Sulfur Dioxide
R20,E13,2025,822.6164258466945,2026-05-13 13:38:49.789,Timor Leste,Sulfur Dioxide
R6,E13,2025,33146.76745245782,2026-05-13 13:38:49.789,Cambodia,Sulfur Dioxide
R1,E15,2025,13377.304832682566,2026-05-13 13:38:49.789,Indonesia,Ammonia
R11,E15,2025,9822.846551806142,2026-05-13 13:38:49.789,Thailand,Ammonia
R12,E15,2025,8514.158340343834,2026-05-13 13:38:49.789,Myanmar,Ammonia
R13,E15,2025,2830.6159944807127,2026-05-13 13:38:49.789,Laos,Ammonia
R14,E15,2025,3056.524897987696,2026-05-13 13:38:49.789,Vietnam,Ammonia
R15,E15,2025,771.7895664454825,2026-05-13 13:38:49.789,Brunei,Ammonia
R16,E15,2025,650.663122924226,2026-05-13 13:38:49.789,Singapore,Ammonia
R17,E15,2025,5009.666230882546,2026-05-13 13:38:49.789,Malaysia,Ammonia
R19,E15,2025,13777.27796931382,2026-05-13 13:38:49.789,Philippines,Ammonia
R20,E15,2025,528.3719830311167,2026-05-13 13:38:49.789,Timor Leste,Ammonia
R6,E15,2025,1153.4534374367897,2026-05-13 13:38:49.789,Cambodia,Ammonia
R1,E16,2025,46904.15578821222,2026-05-13 13:38:49.789,Indonesia,Particulates PM2pt5
