r,t,y,val,solvedtm,region_name,tech_name
R6,P2724,2025,13.203737576908996,2026-05-13 13:38:49.789,Cambodia,Large Hydro
R12,P11942,2035,23.12138746729337,2026-05-13 13:38:49.789,Myanmar,Pumped Hydro
R20,P23146,2035,81.6411933069728,2026-05-13 13:38:49.789,Timor Leste,POME Biodiesel
R17,P2544,2035,9.19615848366604,2026-05-13 13:38:49.789,Malaysia,All Refineries
R12,P2831,2035,6.910093440639693,2026-05-13 13:38:49.789,Myanmar,Gas Combined Cycle
R16,P2831,2035,29.537081538954634,2026-05-13 13:38:49.789,Singapore,Gas Combined Cycle
R11,P11942,2040,115.75151302796415,2026-05-13 13:38:49.789,Thailand,Pumped Hydro
R12,P11942,2040,0.9605250776501942,2026-05-13 13:38:49.789,Myanmar,Pumped Hydro
R11,P14937,2040,0.4512852079083283,2026-05-13 13:38:49.789,Thailand,SMR
R1,P15103,2040,1.8703001943665465,2026-05-13 13:38:49.789,Indonesia,PEM Electrolysis
R17,P15103,2040,2.6133590099638826,2026-05-13 13:38:49.789,Malaysia,PEM Electrolysis
R6,P15103,2040,1.1208415414856943,2026-05-13 13:38:49.789,Cambodia,PEM Electrolysis
R1,P16040,2040,6.123764880199935,2026-05-13 13:38:49.789,Indonesia,HVO Renewable Diesel
R11,P16040,2040,0.9510983644149285,2026-05-13 13:38:49.789,Thailand,HVO Renewable Diesel
R17,P16040,2040,1.4862160048958661,2026-05-13 13:38:49.789,Malaysia,HVO Renewable Diesel
R20,P23146,2040,126.68576609195415,2026-05-13 13:38:49.789,Timor Leste,POME Biodiesel
R17,P2544,2040,13.49682790231101,2026-05-13 13:38:49.789,Malaysia,All Refineries
R16,P2831,2040,61.479560623131384,2026-05-13 13:38:49.789,Singapore,Gas Combined Cycle
R12,P11942,2045,14.204629340153856,2026-05-13 13:38:49.789,Myanmar,Pumped Hydro
R11,P14937,2045,0.576700620456688,2026-05-13 13:38:49.789,Thailand,SMR
R1,P15103,2045,4.5794465801751105,2026-05-13 13:38:49.789,Indonesia,PEM Electrolysis
R17,P15103,2045,6.457560519893978,2026-05-13 13:38:49.789,Malaysia,PEM Electrolysis
R6,P15103,2045,2.6827419351563733,2026-05-13 13:38:49.789,Cambodia,PEM Electrolysis
R1,P16040,2045,48.73505490921392,2026-05-13 13:38:49.789,Indonesia,HVO Renewable Diesel
R11,P16040,2045,3.222731513045862,2026-05-13 13:38:49.789,Thailand,HVO Renewable Diesel
R17,P16040,2045,9.917104334630443,2026-05-13 13:38:49.789,Malaysia,HVO Renewable Diesel
R20,P23146,2045,101.05758089623498,2026-05-13 13:38:49.789,Timor Leste,POME Biodiesel
R17,P2544,2045,11.511721115798652,2026-05-13 13:38:49.789,Malaysia,All Refineries
R11,P2824,2045,42.25170700787648,2026-05-13 13:38:49.789,Thailand,Small Hydro
R11,P2831,2045,1327.3502620543943,2026-05-13 13:38:49.789,Thailand,Gas Combined Cycle
R12,P2831,2045,97.91497663210906,2026-05-13 13:38:49.789,Myanmar,Gas Combined Cycle
R16,P2831,2045,174.13137686217146,2026-05-13 13:38:49.789,Singapore,Gas Combined Cycle
