n,f,y,val,solvedtm,fuel_name,node_name
N14,F25,2025,37.8432,2026-05-13 13:38:49.789,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",Indonesia Sumatra
N17,F25,2025,33.112799999999986,2026-05-13 13:38:49.789,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",Malaysia Peninsular
N3,F25,2025,-21.08476584253462,2026-05-13 13:38:49.789,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",Cambodia
N4,F25,2025,-14.399226180018195,2026-05-13 13:38:49.789,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",Thailand
N6,F25,2025,10.63581983041886,2026-05-13 13:38:49.789,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",Laos
N7,F25,2025,24.84817219213389,2026-05-13 13:38:49.789,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",Vietnam
N9,F25,2025,-70.95599999999999,2026-05-13 13:38:49.789,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",Singapore
N14,F25,2030,37.8432,2026-05-13 13:38:49.789,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",Indonesia Sumatra
N17,F25,2030,33.112799999999986,2026-05-13 13:38:49.789,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",Malaysia Peninsular
N3,F25,2030,-2.405332558693512,2026-05-13 13:38:49.789,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",Cambodia
N4,F25,2030,-29.2026805045248,2026-05-13 13:38:49.789,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",Thailand
N6,F25,2030,5.748493063218275,2026-05-13 13:38:49.789,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",Laos
N7,F25,2030,25.859519999999968,2026-05-13 13:38:49.789,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",Vietnam
N9,F25,2030,-70.95600000000012,2026-05-13 13:38:49.789,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",Singapore
N14,F25,2035,37.8432,2026-05-13 13:38:49.789,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",Indonesia Sumatra
N17,F25,2035,33.112799999999986,2026-05-13 13:38:49.789,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",Malaysia Peninsular
N3,F25,2035,0.23460167435509893,2026-05-13 13:38:49.789,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",Cambodia
N4,F25,2035,-29.328480000000063,2026-05-13 13:38:49.789,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",Thailand
N6,F25,2035,3.2343583256449113,2026-05-13 13:38:49.789,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",Laos
N7,F25,2035,25.859519999999968,2026-05-13 13:38:49.789,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",Vietnam
N9,F25,2035,-70.95600000000012,2026-05-13 13:38:49.789,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",Singapore
N14,F25,2040,37.8432,2026-05-13 13:38:49.789,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",Indonesia Sumatra
N17,F25,2040,33.112799999999986,2026-05-13 13:38:49.789,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",Malaysia Peninsular
