tr,l,f,y,val,solvedtm,fuel_name,timeslice_name
T16,L11,F25,2025,200.0,2026-05-13 13:38:49.789,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",Wet: Hr 11
T16,L11,F25,2045,-200.0,2026-05-13 13:38:49.789,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",Wet: Hr 11
T16,L11,F25,2040,-200.0,2026-05-13 13:38:49.789,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",Wet: Hr 11
T16,L11,F25,2035,-200.0,2026-05-13 13:38:49.789,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",Wet: Hr 11
T16,L11,F25,2030,-200.0,2026-05-13 13:38:49.789,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",Wet: Hr 11
T16,L11,F25,2055,200.0,2026-05-13 13:38:49.789,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",Wet: Hr 11
T16,L11,F25,2060,200.0,2026-05-13 13:38:49.789,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",Wet: Hr 11
T16,L11,F25,2050,200.0,2026-05-13 13:38:49.789,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",Wet: Hr 11
T16,L6,F25,2025,200.0,2026-05-13 13:38:49.789,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",Wet: Hr 6
T16,L6,F25,2045,200.0,2026-05-13 13:38:49.789,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",Wet: Hr 6
T16,L6,F25,2040,200.0,2026-05-13 13:38:49.789,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",Wet: Hr 6
T16,L6,F25,2035,200.0,2026-05-13 13:38:49.789,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",Wet: Hr 6
T16,L6,F25,2030,200.0,2026-05-13 13:38:49.789,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",Wet: Hr 6
