table,rows,csv
vannualemissions,1142,vannualemissions.csv
vannualfixedoperatingcost,1113,vannualfixedoperatingcost.csv
vannualtechnologyemission,7869,vannualtechnologyemission.csv
vannualvariableoperatingcost,1468,vannualvariableoperatingcost.csv
vcapitalinvestment,167,vcapitalinvestment.csv
vdiscountedcapitalinvestment,167,vdiscountedcapitalinvestment.csv
vdiscountedoperatingcost,2052,vdiscountedoperatingcost.csv
vdiscountedsalvagevalue,108,vdiscountedsalvagevalue.csv
vdiscountedtechnologyemissionspenalty,0,
vnewcapacity,2283,vnewcapacity.csv
vproductionbytechnology,166562,vproductionbytechnology.csv
vproductionbytechnologyannual,4077,vproductionbytechnologyannual.csv
vrateofproduction,124377,vrateofproduction.csv
vrateofuse,64117,vrateofuse.csv
vtotalcapacityannual,4379,vtotalcapacityannual.csv
vtradeannual,1533,vtradeannual.csv
vtransmissionannual,75,vtransmissionannual.csv
vtransmissionbuilt,8,vtransmissionbuilt.csv
vtransmissionbyline,3744,vtransmissionbyline.csv
vtransmissionexists,78,vtransmissionexists.csv
vusebytechnology,87584,vusebytechnology.csv
vusebytechnologyannual,2034,vusebytechnologyannual.csv
