r,t,region_name,tech_name,cat,renew,peak_GW,first_GW,last_GW,n_dips,biggest_dip_GW,biggest_pos_delta_GW,pulse_ratio,monotone_increasing
R1,P14428,Indonesia,Nuclear SMR,Nuclear,True,0.4807692,0.4807692,0.09615320000000015,4,-0.09615399999999999,0.0,,False
R19,P14442,Philippines,Wind Offshore,Wind Offshore,True,50.1,7.0,50.1,1,-11.0,29.0,1.6022099447513811,False
R16,P2847,Singapore,Solar PV,Solar PV,True,2.537037037037037,1.537037037037037,1.0,1,-1.5370370370370372,1.0000000000000002,,False
R6,P2847,Cambodia,Solar PV,Solar PV,True,9.790000000000001,1.94,9.566,1,-0.2240000000000002,4.800000000000001,1.2229299363057324,False
R11,P2731,Thailand,Biomass Gasification,Biomass/Waste,True,9.8025,4.205,9.8025,1,-0.1924999999999999,4.135000000000001,1.4283246977547497,False
R6,P2713,Cambodia,Wind Onshore,Wind Onshore,True,3.418,0.06899999999999995,3.349,1,-0.06899999999999995,2.7990000000000004,1.671543744401314,False
R1,P16756,Indonesia,Solar PV Rooftop,Solar PV,True,15.483,2.5805000000000002,15.483,0,0.0,12.9025,,True
R1,P19896,Indonesia,Solar PV_IDJW,Solar PV,True,1.3455,0.1189,1.3455,0,0.0,0.9133999999999999,1.4893200717430295,True
R1,P20164,Indonesia,Solar PV_IDSA,Solar PV,True,5.4826,0.2497,5.4826,0,0.0,3.0527999999999995,1.166771770910967,True
R1,P20186,Indonesia,Solar PV_IDKA,Solar PV,True,2.7797,0.1266,2.7797,0,0.0,1.5477,1.1667106403829481,True
R1,P20208,Indonesia,Solar PV_IDEast,Solar PV,True,6.1914,0.2819,6.1914,0,0.0,3.4475,1.1667653777815383,True
R1,P20230,Indonesia,Wind Onshore_IDJW,Wind Onshore,True,0.0692,0.0268,0.0692,0,0.0,0.04239999999999999,,True
R1,P20296,Indonesia,Wind Onshore_IDEast,Wind Onshore,True,7.117799999999999,2.7382,7.117799999999999,0,0.0,4.379599999999999,,True
R1,P20318,Indonesia,Geothermal Flash_IDJW,Geothermal,True,5.1953000000000005,0.23609999999999998,5.1953000000000005,0,0.0,3.1097999999999995,1.8911457066407196,True
R1,P20340,Indonesia,Geothermal Flash_IDSA,Geothermal,True,2.6663,0.1886,2.6663,0,0.0,1.8077000000000003,1.4591758485692379,True
R1,P20384,Indonesia,Geothermal Flash_IDEast,Geothermal,True,0.6195,0.1582,0.6195,0,0.0,0.2355,1.0429583702391494,True
R1,P20406,Indonesia,Large Hydro_IDJW,Large Hydro,True,9.9222,5.1174,9.9222,0,0.0,3.7309,1.552988677988678,True
R1,P20428,Indonesia,Large Hydro_IDSA,Large Hydro,True,15.6,5.934374767494546,15.6,0,0.0,5.352203061011762,2.973923483274372,True
R1,P20450,Indonesia,Large Hydro_IDKA,Large Hydro,True,21.6,2.7534170040054744,21.6,0,0.0,15.23651358632528,9.387428281976607,True
R1,P20472,Indonesia,Large Hydro_IDEast,Large Hydro,True,32.980000000000004,3.2471515013598,32.980000000000004,0,0.0,12.911964707978393,5.178221663346985,True
R1,P21627,Indonesia,Biomass Other_IDJW,Biomass/Waste,True,0.1695496728,0.1695496728,0.1695496728,0,0.0,0.0,,True
R1,P21659,Indonesia,Biomass Other_IDSA,Biomass/Waste,True,2.7557090509999997,2.319709051,2.7557090509999997,0,0.0,0.387,1.7752293577981655,True
R1,P21691,Indonesia,Biomass Other_IDKA,Biomass/Waste,True,0.47403673609999997,0.41603673609999997,0.47403673609999997,0,0.0,0.030999999999999972,1.0689655172413783,True
R1,P21723,Indonesia,Biomass Other_IDEast,Biomass/Waste,True,0.36206453975,0.021064539750000003,0.36206453975,0,0.0,0.326,1.912023460410557,True
R1,P21773,Indonesia,Biogas_IDKA,Biomass/Waste,True,0.05887778261,0.04267778261,0.05887778261,0,0.0,0.011000000000000003,1.3580246913580252,True
R1,P21791,Indonesia,Biogas_IDSA,Biomass/Waste,True,0.1414146476,0.1124146476,0.1414146476,0,0.0,0.015999999999999986,1.103448275862068,True
