region,tech_name,year,capital_inv,fixed_OM,variable_OM,disc_capex,disc_opex,disc_salvage
Brunei,All Refineries,2025,10689.6545,0.0000,27.5624,10689.6545,26.6455,0.0000
Brunei,All Refineries,2030,0.0000,0.0000,27.5624,0.0000,109.2520,0.0000
Brunei,All Refineries,2035,0.0000,0.0000,27.5624,0.0000,77.8952,0.0000
Brunei,All Refineries,2040,0.0000,0.0000,27.5624,0.0000,55.5382,0.0000
Brunei,All Refineries,2045,0.0000,0.0000,27.5624,0.0000,39.5980,0.0000
Brunei,All Refineries,2050,0.0000,0.0000,27.5624,0.0000,28.2328,0.0000
Brunei,All Refineries,2055,10689.6545,0.0000,27.5624,1615.1170,20.1296,864.8637
Brunei,All Refineries,2060,0.0000,0.0000,27.5624,0.0000,14.3521,0.0000
Brunei,Biomass Domestic Production,2050,0.0000,0.0000,0.2915,0.0000,0.1711,0.0000
Brunei,Biomass Domestic Production,2055,0.0000,0.0000,0.2582,0.0000,0.1990,0.0000
Brunei,Biomass Domestic Production,2060,0.0000,0.0000,0.2286,0.0000,0.1256,0.0000
Brunei,Biomass Imports,2025,0.0000,0.0000,0.4828,0.0000,0.4668,0.0000
Brunei,Biomass Imports,2030,0.0000,0.0000,0.4766,0.0000,1.8996,0.0000
Brunei,Biomass Imports,2035,0.0000,0.0000,0.4259,0.0000,1.2648,0.0000
Brunei,Biomass Imports,2040,0.0000,0.0000,0.3759,0.0000,0.8005,0.0000
Brunei,Biomass Imports,2045,0.0000,0.0000,0.3317,0.0000,0.5037,0.0000
Brunei,Biomass Imports,2050,0.0000,0.0000,0.0000,0.0000,0.1451,0.0000
Brunei,Bitumen Imports,2025,0.0000,0.0000,1.0016,0.0000,0.9683,0.0000
Brunei,Bitumen Imports,2030,0.0000,0.0000,1.3290,0.0000,4.9985,0.0000
Brunei,Bitumen Imports,2035,0.0000,0.0000,1.4771,0.0000,4.1245,0.0000
Brunei,Bitumen Imports,2040,0.0000,0.0000,1.5749,0.0000,3.1520,0.0000
Brunei,Bitumen Imports,2045,0.0000,0.0000,1.5997,0.0000,2.2830,0.0000
Brunei,Bitumen Imports,2050,0.0000,0.0000,1.6183,0.0000,1.6495,0.0000
Brunei,Bitumen Imports,2055,0.0000,0.0000,1.6496,0.0000,1.1950,0.0000
Brunei,Bitumen Imports,2060,0.0000,0.0000,1.6816,0.0000,0.8685,0.0000
Brunei,Coal IGCC,2025,0.0000,17.1736,6.4736,0.0000,22.8605,0.0000
Brunei,Coal IGCC,2030,0.0000,16.8402,3.7343,0.0000,85.9876,0.0000
Brunei,Coal IGCC,2035,0.0000,16.7132,2.6685,0.0000,56.0277,0.0000
Brunei,Coal IGCC,2040,0.0000,16.5862,2.3172,0.0000,38.3752,0.0000
Brunei,Coal IGCC,2045,0.0000,16.4592,1.9710,0.0000,26.6796,0.0000
Brunei,Coal IGCC,2050,0.0000,16.3322,1.6299,0.0000,18.5416,0.0000
Brunei,Coal IGCC,2055,0.0000,16.3322,1.3039,0.0000,12.9818,0.0000
Brunei,Coal IGCC,2060,0.0000,16.3322,0.9779,0.0000,9.0861,0.0000
Brunei,Diesel,2025,0.0000,0.1365,0.0000,0.0000,0.1320,0.0000
Brunei,Diesel,2030,0.0000,0.1365,0.0000,0.0000,0.5411,0.0000
Brunei,Diesel,2035,0.0000,0.1354,0.0000,0.0000,0.3826,0.0000
Brunei,Diesel,2040,0.0000,0.0000,0.0000,0.0000,0.1155,0.0000
Brunei,Gas Combined Cycle,2025,119.0391,12.9982,6.6825,119.0391,19.0261,0.0000
