region,fuel,family,year,prev_prod,production_PJ,ratio_prod,demand_PJ_prev,demand_PJ_this,demand_YoY_ratio,attribution
Brunei,Gasoline output from Gasoline Distribution and Handling,Gasoline,2035,83.0025,160.9138,1.9386620884913106,83.00247758468328,85.46330829795494,1.0296476778149304,SOLVER (demand smoother than production)
Brunei,Gasoline output from Gasoline Distribution and Handling,Gasoline,2055,160.9138,78.5945,0.488426101428218,80.06867394069295,78.59450711911153,0.981588719420115,SOLVER (demand smoother than production)
Brunei,Gasoline output from Oil Refining,Gasoline,2035,83.1875,160.9138,1.934350713749061,83.00247758468328,85.46330829795494,1.0296476778149304,SOLVER (demand smoother than production)
Cambodia,Gasoline output from Gasoline Distribution and Handling,Gasoline,2055,186.5095,77.7443,0.4168382843769352,125.01825626439566,77.74425731000035,0.6218632352828727,SOLVER (demand smoother than production)
Cambodia,Gasoline output from Oil Refining,Gasoline,2055,186.5095,77.7443,0.4168382843769352,125.01825626439566,77.74425731000035,0.6218632352828727,SOLVER (demand smoother than production)
Cambodia,LNG output from Energy Sector Own Use,LNG,2030,0.3973,1.4575,3.6685124590989178,0.39731248714832906,1.4574646176078916,3.6683081069731767,AUTHORED (demand step matches production step)
Cambodia,LNG output from Gas Processing,LNG,2030,0.3973,1.4575,3.6685124590989178,0.39731248714832906,1.4574646176078916,3.6683081069731767,AUTHORED (demand step matches production step)
Cambodia,LPG output from Energy Sector Own Use,LPG,2030,19.998,30.1168,1.505990599059906,19.99802272021587,30.116834935663103,1.5059906350250412,AUTHORED (demand step matches production step)
Cambodia,LPG output from Gas Processing,LPG,2030,19.998,30.1168,1.505990599059906,19.99802272021587,30.116834935663103,1.5059906350250412,AUTHORED (demand step matches production step)
Cambodia,Natural Gas input to Natural Gas Production,Natural Gas,2055,14.9556,27.8438,1.8617641552328226,9.989815595785304,9.51561506105766,0.9525316027927775,SOLVER (demand smoother than production)
Cambodia,Natural Gas output from Natural Gas Production,Natural Gas,2055,14.9556,27.8438,1.8617641552328226,9.989815595785304,9.51561506105766,0.9525316027927775,SOLVER (demand smoother than production)
Cambodia,Natural Gas output from Natural Gas Transmission and Distribution,Natural Gas,2055,14.9556,27.8438,1.8617641552328226,9.989815595785304,9.51561506105766,0.9525316027927775,SOLVER (demand smoother than production)
Indonesia,Blended Diesel output from Diesel Blending,Blended Diesel,2030,590.9703,1330.3645,2.251152892116575,590.9703080889517,1330.3645477670773,2.2511529421319647,AUTHORED (demand step matches production step)
Indonesia,Blended Diesel output from Diesel Blending,Blended Diesel,2035,1330.3645,2073.9784,1.5589550081951224,1330.3645477670773,2073.9783592009226,1.5589549215528544,AUTHORED (demand step matches production step)
Indonesia,Diesel output from Gas Processing,Diesel,2030,485.0688,958.4245,1.9758527037814015,115.71233739817691,152.9845609228093,1.3221110588784946,SOLVER (demand smoother than production)
Indonesia,Gasoline output from Gasoline Distribution and Handling,Gasoline,2055,5633.1399,2015.6642,0.3578224996684353,3373.7675545757706,2015.6641521207246,0.5974519938064261,SOLVER (demand smoother than production)
Indonesia,Gasoline output from Gasoline Distribution and Handling,Gasoline,2060,2015.6642,999.6609,0.4959461501573526,2015.6641521207246,999.660871416224,0.49594614775703527,AUTHORED (demand step matches production step)
Indonesia,Gasoline output from Oil Refining,Gasoline,2055,5633.1399,2015.6642,0.3578224996684353,3373.7675545757706,2015.6641521207246,0.5974519938064261,SOLVER (demand smoother than production)
Indonesia,Gasoline output from Oil Refining,Gasoline,2060,2015.6642,999.6609,0.4959461501573526,2015.6641521207246,999.660871416224,0.49594614775703527,AUTHORED (demand step matches production step)
Indonesia,Kerosene output from Gas Processing,Kerosene,2035,8.6205,2.3352,0.27088915956151033,8.620535623672854,2.33521350628138,0.2708896068903944,AUTHORED (demand step matches production step)
Indonesia,Natural Gas input to Natural Gas Production,Natural Gas,2030,1567.4414,2406.5305,1.5353240637895618,1030.9423911474228,1244.1485852317746,1.2068070882671307,SOLVER (demand smoother than production)
Indonesia,Natural Gas input to Natural Gas Production,Natural Gas,2050,3845.2948,6790.8027,1.7660031423338465,2323.716772261694,2682.7954451580026,1.1545277278120318,SOLVER (demand smoother than production)
Indonesia,Natural Gas output from Natural Gas Production,Natural Gas,2030,1567.4414,2406.5305,1.5353240637895618,1030.9423911474228,1244.1485852317746,1.2068070882671307,SOLVER (demand smoother than production)
