r,t,region_name,tech_name,is_supply_tech,y,delta_GW,prior_stock_GW,traj_median_pos_delta_GW,traj_peak_delta_GW,pulse_ratio,stock_multiplier,peak_fraction,pulse_flag,stock_flag
R13,P2713,Laos,Wind Onshore,False,2030,1.0,0.0,0.30000000000000004,1.0,3.333333333333333,inf,1.0,True,True
R15,P2847,Brunei,Solar PV,False,2030,0.44000000000000006,0.0068,0.040000000000000036,0.44000000000000006,10.999999999999991,64.70588235294119,1.0,True,True
R6,P2724,Cambodia,Large Hydro,False,2030,0.8827,1.796,0.19806666666666706,0.8827,4.456580276001338,0.49148106904231625,1.0,True,False
R15,P2847,Brunei,Solar PV,False,2035,0.4399999999999999,0.44680000000000003,0.040000000000000036,0.44000000000000006,10.999999999999988,0.984780662488809,0.9999999999999997,True,False
R19,P14442,Philippines,Wind Offshore,False,2045,29.0,3.0,12.55,29.0,2.3107569721115535,9.666666666666666,1.0,False,True
R14,P14442,Vietnam,Wind Offshore,False,2030,15.0,0.0,15.0,34.0,1.0,inf,0.4411764705882353,False,True
R1,P16756,Indonesia,Solar PV Rooftop,False,2030,12.9025,2.5805000000000002,12.9025,12.9025,1.0,4.999999999999999,1.0,False,True
R17,P20494,Malaysia,Solar PV_MYPE,False,2035,9.143799999999999,0.0,11.429775000000003,13.715750000000007,0.7999982501842772,inf,0.6666642363705955,False,True
R19,P14442,Philippines,Wind Offshore,False,2030,7.0,0.0,12.55,29.0,0.5577689243027888,inf,0.2413793103448276,False,True
R6,P2713,Cambodia,Wind Onshore,False,2040,2.7990000000000004,0.55,1.6745,2.7990000000000004,1.671543744401314,5.08909090909091,1.0,False,True
R1,P20296,Indonesia,Wind Onshore_IDEast,False,2030,2.7382,0.0,3.5588999999999995,4.379599999999999,0.7693950377925765,inf,0.6252169147867387,False,True
R1,P20208,Indonesia,Solar PV_IDEast,False,2030,2.462,0.2819,2.9547499999999998,3.4475,0.8332346222184619,8.733593472862719,0.7141406816533721,False,True
R1,P20164,Indonesia,Solar PV_IDSA,False,2030,2.1801000000000004,0.2497,2.61645,3.0527999999999995,0.833228229089033,8.730877052462956,0.7141312893081764,False,True
R19,P14268,Philippines,Nuclear LWR,False,2035,2.16,0.0,0.7200000000000002,2.16,2.9999999999999996,inf,1.0,False,True
R11,P4240,Thailand,Solar Floating,False,2035,1.94643,0.0,1.362501,1.94643,1.4285714285714286,inf,1.0,False,True
R11,P2907,Thailand,Biogas,False,2035,1.115,0.0,0.7825,1.115,1.4249201277955272,inf,1.0,False,True
R1,P20186,Indonesia,Solar PV_IDKA,False,2030,1.1054,0.1266,1.3265500000000001,1.5477,0.8332893596170516,8.731437598736177,0.7142211022808037,False,True
R1,P20406,Indonesia,Large Hydro_IDJW,False,2030,1.0739,0.2974,2.4024000000000005,3.730900000000001,0.44701132201132193,3.610961667787492,0.287839395320164,False,True
R16,P2847,Singapore,Solar PV,False,2030,1.0,0.0,1.0,1.0,1.0,inf,1.0,False,True
R1,P20318,Indonesia,Geothermal Flash_IDJW,False,2030,0.8944000000000001,0.0861,1.6271,2.3598,0.5496896318603651,10.387921022067365,0.37901517077718455,False,True
R17,P20626,Malaysia,Large Hydro_MYPE,False,2030,0.8695,0.0,0.46945,0.8695,1.8521674299712432,inf,1.0,False,True
R17,P20516,Malaysia,Solar PV_MYSB,False,2035,0.8562000000000001,0.0,1.0702249999999998,1.2842500000000001,0.8000186876591373,inf,0.6666926221530076,False,True
R19,P4240,Philippines,Solar Floating,False,2030,0.806,0.0,1.5,1.694,0.5373333333333333,inf,0.4757969303423849,False,True
R6,P2831,Cambodia,Gas Combined Cycle,False,2030,0.8,0.0,0.8,0.8,1.0,inf,1.0,False,True
R19,P2824,Philippines,Small Hydro,False,2035,0.77,0.1221,0.9625000000000001,1.815,0.7999999999999999,6.306306306306307,0.42424242424242425,False,True
R1,P20428,Indonesia,Large Hydro_IDSA,False,2030,0.7140000000000001,0.1977,1.5971000000000002,2.4802000000000004,0.44706029678792814,3.6115326251896818,0.28788000967663896,False,True
R11,P2890,Thailand,Waste,False,2035,0.6950000000000001,0.0,0.4875,0.6950000000000001,1.425641025641026,inf,1.0,False,True
R1,P22147,Indonesia,Gas Combined Cycle_IDKA,False,2030,0.6799999999999999,0.1787692315,0.6799999999999999,0.6799999999999999,1.0,3.8037865593218707,1.0,False,True
R6,P2713,Cambodia,Wind Onshore,False,2030,0.55,0.0,1.6745,2.7990000000000004,0.3284562555986862,inf,0.19649874955341193,False,True
R13,P2847,Laos,Solar PV,False,2030,0.501,0.083,0.26600000000000035,0.501,1.8834586466165388,6.036144578313253,1.0,False,True
R13,P4240,Laos,Solar Floating,False,2030,0.5,0.0,0.20000000000000007,0.5,2.499999999999999,inf,1.0,False,True
R1,P14428,Indonesia,Nuclear SMR,False,2035,0.4807692,0.0,0.4807692,0.4807692,1.0,inf,1.0,False,True
R1,P2890,Indonesia,Waste,False,2030,0.43400000000000005,0.03647,0.2265,0.43400000000000005,1.916114790286976,11.900191938579654,1.0,False,True
R1,P20340,Indonesia,Geothermal Flash_IDSA,False,2030,0.401,0.0386,0.7293500000000002,1.0577000000000003,0.5498046205525466,10.38860103626943,0.3791245154580693,False,True
R6,P2956,Cambodia,Biomass Other,False,2030,0.4,0.049,0.4,0.4,1.0,8.16326530612245,1.0,False,True
R1,P23302,Indonesia,Small Hydro_IDJW,False,2030,0.3705,0.0513,0.18924999999999997,0.3705,1.9577278731836198,7.222222222222222,1.0,False,True
R1,P23325,Indonesia,Small Hydro_IDSA,False,2030,0.34900000000000003,0.048299999999999996,0.17820000000000003,0.34900000000000003,1.9584736251402917,7.225672877846792,1.0,False,True
R1,P21723,Indonesia,Biomass Other_IDEast,False,2030,0.326,0.021064539750000003,0.1705,0.326,1.912023460410557,15.47624604520495,1.0,False,True
R1,P20472,Indonesia,Large Hydro_IDEast,False,2030,0.31390000000000007,0.0869,0.7023,1.0907,0.44695998860885666,3.612197928653625,0.28779682772531406,False,True
R1,P23371,Indonesia,Small Hydro_IDEast,False,2030,0.29699999999999993,0.041100000000000005,0.1517,0.29699999999999993,1.9578114700065914,7.226277372262771,1.0,False,True
R19,P14428,Philippines,Nuclear SMR,False,2035,0.24,0.0,0.08000000000000002,0.24,2.999999999999999,inf,1.0,False,True
R11,P2824,Thailand,Small Hydro,False,2035,0.22,0.0,0.154,0.22,1.4285714285714286,inf,1.0,False,True
R15,P16756,Brunei,Solar PV Rooftop,False,2030,0.2,0.0,0.2,0.20000000000000007,1.0,inf,0.9999999999999998,False,True
R19,P16756,Philippines,Solar PV Rooftop,False,2040,0.18000000000000002,0.00824,0.18000000000000002,0.27,1.0,21.844660194174757,0.6666666666666667,False,True
R1,P20450,Indonesia,Large Hydro_IDKA,False,2030,0.10830000000000001,0.03,0.24234999999999998,0.37639999999999996,0.4468743552713019,3.6100000000000003,0.28772582359192356,False,True
R6,P16756,Cambodia,Solar PV Rooftop,False,2030,0.08653846153846154,0.017307692307692312,0.08653846153846155,0.08653846153846159,0.9999999999999999,4.999999999999998,0.9999999999999993,False,True
R1,P20384,Indonesia,Geothermal Flash_IDEast,False,2030,0.08549999999999999,0.008199999999999999,0.15565,0.2258,0.5493093478959202,10.426829268292684,0.3786536758193091,False,True
R16,P2831,Singapore,Gas Combined Cycle,False,2030,0.067857,0.0135714,0.067857,0.067857,1.0,5.0,1.0,False,True
R11,P3012,Thailand,Coal Supercritical,False,2030,0.06,0.0,0.06,0.06,1.0,inf,1.0,False,True
