r,t,region_name,tech_name,is_supply_tech,y,delta_GW,prior_stock_GW,this_stock_GW
R19,P14442,Philippines,Wind Offshore,False,2040,-11.0,14.0,3.0
R19,P2776,Philippines,Diesel,False,2040,-3.456776,3.456776,0.0
R1,P22061,Indonesia,Diesel_IDEast,False,2040,-2.794387735,2.794387735,0.0
R1,P22095,Indonesia,Diesel_IDSA,False,2040,-1.4222304730000002,1.4222304730000002,0.0
R1,P22078,Indonesia,Diesel_IDKA,False,2040,-1.243633378,1.243633378,0.0
R1,P22252,Indonesia,Gas Turbine_IDJW,False,2030,-1.2213999999999996,2.025661021,0.8042610210000003
R14,P2776,Vietnam,Diesel,False,2030,-0.87195,1.50325,0.6313
R1,P22252,Indonesia,Gas Turbine_IDJW,False,2035,-0.6784000000000001,0.8042610210000003,0.12586102100000016
R14,P2776,Vietnam,Diesel,False,2035,-0.4488000000000002,0.6313,0.18249999999999977
R6,P2792,Cambodia,Fuel Oil,False,2040,-0.4,0.4,0.0
R1,P22112,Indonesia,Diesel_IDJW,False,2040,-0.3640284137,0.3640284137,0.0
R17,P21230,Malaysia,Gas Combined Cycle_MYPE,False,2030,-0.35609999999999964,12.13,11.773900000000001
R1,P22235,Indonesia,Gas Turbine_IDSA,False,2035,-0.3008000000000002,0.3008000000000002,0.0
R11,P2731,Thailand,Biomass Gasification,False,2030,-0.1924999999999999,4.205,4.0125
R19,P2720,Philippines,Coal Subcritical,False,2035,-0.14270000000000138,11.120436,10.977735999999998
R1,P22252,Indonesia,Gas Turbine_IDJW,False,2040,-0.12586102100000016,0.12586102100000016,0.0
R19,P2720,Philippines,Coal Subcritical,False,2030,-0.09999999999999964,11.220436,11.120436
R1,P14428,Indonesia,Nuclear SMR,False,2050,-0.09615399999999999,0.2884612000000001,0.1923072000000001
R1,P14428,Indonesia,Nuclear SMR,False,2045,-0.09615399999999996,0.38461520000000005,0.2884612000000001
R1,P14428,Indonesia,Nuclear SMR,False,2040,-0.09615399999999996,0.4807692,0.38461520000000005
R1,P14428,Indonesia,Nuclear SMR,False,2055,-0.09615399999999995,0.1923072000000001,0.09615320000000015
R1,P14428,Indonesia,Nuclear SMR,False,2060,-0.09615320000000015,0.09615320000000015,0.0
R17,P22371,Malaysia,Diesel_MYSB,False,2030,-0.08719999999999999,0.08719999999999999,0.0
R17,P21252,Malaysia,Gas Combined Cycle_MYSB,False,2030,-0.08040000000000003,1.1825,1.1021
R17,P21274,Malaysia,Gas Combined Cycle_MYSR,False,2030,-0.0656000000000001,1.706,1.6403999999999999
R11,P2776,Thailand,Diesel,False,2040,-0.065,0.065,0.0
R17,P22354,Malaysia,Diesel_MYSR,False,2030,-0.064,0.064,0.0
