year,BAS,ATS (slowed),RAS (ours)
2024,14.00,14.00,14.00
2025,15.70,16.00,17.00
2026,15.80,16.70,18.64
2027,15.90,17.40,20.28
2028,16.00,18.10,21.92
2029,18.20,18.80,23.56
2030,18.60,19.50,25.20
2031,18.90,20.10,26.26
2032,19.20,20.70,27.32
2033,19.50,21.30,28.38
2034,19.90,21.90,29.44
2035,20.20,22.50,30.50
2036,20.52,23.10,31.40
2037,20.84,23.70,32.30
2038,21.16,24.30,33.20
2039,21.48,24.90,34.10
2040,21.80,25.50,35.00
2041,22.12,26.00,35.80
2042,22.44,26.50,36.60
2043,22.76,27.00,37.40
2044,23.08,27.50,38.20
2045,23.40,28.00,39.00
2046,23.72,28.40,39.60
2047,24.04,28.80,40.20
2048,24.36,29.20,40.80
2049,24.68,29.60,41.40
2050,25.00,30.00,42.00
