region,year,total_elec_PJ,re_elec_PJ,fossil_elec_PJ,re_share_pct
Brunei,2025,68.2125,0.0386,68.1738,0.0567
Brunei,2030,54.4892,3.5461,50.9431,6.5079
Brunei,2035,53.1088,5.0327,48.0762,9.4761
Brunei,2040,51.5188,4.9229,46.5960,9.5555
Brunei,2045,53.1922,5.5342,47.6580,10.4042
Brunei,2050,53.0653,6.0824,46.9830,11.4621
Brunei,2055,53.0890,6.5530,46.5360,12.3434
Brunei,2060,52.6669,6.8803,45.7866,13.0638
Cambodia,2025,218.0875,45.1164,172.9711,20.6873
Cambodia,2030,222.0794,72.1560,149.9234,32.4911
Cambodia,2035,231.0286,87.5061,143.5225,37.8767
Cambodia,2040,250.3321,97.1906,153.1415,38.8247
Cambodia,2045,284.8222,107.5949,177.2273,37.7762
Cambodia,2050,332.2029,107.5116,224.6913,32.3632
Cambodia,2055,381.1525,106.7204,274.4321,27.9994
Cambodia,2060,441.2682,112.0293,329.2389,25.3880
Indonesia,2025,3909.5027,15.0695,3894.4333,0.3855
Indonesia,2030,4289.5119,92.3499,4197.1620,2.1529
Indonesia,2035,5596.2089,154.4616,5441.7473,2.7601
Indonesia,2040,7670.7413,256.8897,7413.8517,3.3490
Indonesia,2045,10437.2920,379.4467,10057.8454,3.6355
Indonesia,2050,13343.2413,384.5420,12958.6993,2.8819
Indonesia,2055,16155.4112,383.6637,15771.7475,2.3748
Indonesia,2060,18365.0838,375.3782,17989.7056,2.0440
Laos,2025,368.1919,117.1683,251.0236,31.8226
Laos,2030,365.9927,103.4972,262.4954,28.2785
Laos,2035,355.6024,99.8833,255.7191,28.0885
Laos,2040,398.1398,128.4797,269.6601,32.2700
Laos,2045,448.2272,155.7002,292.5269,34.7369
Laos,2050,486.8745,176.4244,310.4501,36.2361
Laos,2055,524.5657,201.7691,322.7967,38.4640
Laos,2060,547.1073,219.6807,327.4266,40.1531
Malaysia,2025,2011.3313,28.5518,1982.7796,1.4195
Malaysia,2030,1956.6007,33.6689,1922.9318,1.7208
Malaysia,2035,1930.1840,30.4896,1899.6943,1.5796
Malaysia,2040,2108.0509,26.6784,2081.3725,1.2656
Malaysia,2045,2342.7427,35.6245,2307.1182,1.5206
Malaysia,2050,3063.0689,34.3153,3028.7536,1.1203
Malaysia,2055,3177.6417,33.8760,3143.7657,1.0661
Malaysia,2060,3429.1052,30.2368,3398.8685,0.8818
Myanmar,2025,198.2871,38.6263,159.6609,19.4800
Myanmar,2030,215.0714,48.2941,166.7773,22.4549
Myanmar,2035,246.8814,50.3083,196.5732,20.3775
Myanmar,2040,279.3155,52.0919,227.2235,18.6498
Myanmar,2045,330.6476,54.5122,276.1353,16.4865
Myanmar,2050,378.5454,53.2687,325.2767,14.0719
Myanmar,2055,423.8044,57.4531,366.3513,13.5565
Myanmar,2060,456.0854,56.9035,399.1819,12.4765
Philippines,2025,1066.0901,116.9070,949.1830,10.9660
Philippines,2030,1113.1236,163.0071,950.1165,14.6441
Philippines,2035,1221.4143,221.4995,999.9147,18.1347
Philippines,2040,1410.8397,298.0981,1112.7416,21.1291
Philippines,2045,1632.3177,402.1299,1230.1878,24.6355
Philippines,2050,1847.3737,470.5310,1376.8427,25.4703
Philippines,2055,2073.1721,446.7268,1626.4453,21.5480
Philippines,2060,2355.8249,467.8703,1887.9546,19.8601
Singapore,2025,652.7952,25.4719,627.3233,3.9020
Singapore,2030,613.3812,23.6334,589.7478,3.8530
Singapore,2035,610.7899,37.2635,573.5264,6.1009
Singapore,2040,651.4370,33.6216,617.8155,5.1611
Singapore,2045,709.7486,13.3094,696.4392,1.8752
Singapore,2050,754.9669,17.1521,737.8148,2.2719
Singapore,2055,805.0682,5.9951,799.0731,0.7447
Singapore,2060,829.8411,9.8528,819.9883,1.1873
Thailand,2025,1952.6016,62.9396,1889.6620,3.2234
Thailand,2030,2049.8734,121.9020,1927.9714,5.9468
Thailand,2035,2465.5033,244.9431,2220.5603,9.9348
Thailand,2040,3169.9361,404.0724,2765.8638,12.7470
Thailand,2045,3937.5568,441.8267,3495.7301,11.2208
Thailand,2050,4638.2093,451.4475,4186.7618,9.7332
Thailand,2055,5228.1443,445.0892,4783.0552,8.5133
Thailand,2060,5746.8188,444.1384,5302.6804,7.7284
Timor Leste,2025,6.0705,0.0112,6.0593,0.1839
Timor Leste,2030,6.0580,0.0112,6.0468,0.1843
Timor Leste,2035,6.1721,0.0112,6.1609,0.1809
Timor Leste,2040,6.6715,0.0112,6.6604,0.1673
Timor Leste,2045,7.4627,0.0112,7.4515,0.1496
Timor Leste,2050,8.4049,0.0112,8.3938,0.1328
Timor Leste,2055,9.6239,0.0112,9.6127,0.1160
Timor Leste,2060,11.1136,0.0112,11.1024,0.1005
Vietnam,2025,1768.6396,369.0869,1399.5527,20.8684
Vietnam,2030,1963.7824,395.0963,1568.6861,20.1192
Vietnam,2035,2206.4861,499.1035,1707.3826,22.6198
Vietnam,2040,2790.1795,935.7822,1854.3973,33.5384
Vietnam,2045,3611.6940,1435.2417,2176.4524,39.7387
Vietnam,2050,4519.7787,2113.2066,2406.5721,46.7546
Vietnam,2055,4873.6911,2160.6242,2713.0669,44.3324
Vietnam,2060,5420.8662,2330.9032,3089.9630,42.9987
