region,tech_name,season,hour,year,charge_PJ,discharge_PJ,net_PJ
Cambodia,Lithium Ion Batteries,Dry,1,2025,0.0491,0.0000,-0.0491
Cambodia,Lithium Ion Batteries,Dry,2,2025,0.1952,0.0000,-0.1952
Cambodia,Lithium Ion Batteries,Dry,4,2025,0.2304,0.0000,-0.2304
Cambodia,Lithium Ion Batteries,Dry,5,2025,0.2263,0.0000,-0.2263
Cambodia,Lithium Ion Batteries,Dry,6,2025,0.1341,0.0000,-0.1341
Cambodia,Lithium Ion Batteries,Dry,7,2025,0.0000,0.0419,0.0419
Cambodia,Lithium Ion Batteries,Dry,8,2025,0.0000,0.1123,0.1123
Cambodia,Lithium Ion Batteries,Dry,9,2025,0.0618,0.0000,-0.0618
Cambodia,Lithium Ion Batteries,Dry,10,2025,0.0085,0.0000,-0.0085
Cambodia,Lithium Ion Batteries,Dry,12,2025,0.3748,0.0000,-0.3748
Cambodia,Lithium Ion Batteries,Dry,14,2025,0.0456,0.0000,-0.0456
Cambodia,Lithium Ion Batteries,Dry,15,2025,0.0345,0.0000,-0.0345
Cambodia,Lithium Ion Batteries,Dry,17,2025,0.0000,0.0807,0.0807
Cambodia,Lithium Ion Batteries,Dry,18,2025,0.0000,0.0146,0.0146
Cambodia,Lithium Ion Batteries,Dry,19,2025,0.0000,0.1757,0.1757
Cambodia,Lithium Ion Batteries,Dry,20,2025,0.0000,0.4589,0.4589
Cambodia,Lithium Ion Batteries,Dry,21,2025,0.0000,0.1990,0.1990
Cambodia,Lithium Ion Batteries,Dry,22,2025,0.0000,0.2160,0.2160
Cambodia,Lithium Ion Batteries,Wet,2,2025,0.0336,0.0000,-0.0336
Cambodia,Lithium Ion Batteries,Wet,3,2025,0.1027,0.0000,-0.1027
Cambodia,Lithium Ion Batteries,Wet,4,2025,0.1176,0.0000,-0.1176
Cambodia,Lithium Ion Batteries,Wet,5,2025,0.1012,0.0000,-0.1012
Cambodia,Lithium Ion Batteries,Wet,6,2025,0.0632,0.0000,-0.0632
Cambodia,Lithium Ion Batteries,Wet,7,2025,0.0000,0.0251,0.0251
Cambodia,Lithium Ion Batteries,Wet,8,2025,0.0000,0.0973,0.0973
Cambodia,Lithium Ion Batteries,Wet,9,2025,0.0105,0.0000,-0.0105
Cambodia,Lithium Ion Batteries,Wet,11,2025,0.1130,0.0000,-0.1130
Cambodia,Lithium Ion Batteries,Wet,12,2025,0.2406,0.0000,-0.2406
Cambodia,Lithium Ion Batteries,Wet,13,2025,0.1227,0.0000,-0.1227
Cambodia,Lithium Ion Batteries,Wet,14,2025,0.0346,0.0000,-0.0346
Cambodia,Lithium Ion Batteries,Wet,15,2025,0.0382,0.0000,-0.0382
Cambodia,Lithium Ion Batteries,Wet,16,2025,0.0155,0.0000,-0.0155
Cambodia,Lithium Ion Batteries,Wet,18,2025,0.0000,0.1109,0.1109
Cambodia,Lithium Ion Batteries,Wet,19,2025,0.0000,0.3228,0.3228
Cambodia,Lithium Ion Batteries,Wet,20,2025,0.0000,0.2322,0.2322
Cambodia,Lithium Ion Batteries,Wet,21,2025,0.0000,0.0622,0.0622
Cambodia,Lithium Ion Batteries,Wet,23,2025,0.0000,0.0981,0.0981
Cambodia,Lithium Ion Batteries,Dry,12,2030,0.0774,0.0000,-0.0774
Cambodia,Lithium Ion Batteries,Dry,13,2030,0.7925,0.0000,-0.7925
Cambodia,Lithium Ion Batteries,Dry,14,2030,0.7201,0.0000,-0.7201
Cambodia,Lithium Ion Batteries,Dry,18,2030,0.0000,0.1108,0.1108
Cambodia,Lithium Ion Batteries,Dry,20,2030,0.0000,0.6178,0.6178
Cambodia,Lithium Ion Batteries,Dry,22,2030,0.0000,0.6646,0.6646
Cambodia,Lithium Ion Batteries,Dry,24,2030,0.0000,0.1332,0.1332
Cambodia,Lithium Ion Batteries,Wet,12,2030,0.5738,0.0000,-0.5738
Cambodia,Lithium Ion Batteries,Wet,14,2030,0.5738,0.0000,-0.5738
Cambodia,Lithium Ion Batteries,Wet,18,2030,0.0000,0.1745,0.1745
Cambodia,Lithium Ion Batteries,Wet,20,2030,0.0000,0.4514,0.4514
Cambodia,Lithium Ion Batteries,Wet,21,2030,0.0000,0.4123,0.4123
Cambodia,Lithium Ion Batteries,Wet,23,2030,0.0000,0.0634,0.0634
Cambodia,Lithium Ion Batteries,Dry,9,2035,0.7950,0.0000,-0.7950
Cambodia,Lithium Ion Batteries,Dry,12,2035,0.7950,0.0000,-0.7950
Cambodia,Lithium Ion Batteries,Dry,19,2035,0.0000,0.3074,0.3074
Cambodia,Lithium Ion Batteries,Dry,21,2035,0.0000,0.7632,0.7632
Cambodia,Lithium Ion Batteries,Dry,23,2035,0.0000,0.4558,0.4558
Cambodia,Lithium Ion Batteries,Wet,3,2035,0.0171,0.0000,-0.0171
Cambodia,Lithium Ion Batteries,Wet,6,2035,0.0000,0.0164,0.0164
Cambodia,Lithium Ion Batteries,Wet,10,2035,0.5738,0.0000,-0.5738
Cambodia,Lithium Ion Batteries,Wet,11,2035,0.5738,0.0000,-0.5738
Cambodia,Lithium Ion Batteries,Wet,21,2035,0.0000,0.5508,0.5508
Cambodia,Lithium Ion Batteries,Wet,23,2035,0.0000,0.2640,0.2640
Cambodia,Lithium Ion Batteries,Wet,24,2035,0.0000,0.2868,0.2868
Cambodia,Lithium Ion Batteries,Dry,12,2040,0.7950,0.0000,-0.7950
Cambodia,Lithium Ion Batteries,Dry,13,2040,0.7950,0.0000,-0.7950
Cambodia,Lithium Ion Batteries,Dry,19,2040,0.0000,0.7632,0.7632
Cambodia,Lithium Ion Batteries,Dry,21,2040,0.0000,0.7632,0.7632
Cambodia,Lithium Ion Batteries,Wet,12,2040,0.5738,0.0000,-0.5738
Cambodia,Lithium Ion Batteries,Wet,14,2040,0.5738,0.0000,-0.5738
Cambodia,Lithium Ion Batteries,Wet,19,2040,0.0000,0.5508,0.5508
Cambodia,Lithium Ion Batteries,Wet,22,2040,0.0000,0.5508,0.5508
Cambodia,Lithium Ion Batteries,Dry,14,2045,0.7950,0.0000,-0.7950
Cambodia,Lithium Ion Batteries,Dry,15,2045,0.7950,0.0000,-0.7950
Cambodia,Lithium Ion Batteries,Dry,18,2045,0.0000,0.7632,0.7632
Cambodia,Lithium Ion Batteries,Dry,21,2045,0.0000,0.7632,0.7632
Cambodia,Lithium Ion Batteries,Wet,9,2045,0.1305,0.0000,-0.1305
Cambodia,Lithium Ion Batteries,Wet,12,2045,0.5738,0.0000,-0.5738
Cambodia,Lithium Ion Batteries,Wet,14,2045,0.4433,0.0000,-0.4433
Cambodia,Lithium Ion Batteries,Wet,21,2045,0.0000,0.5508,0.5508
Cambodia,Lithium Ion Batteries,Wet,23,2045,0.0000,0.0163,0.0163
Cambodia,Lithium Ion Batteries,Wet,24,2045,0.0000,0.5345,0.5345
Cambodia,Lithium Ion Batteries,Dry,9,2050,0.7950,0.0000,-0.7950
Cambodia,Lithium Ion Batteries,Dry,10,2050,0.7950,0.0000,-0.7950
Cambodia,Lithium Ion Batteries,Dry,19,2050,0.0000,0.7632,0.7632
Cambodia,Lithium Ion Batteries,Dry,21,2050,0.0000,0.7632,0.7632
Cambodia,Lithium Ion Batteries,Wet,3,2050,0.0025,0.0000,-0.0025
Cambodia,Lithium Ion Batteries,Wet,4,2050,0.0226,0.0000,-0.0226
Cambodia,Lithium Ion Batteries,Wet,5,2050,0.0006,0.0000,-0.0006
Cambodia,Lithium Ion Batteries,Wet,6,2050,0.0000,0.0247,0.0247
Cambodia,Lithium Ion Batteries,Wet,9,2050,0.5738,0.0000,-0.5738
Cambodia,Lithium Ion Batteries,Wet,15,2050,0.5738,0.0000,-0.5738
Cambodia,Lithium Ion Batteries,Wet,17,2050,0.0000,0.0136,0.0136
Cambodia,Lithium Ion Batteries,Wet,20,2050,0.0000,0.5508,0.5508
Cambodia,Lithium Ion Batteries,Wet,23,2050,0.0000,0.0402,0.0402
Cambodia,Lithium Ion Batteries,Wet,24,2050,0.0000,0.4970,0.4970
Cambodia,Lithium Ion Batteries,Dry,8,2055,0.3493,0.0000,-0.3493
Cambodia,Lithium Ion Batteries,Dry,10,2055,0.1851,0.0000,-0.1851
Cambodia,Lithium Ion Batteries,Dry,12,2055,0.5189,0.0000,-0.5189
Cambodia,Lithium Ion Batteries,Dry,15,2055,0.2241,0.0000,-0.2241
Cambodia,Lithium Ion Batteries,Dry,16,2055,0.3126,0.0000,-0.3126
Cambodia,Lithium Ion Batteries,Dry,19,2055,0.0000,0.7632,0.7632
Cambodia,Lithium Ion Batteries,Dry,21,2055,0.0000,0.6783,0.6783
Cambodia,Lithium Ion Batteries,Dry,23,2055,0.0000,0.0849,0.0849
Cambodia,Lithium Ion Batteries,Wet,1,2055,0.1339,0.0000,-0.1339
Cambodia,Lithium Ion Batteries,Wet,4,2055,0.2558,0.0000,-0.2558
Cambodia,Lithium Ion Batteries,Wet,5,2055,0.2113,0.0000,-0.2113
Cambodia,Lithium Ion Batteries,Wet,6,2055,0.0707,0.0000,-0.0707
Cambodia,Lithium Ion Batteries,Wet,8,2055,0.2494,0.0000,-0.2494
Cambodia,Lithium Ion Batteries,Wet,10,2055,0.1167,0.0000,-0.1167
Cambodia,Lithium Ion Batteries,Wet,11,2055,0.1097,0.0000,-0.1097
Cambodia,Lithium Ion Batteries,Wet,18,2055,0.0000,0.3073,0.3073
Cambodia,Lithium Ion Batteries,Wet,19,2055,0.0000,0.5508,0.5508
Cambodia,Lithium Ion Batteries,Wet,21,2055,0.0000,0.2435,0.2435
Cambodia,Lithium Ion Batteries,Dry,2,2060,0.2521,0.0000,-0.2521
Cambodia,Lithium Ion Batteries,Dry,3,2060,0.3275,0.0000,-0.3275
Cambodia,Lithium Ion Batteries,Dry,12,2060,0.7950,0.0000,-0.7950
Cambodia,Lithium Ion Batteries,Dry,13,2060,0.0554,0.0000,-0.0554
Cambodia,Lithium Ion Batteries,Dry,16,2060,0.1601,0.0000,-0.1601
Cambodia,Lithium Ion Batteries,Dry,19,2060,0.0000,0.2755,0.2755
Cambodia,Lithium Ion Batteries,Dry,21,2060,0.0000,0.7632,0.7632
Cambodia,Lithium Ion Batteries,Dry,22,2060,0.0000,0.4877,0.4877
Cambodia,Lithium Ion Batteries,Wet,2,2060,0.0888,0.0000,-0.0888
Cambodia,Lithium Ion Batteries,Wet,5,2060,0.2368,0.0000,-0.2368
Cambodia,Lithium Ion Batteries,Wet,7,2060,0.1016,0.0000,-0.1016
Cambodia,Lithium Ion Batteries,Wet,10,2060,0.2370,0.0000,-0.2370
Cambodia,Lithium Ion Batteries,Wet,13,2060,0.4833,0.0000,-0.4833
Cambodia,Lithium Ion Batteries,Wet,21,2060,0.0000,0.5508,0.5508
Cambodia,Lithium Ion Batteries,Wet,22,2060,0.0000,0.5508,0.5508
Cambodia,Pumped Hydro,Dry,1,2030,0.0000,0.0621,0.0621
Cambodia,Pumped Hydro,Dry,2,2030,0.0000,0.0119,0.0119
