region,tech_name,output_fuel,year,capacity_GW,residual_GW,new_capacity_GW,production_PJ
Brunei,Coal IGCC,Electricity output from Centralized Electricity Generation,2025,0.2540,0.2540,0.0000,1.7199
Brunei,Coal IGCC,Electricity output from Centralized Electricity Generation,2030,0.2540,0.2540,0.0000,1.0108
Brunei,Coal IGCC,Electricity output from Centralized Electricity Generation,2035,0.2540,0.2540,0.0000,0.7278
Brunei,Coal IGCC,Electricity output from Centralized Electricity Generation,2040,0.2540,0.2540,0.0000,0.6368
Brunei,Coal IGCC,Electricity output from Centralized Electricity Generation,2045,0.2540,0.2540,0.0000,0.5458
Brunei,Coal IGCC,Electricity output from Centralized Electricity Generation,2050,0.2540,0.2540,0.0000,0.4549
Brunei,Coal IGCC,Electricity output from Centralized Electricity Generation,2055,0.2540,0.2540,0.0000,0.3639
Brunei,Coal IGCC,Electricity output from Centralized Electricity Generation,2060,0.2540,0.2540,0.0000,0.2729
Brunei,Diesel,Electricity output from Centralized Electricity Generation,2025,0.0150,0.0150,0.0000,0.0000
Brunei,Diesel,Electricity output from Centralized Electricity Generation,2030,0.0150,0.0150,0.0000,0.0000
Brunei,Diesel,Electricity output from Centralized Electricity Generation,2035,0.0150,0.0150,0.0000,0.0000
Brunei,Electricity,Electricity output from Electricity Transmission and Distribution,2025,0.8448,0.0000,0.8448,22.4066
Brunei,Electricity,Electricity output from Energy Sector Own Use,2025,0.7916,0.0000,0.7916,20.9950
Brunei,Electricity,Electricity output from Electricity Transmission and Distribution,2030,0.8448,0.0000,0.0000,17.5681
Brunei,Electricity,Electricity output from Energy Sector Own Use,2030,0.7916,0.0000,0.0000,16.4613
Brunei,Electricity,Electricity output from Electricity Transmission and Distribution,2035,0.8448,0.0000,0.0000,17.2584
Brunei,Electricity,Electricity output from Energy Sector Own Use,2035,0.7916,0.0000,0.0000,15.9528
Brunei,Electricity,Electricity output from Electricity Transmission and Distribution,2040,0.8448,0.0000,0.0000,16.6378
Brunei,Electricity,Electricity output from Energy Sector Own Use,2040,0.7916,0.0000,0.0000,15.5896
Brunei,Electricity,Electricity output from Electricity Transmission and Distribution,2045,0.8448,0.0000,0.0000,17.3238
Brunei,Electricity,Electricity output from Energy Sector Own Use,2045,0.7916,0.0000,0.0000,16.1069
Brunei,Electricity,Electricity output from Electricity Transmission and Distribution,2050,0.8448,0.0000,0.0000,17.2016
Brunei,Electricity,Electricity output from Energy Sector Own Use,2050,0.7916,0.0000,0.0000,15.9441
Brunei,Electricity,Electricity output from Electricity Transmission and Distribution,2055,0.6837,0.0000,0.6837,17.0674
Brunei,Electricity,Electricity output from Energy Sector Own Use,2055,0.6397,0.0000,0.6397,15.9801
Brunei,Electricity,Electricity output from Electricity Transmission and Distribution,2060,0.6837,0.0000,0.0000,16.9114
Brunei,Electricity,Electricity output from Energy Sector Own Use,2060,0.6406,0.0000,0.0009,15.8014
Brunei,Gas Combined Cycle,Electricity output from Centralized Electricity Generation,2025,0.4494,0.3660,0.0834,11.4831
Brunei,Gas Combined Cycle,Electricity output from Centralized Electricity Generation,2030,0.6040,0.5207,0.0000,10.0555
Brunei,Gas Combined Cycle,Electricity output from Centralized Electricity Generation,2035,0.7939,0.7105,0.0000,9.7519
