region,fuel,season,hour,year,supply_GW,demand_GW,fuel_name_full
Brunei,Electricity output from Centralized Electricity Generation,Dry,1,2025,0.7175,0.7175,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]"
Brunei,Electricity output from Centralized Electricity Generation,Dry,2,2025,0.6997,0.6997,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]"
Brunei,Electricity output from Centralized Electricity Generation,Dry,3,2025,0.6845,0.6845,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]"
Brunei,Electricity output from Centralized Electricity Generation,Dry,4,2025,0.6743,0.6743,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]"
Brunei,Electricity output from Centralized Electricity Generation,Dry,5,2025,0.6665,0.6665,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]"
Brunei,Electricity output from Centralized Electricity Generation,Dry,6,2025,0.6629,0.6629,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]"
Brunei,Electricity output from Centralized Electricity Generation,Dry,7,2025,0.6310,0.6310,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]"
Brunei,Electricity output from Centralized Electricity Generation,Dry,8,2025,0.6556,0.6556,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]"
Brunei,Electricity output from Centralized Electricity Generation,Dry,9,2025,0.7297,0.7297,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]"
Brunei,Electricity output from Centralized Electricity Generation,Dry,10,2025,0.7776,0.7776,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]"
Brunei,Electricity output from Centralized Electricity Generation,Dry,11,2025,0.8092,0.8092,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]"
Brunei,Electricity output from Centralized Electricity Generation,Dry,12,2025,0.8275,0.8275,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]"
Brunei,Electricity output from Centralized Electricity Generation,Dry,13,2025,0.8471,0.8471,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]"
Brunei,Electricity output from Centralized Electricity Generation,Dry,14,2025,0.8699,0.8699,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]"
Brunei,Electricity output from Centralized Electricity Generation,Dry,15,2025,0.8759,0.8759,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]"
Brunei,Electricity output from Centralized Electricity Generation,Dry,16,2025,0.8680,0.8680,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]"
Brunei,Electricity output from Centralized Electricity Generation,Dry,17,2025,0.8312,0.8312,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]"
Brunei,Electricity output from Centralized Electricity Generation,Dry,18,2025,0.8402,0.8402,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]"
Brunei,Electricity output from Centralized Electricity Generation,Dry,19,2025,0.9196,0.9196,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]"
Brunei,Electricity output from Centralized Electricity Generation,Dry,20,2025,0.9119,0.9119,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]"
Brunei,Electricity output from Centralized Electricity Generation,Dry,21,2025,0.8855,0.8855,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]"
Brunei,Electricity output from Centralized Electricity Generation,Dry,22,2025,0.8429,0.8429,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]"
Brunei,Electricity output from Centralized Electricity Generation,Dry,23,2025,0.7907,0.7907,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]"
Brunei,Electricity output from Centralized Electricity Generation,Dry,24,2025,0.7597,0.7597,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]"
