region,2025,2030,2035,2040,2045,2050,2055,2060
Brunei,0.073,0.096,0.069,0.064,0.062,0.061,0.063,0.064
Cambodia,0.567,0.212,0.206,0.202,0.179,0.173,0.170,0.167
Indonesia,24.166,31.815,50.906,76.403,132.667,163.919,172.980,184.414
Laos,1.275,1.140,0.998,0.856,0.692,0.535,0.560,0.587
Malaysia,3.240,3.471,3.719,3.923,4.374,4.477,4.452,4.427
Myanmar,3.736,1.637,1.246,1.089,0.870,0.570,0.652,0.748
Philippines,4.698,3.585,2.049,0.852,1.147,1.164,1.209,1.261
Singapore,1.800,1.712,2.046,2.126,2.039,2.244,2.124,2.289
Thailand,3.119,1.372,2.735,8.757,9.879,9.991,9.998,10.048
Vietnam,6.023,7.211,10.619,14.508,18.650,22.457,25.217,27.733
Timor Leste,10.776,22.711,35.580,46.491,53.300,56.806,55.015,52.298
ASEAN (incl. Timor Leste) total,59.473,74.961,110.173,155.272,223.859,262.396,272.440,284.036
