origin_region,destination_region,fuel,fuel_name_full,year,traded_PJ
Brunei,Cambodia,Biodiesel output from Biodiesel Production,"Biodiesel output from ""Biodiesel Production"" [LEAP ID:61]",2025,2.2019
Brunei,Cambodia,Biodiesel output from Biodiesel Production,"Biodiesel output from ""Biodiesel Production"" [LEAP ID:61]",2030,0.5668
Brunei,Cambodia,Biodiesel output from Biodiesel Production,"Biodiesel output from ""Biodiesel Production"" [LEAP ID:61]",2035,0.9490
Brunei,Cambodia,Biodiesel output from Biodiesel Production,"Biodiesel output from ""Biodiesel Production"" [LEAP ID:61]",2040,0.3153
Brunei,Cambodia,Biodiesel output from Biodiesel Production,"Biodiesel output from ""Biodiesel Production"" [LEAP ID:61]",2045,61.3885
Brunei,Cambodia,Biodiesel output from Biodiesel Production,"Biodiesel output from ""Biodiesel Production"" [LEAP ID:61]",2050,9.0688
Brunei,Cambodia,Biodiesel output from Biodiesel Production,"Biodiesel output from ""Biodiesel Production"" [LEAP ID:61]",2055,8.6813
Brunei,Cambodia,Biodiesel output from Biodiesel Production,"Biodiesel output from ""Biodiesel Production"" [LEAP ID:61]",2060,3.3903
Brunei,Cambodia,Ethanol output from Bioethanol Production,"Ethanol output from ""Bioethanol Production"" [LEAP ID:24]",2050,0.0000
Brunei,Cambodia,Palm Oil input to Biodiesel Production,"Palm Oil input to ""Biodiesel Production"" [LEAP ID:66]",2025,0.0610
Brunei,Cambodia,Palm Oil input to Biodiesel Production,"Palm Oil input to ""Biodiesel Production"" [LEAP ID:66]",2030,0.2902
Brunei,Cambodia,Palm Oil input to Biodiesel Production,"Palm Oil input to ""Biodiesel Production"" [LEAP ID:66]",2050,1.0211
Brunei,Indonesia,Biodiesel output from Biodiesel Production,"Biodiesel output from ""Biodiesel Production"" [LEAP ID:61]",2025,5.5275
Brunei,Indonesia,Biodiesel output from Biodiesel Production,"Biodiesel output from ""Biodiesel Production"" [LEAP ID:61]",2035,52.9326
Brunei,Indonesia,Biodiesel output from Biodiesel Production,"Biodiesel output from ""Biodiesel Production"" [LEAP ID:61]",2045,102.1215
Brunei,Indonesia,Biodiesel output from Biodiesel Production,"Biodiesel output from ""Biodiesel Production"" [LEAP ID:61]",2050,54.7919
Brunei,Indonesia,Biodiesel output from Biodiesel Production,"Biodiesel output from ""Biodiesel Production"" [LEAP ID:61]",2055,38.6786
Brunei,Indonesia,Biodiesel output from Biodiesel Production,"Biodiesel output from ""Biodiesel Production"" [LEAP ID:61]",2060,98.0055
Brunei,Indonesia,Ethanol output from Bioethanol Production,"Ethanol output from ""Bioethanol Production"" [LEAP ID:24]",2045,-0.0000
Brunei,Indonesia,Ethanol output from Bioethanol Production,"Ethanol output from ""Bioethanol Production"" [LEAP ID:24]",2050,0.0000
Brunei,Laos,Biodiesel output from Biodiesel Production,"Biodiesel output from ""Biodiesel Production"" [LEAP ID:61]",2025,12.1068
Brunei,Laos,Biodiesel output from Biodiesel Production,"Biodiesel output from ""Biodiesel Production"" [LEAP ID:61]",2035,37.0282
Brunei,Laos,Biodiesel output from Biodiesel Production,"Biodiesel output from ""Biodiesel Production"" [LEAP ID:61]",2040,29.7816
Brunei,Laos,Biodiesel output from Biodiesel Production,"Biodiesel output from ""Biodiesel Production"" [LEAP ID:61]",2045,0.4760
Brunei,Laos,Biodiesel output from Biodiesel Production,"Biodiesel output from ""Biodiesel Production"" [LEAP ID:61]",2050,96.0207
Brunei,Laos,Biodiesel output from Biodiesel Production,"Biodiesel output from ""Biodiesel Production"" [LEAP ID:61]",2055,20.5038
Brunei,Laos,Biodiesel output from Biodiesel Production,"Biodiesel output from ""Biodiesel Production"" [LEAP ID:61]",2060,9.2277
Brunei,Laos,Ethanol output from Bioethanol Production,"Ethanol output from ""Bioethanol Production"" [LEAP ID:24]",2030,-0.0000
Brunei,Laos,Palm Oil input to Biodiesel Production,"Palm Oil input to ""Biodiesel Production"" [LEAP ID:66]",2025,0.1455
Brunei,Laos,Palm Oil input to Biodiesel Production,"Palm Oil input to ""Biodiesel Production"" [LEAP ID:66]",2030,0.3249
Brunei,Laos,Palm Oil input to Biodiesel Production,"Palm Oil input to ""Biodiesel Production"" [LEAP ID:66]",2050,1.7296
Brunei,Laos,Palm Oil input to Biodiesel Production,"Palm Oil input to ""Biodiesel Production"" [LEAP ID:66]",2055,2.3969
Brunei,Laos,Palm Oil input to Biodiesel Production,"Palm Oil input to ""Biodiesel Production"" [LEAP ID:66]",2060,3.6404
Brunei,Malaysia,Biodiesel output from Biodiesel Production,"Biodiesel output from ""Biodiesel Production"" [LEAP ID:61]",2030,10.9398
Brunei,Malaysia,Biodiesel output from Biodiesel Production,"Biodiesel output from ""Biodiesel Production"" [LEAP ID:61]",2035,0.8864
Brunei,Malaysia,Biodiesel output from Biodiesel Production,"Biodiesel output from ""Biodiesel Production"" [LEAP ID:61]",2040,35.5417
Brunei,Malaysia,Biodiesel output from Biodiesel Production,"Biodiesel output from ""Biodiesel Production"" [LEAP ID:61]",2050,59.3150
Brunei,Malaysia,Biodiesel output from Biodiesel Production,"Biodiesel output from ""Biodiesel Production"" [LEAP ID:61]",2060,6.1849
Brunei,Malaysia,Ethanol output from Bioethanol Production,"Ethanol output from ""Bioethanol Production"" [LEAP ID:24]",2050,0.0000
Brunei,Malaysia,Palm Oil input to Biodiesel Production,"Palm Oil input to ""Biodiesel Production"" [LEAP ID:66]",2025,0.1922
Brunei,Malaysia,Palm Oil input to Biodiesel Production,"Palm Oil input to ""Biodiesel Production"" [LEAP ID:66]",2030,1.2894
Brunei,Malaysia,Palm Oil input to Biodiesel Production,"Palm Oil input to ""Biodiesel Production"" [LEAP ID:66]",2035,0.8995
Brunei,Malaysia,Palm Oil input to Biodiesel Production,"Palm Oil input to ""Biodiesel Production"" [LEAP ID:66]",2040,3.1591
Brunei,Malaysia,Palm Oil input to Biodiesel Production,"Palm Oil input to ""Biodiesel Production"" [LEAP ID:66]",2045,10.2528
Brunei,Malaysia,Palm Oil input to Biodiesel Production,"Palm Oil input to ""Biodiesel Production"" [LEAP ID:66]",2050,9.9404
Brunei,Malaysia,Palm Oil input to Biodiesel Production,"Palm Oil input to ""Biodiesel Production"" [LEAP ID:66]",2055,13.0043
