from_region,to_region,within_region,from_node,to_node,fuel,year,annual_PJ,peak_GW,fuel_name_full
Indonesia,Indonesia,True,Indonesia Borneo,Indonesia Jamali,Electricity output from Centralized Electricity Generation,2050,486.4860,26.7692,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]"
Indonesia,Indonesia,True,Indonesia Borneo,Indonesia Jamali,Electricity output from Centralized Electricity Generation,2055,501.5917,31.7098,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]"
Indonesia,Indonesia,True,Indonesia Borneo,Indonesia Jamali,Electricity output from Centralized Electricity Generation,2060,599.6745,31.7098,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]"
Indonesia,Indonesia,True,Indonesia Sumatra,Indonesia Jamali,Electricity output from Centralized Electricity Generation,2055,97.9012,8.1324,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]"
Indonesia,Indonesia,True,Indonesia Sumatra,Indonesia Jamali,Electricity output from Centralized Electricity Generation,2060,149.6039,8.1324,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]"
Indonesia,Singapore,False,Indonesia Sumatra,Singapore,Electricity output from Centralized Electricity Generation,2025,1200.0000,38.0518,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]"
Indonesia,Singapore,False,Indonesia Sumatra,Singapore,Electricity output from Centralized Electricity Generation,2030,1200.0000,38.0518,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]"
Indonesia,Singapore,False,Indonesia Sumatra,Singapore,Electricity output from Centralized Electricity Generation,2035,1200.0000,38.0518,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]"
Indonesia,Singapore,False,Indonesia Sumatra,Singapore,Electricity output from Centralized Electricity Generation,2040,1200.0000,38.0518,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]"
Indonesia,Singapore,False,Indonesia Sumatra,Singapore,Electricity output from Centralized Electricity Generation,2045,1200.0000,38.0518,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]"
Indonesia,Singapore,False,Indonesia Sumatra,Singapore,Electricity output from Centralized Electricity Generation,2050,869.6364,38.0518,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]"
Indonesia,Singapore,False,Indonesia Sumatra,Singapore,Electricity output from Centralized Electricity Generation,2055,428.8632,38.0518,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]"
Indonesia,Singapore,False,Indonesia Sumatra,Singapore,Electricity output from Centralized Electricity Generation,2060,700.0109,38.0518,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]"
Laos,Cambodia,False,Laos,Cambodia,Electricity output from Centralized Electricity Generation,2025,200.0000,6.3420,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]"
Laos,Cambodia,False,Laos,Cambodia,Electricity output from Centralized Electricity Generation,2030,57.7900,6.3420,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]"
Laos,Cambodia,False,Laos,Cambodia,Electricity output from Centralized Electricity Generation,2035,-38.3641,6.3420,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]"
Laos,Cambodia,False,Laos,Cambodia,Electricity output from Centralized Electricity Generation,2040,11.0384,6.3420,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]"
Laos,Cambodia,False,Laos,Cambodia,Electricity output from Centralized Electricity Generation,2045,141.4155,6.3420,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]"
Laos,Cambodia,False,Laos,Cambodia,Electricity output from Centralized Electricity Generation,2050,200.0000,6.3420,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]"
Laos,Cambodia,False,Laos,Cambodia,Electricity output from Centralized Electricity Generation,2055,200.0000,6.3420,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]"
Laos,Cambodia,False,Laos,Cambodia,Electricity output from Centralized Electricity Generation,2060,200.0000,6.3420,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]"
Laos,Myanmar,False,Laos,Myanmar,Electricity output from Centralized Electricity Generation,2040,350.0000,11.0984,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]"
Laos,Myanmar,False,Laos,Myanmar,Electricity output from Centralized Electricity Generation,2045,350.0000,11.0984,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]"
Laos,Myanmar,False,Laos,Myanmar,Electricity output from Centralized Electricity Generation,2050,350.0000,11.0984,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]"
Laos,Myanmar,False,Laos,Myanmar,Electricity output from Centralized Electricity Generation,2055,350.0000,11.0984,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]"
Laos,Myanmar,False,Laos,Myanmar,Electricity output from Centralized Electricity Generation,2060,350.0000,11.0984,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]"
Laos,Vietnam,False,Laos,Vietnam,Electricity output from Centralized Electricity Generation,2025,-545.5295,9.8348,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]"
Laos,Vietnam,False,Laos,Vietnam,Electricity output from Centralized Electricity Generation,2030,-570.0000,-18.0746,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]"
Laos,Vietnam,False,Laos,Vietnam,Electricity output from Centralized Electricity Generation,2035,-570.0000,-18.0746,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]"
Laos,Vietnam,False,Laos,Vietnam,Electricity output from Centralized Electricity Generation,2040,-530.1781,18.0746,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]"
Laos,Vietnam,False,Laos,Vietnam,Electricity output from Centralized Electricity Generation,2045,-430.6233,18.0746,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]"
Laos,Vietnam,False,Laos,Vietnam,Electricity output from Centralized Electricity Generation,2050,-373.5207,18.0746,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]"
Laos,Vietnam,False,Laos,Vietnam,Electricity output from Centralized Electricity Generation,2055,-16.7877,18.0746,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]"
Laos,Vietnam,False,Laos,Vietnam,Electricity output from Centralized Electricity Generation,2060,182.3219,18.0746,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]"
Malaysia,Indonesia,False,Malaysia Peninsular,Indonesia Sumatra,Electricity output from Centralized Electricity Generation,2050,2000.0000,63.4196,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]"
Malaysia,Indonesia,False,Malaysia Peninsular,Indonesia Sumatra,Electricity output from Centralized Electricity Generation,2055,2000.0000,63.4196,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]"
Malaysia,Indonesia,False,Malaysia Peninsular,Indonesia Sumatra,Electricity output from Centralized Electricity Generation,2060,2000.0000,63.4196,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]"
Malaysia,Singapore,False,Malaysia Peninsular,Singapore,Electricity output from Centralized Electricity Generation,2025,1050.0000,33.2953,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]"
Malaysia,Singapore,False,Malaysia Peninsular,Singapore,Electricity output from Centralized Electricity Generation,2030,1050.0000,33.2953,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]"
Malaysia,Singapore,False,Malaysia Peninsular,Singapore,Electricity output from Centralized Electricity Generation,2035,1050.0000,33.2953,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]"
Malaysia,Singapore,False,Malaysia Peninsular,Singapore,Electricity output from Centralized Electricity Generation,2040,1050.0000,33.2953,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]"
Malaysia,Singapore,False,Malaysia Peninsular,Singapore,Electricity output from Centralized Electricity Generation,2045,1050.0000,33.2953,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]"
Malaysia,Singapore,False,Malaysia Peninsular,Singapore,Electricity output from Centralized Electricity Generation,2050,1050.0000,33.2953,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]"
Malaysia,Singapore,False,Malaysia Peninsular,Singapore,Electricity output from Centralized Electricity Generation,2055,1050.0000,33.2953,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]"
Malaysia,Singapore,False,Malaysia Peninsular,Singapore,Electricity output from Centralized Electricity Generation,2060,1050.0000,33.2953,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]"
Philippines,Malaysia,False,Philippines,Malaysia Sabah,Electricity output from Centralized Electricity Generation,2045,108.7452,5.7747,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]"
Philippines,Malaysia,False,Philippines,Malaysia Sabah,Electricity output from Centralized Electricity Generation,2050,200.0000,6.3420,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]"
Philippines,Malaysia,False,Philippines,Malaysia Sabah,Electricity output from Centralized Electricity Generation,2055,200.0000,6.3420,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]"
Philippines,Malaysia,False,Philippines,Malaysia Sabah,Electricity output from Centralized Electricity Generation,2060,200.0000,6.3420,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]"
Thailand,Cambodia,False,Thailand,Cambodia,Electricity output from Centralized Electricity Generation,2025,204.1195,7.2933,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]"
Thailand,Cambodia,False,Thailand,Cambodia,Electricity output from Centralized Electricity Generation,2030,-224.1030,-1.3431,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]"
