r,t,e,y,val,solvedtm,region_name,tech_name,emission_name
R1,P16040,E1,2025,243.33616629630546,2026-05-13 15:07:40.839,Indonesia,HVO Renewable Diesel,Carbon Dioxide Biogenic
R11,P16040,E1,2025,418.12634783145404,2026-05-13 15:07:40.839,Thailand,HVO Renewable Diesel,Carbon Dioxide Biogenic
R17,P16040,E1,2025,368.2734617632636,2026-05-13 15:07:40.839,Malaysia,HVO Renewable Diesel,Carbon Dioxide Biogenic
R17,P21563,E1,2025,208773.40726203338,2026-05-13 15:07:40.839,Malaysia,Biomass Other_MYPE,Carbon Dioxide Biogenic
R17,P22388,E1,2025,89986.90961658447,2026-05-13 15:07:40.839,Malaysia,Biomass Other_MYSB,Carbon Dioxide Biogenic
R6,P2907,E1,2025,127500.01831905878,2026-05-13 15:07:40.839,Cambodia,Biogas,Carbon Dioxide Biogenic
R13,P2956,E1,2025,3396.509777837899,2026-05-13 15:07:40.839,Laos,Biomass Other,Carbon Dioxide Biogenic
R14,P2956,E1,2025,3537954.7111063935,2026-05-13 15:07:40.839,Vietnam,Biomass Other,Carbon Dioxide Biogenic
R19,P2956,E1,2025,184663.80558777886,2026-05-13 15:07:40.839,Philippines,Biomass Other,Carbon Dioxide Biogenic
R6,P2956,E1,2025,5906.825447199426,2026-05-13 15:07:40.839,Cambodia,Biomass Other,Carbon Dioxide Biogenic
R16,P15321,E13,2025,28.629331529799835,2026-05-13 15:07:40.839,Singapore,Gas Combined Cycle with CCS,Sulfur Dioxide
R1,P16040,E13,2025,0.6935793214931689,2026-05-13 15:07:40.839,Indonesia,HVO Renewable Diesel,Sulfur Dioxide
R11,P16040,E13,2025,1.1917825165134925,2026-05-13 15:07:40.839,Thailand,HVO Renewable Diesel,Sulfur Dioxide
R17,P16040,E13,2025,1.0496871945565083,2026-05-13 15:07:40.839,Malaysia,HVO Renewable Diesel,Sulfur Dioxide
R17,P20955,E13,2025,1191.718619437513,2026-05-13 15:07:40.839,Malaysia,Gas Turbine_MYPE,Sulfur Dioxide
R17,P21096,E13,2025,377094.63549475383,2026-05-13 15:07:40.839,Malaysia,Coal Subcritical_MYPE,Sulfur Dioxide
R17,P21163,E13,2025,43149.68517813609,2026-05-13 15:07:40.839,Malaysia,Coal Subcritical_MYSR,Sulfur Dioxide
R17,P21230,E13,2025,1571.1776409966699,2026-05-13 15:07:40.839,Malaysia,Gas Combined Cycle_MYPE,Sulfur Dioxide
R17,P21252,E13,2025,176.10415459319228,2026-05-13 15:07:40.839,Malaysia,Gas Combined Cycle_MYSB,Sulfur Dioxide
R17,P21274,E13,2025,144.67647235183847,2026-05-13 15:07:40.839,Malaysia,Gas Combined Cycle_MYSR,Sulfur Dioxide
R1,P21809,E13,2025,55221.55351386359,2026-05-13 15:07:40.839,Indonesia,Coal Subcritical_IDEast,Sulfur Dioxide
