r,rr,f,y,val,solvedtm,region_name,destination_region_name,fuel_name
R13,R12,F29,2040,1.0133041021695266,2026-05-13 15:07:40.839,Laos,Myanmar,"Palm Oil input to ""Biodiesel Production"" [LEAP ID:66]"
R13,R12,F29,2035,2.7718596495613093,2026-05-13 15:07:40.839,Laos,Myanmar,"Palm Oil input to ""Biodiesel Production"" [LEAP ID:66]"
R13,R12,F29,2030,0.5343777554098688,2026-05-13 15:07:40.839,Laos,Myanmar,"Palm Oil input to ""Biodiesel Production"" [LEAP ID:66]"
R13,R12,F29,2055,2.72350837204826,2026-05-13 15:07:40.839,Laos,Myanmar,"Palm Oil input to ""Biodiesel Production"" [LEAP ID:66]"
R13,R12,F17,2025,33.02520187613931,2026-05-13 15:07:40.839,Laos,Myanmar,"Biodiesel output from ""Biodiesel Production"" [LEAP ID:61]"
R13,R12,F17,2045,2.3936147321324075,2026-05-13 15:07:40.839,Laos,Myanmar,"Biodiesel output from ""Biodiesel Production"" [LEAP ID:61]"
R13,R12,F17,2040,8.920212239989816,2026-05-13 15:07:40.839,Laos,Myanmar,"Biodiesel output from ""Biodiesel Production"" [LEAP ID:61]"
R13,R12,F17,2035,37.616562253030665,2026-05-13 15:07:40.839,Laos,Myanmar,"Biodiesel output from ""Biodiesel Production"" [LEAP ID:61]"
R13,R12,F17,2030,63.83838647297329,2026-05-13 15:07:40.839,Laos,Myanmar,"Biodiesel output from ""Biodiesel Production"" [LEAP ID:61]"
R13,R12,F17,2055,16.73616851793431,2026-05-13 15:07:40.839,Laos,Myanmar,"Biodiesel output from ""Biodiesel Production"" [LEAP ID:61]"
R13,R12,F17,2060,87.52628184385956,2026-05-13 15:07:40.839,Laos,Myanmar,"Biodiesel output from ""Biodiesel Production"" [LEAP ID:61]"
R13,R12,F17,2050,61.99002852033988,2026-05-13 15:07:40.839,Laos,Myanmar,"Biodiesel output from ""Biodiesel Production"" [LEAP ID:61]"
R13,R12,F15,2045,2.7879886634050857e-07,2026-05-13 15:07:40.839,Laos,Myanmar,"Ethanol output from ""Bioethanol Production"" [LEAP ID:24]"
R13,R12,F15,2050,-7.406163075434052e-07,2026-05-13 15:07:40.839,Laos,Myanmar,"Ethanol output from ""Bioethanol Production"" [LEAP ID:24]"
R13,R15,F29,2025,0.16685791160528687,2026-05-13 15:07:40.839,Laos,Brunei,"Palm Oil input to ""Biodiesel Production"" [LEAP ID:66]"
R13,R15,F29,2045,2.86571065591508,2026-05-13 15:07:40.839,Laos,Brunei,"Palm Oil input to ""Biodiesel Production"" [LEAP ID:66]"
R13,R15,F29,2035,0.5236133830075675,2026-05-13 15:07:40.839,Laos,Brunei,"Palm Oil input to ""Biodiesel Production"" [LEAP ID:66]"
R13,R15,F29,2030,0.29018989539965423,2026-05-13 15:07:40.839,Laos,Brunei,"Palm Oil input to ""Biodiesel Production"" [LEAP ID:66]"
R13,R15,F17,2025,13.807009051104322,2026-05-13 15:07:40.839,Laos,Brunei,"Biodiesel output from ""Biodiesel Production"" [LEAP ID:61]"
R13,R15,F17,2045,60.93543929753548,2026-05-13 15:07:40.839,Laos,Brunei,"Biodiesel output from ""Biodiesel Production"" [LEAP ID:61]"
R13,R15,F17,2040,0.005898261725679673,2026-05-13 15:07:40.839,Laos,Brunei,"Biodiesel output from ""Biodiesel Production"" [LEAP ID:61]"
R13,R15,F17,2035,0.015728060218417807,2026-05-13 15:07:40.839,Laos,Brunei,"Biodiesel output from ""Biodiesel Production"" [LEAP ID:61]"
R13,R15,F17,2030,20.32648099690414,2026-05-13 15:07:40.839,Laos,Brunei,"Biodiesel output from ""Biodiesel Production"" [LEAP ID:61]"
R13,R15,F17,2055,2.6391535889363493,2026-05-13 15:07:40.839,Laos,Brunei,"Biodiesel output from ""Biodiesel Production"" [LEAP ID:61]"
R13,R15,F17,2060,0.003779785254873987,2026-05-13 15:07:40.839,Laos,Brunei,"Biodiesel output from ""Biodiesel Production"" [LEAP ID:61]"
R13,R15,F17,2050,3.3086579812989028,2026-05-13 15:07:40.839,Laos,Brunei,"Biodiesel output from ""Biodiesel Production"" [LEAP ID:61]"
R13,R15,F15,2045,4.663951285388127e-07,2026-05-13 15:07:40.839,Laos,Brunei,"Ethanol output from ""Bioethanol Production"" [LEAP ID:24]"
R13,R15,F15,2030,-2.1206428767123287e-07,2026-05-13 15:07:40.839,Laos,Brunei,"Ethanol output from ""Bioethanol Production"" [LEAP ID:24]"
