domain,scenario,sector,layer,fuel,carrier,region,year,value,unit,value_pj,confident_carrier,branch_leaf,branch_path
demand,AMS Target Scenario,Industry,Historical,Coal Bituminous,thermal,Brunei,2010,0.0,PJ,0.0,True,Coal Bituminous,Demand\Industry\Historical\Coal Bituminous
demand,AMS Target Scenario,Industry,Historical,Coal Bituminous,thermal,Brunei,2020,0.0,PJ,0.0,True,Coal Bituminous,Demand\Industry\Historical\Coal Bituminous
demand,AMS Target Scenario,Industry,Historical,Coal Bituminous,thermal,Brunei,2030,0.0,PJ,0.0,True,Coal Bituminous,Demand\Industry\Historical\Coal Bituminous
demand,AMS Target Scenario,Industry,Historical,Coal Bituminous,thermal,Brunei,2040,0.0,PJ,0.0,True,Coal Bituminous,Demand\Industry\Historical\Coal Bituminous
demand,AMS Target Scenario,Industry,Historical,Coal Bituminous,thermal,Brunei,2050,0.0,PJ,0.0,True,Coal Bituminous,Demand\Industry\Historical\Coal Bituminous
demand,AMS Target Scenario,Industry,Historical,Coal Bituminous,thermal,Brunei,2060,0.0,PJ,0.0,True,Coal Bituminous,Demand\Industry\Historical\Coal Bituminous
demand,AMS Target Scenario,Industry,Historical,Coal Bituminous,thermal,Cambodia,2010,0.20934000000005445,PJ,0.20934000000005445,True,Coal Bituminous,Demand\Industry\Historical\Coal Bituminous
demand,AMS Target Scenario,Industry,Historical,Coal Bituminous,thermal,Cambodia,2020,0.008436599993763892,PJ,0.008436599993763892,True,Coal Bituminous,Demand\Industry\Historical\Coal Bituminous
demand,AMS Target Scenario,Industry,Historical,Coal Bituminous,thermal,Cambodia,2030,0.0,PJ,0.0,True,Coal Bituminous,Demand\Industry\Historical\Coal Bituminous
demand,AMS Target Scenario,Industry,Historical,Coal Bituminous,thermal,Cambodia,2040,0.0,PJ,0.0,True,Coal Bituminous,Demand\Industry\Historical\Coal Bituminous
demand,AMS Target Scenario,Industry,Historical,Coal Bituminous,thermal,Cambodia,2050,0.0,PJ,0.0,True,Coal Bituminous,Demand\Industry\Historical\Coal Bituminous
demand,AMS Target Scenario,Industry,Historical,Coal Bituminous,thermal,Cambodia,2060,0.0,PJ,0.0,True,Coal Bituminous,Demand\Industry\Historical\Coal Bituminous
