variable,scenario,energy_class,fuel,region,year,value,unit
Exports,Baseline Simulation,Primary,Cassava,Brunei,2010,0.0,Million Gigajoules
Exports,Baseline Simulation,Primary,Cassava,Brunei,2020,0.0,Million Gigajoules
Exports,Baseline Simulation,Primary,Cassava,Brunei,2030,0.0,Million Gigajoules
Exports,Baseline Simulation,Primary,Cassava,Brunei,2040,0.0,Million Gigajoules
Exports,Baseline Simulation,Primary,Cassava,Brunei,2050,0.0,Million Gigajoules
Exports,Baseline Simulation,Primary,Cassava,Brunei,2060,0.0,Million Gigajoules
Exports,Baseline Simulation,Primary,Cassava,Cambodia,2010,10.429105500000002,Million Gigajoules
Exports,Baseline Simulation,Primary,Cassava,Cambodia,2020,4.836919500000001,Million Gigajoules
Exports,Baseline Simulation,Primary,Cassava,Cambodia,2030,7.906194000000001,Million Gigajoules
Exports,Baseline Simulation,Primary,Cassava,Cambodia,2040,7.906194000000001,Million Gigajoules
Exports,Baseline Simulation,Primary,Cassava,Cambodia,2050,7.906194000000001,Million Gigajoules
Exports,Baseline Simulation,Primary,Cassava,Cambodia,2060,7.906194000000001,Million Gigajoules
Exports,Baseline Simulation,Primary,Cassava,Indonesia,2010,1.5266025000000003,Million Gigajoules
Exports,Baseline Simulation,Primary,Cassava,Indonesia,2020,7.456248000000001,Million Gigajoules
Exports,Baseline Simulation,Primary,Cassava,Indonesia,2030,1.7676450000000001,Million Gigajoules
Exports,Baseline Simulation,Primary,Cassava,Indonesia,2040,1.7676450000000001,Million Gigajoules
Exports,Baseline Simulation,Primary,Cassava,Indonesia,2050,1.7676450000000001,Million Gigajoules
Exports,Baseline Simulation,Primary,Cassava,Indonesia,2060,1.7676450000000001,Million Gigajoules
Exports,Baseline Simulation,Primary,Cassava,Laos,2010,5.752881000000001,Million Gigajoules
Exports,Baseline Simulation,Primary,Cassava,Laos,2020,31.062343500000004,Million Gigajoules
Exports,Baseline Simulation,Primary,Cassava,Laos,2030,47.30860800000001,Million Gigajoules
Exports,Baseline Simulation,Primary,Cassava,Laos,2040,47.30860800000001,Million Gigajoules
Exports,Baseline Simulation,Primary,Cassava,Laos,2050,47.30860800000001,Million Gigajoules
Exports,Baseline Simulation,Primary,Cassava,Laos,2060,47.30860800000001,Million Gigajoules
Exports,Baseline Simulation,Primary,Cassava,Malaysia,2010,0.09641700000000002,Million Gigajoules
Exports,Baseline Simulation,Primary,Cassava,Malaysia,2020,0.128556,Million Gigajoules
Exports,Baseline Simulation,Primary,Cassava,Malaysia,2030,0.14462550000000002,Million Gigajoules
Exports,Baseline Simulation,Primary,Cassava,Malaysia,2040,0.14462550000000002,Million Gigajoules
Exports,Baseline Simulation,Primary,Cassava,Malaysia,2050,0.14462550000000002,Million Gigajoules
Exports,Baseline Simulation,Primary,Cassava,Malaysia,2060,0.14462550000000002,Million Gigajoules
Exports,Baseline Simulation,Primary,Cassava,Myanmar,2010,0.032139,Million Gigajoules
Exports,Baseline Simulation,Primary,Cassava,Myanmar,2020,0.04820850000000001,Million Gigajoules
Exports,Baseline Simulation,Primary,Cassava,Myanmar,2030,0.5624325000000001,Million Gigajoules
Exports,Baseline Simulation,Primary,Cassava,Myanmar,2040,0.5624325000000001,Million Gigajoules
Exports,Baseline Simulation,Primary,Cassava,Myanmar,2050,0.5624325000000001,Million Gigajoules
Exports,Baseline Simulation,Primary,Cassava,Myanmar,2060,0.5624325000000001,Million Gigajoules
Exports,Baseline Simulation,Primary,Cassava,Philippines,2010,0.09641700000000002,Million Gigajoules
Exports,Baseline Simulation,Primary,Cassava,Philippines,2020,0.09641700000000002,Million Gigajoules
Exports,Baseline Simulation,Primary,Cassava,Philippines,2030,0.128556,Million Gigajoules
Exports,Baseline Simulation,Primary,Cassava,Philippines,2040,0.128556,Million Gigajoules
Exports,Baseline Simulation,Primary,Cassava,Philippines,2050,0.128556,Million Gigajoules
Exports,Baseline Simulation,Primary,Cassava,Philippines,2060,0.128556,Million Gigajoules
Exports,Baseline Simulation,Primary,Cassava,Singapore,2010,0.0,Million Gigajoules
Exports,Baseline Simulation,Primary,Cassava,Singapore,2020,0.0,Million Gigajoules
Exports,Baseline Simulation,Primary,Cassava,Singapore,2030,0.0,Million Gigajoules
Exports,Baseline Simulation,Primary,Cassava,Singapore,2040,0.0,Million Gigajoules
Exports,Baseline Simulation,Primary,Cassava,Singapore,2050,0.0,Million Gigajoules
Exports,Baseline Simulation,Primary,Cassava,Singapore,2060,0.0,Million Gigajoules
Exports,Baseline Simulation,Primary,Cassava,Thailand,2010,498.0741525000001,Million Gigajoules
Exports,Baseline Simulation,Primary,Cassava,Thailand,2020,310.44667050000004,Million Gigajoules
