domain,scenario,scenario_code,sector,subsector,layer,fuel,carrier,region,year,value,unit,value_pj,confident_carrier,fuel_resolved,path_repaired,branch_leaf,branch_path
demand,Baseline Simulation,BAS,Commercial,Data_Center,Direct,Electricity,electricity,Indonesia,2023,3247.07912,GWh,11.689485,True,True,False,Colocation,Demand\Commercial\Data_Center\Colocation
demand,Baseline Simulation,BAS,Commercial,Data_Center,Direct,Electricity,electricity,Indonesia,2024,6523.067575,GWh,23.483043,True,True,False,Colocation,Demand\Commercial\Data_Center\Colocation
demand,Baseline Simulation,BAS,Commercial,Data_Center,Direct,Electricity,electricity,Indonesia,2025,9799.05603,GWh,35.276602,True,True,False,Colocation,Demand\Commercial\Data_Center\Colocation
demand,Baseline Simulation,BAS,Commercial,Data_Center,Direct,Electricity,electricity,Indonesia,2026,13075.044485,GWh,47.07016,True,True,False,Colocation,Demand\Commercial\Data_Center\Colocation
demand,Baseline Simulation,BAS,Commercial,Data_Center,Direct,Electricity,electricity,Indonesia,2027,16351.032941,GWh,58.863719,True,True,False,Colocation,Demand\Commercial\Data_Center\Colocation
demand,Baseline Simulation,BAS,Commercial,Data_Center,Direct,Electricity,electricity,Indonesia,2028,19627.021396,GWh,70.657277,True,True,False,Colocation,Demand\Commercial\Data_Center\Colocation
demand,Baseline Simulation,BAS,Commercial,Data_Center,Direct,Electricity,electricity,Indonesia,2029,22903.009851,GWh,82.450835,True,True,False,Colocation,Demand\Commercial\Data_Center\Colocation
demand,Baseline Simulation,BAS,Commercial,Data_Center,Direct,Electricity,electricity,Indonesia,2030,26178.998307,GWh,94.244394,True,True,False,Colocation,Demand\Commercial\Data_Center\Colocation
demand,Baseline Simulation,BAS,Commercial,Data_Center,Direct,Electricity,electricity,Indonesia,2031,30444.586764,GWh,109.600512,True,True,False,Colocation,Demand\Commercial\Data_Center\Colocation
demand,Baseline Simulation,BAS,Commercial,Data_Center,Direct,Electricity,electricity,Indonesia,2032,34796.857205,GWh,125.268686,True,True,False,Colocation,Demand\Commercial\Data_Center\Colocation
demand,Baseline Simulation,BAS,Commercial,Data_Center,Direct,Electricity,electricity,Indonesia,2033,39120.040555,GWh,140.832146,True,True,False,Colocation,Demand\Commercial\Data_Center\Colocation
demand,Baseline Simulation,BAS,Commercial,Data_Center,Direct,Electricity,electricity,Indonesia,2034,43309.903513,GWh,155.915653,True,True,False,Colocation,Demand\Commercial\Data_Center\Colocation
demand,Baseline Simulation,BAS,Commercial,Data_Center,Direct,Electricity,electricity,Indonesia,2035,47282.118383,GWh,170.215626,True,True,False,Colocation,Demand\Commercial\Data_Center\Colocation
demand,Baseline Simulation,BAS,Commercial,Data_Center,Direct,Electricity,electricity,Indonesia,2036,50972.748458,GWh,183.501894,True,True,False,Colocation,Demand\Commercial\Data_Center\Colocation
demand,Baseline Simulation,BAS,Commercial,Data_Center,Direct,Electricity,electricity,Indonesia,2037,54338.845013,GWh,195.619842,True,True,False,Colocation,Demand\Commercial\Data_Center\Colocation
demand,Baseline Simulation,BAS,Commercial,Data_Center,Direct,Electricity,electricity,Indonesia,2038,57363.071099,GWh,206.507056,True,True,False,Colocation,Demand\Commercial\Data_Center\Colocation
demand,Baseline Simulation,BAS,Commercial,Data_Center,Direct,Electricity,electricity,Indonesia,2039,60039.695167,GWh,216.142903,True,True,False,Colocation,Demand\Commercial\Data_Center\Colocation
demand,Baseline Simulation,BAS,Commercial,Data_Center,Direct,Electricity,electricity,Indonesia,2040,62374.191829,GWh,224.547091,True,True,False,Colocation,Demand\Commercial\Data_Center\Colocation
demand,Baseline Simulation,BAS,Commercial,Data_Center,Direct,Electricity,electricity,Indonesia,2041,64381.472243,GWh,231.7733,True,True,False,Colocation,Demand\Commercial\Data_Center\Colocation
demand,Baseline Simulation,BAS,Commercial,Data_Center,Direct,Electricity,electricity,Indonesia,2042,66081.109431,GWh,237.891994,True,True,False,Colocation,Demand\Commercial\Data_Center\Colocation
demand,Baseline Simulation,BAS,Commercial,Data_Center,Direct,Electricity,electricity,Indonesia,2043,67495.760319,GWh,242.984737,True,True,False,Colocation,Demand\Commercial\Data_Center\Colocation
