region,data_center_type,year,twh
Indonesia,Hyperscale,2023,1.755
Indonesia,Hyperscale,2024,2.518
Indonesia,Hyperscale,2025,3.281
Indonesia,Hyperscale,2026,4.045
Indonesia,Hyperscale,2027,4.808
Indonesia,Hyperscale,2028,5.571
Indonesia,Hyperscale,2029,6.335
Indonesia,Hyperscale,2030,7.098
Indonesia,Hyperscale,2031,9.303
Indonesia,Hyperscale,2032,11.955
Indonesia,Hyperscale,2033,15.079
Indonesia,Hyperscale,2034,18.689
Indonesia,Hyperscale,2035,22.793
Indonesia,Hyperscale,2036,27.397
Indonesia,Hyperscale,2037,32.498
Indonesia,Hyperscale,2038,38.099
Indonesia,Hyperscale,2039,44.198
Indonesia,Hyperscale,2040,50.793
Indonesia,Hyperscale,2041,57.881
Indonesia,Hyperscale,2042,65.456
Indonesia,Hyperscale,2043,73.512
Indonesia,Hyperscale,2044,82.037
Indonesia,Hyperscale,2045,91.005
Indonesia,Hyperscale,2046,100.386
Indonesia,Hyperscale,2047,110.151
Indonesia,Hyperscale,2048,120.272
Indonesia,Hyperscale,2049,130.718
Indonesia,Hyperscale,2050,141.458
Indonesia,Hyperscale,2051,152.57
Indonesia,Hyperscale,2052,164.036
Indonesia,Hyperscale,2053,175.838
Indonesia,Hyperscale,2054,187.955
Indonesia,Hyperscale,2055,200.368
Indonesia,Hyperscale,2056,213.053
Indonesia,Hyperscale,2057,225.991
Indonesia,Hyperscale,2058,239.157
Indonesia,Hyperscale,2059,252.53
Indonesia,Hyperscale,2060,266.087
Indonesia,Colocation,2023,3.247
Indonesia,Colocation,2024,6.523
Indonesia,Colocation,2025,9.799
Indonesia,Colocation,2026,13.075
Indonesia,Colocation,2027,16.351
Indonesia,Colocation,2028,19.627
Indonesia,Colocation,2029,22.903
Indonesia,Colocation,2030,26.179
Indonesia,Colocation,2031,30.445
Indonesia,Colocation,2032,34.797
Indonesia,Colocation,2033,39.12
Indonesia,Colocation,2034,43.31
Indonesia,Colocation,2035,47.282
Indonesia,Colocation,2036,50.973
Indonesia,Colocation,2037,54.339
Indonesia,Colocation,2038,57.363
Indonesia,Colocation,2039,60.04
Indonesia,Colocation,2040,62.374
Indonesia,Colocation,2041,64.381
Indonesia,Colocation,2042,66.081
Indonesia,Colocation,2043,67.496
Indonesia,Colocation,2044,68.647
Indonesia,Colocation,2045,69.552
Indonesia,Colocation,2046,70.227
Indonesia,Colocation,2047,70.695
Indonesia,Colocation,2048,70.981
Indonesia,Colocation,2049,71.109
Indonesia,Colocation,2050,71.104
Indonesia,Colocation,2051,71.039
Indonesia,Colocation,2052,70.933
Indonesia,Colocation,2053,70.8
Indonesia,Colocation,2054,70.655
Indonesia,Colocation,2055,70.511
Indonesia,Colocation,2056,70.379
Indonesia,Colocation,2057,70.268
Indonesia,Colocation,2058,70.188
Indonesia,Colocation,2059,70.146
Indonesia,Colocation,2060,70.147
Indonesia,Enterprise,2023,0.418
Indonesia,Enterprise,2024,0.41
Indonesia,Enterprise,2025,0.403
Indonesia,Enterprise,2026,0.395
Indonesia,Enterprise,2027,0.387
Indonesia,Enterprise,2028,0.379
Indonesia,Enterprise,2029,0.372
Indonesia,Enterprise,2030,0.364
Indonesia,Enterprise,2031,0.421
Indonesia,Enterprise,2032,0.478
Indonesia,Enterprise,2033,0.534
Indonesia,Enterprise,2034,0.588
Indonesia,Enterprise,2035,0.639
Indonesia,Enterprise,2036,0.685
Indonesia,Enterprise,2037,0.727
Indonesia,Enterprise,2038,0.764
Indonesia,Enterprise,2039,0.796
Indonesia,Enterprise,2040,0.823
Indonesia,Enterprise,2041,0.846
Indonesia,Enterprise,2042,0.865
Indonesia,Enterprise,2043,0.88
Indonesia,Enterprise,2044,0.892
Indonesia,Enterprise,2045,0.901
Indonesia,Enterprise,2046,0.906
Indonesia,Enterprise,2047,0.909
Indonesia,Enterprise,2048,0.91
Indonesia,Enterprise,2049,0.909
Indonesia,Enterprise,2050,0.906
Indonesia,Enterprise,2051,0.903
Indonesia,Enterprise,2052,0.899
Indonesia,Enterprise,2053,0.895
Indonesia,Enterprise,2054,0.891
Indonesia,Enterprise,2055,0.887
Indonesia,Enterprise,2056,0.884
Indonesia,Enterprise,2057,0.88
Indonesia,Enterprise,2058,0.877
Indonesia,Enterprise,2059,0.875
Indonesia,Enterprise,2060,0.873
Malaysia,Hyperscale,2023,0.0
Malaysia,Hyperscale,2024,6.07
Malaysia,Hyperscale,2025,12.14
Malaysia,Hyperscale,2026,18.21
Malaysia,Hyperscale,2027,24.279
Malaysia,Hyperscale,2028,30.349
Malaysia,Hyperscale,2029,36.419
Malaysia,Hyperscale,2030,42.489
Malaysia,Hyperscale,2031,49.732
Malaysia,Hyperscale,2032,56.158
Malaysia,Hyperscale,2033,62.068
Malaysia,Hyperscale,2034,67.545
Malaysia,Hyperscale,2035,73.393
Malaysia,Hyperscale,2036,78.997
Malaysia,Hyperscale,2037,83.697
Malaysia,Hyperscale,2038,88.97
Malaysia,Hyperscale,2039,94.129
Malaysia,Hyperscale,2040,99.193
Malaysia,Hyperscale,2041,104.861
Malaysia,Hyperscale,2042,109.756
Malaysia,Hyperscale,2043,114.578
Malaysia,Hyperscale,2044,119.979
Malaysia,Hyperscale,2045,124.643
Malaysia,Hyperscale,2046,129.855
Malaysia,Hyperscale,2047,134.963
Malaysia,Hyperscale,2048,139.959
Malaysia,Hyperscale,2049,144.838
Malaysia,Hyperscale,2050,149.049
Malaysia,Hyperscale,2051,153.255
Malaysia,Hyperscale,2052,157.455
Malaysia,Hyperscale,2053,161.646
Malaysia,Hyperscale,2054,165.826
Malaysia,Hyperscale,2055,169.994
Malaysia,Hyperscale,2056,174.147
Malaysia,Hyperscale,2057,178.285
Malaysia,Hyperscale,2058,182.404
Malaysia,Hyperscale,2059,186.504
Malaysia,Hyperscale,2060,190.583
Malaysia,Colocation,2023,5.9
Malaysia,Colocation,2024,6.437
Malaysia,Colocation,2025,6.974
Malaysia,Colocation,2026,7.512
Malaysia,Colocation,2027,8.049
Malaysia,Colocation,2028,8.586
Malaysia,Colocation,2029,9.123
Malaysia,Colocation,2030,9.661
Malaysia,Colocation,2031,10.923
Malaysia,Colocation,2032,11.945
Malaysia,Colocation,2033,12.816
Malaysia,Colocation,2034,13.568
Malaysia,Colocation,2035,14.371
Malaysia,Colocation,2036,15.104
Malaysia,Colocation,2037,15.652
Malaysia,Colocation,2038,16.298
Malaysia,Colocation,2039,16.914
Malaysia,Colocation,2040,17.505
Malaysia,Colocation,2041,18.197
Malaysia,Colocation,2042,18.748
Malaysia,Colocation,2043,19.285
Malaysia,Colocation,2044,19.916
Malaysia,Colocation,2045,20.423
Malaysia,Colocation,2046,21.018
Malaysia,Colocation,2047,21.595
Malaysia,Colocation,2048,22.154
Malaysia,Colocation,2049,22.694
Malaysia,Colocation,2050,23.13
Malaysia,Colocation,2051,23.568
Malaysia,Colocation,2052,24.008
Malaysia,Colocation,2053,24.449
Malaysia,Colocation,2054,24.89
Malaysia,Colocation,2055,25.332
Malaysia,Colocation,2056,25.774
Malaysia,Colocation,2057,26.216
Malaysia,Colocation,2058,26.658
Malaysia,Colocation,2059,27.099
Malaysia,Colocation,2060,27.539
Malaysia,Enterprise,2023,0.0
Malaysia,Enterprise,2024,0.0
Malaysia,Enterprise,2025,0.0
Malaysia,Enterprise,2026,0.0
Malaysia,Enterprise,2027,0.0
Malaysia,Enterprise,2028,0.0
Malaysia,Enterprise,2029,0.0
Malaysia,Enterprise,2030,0.0
Malaysia,Enterprise,2031,0.0
Malaysia,Enterprise,2032,0.0
Malaysia,Enterprise,2033,0.0
Malaysia,Enterprise,2034,0.0
Malaysia,Enterprise,2035,0.0
Malaysia,Enterprise,2036,0.0
Malaysia,Enterprise,2037,0.0
Malaysia,Enterprise,2038,0.0
Malaysia,Enterprise,2039,0.0
Malaysia,Enterprise,2040,0.0
Malaysia,Enterprise,2041,0.0
Malaysia,Enterprise,2042,0.0
Malaysia,Enterprise,2043,0.0
Malaysia,Enterprise,2044,0.0
Malaysia,Enterprise,2045,0.0
Malaysia,Enterprise,2046,0.0
Malaysia,Enterprise,2047,0.0
Malaysia,Enterprise,2048,0.0
Malaysia,Enterprise,2049,0.0
Malaysia,Enterprise,2050,0.0
Malaysia,Enterprise,2051,0.0
Malaysia,Enterprise,2052,0.0
Malaysia,Enterprise,2053,0.0
Malaysia,Enterprise,2054,0.0
Malaysia,Enterprise,2055,0.0
Malaysia,Enterprise,2056,0.0
Malaysia,Enterprise,2057,0.0
Malaysia,Enterprise,2058,0.0
Malaysia,Enterprise,2059,0.0
Malaysia,Enterprise,2060,0.0
Philippines,Hyperscale,2023,0.0
Philippines,Hyperscale,2024,0.01
Philippines,Hyperscale,2025,0.019
Philippines,Hyperscale,2026,0.029
Philippines,Hyperscale,2027,0.038
Philippines,Hyperscale,2028,0.048
Philippines,Hyperscale,2029,0.057
Philippines,Hyperscale,2030,0.067
Philippines,Hyperscale,2031,0.086
Philippines,Hyperscale,2032,0.111
Philippines,Hyperscale,2033,0.14
Philippines,Hyperscale,2034,0.178
Philippines,Hyperscale,2035,0.223
Philippines,Hyperscale,2036,0.28
Philippines,Hyperscale,2037,0.351
Philippines,Hyperscale,2038,0.436
Philippines,Hyperscale,2039,0.546
Philippines,Hyperscale,2040,0.671
Philippines,Hyperscale,2041,0.829
Philippines,Hyperscale,2042,1.018
Philippines,Hyperscale,2043,1.244
Philippines,Hyperscale,2044,1.511
Philippines,Hyperscale,2045,1.826
Philippines,Hyperscale,2046,2.195
Philippines,Hyperscale,2047,2.646
Philippines,Hyperscale,2048,3.171
Philippines,Hyperscale,2049,3.754
Philippines,Hyperscale,2050,4.451
Philippines,Hyperscale,2051,5.258
Philippines,Hyperscale,2052,6.188
Philippines,Hyperscale,2053,7.254
Philippines,Hyperscale,2054,8.469
Philippines,Hyperscale,2055,9.849
Philippines,Hyperscale,2056,11.408
Philippines,Hyperscale,2057,13.159
Philippines,Hyperscale,2058,15.116
Philippines,Hyperscale,2059,17.294
Philippines,Hyperscale,2060,19.704
Philippines,Colocation,2023,1.1
Philippines,Colocation,2024,1.127
Philippines,Colocation,2025,1.155
Philippines,Colocation,2026,1.182
Philippines,Colocation,2027,1.21
Philippines,Colocation,2028,1.237
Philippines,Colocation,2029,1.265
Philippines,Colocation,2030,1.292
Philippines,Colocation,2031,1.463
Philippines,Colocation,2032,1.676
Philippines,Colocation,2033,1.878
Philippines,Colocation,2034,2.126
Philippines,Colocation,2035,2.36
Philippines,Colocation,2036,2.645
Philippines,Colocation,2037,2.95
Philippines,Colocation,2038,3.274
Philippines,Colocation,2039,3.66
Philippines,Colocation,2040,4.025
Philippines,Colocation,2041,4.455
Philippines,Colocation,2042,4.907
Philippines,Colocation,2043,5.379
Philippines,Colocation,2044,5.871
Philippines,Colocation,2045,6.379
Philippines,Colocation,2046,6.903
Philippines,Colocation,2047,7.497
Philippines,Colocation,2048,8.105
Philippines,Colocation,2049,8.661
Philippines,Colocation,2050,9.282
Philippines,Colocation,2051,9.921
Philippines,Colocation,2052,10.575
Philippines,Colocation,2053,11.242
Philippines,Colocation,2054,11.918
Philippines,Colocation,2055,12.6
Philippines,Colocation,2056,13.284
Philippines,Colocation,2057,13.968
Philippines,Colocation,2058,14.648
Philippines,Colocation,2059,15.321
Philippines,Colocation,2060,15.985
Philippines,Enterprise,2023,0.01
Philippines,Enterprise,2024,0.01
Philippines,Enterprise,2025,0.01
Philippines,Enterprise,2026,0.009
Philippines,Enterprise,2027,0.009
Philippines,Enterprise,2028,0.009
Philippines,Enterprise,2029,0.009
Philippines,Enterprise,2030,0.009
Philippines,Enterprise,2031,0.01
Philippines,Enterprise,2032,0.011
Philippines,Enterprise,2033,0.012
Philippines,Enterprise,2034,0.014
Philippines,Enterprise,2035,0.015
Philippines,Enterprise,2036,0.017
Philippines,Enterprise,2037,0.019
Philippines,Enterprise,2038,0.021
Philippines,Enterprise,2039,0.024
Philippines,Enterprise,2040,0.026
