region,data_center_type,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
Indonesia,Hyperscale,1.755,2.518,3.281,4.045,4.808,5.571,6.335,7.098,9.303,11.955,15.079,18.689,22.793,27.397,32.498,38.099,44.198,50.793,57.881,65.456,73.512,82.037,91.005,100.386,110.151,120.272,130.718,141.458,152.57,164.036,175.838,187.955,200.368,213.053,225.991,239.157,252.53,266.087
Indonesia,Colocation,3.247,6.523,9.799,13.075,16.351,19.627,22.903,26.179,30.445,34.797,39.12,43.31,47.282,50.973,54.339,57.363,60.04,62.374,64.381,66.081,67.496,68.647,69.552,70.227,70.695,70.981,71.109,71.104,71.039,70.933,70.8,70.655,70.511,70.379,70.268,70.188,70.146,70.147
Indonesia,Enterprise,0.418,0.41,0.403,0.395,0.387,0.379,0.372,0.364,0.421,0.478,0.534,0.588,0.639,0.685,0.727,0.764,0.796,0.823,0.846,0.865,0.88,0.892,0.901,0.906,0.909,0.91,0.909,0.906,0.903,0.899,0.895,0.891,0.887,0.884,0.88,0.877,0.875,0.873
Indonesia,TOTAL,5.42,9.451,13.483,17.515,21.546,25.577,29.61,33.641,40.169,47.23,54.733,62.587,70.714,79.055,87.564,96.226,105.034,113.99,123.108,132.402,141.888,151.576,161.458,171.519,181.755,192.163,202.736,213.468,224.512,235.868,247.533,259.501,271.766,284.316,297.139,310.222,323.551,337.107
Malaysia,Hyperscale,0.0,6.07,12.14,18.21,24.279,30.349,36.419,42.489,49.732,56.158,62.068,67.545,73.393,78.997,83.697,88.97,94.129,99.193,104.861,109.756,114.578,119.979,124.643,129.855,134.963,139.959,144.838,149.049,153.255,157.455,161.646,165.826,169.994,174.147,178.285,182.404,186.504,190.583
Malaysia,Colocation,5.9,6.437,6.974,7.512,8.049,8.586,9.123,9.661,10.923,11.945,12.816,13.568,14.371,15.104,15.652,16.298,16.914,17.505,18.197,18.748,19.285,19.916,20.423,21.018,21.595,22.154,22.694,23.13,23.568,24.008,24.449,24.89,25.332,25.774,26.216,26.658,27.099,27.539
Malaysia,Enterprise,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Malaysia,TOTAL,5.9,12.507,19.114,25.722,32.328,38.935,45.542,52.15,60.655,68.103,74.884,81.113,87.764,94.101,99.349,105.268,111.043,116.698,123.058,128.504,133.863,139.895,145.066,150.873,156.558,162.113,167.532,172.179,176.823,181.463,186.095,190.716,195.326,199.921,204.501,209.062,213.603,218.122
Philippines,Hyperscale,0.0,0.01,0.019,0.029,0.038,0.048,0.057,0.067,0.086,0.111,0.14,0.178,0.223,0.28,0.351,0.436,0.546,0.671,0.829,1.018,1.244,1.511,1.826,2.195,2.646,3.171,3.754,4.451,5.258,6.188,7.254,8.469,9.849,11.408,13.159,15.116,17.294,19.704
Philippines,Colocation,1.1,1.127,1.155,1.182,1.21,1.237,1.265,1.292,1.463,1.676,1.878,2.126,2.36,2.645,2.95,3.274,3.66,4.025,4.455,4.907,5.379,5.871,6.379,6.903,7.497,8.105,8.661,9.282,9.921,10.575,11.242,11.918,12.6,13.284,13.968,14.648,15.321,15.985
